日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2021-06-22,1012.95,1029.56,1001.574,1024.026,324236280,4129707100.0
2021-06-23,1030.771,1031.584,1012.697,1016.93,281154490,3507723000.0
2021-06-24,1012.749,1017.936,999.157,1003.952,233205240,3276258300.0
2021-06-25,1001.475,1022.554,1001.123,1020.358,236480040,3796116300.0
2021-06-28,1020.282,1029.137,1017.229,1027.965,176369920,3592612500.0
2021-06-29,1025.804,1026.164,1009.773,1011.202,163213340,2974605700.0
2021-06-30,1009.926,1013.827,993.791,1002.337,182718070,3371529000.0
2021-07-01,1002.771,1011.259,991.586,991.586,167891930,2918373700.0
2021-07-02,984.449,992.078,970.01,973.267,167011320,3469488500.0
2021-07-05,972.643,984.85,971.665,983.706,159206450,3264081300.0
2021-07-06,988.888,989.276,948.226,968.233,190605550,4612078200.0
2021-07-07,957.398,991.729,956.335,990.094,184618600,4333337000.0
2021-07-08,988.401,992.895,971.489,974.596,195934550,3766386800.0
2021-07-09,966.775,986.505,954.335,985.468,206810810,4846135000.0
2021-07-12,984.823,1011.894,983.582,1010.399,272902370,4661722800.0
2021-07-13,1007.558,1016.729,998.814,1011.799,226466120,3419641000.0
2021-07-14,1010.08,1030.359,1004.035,1016.992,229819530,3857017900.0
2021-07-15,1015.708,1019.205,992.262,1004.366,218936940,3387607000.0
2021-07-16,1004.974,1007.904,992.943,996.044,205384710,3207195100.0
2021-07-19,994.125,1033.51,991.821,1028.379,347758490,4520118100.0
2021-07-20,1021.187,1040.659,1018.497,1039.772,358378580,4958805100.0
2021-07-21,1039.064,1052.8,1032.916,1045.579,314701890,4753294200.0
2021-07-22,1045.169,1045.366,1026.713,1030.054,277904420,4609397300.0
2021-07-23,1029.547,1035.16,1012.683,1015.028,285952910,4640690000.0
2021-07-26,1010.139,1010.139,968.227,994.619,309004400,4965937400.0
2021-07-27,987.861,1000.278,949.048,950.053,329690930,7707046000.0
2021-07-28,941.841,952.561,918.465,939.109,259204840,6322586300.0
2021-07-29,953.796,971.214,953.796,967.716,265030180,5253496500.0
2021-07-30,966.546,967.434,952.326,967.12,320433630,6138548900.0
2021-08-02,965.438,990.25,953.172,989.429,272009950,6201167300.0
2021-08-03,981.248,999.799,979.886,994.113,269749290,6035272800.0
2021-08-04,994.918,1011.807,988.701,1010.571,259498640,4855675000.0
2021-08-05,1015.114,1023.384,1011.0,1021.028,269752300,5047333100.0
2021-08-06,1016.144,1017.019,997.919,1009.14,286110990,5176048300.0
2021-08-09,1006.031,1032.453,1003.529,1027.477,285096530,4801376700.0
2021-08-10,1027.44,1036.368,1021.545,1035.981,268053160,5553983800.0
2021-08-11,1037.828,1037.828,1016.064,1019.67,242574120,4816462000.0
2021-08-12,1013.563,1014.53,1004.274,1007.612,221245980,4430666700.0
2021-08-13,1007.012,1015.546,997.656,1007.24,238593160,4582695900.0
2021-08-16,1003.069,1010.979,996.24,1002.163,226446970,4043629500.0
2021-08-17,999.014,999.868,965.596,967.775,223545730,4323506400.0
2021-08-18,968.266,977.538,963.553,976.531,224167420,4258250100.0
2021-08-19,974.145,981.951,971.07,978.877,162977080,3268344100.0
2021-08-20,973.244,975.245,950.302,960.375,212291500,5498091800.0
2021-08-23,962.009,984.357,958.607,982.208,217045270,6140182000.0
2021-08-24,977.931,990.44,973.355,988.56,262683410,5919247200.0
2021-08-25,989.789,1004.667,978.143,1004.667,221823320,4956110100.0
2021-08-26,1008.333,1009.467,989.352,989.81,263231320,4959629700.0
2021-08-27,992.698,993.548,978.99,987.68,282122460,5337280300.0
2021-08-30,983.112,988.583,973.922,976.75,249550140,5087890600.0
2021-08-31,974.762,976.467,960.752,971.976,272574210,4881648000.0
2021-09-01,970.494,971.092,956.202,963.922,330139810,5507633800.0
2021-09-02,963.29,971.951,959.034,968.207,304009660,5015874500.0
2021-09-03,964.407,970.327,950.784,953.357,309925400,5527638600.0
2021-09-06,951.208,975.248,947.492,973.578,288842830,4932671800.0
2021-09-07,971.51,972.293,960.704,966.469,220305650,4868229400.0
2021-09-08,964.486,973.104,960.216,968.509,242974870,4268171900.0
2021-09-09,966.885,969.928,959.904,965.967,230064970,3834991900.0
2021-09-10,965.07,969.519,957.342,967.234,255523170,4157410100.0
2021-09-13,970.099,971.386,965.394,967.975,232333580,4045047500.0
2021-09-14,965.198,977.882,963.916,969.712,253474950,4726915900.0
2021-09-15,965.29,965.29,950.409,953.842,207846180,4503404000.0
2021-09-16,955.146,962.248,948.226,948.226,255625400,5221381300.0
2021-09-17,946.291,968.137,940.81,965.37,275857020,6351728000.0
2021-09-22,952.217,969.55,952.009,964.548,232402840,4964117300.0
2021-09-23,963.444,984.282,963.166,974.234,258985630,5291682000.0
2021-09-24,976.719,978.897,965.514,970.033,317176500,5061109800.0
2021-09-27,969.164,970.93,953.762,958.232,281954630,5489426200.0
2021-09-28,958.895,958.895,943.709,943.785,244690410,3966726000.0
2021-09-29,937.781,940.241,913.682,913.682,200888290,3864144500.0
2021-09-30,912.753,932.069,912.753,928.433,145851630,3004290600.0
2021-10-08,936.365,940.651,933.46,939.36,142224120,3166353100.0
2021-10-11,943.89,952.655,939.826,944.775,131879464,3300846800.0
2021-10-12,939.769,951.117,935.121,944.085,186056430,3378017500.0
2021-10-13,942.027,957.886,941.331,956.297,178842710,3164223100.0
2021-10-14,956.803,956.803,945.534,947.923,136888610,3537624600.0
2021-10-15,936.105,938.768,932.636,934.814,166662230,4249732900.0
2021-10-18,935.835,935.835,921.081,927.562,141008900,4948091800.0
2021-10-19,924.907,939.134,923.653,937.152,136078400,3557490600.0
2021-10-20,933.322,936.487,926.211,930.395,143924820,3262173200.0
2021-10-21,928.956,937.891,928.775,934.359,133559336,2782787600.0
2021-10-22,935.12,945.688,935.12,937.668,125222675,3269617800.0
2021-10-25,936.764,940.513,933.077,939.196,101771597,2921407600.0
2021-10-26,938.867,942.857,932.106,934.122,138611220,4000731400.0
2021-10-27,938.102,940.167,924.058,925.325,158416280,3149264300.0
2021-10-28,922.628,924.424,902.425,905.819,215204610,3264656300.0
2021-10-29,898.155,910.848,896.262,906.225,228090680,4897992700.0
2021-11-01,904.691,906.805,898.432,901.828,143815720,3800965100.0
2021-11-02,901.909,909.694,893.971,897.28,160070950,3511722400.0
2021-11-03,899.339,904.636,897.115,903.695,107370906,2487942400.0
2021-11-04,903.761,916.149,903.283,912.727,109791891,3000303500.0
2021-11-05,912.887,912.887,901.738,902.747,109095419,2661473300.0
2021-11-08,903.089,903.09,892.619,900.365,88062719,2523076900.0
2021-11-09,900.704,919.272,899.076,914.686,102418247,2931783900.0
2021-11-10,913.767,928.309,911.735,928.221,123949486,2456471700.0
2021-11-11,928.106,935.251,922.284,934.986,161606190,2696398700.0
2021-11-12,931.206,939.915,929.683,936.268,138875580,2450842500.0
2021-11-15,934.716,946.616,934.003,946.616,117432953,2582369100.0
2021-11-16,944.069,955.761,941.158,942.22,125944537,3735420500.0
2021-11-17,945.602,956.58,941.839,956.377,133659413,3020862900.0
2021-11-18,953.809,957.89,945.068,945.385,136877930,3707105700.0
2021-11-19,943.266,961.082,942.984,960.245,169501530,3497948600.0
2021-11-22,961.477,969.351,960.259,968.319,172113460,3361908800.0
2021-11-23,968.304,975.003,968.061,972.49,181614890,3984277300.0
2021-11-24,973.069,983.368,970.391,982.164,161602660,3557670200.0
2021-11-25,991.234,1014.927,991.234,1013.514,294463260,4599462200.0
2021-11-26,1014.768,1014.768,1000.1,1001.156,340323970,4252660700.0
2021-11-29,990.649,1003.628,990.319,997.319,301036310,4944358900.0
2021-11-30,1003.486,1005.106,993.486,998.538,252167140,3920696200.0
2021-12-01,998.879,1007.811,995.424,1003.689,241685300,3727729800.0
2021-12-02,1003.581,1003.799,984.245,984.595,200867130,3766702700.0
2021-12-03,985.359,996.471,984.845,994.779,180902010,3486111700.0
2021-12-06,995.047,1000.803,978.681,978.919,216001820,3725477600.0
2021-12-07,981.286,982.846,962.614,967.963,190769000,3301846100.0
2021-12-08,972.984,987.943,970.738,985.57,204662250,3945857500.0
