日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1620.078,1650.613,1615.574,1648.52,5128464800,61393193000.0
2020-01-03,1652.785,1668.317,1648.76,1665.971,5514938500,67198912000.0
2020-01-06,1654.016,1693.005,1648.024,1680.147,5924628700,70846062000.0
2020-01-07,1682.986,1705.07,1680.455,1705.07,5561819800,65938316000.0
2020-01-08,1694.82,1705.989,1670.839,1676.047,7175413500,73689135000.0
2020-01-09,1693.346,1713.309,1693.346,1713.309,5707958700,68497692000.0
2020-01-10,1719.424,1721.65,1697.612,1708.011,4856487300,61782630000.0
2020-01-13,1706.575,1740.042,1701.478,1740.042,5028494400,67539689000.0
2020-01-14,1746.547,1747.314,1731.484,1732.412,5502078000,69151390000.0
2020-01-15,1729.637,1739.911,1715.548,1737.836,4899773000,62010350000.0
2020-01-16,1738.803,1745.917,1728.774,1731.953,4567832000,62370639000.0
2020-01-17,1735.247,1746.68,1726.879,1730.929,4431764200,60597101000.0
2020-01-20,1727.374,1759.606,1720.368,1759.606,5067689900,66840960000.0
2020-01-21,1749.837,1749.837,1729.972,1729.972,4740968000,64433688000.0
2020-01-22,1715.214,1754.126,1691.981,1748.117,5254561100,72746905000.0
2020-01-23,1721.966,1738.981,1657.828,1676.559,6241575100,85108204000.0
2020-02-03,1512.228,1519.219,1512.228,1515.423,2032628900,33817560000.0
2020-02-04,1410.986,1511.242,1410.986,1503.815,7155122900,81680956000.0
2020-02-05,1511.024,1569.996,1510.563,1546.682,6030600800,77184088000.0
2020-02-06,1550.69,1607.029,1542.462,1600.969,6484859600,78222239000.0
2020-02-07,1607.737,1643.248,1599.408,1642.968,6773722700,86704140000.0
2020-02-10,1642.448,1660.447,1629.773,1657.391,6623872300,86803475000.0
2020-02-11,1659.126,1660.419,1634.146,1644.18,5388330500,71341156000.0
2020-02-12,1637.364,1686.703,1635.79,1686.238,5893735900,78111810000.0
2020-02-13,1685.798,1695.463,1665.274,1673.972,6181787700,89435727000.0
2020-02-14,1667.91,1704.609,1664.951,1681.434,5742634500,85431763000.0
2020-02-17,1698.304,1753.286,1698.304,1753.286,7232833200,99114801000.0
2020-02-18,1756.817,1801.802,1754.832,1801.802,8331363200,109206277000.0
2020-02-19,1791.793,1821.391,1781.535,1789.367,7777545600,109139057000.0
2020-02-20,1791.266,1827.073,1769.867,1825.593,8596658100,110385184000.0
2020-02-21,1823.431,1881.178,1822.631,1864.922,9435903800,124902086000.0
2020-02-24,1872.68,1939.949,1870.087,1934.608,10200032100,142204270000.0
2020-02-25,1885.978,1943.844,1831.088,1940.095,11803839300,168770310000.0
2020-02-26,1908.424,1938.193,1865.199,1874.119,11765884200,151490490000.0
2020-02-27,1883.747,1900.659,1831.702,1867.287,8543641700,121051477000.0
2020-02-28,1786.365,1815.507,1734.621,1734.947,9338518900,121585982000.0
2020-03-02,1762.064,1834.798,1753.469,1823.794,8190695900,114681303000.0
2020-03-03,1864.951,1904.174,1827.367,1846.916,9316302400,130148990000.0
2020-03-04,1831.538,1868.005,1811.646,1854.196,7449728900,105723958000.0
2020-03-05,1896.849,1903.997,1857.335,1878.709,7812039200,110126476000.0
2020-03-06,1852.098,1887.202,1847.641,1870.576,6783279000,83717052000.0
2020-03-09,1837.95,1862.096,1795.495,1795.495,7981075200,102674878000.0
2020-03-10,1773.901,1878.493,1762.447,1878.493,8839749300,116310714000.0
2020-03-11,1891.656,1916.834,1844.125,1844.125,8518057100,112561095000.0
2020-03-12,1804.377,1838.391,1791.878,1817.569,7464672500,93158839000.0
2020-03-13,1719.594,1828.876,1719.594,1809.663,8643067200,108731888000.0
2020-03-16,1820.961,1821.646,1684.903,1691.331,8397079900,110820562000.0
2020-03-17,1711.769,1725.706,1627.818,1693.931,6812729700,89692603000.0
2020-03-18,1712.347,1745.193,1657.98,1657.98,6619339200,90136880000.0
2020-03-19,1656.912,1705.653,1636.793,1697.225,6571997900,85473034000.0
