日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1845.471,1877.391,1839.861,1876.564,2731319000,35066925000.0
2020-01-03,1877.973,1890.057,1870.606,1883.365,2560773400,34228186000.0
2020-01-06,1899.871,1983.214,1899.871,1969.087,4095008200,52878097000.0
2020-01-07,1989.909,1998.692,1975.211,1997.811,3721248700,45350596000.0
2020-01-08,2004.737,2066.094,1999.013,2029.173,4734241400,57993064000.0
2020-01-09,2060.63,2064.259,2034.116,2044.568,4357361200,49820274000.0
2020-01-10,2034.204,2034.204,1998.109,2008.369,3597147200,42126831000.0
2020-01-13,2014.579,2045.281,2001.978,2045.281,3475935100,44733617000.0
2020-01-14,2064.553,2087.676,2056.486,2056.486,4231366700,57054158000.0
2020-01-15,2046.312,2047.055,2016.478,2034.979,3324628400,41573144000.0
2020-01-16,2036.132,2046.208,2028.539,2038.374,2930724200,36727943000.0
2020-01-17,2042.631,2044.703,2012.799,2017.209,2951990800,38106982000.0
2020-01-20,2010.959,2041.846,1999.367,2041.846,3019905700,41031958000.0
2020-01-21,2033.513,2034.147,2010.748,2011.292,2811165600,37445458000.0
2020-01-22,2005.247,2061.878,1979.695,2052.804,3420856400,46473859000.0
2020-01-23,2026.552,2050.765,1951.489,1979.416,3686741000,51178389000.0
2020-02-03,1785.497,1803.808,1785.497,1788.194,1707409500,23490468000.0
2020-02-04,1713.023,1836.591,1713.023,1830.623,4260773700,51154975000.0
2020-02-05,1868.83,1940.808,1868.83,1900.421,4145488100,55517725000.0
2020-02-06,1875.32,1954.338,1870.199,1948.456,4682728100,60559568000.0
2020-02-07,1949.567,1965.46,1923.04,1959.585,4536240800,57981027000.0
2020-02-10,1954.505,2038.866,1951.773,2038.866,4703135000,63601483000.0
2020-02-11,2049.152,2049.152,2002.729,2022.314,4326005500,60255263000.0
2020-02-12,2013.643,2077.357,2009.955,2075.67,4685067200,59001008000.0
2020-02-13,2077.132,2096.536,2060.898,2066.466,4879818100,67656084000.0
2020-02-14,2065.381,2101.006,2053.092,2074.991,4790421900,62506208000.0
2020-02-17,2086.621,2154.423,2086.621,2154.423,4918319700,63818440000.0
2020-02-18,2163.048,2209.516,2161.109,2209.516,5393370500,70292101000.0
2020-02-19,2225.992,2241.242,2198.063,2198.695,6572830100,80819182000.0
2020-02-20,2207.652,2255.726,2194.699,2251.104,6289288800,76516202000.0
2020-02-21,2245.255,2302.746,2244.506,2283.915,6565659600,87195734000.0
2020-02-24,2278.321,2331.253,2267.397,2323.695,6627289800,92286297000.0
2020-02-25,2260.591,2368.753,2230.387,2362.086,7862316100,109464337000.0
