日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,582.142,587.372,582.142,585.484,688556330,5241768100.0
2020-01-03,585.639,588.906,584.507,588.258,579422570,3950783400.0
2020-01-06,584.874,592.722,582.689,587.631,625555390,4362685900.0
2020-01-07,588.57,595.881,588.57,595.881,535338380,3539018200.0
2020-01-08,592.864,592.864,583.565,585.084,552236100,3944140100.0
2020-01-09,589.506,592.581,588.292,592.017,458412800,3219562400.0
2020-01-10,592.944,593.779,588.035,590.334,462011210,3305610900.0
2020-01-13,590.498,593.44,586.836,593.44,407266230,2935211900.0
2020-01-14,593.46,598.287,593.46,596.84,479496720,3450013900.0
2020-01-15,596.314,596.314,589.3,591.845,449880870,3026561000.0
2020-01-16,592.871,593.164,586.769,588.212,384065430,2678351800.0
2020-01-17,587.296,589.364,584.027,585.297,473326930,2910010700.0
2020-01-20,586.242,586.242,579.743,583.057,466014940,3046435800.0
2020-01-21,580.054,580.318,573.578,573.578,494944960,3424436500.0
2020-01-22,573.121,575.227,565.844,573.963,397792510,2675235900.0
2020-01-23,569.086,569.118,550.986,555.526,507049110,3380638300.0
2020-02-03,502.241,502.539,501.021,501.021,298247160,2131603900.0
2020-02-04,467.524,485.231,467.524,483.213,897435290,4838568800.0
2020-02-05,482.656,497.014,481.776,491.375,710034210,4035527800.0
2020-02-06,493.671,504.154,489.628,504.154,640655400,3908044000.0
2020-02-07,503.213,509.179,498.939,509.179,571166160,3505867600.0
2020-02-10,507.959,518.023,506.79,517.881,604217730,3931996600.0
2020-02-11,518.637,519.708,514.872,515.758,537371340,3450286300.0
2020-02-12,513.81,519.64,513.349,519.195,412106260,2547581700.0
2020-02-13,518.295,523.456,513.189,514.796,529685990,3394540300.0
2020-02-14,513.832,517.019,512.358,515.584,471048740,3022267300.0
2020-02-17,516.412,527.667,516.033,527.667,556629240,3571989200.0
2020-02-18,528.391,531.148,523.797,531.148,539280870,3523171100.0
2020-02-19,531.11,534.525,529.029,529.401,507165690,3444365600.0
2020-02-20,529.582,538.667,529.0,538.625,593338170,4006679200.0
2020-02-21,538.297,544.56,537.668,542.633,604585440,3888276900.0
2020-02-24,541.69,542.017,533.64,538.767,665261500,4254363200.0
2020-02-25,528.656,532.322,517.613,531.599,678753430,4261958100.0
2020-02-26,525.162,548.365,524.027,540.47,1133541500,7709107300.0
2020-02-27,541.949,544.875,538.778,542.887,776401450,5103783800.0
2020-02-28,530.976,535.8,518.45,519.926,832391380,5787036000.0
2020-03-02,521.114,544.775,521.114,543.573,929768060,6653694700.0
2020-03-03,552.884,554.263,544.703,549.509,945621850,6920868600.0
2020-03-04,548.302,568.757,545.446,568.757,1246842430,8394368200.0
2020-03-05,570.631,582.302,569.209,581.619,1300936440,8867134100.0
2020-03-06,574.505,581.842,572.105,577.391,1227251470,7517545000.0
2020-03-09,566.715,571.14,558.113,558.384,951867380,6454185400.0
2020-03-10,549.97,575.35,549.97,575.337,1008198460,6638087900.0
2020-03-11,577.723,584.748,575.97,577.127,1043895530,6802371100.0
2020-03-12,569.585,573.526,562.85,567.233,948190680,6205548400.0
2020-03-13,539.842,568.043,539.409,565.07,1034314070,6849741800.0
2020-03-16,568.885,570.564,546.865,547.848,1017620160,6552831100.0
2020-03-17,548.683,553.971,529.099,542.936,828185540,5336052300.0
2020-03-18,546.428,553.171,534.644,535.535,848798760,5396465100.0
2020-03-19,533.798,538.682,522.247,535.446,913194620,5807983100.0
2020-03-20,537.334,548.356,535.848,547.73,843356410,5430608900.0
2020-03-23,532.347,536.99,525.572,525.608,687067940,4474281900.0
2020-03-24,531.1,534.121,520.579,532.942,700350760,4458322400.0
2020-03-25,541.256,551.165,536.676,549.748,930857700,5826657600.0
2020-03-26,543.585,550.342,541.747,543.21,750127990,4337417100.0
2020-03-27,547.907,555.992,546.268,547.394,874217110,5730391600.0
2020-03-30,539.143,540.943,533.255,537.662,677526750,4440369900.0
2020-03-31,541.0,542.336,533.407,535.029,600650120,4076044600.0
2020-04-01,533.003,540.557,530.341,531.694,621262710,4046877700.0
2020-04-02,528.115,540.683,526.228,540.619,526798610,3267314000.0
2020-04-03,538.878,541.087,536.396,539.492,525805570,3476968400.0
2020-04-07,545.725,548.441,543.234,547.95,590276110,3904364900.0
2020-04-08,546.486,553.412,545.232,551.637,534476150,3373162500.0
2020-04-09,552.699,554.172,550.256,552.378,583334470,3391113000.0
2020-04-10,553.176,555.802,548.47,549.883,738784750,3892396300.0
2020-04-13,546.741,547.328,541.677,544.546,500735980,2922848600.0
2020-04-14,545.767,553.225,544.072,553.225,539793820,3406633700.0
2020-04-15,551.497,551.684,543.074,543.682,478842080,2969841700.0
2020-04-16,540.072,543.606,538.527,543.532,396623020,2601082000.0
2020-04-17,544.898,549.12,544.0,545.013,563706730,3988185000.0
2020-04-20,546.02,546.355,541.507,545.784,646452780,4156439300.0
2020-04-21,543.512,543.576,537.723,542.52,585735850,3839781000.0
2020-04-22,540.35,546.869,537.532,546.645,456537110,2907292000.0
2020-04-23,548.096,548.995,544.028,545.459,499512220,2963103600.0
2020-04-24,542.663,544.352,534.413,537.039,450181080,2628243700.0
2020-04-27,539.548,542.664,537.833,538.368,537664170,3391087600.0
2020-04-28,541.615,541.756,518.442,529.015,624826650,3729470500.0
2020-04-29,524.62,531.042,524.119,531.042,494555990,2951414900.0
2020-04-30,530.54,535.198,530.038,534.847,503610530,3226538200.0
2020-05-06,530.995,539.019,530.995,538.924,533482270,3603052600.0
2020-05-07,538.743,538.743,533.723,535.377,466171780,2945283300.0
2020-05-08,536.508,539.462,535.361,538.628,421509920,2670517100.0
2020-05-11,539.6,540.235,535.846,537.689,431132990,2892374700.0
2020-05-12,537.833,538.387,531.926,536.266,440909850,2925044100.0
2020-05-13,535.745,537.261,532.777,537.22,426511210,2740514400.0
2020-05-14,535.667,535.708,531.438,531.984,487027270,2935268300.0
2020-05-15,534.17,538.309,534.17,535.893,569378890,3200561400.0
2020-05-18,535.527,537.089,531.918,533.766,471182850,2769169800.0
2020-05-19,537.574,538.695,534.466,535.211,412456320,2479836800.0
2020-05-20,535.026,535.026,528.412,530.543,503273400,2928611200.0
2020-05-21,531.338,531.781,526.471,527.455,482497850,2942943000.0
2020-05-22,525.594,525.892,518.254,521.622,474817310,2972729000.0
2020-05-25,521.517,525.219,519.623,522.766,393448350,2592467900.0
2020-05-26,524.023,529.297,523.863,529.254,396922070,2588265700.0
2020-05-27,529.183,533.767,528.607,531.803,484212020,2987040100.0
2020-05-28,532.086,534.3,526.779,529.595,512782320,3467821000.0
2020-05-29,528.358,530.809,526.66,529.247,494985670,3304534600.0
2020-06-01,528.535,540.241,528.406,540.132,719620800,4700656900.0
2020-06-02,540.723,544.733,539.526,543.274,857740520,6018083000.0
2020-06-03,545.207,548.09,543.566,543.942,780890970,5025401900.0
2020-06-04,545.62,548.931,545.556,547.769,608249430,3733561500.0
2020-06-05,550.742,551.954,543.662,545.342,565122320,3368829000.0
2020-06-08,544.614,546.55,542.803,545.083,530189850,3230763900.0
2020-06-09,545.071,545.742,541.607,543.805,499638160,3340125900.0
2020-06-10,543.246,543.246,539.474,541.606,468168030,3025219000.0
2020-06-11,541.551,543.741,537.018,538.331,610289480,4147503100.0
2020-06-12,530.881,537.954,528.171,537.136,508415040,3498318500.0
2020-06-15,536.381,540.453,534.475,535.672,568185370,3726723000.0
2020-06-16,538.836,541.114,537.104,540.934,539002790,3615814100.0
2020-06-17,540.615,540.615,537.147,540.243,455874380,2923302400.0
2020-06-18,539.762,542.723,539.192,541.28,492565360,3322927600.0
2020-06-19,541.629,544.83,540.986,543.803,547964030,3802675400.0
2020-06-22,545.434,546.0,543.018,543.589,585956170,3705712400.0
2020-06-23,545.815,546.012,541.538,542.741,520303930,3274822400.0
2020-06-24,545.638,546.545,543.885,544.188,460976740,2970984100.0
2020-06-29,544.527,544.622,539.455,540.504,451627760,2947828500.0
