日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1646.731,1664.868,1646.731,1661.757,392236190,2389256700.0
2020-01-03,1659.445,1667.241,1653.732,1664.955,284704410,1839068000.0
2020-01-06,1654.342,1685.55,1652.058,1668.381,316353470,2111898100.0
2020-01-07,1676.218,1710.772,1675.548,1708.033,458380120,2698800000.0
2020-01-08,1706.533,1706.533,1670.53,1673.849,383477260,2339953400.0
2020-01-09,1690.691,1692.552,1676.654,1684.208,276675480,1710723500.0
2020-01-10,1688.347,1688.408,1664.27,1669.139,256720220,1506462200.0
2020-01-13,1667.866,1681.148,1652.109,1680.963,222857990,1422278600.0
2020-01-14,1684.616,1700.13,1684.616,1686.921,287108270,1991242100.0
2020-01-15,1688.073,1688.073,1666.557,1673.871,200793680,1337972340.0
2020-01-16,1674.815,1676.468,1658.806,1661.929,160043780,1011733360.0
2020-01-17,1667.094,1671.569,1649.996,1651.142,184496210,1298553690.0
2020-01-20,1652.529,1657.281,1638.27,1656.296,193521750,1219682790.0
2020-01-21,1658.18,1659.169,1628.062,1631.117,212456700,1230613460.0
2020-01-22,1622.809,1646.289,1599.903,1641.558,230174890,1495165400.0
2020-01-23,1630.739,1644.534,1581.518,1594.179,267735210,1641454600.0
2020-02-03,1443.236,1443.459,1440.638,1440.638,159160160,780362350.0
2020-02-04,1352.939,1453.606,1352.939,1446.844,365737990,1816919800.0
2020-02-05,1454.37,1497.032,1452.493,1474.17,287187030,1615013800.0
2020-02-06,1474.664,1487.104,1464.081,1483.108,279239360,1488711000.0
2020-02-07,1478.88,1493.047,1466.451,1492.791,226503070,1304754820.0
2020-02-10,1485.461,1531.577,1480.412,1531.577,304648180,1674886700.0
2020-02-11,1529.832,1587.879,1528.988,1552.686,395319040,2004363300.0
2020-02-12,1535.392,1554.961,1530.596,1554.961,267735620,1502058400.0
2020-02-13,1552.774,1558.38,1534.487,1536.607,224455120,1298626460.0
2020-02-14,1531.372,1550.411,1528.903,1546.207,284521790,1522703700.0
2020-02-17,1548.588,1590.49,1548.588,1590.49,309080470,1818021700.0
2020-02-18,1600.926,1616.38,1594.454,1614.874,334816490,2336308800.0
2020-02-19,1611.408,1618.393,1595.795,1595.795,296992540,2167700000.0
2020-02-20,1598.36,1613.401,1583.947,1612.407,321630780,1987546400.0
2020-02-21,1610.511,1626.57,1607.215,1625.395,362536210,2130599800.0
2020-02-24,1613.8,1631.706,1605.538,1627.318,400948540,2405324600.0
2020-02-25,1596.62,1632.284,1581.664,1626.782,449089510,2734060100.0
2020-02-26,1611.792,1655.667,1607.428,1618.9,583919380,3077565000.0
2020-02-27,1623.671,1645.529,1613.937,1633.539,367231000,2132714100.0
2020-02-28,1589.749,1606.119,1555.38,1558.461,469248660,2714331300.0
2020-03-02,1569.258,1645.083,1569.258,1642.996,523289430,2831005700.0
2020-03-03,1674.294,1678.955,1633.886,1646.839,588470670,3536851900.0
2020-03-04,1637.401,1662.722,1632.507,1662.722,521566740,2786622100.0
2020-03-05,1679.96,1698.127,1671.944,1686.934,600352850,3253942000.0
2020-03-06,1669.977,1686.532,1664.977,1676.04,412606920,2412253200.0
2020-03-09,1648.377,1648.377,1603.858,1603.858,424844790,2500749600.0
2020-03-10,1579.956,1640.736,1571.813,1639.281,430377080,2338259400.0
2020-03-11,1640.785,1662.999,1632.09,1632.338,400102620,2277767400.0
2020-03-12,1611.132,1627.285,1600.912,1620.044,377372170,2207284100.0
2020-03-13,1553.288,1607.703,1543.637,1595.444,423796860,2351812600.0
2020-03-16,1610.452,1617.845,1542.615,1546.809,353168320,1995423200.0
2020-03-17,1547.775,1567.985,1502.455,1537.852,300549420,1616220400.0
2020-03-18,1552.117,1567.766,1504.658,1505.216,316500010,1805429200.0
2020-03-19,1502.056,1520.805,1483.93,1513.27,323715800,1803103700.0
2020-03-20,1527.618,1532.232,1497.9,1525.296,270461600,1591573800.0
2020-03-23,1492.297,1501.272,1472.868,1474.738,245240570,1303448260.0
2020-03-24,1498.337,1510.775,1471.045,1501.42,235324870,1232266050.0
2020-03-25,1532.009,1532.009,1514.663,1526.841,211930810,1100337520.0
2020-03-26,1522.006,1524.295,1506.277,1509.251,175198090,889884330.0
2020-03-27,1525.136,1542.265,1515.502,1518.128,244606790,1346584700.0
2020-03-30,1505.497,1509.217,1473.2,1492.289,217641060,1105146210.0
2020-03-31,1502.697,1510.626,1479.673,1481.488,212306930,1001323670.0
2020-04-01,1478.139,1499.178,1473.709,1478.359,170102760,871429810.0
2020-04-02,1472.803,1513.74,1472.803,1513.74,199702890,1097720210.0
2020-04-03,1512.585,1518.615,1496.925,1500.986,173770870,1067147830.0
2020-04-07,1522.005,1539.075,1521.932,1535.427,249350660,1455111200.0
