日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1508.571,1528.757,1506.488,1527.859,556454450,4717894500.0
2020-01-03,1536.403,1536.403,1522.005,1531.741,483155610,4038525600.0
2020-01-06,1519.134,1549.558,1515.105,1538.539,566450780,4990121500.0
2020-01-07,1539.522,1556.148,1539.522,1556.148,546736780,4958195400.0
2020-01-08,1555.731,1564.229,1537.266,1544.225,574064100,5073204100.0
2020-01-09,1556.814,1564.392,1551.967,1564.286,642199360,5974913800.0
2020-01-10,1566.954,1567.287,1542.511,1549.852,482255020,4480549600.0
2020-01-13,1551.757,1567.154,1540.566,1567.154,505276000,4592156100.0
2020-01-14,1570.777,1577.391,1565.179,1566.074,556970220,5267172000.0
2020-01-15,1566.423,1566.423,1544.943,1552.471,423612730,3884183600.0
2020-01-16,1555.665,1556.601,1533.408,1535.891,416387530,4102011600.0
2020-01-17,1542.143,1544.88,1522.824,1524.62,489936580,5155441700.0
2020-01-20,1526.573,1548.858,1523.751,1548.809,432007330,4436606300.0
2020-01-21,1544.457,1546.223,1531.422,1531.65,391941310,3572169000.0
2020-01-22,1527.387,1543.431,1503.467,1537.915,407493130,3853288600.0
2020-01-23,1531.529,1540.394,1473.031,1486.55,492134640,4435607400.0
2020-02-03,1339.465,1341.65,1338.033,1338.26,255841540,2036771700.0
2020-02-04,1237.21,1308.386,1237.21,1301.01,774654940,5407331400.0
2020-02-05,1304.919,1344.73,1304.041,1321.415,581690360,4522130000.0
2020-02-06,1322.349,1350.995,1310.54,1350.914,633602660,4893553300.0
2020-02-07,1348.358,1364.732,1338.361,1364.489,544696290,4345136700.0
2020-02-10,1363.763,1397.131,1358.879,1396.418,576544940,4724378700.0
2020-02-11,1401.623,1403.364,1388.06,1395.021,502978960,3829925100.0
2020-02-12,1397.953,1416.844,1395.879,1415.918,598300300,4259517100.0
2020-02-13,1413.688,1421.364,1394.095,1395.698,521256180,4012865000.0
2020-02-14,1392.316,1407.602,1382.268,1391.469,467469170,3681713600.0
2020-02-17,1396.066,1439.91,1396.066,1439.91,604036330,4966490400.0
2020-02-18,1442.381,1469.531,1437.265,1469.531,635429320,5158731000.0
2020-02-19,1467.548,1483.815,1465.859,1471.0,663020400,5649094300.0
2020-02-20,1479.778,1501.557,1465.555,1501.006,715310440,6345967100.0
2020-02-21,1506.52,1530.118,1502.948,1519.023,818171660,7560489000.0
2020-02-24,1519.464,1546.808,1507.735,1542.103,849979020,7670272000.0
2020-02-25,1507.858,1530.307,1468.315,1526.199,1138986490,11610423900.0
2020-02-26,1505.346,1548.306,1501.745,1516.814,1094202180,10996909900.0
2020-02-27,1524.991,1581.415,1521.892,1572.028,1131647970,10347757600.0
2020-02-28,1511.891,1537.081,1477.304,1480.531,1170234610,9677779900.0
2020-03-02,1494.627,1575.685,1494.627,1569.696,1085094210,9547343900.0
2020-03-03,1610.553,1618.127,1563.053,1575.938,1204322720,10957186800.0
2020-03-04,1558.544,1598.496,1557.797,1598.1,949075330,7516674200.0
2020-03-05,1647.366,1703.291,1645.798,1699.387,1552829800,14172600000.0
2020-03-06,1719.12,1764.603,1716.293,1734.942,2084211500,16877645000.0
2020-03-09,1705.511,1807.275,1700.412,1755.053,2251950100,18394798000.0
2020-03-10,1720.716,1824.188,1672.992,1824.188,2664900800,22427036000.0
2020-03-11,1839.921,1873.982,1801.465,1801.465,2602783700,25647573000.0
2020-03-12,1753.552,1807.21,1750.665,1770.918,1994255400,19771357000.0
2020-03-13,1677.156,1878.431,1677.156,1865.639,2878001700,26953858000.0
2020-03-16,1900.066,1900.066,1768.57,1768.57,2874684700,25418500000.0
2020-03-17,1773.465,1883.609,1733.624,1859.707,2849317800,24929883000.0
2020-03-18,1874.511,1914.484,1824.955,1824.955,3095932400,27332580000.0
2020-03-19,1798.554,1887.77,1781.842,1861.683,2536168300,22645702000.0
2020-03-20,1876.605,1905.605,1860.221,1870.409,2363121600,21829638000.0
2020-03-23,1800.449,1887.115,1797.399,1808.85,2083792200,18622961000.0
2020-03-24,1842.912,1848.814,1718.273,1785.137,2162748400,19366413000.0
2020-03-25,1811.003,1813.312,1778.343,1803.675,1756685500,15520893000.0
2020-03-26,1775.499,1775.499,1731.775,1734.75,1509447900,12826091200.0
