日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,985.055,1003.243,983.159,1001.948,5160487600,60130253000.0
2020-01-03,1006.041,1011.809,1000.808,1010.293,5075814500,57864452000.0
2020-01-06,1001.066,1027.332,998.789,1018.598,5800850400,71661737000.0
2020-01-07,1020.237,1039.236,1020.237,1039.236,5572315700,62415522000.0
2020-01-08,1033.42,1043.343,1022.451,1025.042,5613271500,65173782000.0
2020-01-09,1036.421,1047.193,1036.421,1047.159,5198685400,66315626000.0
2020-01-10,1052.755,1054.18,1037.705,1042.147,4677895000,55532527000.0
2020-01-13,1039.899,1055.829,1034.515,1055.829,4989285500,63719848000.0
2020-01-14,1059.086,1061.671,1053.168,1053.202,4803756100,62857245000.0
2020-01-15,1051.614,1056.251,1045.413,1054.607,4618933800,58534552000.0
2020-01-16,1055.617,1058.059,1046.861,1048.808,4585629000,58534927000.0
2020-01-17,1051.32,1057.907,1044.326,1045.189,4851567400,60664948000.0
2020-01-20,1045.7,1057.074,1040.738,1057.074,4768144400,66038147000.0
2020-01-21,1052.766,1053.18,1041.347,1041.439,4567689000,59103716000.0
2020-01-22,1033.937,1047.643,1018.336,1042.669,4476719300,63682814000.0
2020-01-23,1028.199,1038.237,996.555,1005.57,5064893100,72556238000.0
2020-02-03,915.148,920.058,914.094,917.08,2181335400,51356019000.0
2020-02-04,861.235,916.481,861.235,911.933,6600013700,79617146000.0
2020-02-05,917.201,951.602,917.201,940.633,5857061900,82252417000.0
2020-02-06,943.746,975.59,938.207,971.674,6081417100,87006109000.0
2020-02-07,974.125,989.6,966.614,989.6,6152960700,84791852000.0
2020-02-10,990.114,1003.011,985.913,1002.856,5913930700,79528559000.0
2020-02-11,1003.754,1003.754,986.759,991.79,5685572600,72890913000.0
2020-02-12,988.103,1010.952,986.339,1010.783,5359017600,73749660000.0
2020-02-13,1011.815,1014.882,993.669,997.249,5647753900,73320133000.0
2020-02-14,994.622,1008.363,988.091,997.099,5018598000,69609214000.0
2020-02-17,1004.368,1033.436,1004.356,1033.436,5886846400,78921003000.0
2020-02-18,1035.507,1055.87,1033.44,1055.87,6770940700,84647483000.0
2020-02-19,1052.529,1056.644,1041.283,1041.283,6324794000,84332735000.0
2020-02-20,1042.991,1064.707,1038.23,1064.372,6569526100,91174169000.0
2020-02-21,1067.286,1095.249,1067.142,1087.052,7825643200,109355249000.0
2020-02-24,1087.026,1108.456,1083.772,1105.587,8029319500,112852142000.0
2020-02-25,1079.25,1105.54,1052.097,1104.323,8916703400,122737064000.0
2020-02-26,1088.155,1102.6,1075.39,1078.678,8421257000,110813234000.0
2020-02-27,1082.87,1092.875,1062.73,1081.521,6625864100,90723401000.0
2020-02-28,1043.865,1057.682,1013.738,1014.215,7353611500,99377075000.0
2020-03-02,1023.352,1060.551,1022.962,1055.989,6262273900,83092072000.0
2020-03-03,1074.295,1092.656,1059.633,1068.665,7231821300,100572336000.0
2020-03-04,1061.511,1081.622,1059.98,1080.886,6457748800,83296852000.0
2020-03-05,1098.459,1101.041,1088.054,1098.619,7089864100,92147154000.0
2020-03-06,1085.637,1104.97,1083.944,1096.302,6384290500,73777076000.0
2020-03-09,1081.181,1087.679,1052.887,1052.887,6783565400,85837682000.0
2020-03-10,1037.378,1080.256,1028.499,1080.256,7088892600,86851162000.0
2020-03-11,1082.554,1091.273,1064.345,1064.493,6086074200,75792458000.0
2020-03-12,1048.724,1056.731,1034.696,1045.619,5290912100,69449204000.0
2020-03-13,991.794,1039.994,991.618,1031.062,6792250700,83392594000.0
2020-03-16,1040.109,1041.131,977.57,980.906,6361984400,83584813000.0
2020-03-17,987.282,995.717,943.73,979.197,5300669600,66635932000.0
2020-03-18,988.098,1001.225,960.884,960.884,5462026000,69414337000.0
2020-03-19,960.123,976.69,943.782,971.903,5294004700,66986922000.0
2020-03-20,982.187,984.936,965.628,982.531,4451041000,56331409000.0
2020-03-23,955.565,965.695,934.871,937.905,4609365000,56178577000.0
2020-03-24,955.084,959.931,930.347,959.682,5065635400,57012382000.0
2020-03-25,978.601,985.319,972.888,984.443,5375857000,63913587000.0
2020-03-26,979.301,986.198,971.354,972.318,4316218500,49397814000.0
2020-03-27,983.452,984.668,965.535,966.093,4114592400,48989237000.0
2020-03-30,951.372,951.372,928.483,938.656,4189737700,49286871000.0
2020-03-31,948.782,949.527,934.405,935.116,3500852800,38992242000.0
2020-04-01,934.241,948.387,929.288,931.724,3733047700,43139351000.0
2020-04-02,925.685,955.504,925.28,955.504,3845811400,45419565000.0
2020-04-03,953.652,955.552,940.929,946.225,3562337900,41627916000.0
2020-04-07,962.78,979.819,961.844,979.219,4565713400,53781085000.0
2020-04-08,976.703,988.827,974.767,984.349,4532262900,49132666000.0
2020-04-09,989.868,1001.516,988.948,999.243,4441274300,51038391000.0
2020-04-10,998.314,998.314,966.844,971.22,4728302400,54739692000.0
2020-04-13,962.668,964.339,953.043,957.02,3226077700,35343945000.0
2020-04-14,962.655,977.164,961.49,977.164,3395169300,43731108000.0
2020-04-15,976.93,980.292,966.994,967.715,3692617700,44541874000.0
2020-04-16,961.335,982.586,960.414,981.075,4093919200,43888077000.0
2020-04-17,987.773,991.386,977.29,978.29,4790561700,58531686000.0
2020-04-20,978.708,990.737,976.431,990.737,4168664600,48143015000.0
2020-04-21,987.753,993.284,979.414,992.684,4619525000,49177141000.0
2020-04-22,984.007,999.539,982.786,999.196,4228731900,43770017000.0
2020-04-23,1000.347,1000.664,986.017,986.146,4407576600,43780808000.0
2020-04-24,983.973,984.36,959.936,963.529,3844840200,42110513000.0
2020-04-27,964.383,966.702,955.901,957.418,3422475200,38956967000.0
2020-04-28,958.963,960.084,911.34,938.611,4419036500,49244067000.0
2020-04-29,931.421,943.092,930.918,934.558,3004276000,33799538000.0
2020-04-30,940.074,962.961,940.074,960.092,3609812700,47243363000.0
2020-05-06,949.578,976.656,948.456,976.656,3919040600,51000014000.0
2020-05-07,975.664,977.352,967.39,968.628,3385955700,41867267000.0
2020-05-08,974.792,986.247,974.739,982.25,3496752500,44654609000.0
2020-05-11,987.176,989.045,975.306,981.576,3453120000,46489051000.0
2020-05-12,979.905,980.095,964.389,978.428,3315508900,39997084000.0
2020-05-13,973.462,981.663,970.806,980.228,2827499700,33840314000.0
2020-05-14,976.356,982.092,973.472,973.636,3488248400,37857257000.0
2020-05-15,979.596,983.836,974.735,976.935,3401507100,43623211000.0
2020-05-18,977.566,977.705,958.794,960.595,3693409600,46326320000.0
2020-05-19,968.438,972.76,965.779,972.76,3145205900,41547107000.0
2020-05-20,971.34,973.125,963.047,966.181,3498159000,44908908000.0
2020-05-21,968.185,969.425,955.444,957.382,3456617500,44598218000.0
2020-05-22,956.373,956.501,936.253,941.728,3255583900,40863896000.0
2020-05-25,939.366,942.156,932.7,936.574,2607705600,32165816000.0
2020-05-26,940.387,961.113,940.346,961.113,2886002800,36380110000.0
2020-05-27,961.81,963.926,955.594,958.315,3147847400,38047047000.0
2020-05-28,958.696,962.201,941.888,956.748,3168081700,37145138000.0
2020-05-29,954.252,968.451,951.611,966.914,3543067700,37803966000.0
2020-06-01,975.296,1001.39,975.296,1001.39,4646436400,54259018000.0
