日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,2959.9,3002.546,2956.941,2993.464,735355980,13013061700.0
2020-01-03,3008.216,3019.277,2970.459,2991.308,603163490,10481514200.0
2020-01-06,2993.977,3051.206,2986.774,3030.722,613845620,9933961800.0
2020-01-07,3049.905,3139.079,3049.905,3128.412,861471510,15906801000.0
2020-01-08,3126.24,3128.371,3051.989,3055.946,930288720,14998142000.0
2020-01-09,3078.478,3090.82,3054.092,3067.014,1283878700,14679707000.0
2020-01-10,3069.732,3070.484,3009.245,3021.845,1039979460,13023414300.0
2020-01-13,3004.164,3023.674,2995.322,3023.674,836982930,11435622400.0
2020-01-14,3024.233,3036.729,3002.162,3020.208,949374620,11814117200.0
2020-01-15,3029.144,3032.769,2988.892,3000.495,697744920,10182519200.0
2020-01-16,2998.173,3000.226,2971.659,2971.866,626805000,8613085000.0
2020-01-17,2978.281,2986.92,2946.68,2947.893,549562750,8082366000.0
2020-01-20,2954.785,2969.878,2923.687,2969.878,678816490,9927835600.0
2020-01-21,2962.828,2962.828,2909.571,2909.571,596073850,8530824000.0
2020-01-22,2899.422,2899.422,2824.418,2876.515,621259160,9616379800.0
2020-01-23,2846.363,2846.363,2700.132,2730.059,799071570,10895067600.0
2020-02-03,2457.111,2475.685,2457.111,2471.788,207883090,5612286000.0
2020-02-04,2288.6,2426.434,2288.6,2424.207,989682990,12553346600.0
2020-02-05,2435.891,2545.733,2435.891,2504.729,885376980,11089945600.0
2020-02-06,2541.191,2635.528,2519.987,2628.948,1045442850,13598976000.0
2020-02-07,2615.231,2642.87,2585.542,2638.525,790915270,11305189000.0
2020-02-10,2627.805,2798.425,2625.287,2797.656,910054180,14758116000.0
2020-02-11,2805.395,2811.732,2738.891,2741.646,1072991290,13704380000.0
2020-02-12,2741.979,2794.454,2736.393,2773.605,966546600,12027619000.0
2020-02-13,2782.002,2793.716,2734.585,2765.332,1026354360,11815686500.0
2020-02-14,2760.18,2817.701,2756.172,2805.681,1019455700,14705685000.0
2020-02-17,2821.262,2884.217,2821.262,2883.816,1044136470,14316234000.0
2020-02-18,2874.877,2910.638,2850.6,2910.638,929345060,12121972800.0
2020-02-19,2920.575,3001.563,2920.575,2966.325,1194615610,18123952000.0
2020-02-20,2988.035,3025.216,2955.359,2997.701,992540870,16513733000.0
2020-02-21,2979.856,3019.989,2962.633,2996.733,882623010,14386531000.0
2020-02-24,2977.565,3038.083,2966.836,3021.179,949139700,14580107000.0
2020-02-25,2961.496,3025.436,2907.4,3023.64,1034938650,17459035000.0
2020-02-26,3004.306,3067.849,3001.676,3010.648,1178053990,19756930000.0
2020-02-27,3012.667,3061.896,2986.898,3023.134,978665070,18296319000.0
2020-02-28,2934.229,2977.201,2844.643,2850.567,987966380,16650974000.0
2020-03-02,2853.355,3007.025,2853.355,2999.994,933394850,17531330000.0
2020-03-03,3040.61,3068.781,3008.973,3039.984,1125589100,18606069000.0
2020-03-04,3025.486,3121.343,3023.205,3121.343,1317555660,20649882000.0
2020-03-05,3144.088,3379.022,3130.953,3337.386,1826867300,32430483000.0
2020-03-06,3306.92,3355.612,3272.907,3276.813,1782806900,30310285000.0
2020-03-09,3209.685,3322.738,3202.621,3210.571,1638088200,27944505000.0
2020-03-10,3155.459,3213.371,3059.973,3201.647,1392127700,23670485000.0
2020-03-11,3197.819,3302.825,3181.433,3197.826,1278424940,21797690000.0
2020-03-12,3140.299,3147.201,3051.192,3079.808,1110939970,18541102000.0
2020-03-13,2902.113,3077.998,2899.959,3035.546,1104140340,17910087000.0
2020-03-16,3071.994,3083.563,2903.172,2921.362,1020018140,17226882000.0
2020-03-17,2942.932,2974.556,2795.804,2892.956,787841420,13597309000.0
2020-03-18,2920.654,3054.116,2914.543,2923.617,1106974050,20268694000.0
2020-03-19,2916.383,2940.594,2835.456,2928.814,904760710,15712123000.0
2020-03-20,2954.819,2964.199,2901.087,2949.468,805170870,13625125000.0
2020-03-23,2863.186,2894.003,2812.791,2819.598,750243420,12293306300.0
2020-03-24,2880.288,2907.871,2828.26,2907.871,702261820,11842988800.0
2020-03-25,2964.372,2981.72,2927.633,2977.977,915367880,14461131000.0
2020-03-26,2945.053,3065.659,2941.013,3020.285,1107574050,15788512000.0
2020-03-27,3047.154,3054.577,2986.733,2989.229,856326170,13553821000.0
2020-03-30,2959.116,3045.816,2950.207,3031.02,872093840,12524039300.0
2020-03-31,3043.687,3231.199,3031.6,3231.199,1457741700,23660004000.0
2020-04-01,3218.043,3227.808,3149.88,3173.987,1334734880,21191024000.0
2020-04-02,3154.221,3168.54,3089.344,3138.167,1011486800,15931295000.0
2020-04-03,3125.884,3252.91,3120.058,3197.773,1148860480,18859847000.0
2020-04-07,3232.337,3358.585,3216.58,3347.899,1505408100,24930590000.0
2020-04-08,3315.41,3347.605,3263.398,3282.558,1106425810,18703369000.0
2020-04-09,3302.432,3373.049,3245.025,3337.786,1248729210,19163407000.0
2020-04-10,3315.363,3359.976,3267.06,3286.105,1014254340,15959610000.0
2020-04-13,3230.106,3256.778,3203.072,3229.396,774152570,12448408500.0
2020-04-14,3247.361,3292.428,3228.444,3285.846,964487730,14708922000.0
