日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-05-24,999.227,1007.811,953.564,953.564,641211430,15060711000.0
2022-05-25,942.025,957.107,934.89,952.857,374820020,9760895800.0
2022-05-26,953.995,954.01,928.936,934.483,448067020,10821116900.0
2022-05-27,937.159,943.113,922.334,932.385,489642900,11580991300.0
2022-05-30,931.535,931.944,909.969,918.908,436864840,11390972900.0
2022-05-31,919.675,922.078,897.706,921.122,437529930,11558912000.0
2022-06-01,918.647,931.471,912.187,917.021,395248960,10160624000.0
2022-06-02,918.814,918.814,905.075,916.416,363437570,9072939100.0
2022-06-06,915.995,935.883,915.314,933.333,401583000,10256526000.0
2022-06-07,932.651,951.878,928.535,951.865,691570740,15538314000.0
2022-06-08,950.133,950.133,926.711,935.687,574542320,14353347000.0
2022-06-09,934.14,938.23,911.75,913.822,415976200,9949660600.0
2022-06-10,911.698,930.899,911.043,930.095,425772740,11719607900.0
2022-06-13,923.08,933.525,921.331,931.929,393780320,9838800300.0
2022-06-14,923.181,926.105,898.257,922.178,375280340,9241744600.0
2022-06-15,923.911,937.535,923.907,925.46,394136940,10987368400.0
2022-06-16,925.068,944.523,925.068,936.266,381356640,10718449700.0
2022-06-17,930.621,945.904,921.623,945.388,387013500,12672224700.0
2022-06-20,947.404,965.953,947.213,964.547,493869820,15166853000.0
2022-06-21,967.222,972.548,945.96,953.625,498723960,12241198400.0
2022-06-22,957.059,969.447,953.702,954.66,564326580,13599907000.0
2022-06-23,954.571,956.347,938.312,955.1,440465200,10900808900.0
2022-06-24,956.795,973.932,956.795,965.29,447975110,11855104600.0
2022-06-27,966.744,977.443,962.955,966.479,512396950,12335200000.0
2022-06-28,964.538,964.538,946.762,962.504,486179530,12773764500.0
2022-06-29,960.365,972.098,950.561,950.561,485377260,13679150000.0
2022-06-30,950.809,971.291,950.782,960.653,443945760,11730908700.0
2022-07-01,962.541,966.906,953.842,957.035,365070570,9754967800.0
2022-07-04,965.886,1000.099,965.886,1000.099,752540080,17911441000.0
2022-07-05,998.271,998.614,973.039,983.143,590179500,13609825000.0
2022-07-06,984.64,992.758,971.466,979.417,500485330,13309543000.0
2022-07-07,981.417,981.84,961.249,968.182,419664460,10608745000.0
2022-07-08,969.113,980.372,968.016,975.02,430954650,10408640500.0
2022-07-11,977.69,994.417,977.69,987.918,681782650,15384500000.0
2022-07-12,987.445,987.445,958.748,958.749,714330370,15755293000.0
2022-07-13,957.901,961.391,948.008,954.018,493400270,11034407900.0
2022-07-14,955.824,974.988,954.211,966.657,462051600,11519548100.0
2022-07-15,959.516,962.621,941.1,941.1,551616310,12607314200.0
2022-07-18,941.491,954.174,933.418,954.174,427860880,10220789300.0
2022-07-19,955.425,962.628,947.777,956.808,376520370,8858703300.0
2022-07-20,958.878,973.343,958.702,971.76,439776180,10091025600.0
2022-07-21,970.874,976.131,965.042,965.042,413518200,9137551200.0
2022-07-22,966.151,971.631,942.301,947.953,390430790,8970008600.0
2022-07-25,971.36,997.625,971.36,992.842,950264940,16636333000.0
2022-07-26,995.781,995.781,974.549,978.821,1019460600,15055948000.0
2022-07-27,977.355,1010.902,971.531,996.546,1009180860,15330368000.0
2022-07-28,992.258,995.82,986.408,986.647,823642320,13197958800.0
2022-07-29,989.241,989.832,967.176,969.419,734696250,12542141800.0
2022-08-01,970.068,971.788,958.784,964.011,601100370,9857680300.0
2022-08-02,956.077,956.077,902.321,910.25,770642310,14202105000.0
2022-08-03,908.508,928.321,906.461,908.992,599189870,10496104800.0
2022-08-04,914.239,923.243,909.459,921.467,439209440,8643748700.0
2022-08-05,929.44,946.871,927.484,946.695,605421820,11801220600.0
2022-08-08,954.335,969.71,954.106,961.254,660349150,14413954000.0
2022-08-09,957.096,957.167,945.687,951.17,499571050,9814670500.0
2022-08-10,951.666,953.198,940.014,943.915,404807560,8602101400.0
2022-08-11,949.555,960.359,947.744,958.689,420709130,9286133600.0
2022-08-12,960.467,967.443,955.581,965.807,517490110,10195688800.0
2022-08-15,963.252,963.252,951.722,953.516,405548340,8092442000.0
2022-08-16,954.665,957.392,949.429,951.847,364602300,7297400500.0
