日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1401.842,1447.164,1375.875,1432.047,585946840,5524210800.0
2020-01-03,1472.953,1567.23,1472.953,1564.308,595442510,5151370100.0
2020-01-06,1629.949,1691.648,1628.819,1684.931,836786710,6488143300.0
2020-01-07,1667.765,1740.327,1642.197,1694.671,962429420,10184336100.0
2020-01-08,1696.471,1727.22,1636.016,1636.016,964161010,9820772300.0
2020-01-09,1647.366,1668.059,1621.956,1646.894,1343744400,12420042400.0
2020-01-10,1643.855,1654.325,1594.998,1601.848,951786960,8389540500.0
2020-01-13,1601.559,1623.27,1586.622,1620.991,692642450,6545442500.0
2020-01-14,1624.93,1696.22,1613.234,1656.527,1125957760,11068402000.0
2020-01-15,1617.695,1621.371,1572.915,1573.913,678063560,6393341900.0
2020-01-16,1572.155,1612.683,1569.623,1589.621,629292750,6572002800.0
2020-01-17,1576.857,1596.861,1567.928,1584.43,519830110,4987849900.0
2020-01-20,1575.546,1576.279,1530.359,1555.675,488131350,4619676600.0
2020-01-21,1534.712,1542.324,1501.936,1505.08,417508390,3747353100.0
2020-01-22,1497.436,1513.873,1487.28,1495.012,429363810,4077369400.0
2020-01-23,1457.974,1488.149,1412.683,1427.034,517237730,4129927300.0
2020-02-03,1285.42,1289.538,1284.45,1284.692,123583449,993498480.0
2020-02-04,1196.658,1290.101,1196.658,1288.021,580361950,3975131000.0
2020-02-05,1281.488,1377.905,1279.867,1341.572,649281530,4970875000.0
2020-02-06,1374.554,1412.636,1362.174,1411.07,720460600,5577405900.0
2020-02-07,1410.178,1410.813,1353.095,1385.519,597186550,4480327700.0
2020-02-10,1370.328,1523.741,1370.328,1523.741,630156670,5439878100.0
2020-02-11,1603.938,1603.938,1471.482,1472.486,1148313860,9395009900.0
2020-02-12,1428.814,1573.672,1427.003,1534.937,1121342160,9279443100.0
2020-02-13,1520.552,1615.098,1500.874,1562.732,1252450880,10499059200.0
2020-02-14,1546.387,1603.608,1524.701,1575.236,995786010,8481702800.0
2020-02-17,1615.86,1711.966,1612.671,1681.328,1200381710,10984549000.0
2020-02-18,1636.498,1663.116,1624.242,1663.116,939195990,8676831300.0
2020-02-19,1650.768,1650.768,1590.332,1593.825,759651410,6834227300.0
2020-02-20,1587.165,1610.717,1561.624,1605.256,581704370,5260896900.0
2020-02-21,1591.784,1625.502,1579.675,1603.037,551120280,5036119700.0
2020-02-24,1602.976,1692.338,1594.196,1665.478,882898810,8226646800.0
2020-02-25,1617.256,1634.575,1561.872,1623.361,706716240,6422717200.0
2020-02-26,1665.011,1698.146,1612.074,1618.051,886896130,7965669800.0
2020-02-27,1608.098,1635.691,1579.604,1603.315,593871170,5108052300.0
2020-02-28,1548.523,1568.198,1492.745,1502.501,607460300,4995871200.0
2020-03-02,1508.64,1564.653,1507.321,1556.103,474869960,4007396900.0
2020-03-03,1572.874,1628.922,1560.675,1619.491,697572040,6272125600.0
2020-03-04,1598.223,1632.801,1590.513,1627.7,700753460,6211914100.0
2020-03-05,1624.925,1714.478,1616.733,1687.241,862545260,8259452600.0
2020-03-06,1672.901,1726.875,1668.541,1669.54,919393150,8749787200.0
2020-03-09,1638.971,1660.827,1595.212,1595.793,785598460,7163630900.0
2020-03-10,1562.929,1601.655,1511.129,1599.747,648801710,5468994000.0
2020-03-11,1594.698,1670.034,1586.392,1621.42,708360110,6047405700.0
2020-03-12,1580.438,1580.438,1532.953,1546.748,539518030,4267117400.0
2020-03-13,1459.61,1600.906,1456.02,1588.595,710316300,5371953000.0
2020-03-16,1616.441,1636.998,1526.162,1530.982,806424090,5749940000.0
2020-03-17,1517.28,1544.556,1447.161,1486.49,538522230,3750996900.0
2020-03-18,1501.139,1523.053,1450.625,1450.984,547998380,4081308900.0
2020-03-19,1441.516,1460.625,1416.119,1456.573,485063150,3664655800.0
2020-03-20,1468.558,1506.78,1449.636,1502.986,511593220,4052693400.0
