日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-08-13,994.338,1019.105,988.447,999.003,251111510,3700507400.0
2020-08-14,981.623,984.327,970.904,982.912,172599370,2523991600.0
2020-08-17,980.209,1000.795,974.796,997.628,194623690,3552131900.0
2020-08-18,1002.56,1007.816,991.986,1000.573,192120220,3339195900.0
2020-08-19,997.675,1001.809,977.603,979.347,170421910,2667877200.0
2020-08-20,964.72,975.384,960.838,963.869,156754770,2853097000.0
2020-08-21,972.436,985.988,969.083,983.261,134865340,2134292900.0
2020-08-24,980.144,989.169,976.828,985.787,176217330,3177339000.0
2020-08-25,989.246,989.476,961.082,965.498,153011520,2623830000.0
2020-08-26,969.367,969.486,949.413,957.195,127535558,1988408400.0
2020-08-27,962.231,973.528,951.798,970.288,100313741,1991050300.0
2020-08-28,962.548,988.135,960.827,987.107,117001158,3162961500.0
2020-08-31,987.084,1006.12,987.084,991.992,160830220,2766554000.0
2020-09-01,997.201,1002.192,987.458,997.708,137597770,2277517700.0
2020-09-02,999.941,1011.848,985.084,1007.332,157122500,2394010500.0
2020-09-03,1004.72,1006.628,979.493,987.549,163453100,2943254400.0
2020-09-04,971.043,992.588,970.788,987.458,119635896,2479187800.0
2020-09-07,985.796,1000.419,970.257,974.259,137428030,3183584200.0
2020-09-08,976.156,986.711,968.9,984.555,107619630,2616128000.0
2020-09-09,970.716,975.666,953.897,956.793,137138670,2726182000.0
2020-09-10,967.014,968.949,945.618,951.957,156056610,2617704500.0
2020-09-11,950.064,963.124,945.484,963.124,105259804,1791720200.0
2020-09-14,964.737,1000.264,964.504,1000.264,146140640,2308184900.0
2020-09-15,1002.36,1003.056,984.553,996.068,166127460,2315892700.0
2020-09-16,988.561,996.662,983.116,991.629,161852330,2013618600.0
2020-09-17,999.592,1037.235,998.149,1006.997,179538620,2641295700.0
2020-09-18,1019.709,1036.358,1017.649,1032.314,210806180,3145407800.0
2020-09-21,1046.116,1046.97,1024.029,1027.84,189572990,2820185300.0
2020-09-22,1015.953,1017.508,984.919,988.313,225063160,3315756600.0
2020-09-23,996.384,1004.944,977.997,1002.43,185813480,2531771600.0
2020-09-24,998.646,1000.211,979.618,984.251,199309230,2398524700.0
2020-09-25,990.89,995.13,974.279,974.999,156509810,2155009100.0
2020-09-28,969.766,973.963,941.365,941.536,141029320,1854414900.0
2020-09-29,947.992,974.616,947.992,969.217,124308964,1800793500.0
2020-09-30,964.883,966.637,946.169,948.899,101016556,1715577100.0
2020-10-09,966.809,987.629,962.959,984.581,122232818,2015298600.0
2020-10-12,993.041,1021.348,989.861,1021.348,146967140,2773834500.0
2020-10-13,1017.207,1017.207,1004.936,1012.877,102663700,2299017900.0
2020-10-14,1013.221,1028.96,1009.794,1025.436,145759620,2367972700.0
2020-10-15,1018.999,1022.906,1009.147,1017.62,114178581,1988941400.0
2020-10-16,1019.749,1020.699,1002.268,1014.633,99333147,1817944600.0
2020-10-19,1023.41,1026.876,1001.769,1006.511,108296561,1972476000.0
2020-10-20,1003.321,1017.135,998.378,1016.925,73389201,1262608070.0
2020-10-21,1017.613,1017.971,1003.431,1004.804,116215572,1704898300.0
2020-10-22,1002.818,1016.084,990.781,1005.761,86590846,1521936300.0
2020-10-23,1008.242,1017.336,994.705,999.295,91096567,2275834400.0
2020-10-26,1001.633,1001.633,983.517,989.244,99749258,1958678100.0
2020-10-27,987.492,993.336,979.173,986.936,82706132,1578588200.0
2020-10-28,995.85,1008.457,984.649,1005.229,122942728,2973740900.0
2020-10-29,988.772,994.492,980.506,982.424,115473298,3027800500.0
2020-10-30,980.468,985.85,961.03,964.803,144289820,2365896200.0
2020-11-02,962.123,970.427,959.114,966.312,136579620,2282389600.0
2020-11-03,973.656,982.912,969.166,979.903,100567553,1790834000.0
2020-11-04,980.059,983.499,967.947,975.124,91719733,2093782500.0
2020-11-05,981.669,993.176,981.669,992.638,118904135,2202360800.0
2020-11-06,997.588,999.628,983.45,991.041,116651422,2637604700.0
2020-11-09,997.85,1018.396,997.85,1012.547,158728950,2965412500.0
2020-11-10,1016.104,1018.764,1004.432,1010.846,146607120,3001970500.0
2020-11-11,1008.327,1014.34,1002.011,1005.34,115719493,2151228600.0
2020-11-12,1008.326,1028.642,1006.015,1028.642,140135570,2156654100.0
2020-11-13,1019.743,1022.519,1010.078,1019.056,129034596,2746581400.0
2020-11-16,1027.986,1059.26,1025.222,1057.58,200104300,3461242200.0
2020-11-17,1055.968,1058.701,1043.977,1051.025,190074780,2936982300.0
2020-11-18,1051.085,1068.476,1049.266,1067.118,175444190,2944463500.0
2020-11-19,1067.076,1076.807,1062.433,1074.06,160793470,2489197700.0
2020-11-20,1072.108,1096.554,1068.228,1096.554,204300540,2583416400.0
2020-11-23,1103.759,1134.596,1099.32,1128.756,324376130,5183315300.0
2020-11-24,1128.477,1137.989,1120.424,1133.046,311471080,5684037800.0
2020-11-25,1137.022,1139.277,1099.425,1099.425,268435480,4389536700.0
2020-11-26,1099.743,1103.348,1070.307,1078.709,230186970,4912475200.0
2020-11-27,1081.021,1085.518,1049.824,1060.899,169854200,3857817400.0
2020-11-30,1056.224,1066.401,1035.424,1035.424,186681620,4010777500.0
2020-12-01,1036.802,1041.751,1028.782,1039.784,149990580,3122936800.0
2020-12-02,1037.914,1039.961,1027.976,1034.884,140353660,2320297300.0
2020-12-03,1033.823,1034.037,1013.528,1013.808,131802392,2238114400.0
2020-12-04,1012.995,1020.675,1010.678,1019.217,100962243,2033348800.0
2020-12-07,1017.794,1025.197,1013.123,1014.896,93647086,2004504900.0
2020-12-08,1012.893,1025.474,1012.139,1014.86,104787840,2600849300.0
2020-12-09,1013.566,1016.636,1002.508,1002.508,140492760,2366258300.0
2020-12-10,996.42,1004.974,990.627,994.909,101040071,1934552500.0
2020-12-11,991.806,998.367,961.539,970.497,132282485,2418989700.0
2020-12-14,969.545,977.108,961.887,975.219,92516668,2263519400.0
2020-12-15,975.053,981.815,967.585,978.416,82066766,2450175800.0
2020-12-16,978.027,982.054,973.437,978.385,78473170,2197847700.0
2020-12-17,976.163,986.19,960.665,984.703,95573526,2276073900.0
2020-12-18,987.574,1002.76,987.371,996.583,100495272,2574447800.0
2020-12-21,998.084,1016.643,997.453,1014.089,104251362,2702821300.0
2020-12-22,1014.603,1017.792,992.56,994.274,135422530,2912007500.0
2020-12-23,994.989,1002.618,990.758,999.056,97132543,2342592000.0
2020-12-24,999.963,1000.371,987.186,990.617,110723316,2522843900.0
2020-12-25,989.875,1006.947,987.521,1005.249,89942045,2674283800.0
2020-12-28,1003.869,1012.127,995.074,1007.474,155213750,3354814100.0
2020-12-29,1005.72,1011.889,999.798,1002.681,115776103,2617953300.0
2020-12-30,999.999,1007.182,996.416,1003.884,87605106,2118587700.0
2020-12-31,1002.338,1009.843,992.956,1008.987,111346132,3283890000.0
2021-01-04,1015.968,1034.51,1013.47,1032.213,143239800,3676510100.0
2021-01-05,1025.033,1050.542,1019.283,1046.897,144237330,3891130100.0
2021-01-06,1049.257,1051.512,1039.059,1042.764,139570250,3357646900.0
2021-01-07,1055.847,1077.054,1055.066,1063.622,205796650,7570241400.0
2021-01-08,1067.064,1070.761,1052.068,1056.754,193707680,4779634500.0
