日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1200.823,1216.119,1193.77,1213.904,773562960,7285534400.0
2020-01-03,1219.758,1246.733,1219.758,1246.733,839341390,6279757900.0
2020-01-06,1251.23,1281.502,1248.335,1269.763,1069351200,7443386800.0
2020-01-07,1261.472,1283.679,1257.23,1282.823,1119987070,11370811100.0
2020-01-08,1274.282,1279.677,1246.5,1246.5,899919910,8777406500.0
2020-01-09,1257.336,1265.097,1251.834,1260.471,670017140,6548078000.0
2020-01-10,1262.383,1262.954,1247.066,1252.974,568338830,5281239300.0
2020-01-13,1250.65,1256.293,1239.714,1256.293,564336760,5382531100.0
2020-01-14,1257.375,1275.53,1254.21,1268.853,791484830,7865723800.0
2020-01-15,1262.537,1263.232,1241.941,1247.882,650476860,5189623100.0
2020-01-16,1249.48,1249.48,1238.931,1239.512,613433720,5941225400.0
2020-01-17,1238.71,1240.643,1225.056,1225.745,483926840,4241869300.0
2020-01-20,1226.342,1228.839,1213.362,1228.25,580252460,5213657400.0
2020-01-21,1224.202,1224.202,1204.718,1205.708,510051600,4519351900.0
2020-01-22,1203.69,1207.032,1186.57,1203.544,483803610,4683950900.0
2020-01-23,1191.98,1196.774,1151.533,1161.133,589485570,5042448200.0
2020-02-03,1052.32,1054.204,1047.079,1052.763,294293650,2173467800.0
2020-02-04,971.482,1024.482,971.482,1024.482,959132780,6506879300.0
2020-02-05,1020.87,1061.229,1020.87,1047.376,829730120,6119441700.0
2020-02-06,1057.406,1094.741,1051.049,1093.984,918846460,6924756500.0
2020-02-07,1090.015,1094.822,1069.181,1089.258,741718100,5530917500.0
2020-02-10,1085.379,1146.074,1082.117,1146.074,922506180,7449644200.0
2020-02-11,1149.95,1149.95,1117.269,1119.531,859933420,7189882500.0
2020-02-12,1113.316,1142.195,1111.705,1137.859,725776340,6358465300.0
2020-02-13,1138.716,1161.902,1136.917,1143.58,943304070,7750481300.0
2020-02-14,1136.61,1153.531,1130.655,1147.443,808946110,6711191000.0
2020-02-17,1156.499,1193.428,1156.499,1192.608,1041826580,8714412100.0
2020-02-18,1185.667,1191.46,1176.729,1191.46,888312070,7525859400.0
2020-02-19,1187.486,1197.467,1183.448,1185.415,886216850,7464835700.0
2020-02-20,1187.892,1201.646,1178.94,1201.646,832804930,7198552300.0
2020-02-21,1192.957,1207.029,1191.524,1198.905,789588980,6116395800.0
2020-02-24,1195.08,1212.14,1180.97,1206.878,907291370,7821233100.0
2020-02-25,1179.744,1185.35,1147.353,1181.996,892642480,7202082800.0
2020-02-26,1181.661,1208.31,1181.661,1190.342,1096249810,8603465600.0
2020-02-27,1188.094,1195.475,1175.832,1183.837,763093060,5692223200.0
2020-02-28,1151.852,1157.822,1108.905,1113.709,828388660,5959821500.0
2020-03-02,1118.583,1162.395,1118.583,1159.941,648805860,5226577200.0
2020-03-03,1175.987,1191.006,1165.828,1179.765,759583440,6403756700.0
2020-03-04,1176.333,1200.819,1172.764,1200.819,747227780,5982109600.0
2020-03-05,1210.717,1252.045,1207.56,1245.73,1252220280,10889585700.0
2020-03-06,1236.497,1255.012,1232.732,1242.537,1111302500,8832830100.0
2020-03-09,1221.121,1236.468,1205.54,1206.873,1019637830,8056053400.0
2020-03-10,1184.007,1218.916,1164.478,1218.916,912936540,6846492100.0
2020-03-11,1219.318,1246.313,1215.134,1216.618,988232690,7765095300.0
2020-03-12,1195.238,1196.376,1167.332,1174.356,746740470,5499022100.0
2020-03-13,1119.873,1184.954,1116.015,1178.666,919263540,6948206900.0
2020-03-16,1195.296,1201.779,1144.647,1148.663,938975320,6902771400.0
2020-03-17,1153.376,1166.333,1103.937,1140.826,719085290,5373719900.0
2020-03-18,1151.075,1170.049,1124.479,1125.199,776698230,6365057800.0
2020-03-19,1116.749,1129.275,1095.402,1126.633,694528900,5458294900.0
2020-03-20,1131.732,1147.757,1124.666,1147.134,700681430,5891752000.0
2020-03-23,1117.788,1150.765,1113.552,1124.661,876415170,7380510400.0
2020-03-24,1141.148,1143.12,1112.664,1142.466,779982170,6613535200.0
2020-03-25,1156.256,1171.215,1149.148,1169.939,852059260,7367316100.0
2020-03-26,1158.882,1192.244,1154.423,1175.134,979501150,8723652600.0
2020-03-27,1183.457,1187.021,1165.237,1165.237,852333740,6885438700.0
2020-03-30,1159.716,1176.78,1156.262,1171.402,1078815880,8665937600.0
2020-03-31,1170.013,1214.014,1165.375,1213.766,1354906300,11489731300.0
2020-04-01,1202.185,1203.508,1175.851,1179.378,1037639490,9048303800.0
2020-04-02,1167.469,1181.824,1158.483,1181.824,904870140,6954896700.0
2020-04-03,1181.391,1206.467,1178.851,1193.476,1173997210,8023510700.0
2020-04-07,1205.262,1249.067,1200.829,1249.067,1558274400,11818783700.0
