日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1204.164,1220.315,1195.523,1213.558,702484620,11147718900.0
2020-01-03,1212.196,1221.403,1206.703,1216.941,503423010,10134628000.0
2020-01-06,1212.353,1228.859,1207.996,1222.147,549123600,11037514300.0
2020-01-07,1221.375,1238.76,1220.75,1238.088,421519180,8118451900.0
2020-01-08,1230.556,1237.257,1221.405,1224.546,384340030,6787668900.0
2020-01-09,1242.033,1248.478,1241.822,1247.912,380356850,7530703500.0
2020-01-10,1252.814,1255.459,1244.026,1249.498,311039100,7155947200.0
2020-01-13,1248.121,1262.035,1244.728,1262.035,296316630,6275028700.0
2020-01-14,1263.852,1264.814,1254.83,1263.377,391103120,7765973200.0
2020-01-15,1261.502,1269.771,1256.561,1262.162,302082840,5905977800.0
2020-01-16,1263.108,1267.931,1257.105,1262.615,299538750,5481740300.0
2020-01-17,1265.549,1272.444,1262.025,1267.651,339894320,6517818700.0
2020-01-20,1302.535,1313.264,1291.028,1309.454,575655970,10374911900.0
2020-01-21,1337.601,1352.871,1333.274,1350.411,709147530,12713973000.0
2020-01-22,1366.261,1366.261,1317.624,1320.665,900543180,12428917200.0
2020-01-23,1323.994,1339.917,1293.893,1312.635,860016450,12635338400.0
2020-02-03,1278.543,1320.621,1270.979,1288.284,775294860,15644091000.0
2020-02-04,1303.471,1353.059,1291.111,1351.815,1082173310,17025099000.0
2020-02-05,1363.959,1411.814,1351.83,1409.131,1277067460,20680189000.0
2020-02-06,1404.698,1481.973,1399.501,1463.682,1300484500,23896098000.0
2020-02-07,1464.018,1483.808,1406.63,1413.792,1410378000,21453414000.0
2020-02-10,1422.995,1422.995,1378.495,1394.573,951612060,15940456000.0
2020-02-11,1385.584,1385.584,1358.197,1378.574,670506800,11669580100.0
2020-02-12,1374.737,1395.732,1366.335,1383.45,791104070,11302525500.0
2020-02-13,1383.212,1383.212,1343.434,1364.065,779423160,12064373300.0
2020-02-14,1375.041,1387.004,1357.245,1369.783,737413620,13374401100.0
2020-02-17,1378.503,1403.21,1378.429,1403.21,662588510,12285943800.0
2020-02-18,1415.156,1415.939,1389.529,1400.965,861131590,13853513000.0
2020-02-19,1398.844,1398.933,1374.004,1374.442,785169530,12864401300.0
2020-02-20,1367.231,1377.361,1354.392,1374.755,658961960,11169202400.0
2020-02-21,1373.748,1389.684,1365.351,1386.176,701859250,11071675100.0
