日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-07-19,1012.052,1012.052,988.582,990.384,387974840,3323728600.0
2022-07-20,988.012,988.875,977.767,988.232,454032200,3560144700.0
2022-07-21,984.973,987.092,975.262,978.095,495499990,3885612600.0
2022-07-22,976.314,1023.879,976.314,1009.227,670411380,5647878700.0
2022-07-25,1011.619,1020.894,987.081,988.477,659477080,5701821200.0
2022-07-26,983.929,993.961,969.365,993.795,512636650,4359492900.0
2022-07-27,990.645,1001.805,990.071,996.709,527385660,4310634600.0
2022-07-28,1001.404,1005.758,992.857,995.387,641011260,4987306700.0
2022-07-29,994.184,1004.361,992.049,994.203,593524900,4825294600.0
2022-08-01,992.419,992.419,977.528,991.39,429876480,3730418600.0
2022-08-02,981.721,981.721,929.813,935.051,552010210,4593684900.0
2022-08-03,935.535,958.284,925.08,927.357,409701080,3348685800.0
2022-08-04,932.572,939.957,922.942,938.892,290849920,2416033900.0
2022-08-05,943.228,943.908,928.833,943.695,372991050,3384021500.0
2022-08-08,941.113,950.87,934.359,950.87,343684420,2993873100.0
2022-08-09,949.375,952.621,946.827,949.818,300470290,2587396300.0
2022-08-10,947.997,948.112,940.144,944.903,257707350,2188730700.0
2022-08-11,948.856,957.57,948.219,957.362,318422940,2835250900.0
2022-08-12,957.143,965.093,954.97,957.825,347353900,2856991000.0
2022-08-15,957.405,959.388,949.856,958.815,304115730,2632668200.0
2022-08-16,960.913,970.818,960.112,970.678,381965610,3092577900.0
2022-08-17,973.242,981.818,973.242,978.933,457066320,3718430700.0
2022-08-18,975.195,975.238,962.018,963.619,401794640,3480725800.0
2022-08-19,964.069,979.564,962.518,973.923,473163320,4081417300.0
2022-08-22,974.89,977.86,970.659,975.653,428334260,3871131600.0
2022-08-23,971.847,979.79,969.284,977.873,372854040,3263529400.0
2022-08-24,980.036,982.889,950.874,953.558,482784400,4104863000.0
2022-08-25,957.688,962.63,944.072,957.958,414486120,3281551300.0
2022-08-26,956.739,968.089,952.737,958.354,384684100,3154901200.0
2022-08-29,947.287,964.014,942.247,963.771,382738040,2909002500.0
2022-08-30,962.568,967.674,951.677,956.866,333450200,2536917400.0
2022-08-31,954.179,954.453,928.225,929.451,420379220,3201448300.0
2022-09-01,930.471,933.237,918.249,920.448,270738990,2090058200.0
