日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,885.606,901.378,883.92,900.874,559041230,5051584500.0
2020-01-03,902.771,918.695,902.337,917.579,728985170,6450501100.0
2020-01-06,914.796,932.46,911.466,926.412,795268330,7132778100.0
2020-01-07,928.238,935.973,925.842,935.973,767651900,6491286100.0
2020-01-08,930.34,937.596,917.862,920.432,760963010,6489838900.0
2020-01-09,929.077,936.669,928.512,936.669,662528610,5809615700.0
2020-01-10,937.009,938.061,922.334,928.132,579692710,5645846300.0
2020-01-13,929.387,940.403,924.511,940.403,580114940,5336277600.0
2020-01-14,941.282,941.797,931.436,931.611,589718450,5547158000.0
2020-01-15,931.17,933.126,922.251,932.714,511979980,4848900300.0
2020-01-16,934.038,934.269,921.039,921.414,508678980,5156180900.0
2020-01-17,921.893,922.681,905.718,907.115,631685770,7128014400.0
2020-01-20,907.703,916.586,902.178,916.586,492200900,5204387200.0
2020-01-21,911.413,911.413,897.067,897.132,412840630,4144378900.0
2020-01-22,888.898,903.223,876.772,899.407,487142590,4466982700.0
2020-01-23,891.616,898.888,860.125,867.975,544827000,5050801200.0
2020-02-03,781.352,782.084,781.166,781.299,151414980,1354755200.0
2020-02-04,716.42,762.876,716.42,757.433,703018650,5460080200.0
2020-02-05,761.195,788.866,761.024,775.514,570607860,4773095200.0
2020-02-06,775.606,793.604,770.324,791.587,552688520,4528736500.0
2020-02-07,792.192,806.297,787.149,806.032,550947150,4561504200.0
2020-02-10,802.667,822.813,801.659,822.813,534268220,4711458000.0
2020-02-11,824.371,826.08,813.19,820.876,442066180,3891121000.0
2020-02-12,818.019,838.284,818.019,837.615,546465310,4635911800.0
2020-02-13,836.09,843.192,828.249,830.225,571587980,4881585400.0
2020-02-14,830.446,849.1,829.754,840.14,587509400,5041680200.0
2020-02-17,845.863,873.068,844.932,873.068,785200730,6995301800.0
2020-02-18,875.163,898.328,873.915,898.328,900309530,8192646500.0
2020-02-19,897.869,911.205,895.322,901.382,1044260010,9016515100.0
2020-02-20,904.436,919.774,895.474,919.729,963508930,8681697800.0
2020-02-21,925.398,953.531,923.031,945.515,1171980220,11302472300.0
2020-02-24,946.584,972.996,941.978,968.605,1207946750,11752057000.0
2020-02-25,942.019,966.427,912.615,964.21,1344729800,14654385000.0
2020-02-26,949.389,967.515,939.131,941.862,1249528210,13309401000.0
2020-02-27,949.742,967.539,935.218,957.554,1075075440,11771836800.0
2020-02-28,917.839,929.308,885.266,885.266,1113211820,10868166100.0
2020-03-02,898.54,942.33,898.54,936.559,941059780,9941537000.0
2020-03-03,962.534,973.86,934.085,943.658,1246734290,13353040200.0
2020-03-04,931.953,956.534,931.262,954.244,913815970,9686577900.0
2020-03-05,975.4,989.335,972.605,985.697,1274249950,13445319000.0
2020-03-06,974.202,1005.534,971.714,995.706,1158404030,11885240700.0
2020-03-09,977.871,999.921,960.725,961.977,1231812100,12269723500.0
2020-03-10,945.319,1004.5,934.44,1004.5,1241852240,12346422800.0
2020-03-11,1006.79,1024.246,986.572,986.572,1248644040,12822704600.0
2020-03-12,963.118,985.214,960.574,974.944,1015094600,10006945400.0
2020-03-13,923.65,997.132,923.65,991.556,1342981700,13189387000.0
2020-03-16,1004.785,1004.864,923.14,924.025,1331413880,13393734300.0
2020-03-17,930.339,951.035,893.036,936.184,1127499930,10898128800.0
2020-03-18,944.75,966.283,915.291,915.291,1206833190,12318501300.0
2020-03-19,909.332,941.503,898.945,935.001,1034119640,10254307900.0
2020-03-20,945.139,951.162,934.284,948.753,1099711940,10601850800.0
2020-03-23,921.555,948.654,906.242,911.918,997184130,9296233600.0
2020-03-24,933.919,936.483,895.258,933.344,977048300,9552096800.0
2020-03-25,952.812,954.713,935.587,946.358,917414050,9077848000.0
2020-03-26,935.222,940.046,918.671,920.772,820570760,8032424800.0
2020-03-27,931.936,932.692,906.289,906.563,735495520,7322358100.0
2020-03-30,889.566,889.566,857.353,869.408,731790580,7113471400.0
2020-03-31,879.595,883.159,861.202,861.202,536623960,5136800900.0
2020-04-01,858.746,878.678,857.563,860.308,590392660,6583239800.0
2020-04-02,857.325,888.927,856.472,888.927,621948860,6695898800.0
2020-04-03,884.364,886.462,868.662,871.683,516268440,5374893900.0
2020-04-07,890.406,902.553,888.216,902.553,658528100,6587956900.0
2020-04-08,896.626,910.368,894.664,905.753,650009910,6356612000.0
2020-04-09,910.27,928.695,908.967,926.006,746908980,7881491400.0
2020-04-10,923.693,923.693,888.158,894.116,758036960,7574333600.0
2020-04-13,884.045,884.453,870.177,874.989,488268040,4732765700.0
2020-04-14,878.991,898.089,878.179,898.089,576719310,5344824900.0
2020-04-15,901.599,905.933,892.241,892.575,688572190,6505546300.0
2020-04-16,886.276,914.182,883.058,911.231,749865160,7615294800.0
2020-04-17,916.091,921.165,909.177,910.193,773846740,8235791700.0
2020-04-20,912.627,922.924,909.603,922.924,690513680,7273505900.0
2020-04-21,919.61,921.49,903.058,921.084,689040560,7071206800.0
2020-04-22,912.364,934.687,910.131,933.097,648161450,6518726300.0
2020-04-23,936.078,936.078,915.094,916.418,660649750,7148164400.0
2020-04-24,915.783,919.855,891.387,894.443,545912240,5705785900.0
2020-04-27,897.009,899.889,885.979,886.131,495340600,5047058100.0
2020-04-28,884.77,885.167,826.508,856.048,637504660,6236355200.0
2020-04-29,853.184,864.847,850.037,854.028,409046070,3968201200.0
2020-04-30,857.697,883.181,857.697,880.18,535927610,5418031800.0
2020-05-06,871.4,897.959,870.947,897.959,580095770,6148722900.0
2020-05-07,901.711,905.255,890.415,890.972,613591080,6540442500.0
2020-05-08,900.758,911.372,900.758,904.245,577751760,6047579300.0
2020-05-11,908.856,912.161,897.47,904.77,625967240,7110774900.0
2020-05-12,903.338,904.218,888.432,904.073,637960160,7514674300.0
2020-05-13,898.224,909.008,895.704,907.515,542000490,6558460100.0
2020-05-14,905.502,909.023,899.663,899.818,570944310,6597414700.0
2020-05-15,904.959,910.854,897.361,902.608,530981580,5991670400.0
2020-05-18,906.899,906.992,890.175,892.646,625595210,6751762400.0
2020-05-19,899.177,901.868,893.079,901.513,539736710,6043120700.0
2020-05-20,898.287,898.785,887.096,893.1,551340030,6044889900.0
2020-05-21,892.471,893.352,874.376,876.263,457199800,4840650500.0
2020-05-22,876.933,879.01,857.14,862.54,472632240,5092693900.0
2020-05-25,857.155,860.739,849.83,854.794,338498960,3559139900.0
2020-05-26,857.979,872.589,856.53,872.435,335259370,3451087700.0
2020-05-27,871.889,874.302,862.15,865.112,411120570,4195518000.0
2020-05-28,863.891,866.449,847.414,861.243,410846390,4157230400.0
2020-05-29,856.882,866.773,855.025,861.322,358000480,3558483400.0
2020-06-01,866.57,890.538,866.47,889.877,504541090,5166381100.0
2020-06-02,892.199,899.047,889.588,895.969,477880470,4724442300.0
