日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,336.205,350.29,336.205,349.517,1255435280,10832108400.0
2020-01-03,353.463,356.86,351.4,354.36,1292213190,11482960700.0
2020-01-06,350.801,361.984,349.327,359.213,1230190530,11465643600.0
2020-01-07,361.704,371.067,361.691,370.828,1255128500,11432329100.0
2020-01-08,367.45,367.571,358.417,358.464,1278810570,10542428400.0
2020-01-09,362.837,366.093,359.473,363.082,1285556240,11498630200.0
2020-01-10,364.056,364.173,358.698,359.903,921212940,7905460000.0
2020-01-13,359.766,362.308,354.882,362.283,907752300,8520397500.0
2020-01-14,363.093,366.222,362.317,362.733,822059860,8525358800.0
2020-01-15,361.608,363.204,358.538,361.548,778764550,7328051200.0
2020-01-16,362.467,362.984,356.739,357.735,832166110,7489131100.0
2020-01-17,359.489,361.098,356.217,356.439,775483280,6573381200.0
2020-01-20,357.715,357.918,354.593,357.34,884594740,9285531100.0
2020-01-21,355.907,355.995,351.642,351.83,993311660,9011210400.0
2020-01-22,349.199,353.66,344.859,352.185,968084380,9511010900.0
2020-01-23,345.37,351.593,338.457,341.908,1109053850,11612151300.0
2020-02-03,310.43,318.757,310.43,312.904,962136290,10494706700.0
2020-02-04,297.151,314.336,297.151,312.717,2035280700,14944185000.0
2020-02-05,312.154,324.079,311.842,317.906,1567494800,13255965000.0
2020-02-06,317.907,332.62,314.95,331.293,1706847100,14601442000.0
2020-02-07,330.405,341.205,329.415,340.446,1631417800,14479773000.0
2020-02-10,339.747,341.912,334.87,340.06,1485605000,13128534900.0
2020-02-11,339.847,340.088,332.088,333.932,1285107750,10712337900.0
2020-02-12,333.281,340.847,332.964,340.847,1119806130,10163043500.0
2020-02-13,340.112,340.123,331.944,333.222,1095145280,10255675100.0
2020-02-14,332.387,334.311,328.965,331.31,918181680,8081943100.0
2020-02-17,332.786,343.097,332.738,343.097,1133965960,9989302100.0
2020-02-18,343.649,349.74,342.27,349.74,1200624580,10181742300.0
2020-02-19,348.463,348.616,341.328,341.835,1066211300,10231285400.0
2020-02-20,342.702,347.336,339.228,347.054,1197037610,11031417700.0
2020-02-21,346.301,356.318,345.677,353.174,1285991570,11792242500.0
2020-02-24,351.582,357.443,349.775,357.015,1419027600,13148786600.0
2020-02-25,348.953,349.582,336.165,348.085,1368849900,12312837900.0
2020-02-26,345.15,352.562,343.766,346.637,1567089300,12481714700.0
2020-02-27,348.486,354.973,344.059,351.966,1203918170,11044945200.0
2020-02-28,339.203,346.882,331.52,332.401,1515945400,12076639800.0
2020-03-02,334.964,341.842,332.226,340.465,1312319720,11955415500.0
2020-03-03,344.551,349.264,337.564,340.854,1342592200,12412783600.0
2020-03-04,338.153,343.666,336.961,343.666,1031181060,9218455200.0
2020-03-05,347.58,348.451,343.657,346.994,1184961900,9755790700.0
2020-03-06,342.31,348.378,341.345,345.496,1111330840,8753771100.0
2020-03-09,339.911,341.418,329.914,329.96,1133373370,9481030000.0
2020-03-10,324.815,336.485,320.282,336.485,1041830410,8648422200.0
2020-03-11,337.328,339.806,332.83,332.83,871847480,6908509300.0
2020-03-12,327.819,331.398,324.461,327.857,791687960,6654890300.0
2020-03-13,310.475,324.973,310.407,322.47,905848400,7213465700.0
2020-03-16,324.963,327.298,310.952,312.186,958742890,8393029600.0
2020-03-17,315.107,317.267,300.939,312.153,880661470,6877372800.0
2020-03-18,314.868,318.695,305.806,305.806,924431010,7286490500.0
2020-03-19,305.44,311.384,301.841,311.082,998701490,8360097900.0
2020-03-20,314.124,315.762,310.338,315.508,747949310,7255490200.0
2020-03-23,307.526,311.512,302.131,303.223,775165400,6182579700.0
2020-03-24,308.742,310.462,299.794,307.756,892483500,7105865200.0
2020-03-25,313.113,317.048,310.34,316.457,898649680,7138509800.0
2020-03-26,314.133,317.822,311.916,312.38,685918340,5763458000.0
2020-03-27,315.522,315.758,308.365,308.969,746418830,6017868500.0
2020-03-30,303.587,303.642,293.621,297.316,795786420,6066590800.0
2020-03-31,299.882,300.508,294.733,295.274,763229640,5201937100.0
2020-04-01,293.794,296.565,290.689,291.175,657841340,4706483900.0
2020-04-02,289.153,296.693,288.874,296.693,647904870,4348853400.0
2020-04-03,295.816,297.076,293.559,294.367,861463300,5257901700.0
2020-04-07,298.789,303.871,298.774,303.673,935316130,6281037200.0
2020-04-08,301.899,307.347,301.515,306.215,838298240,5691996400.0
2020-04-09,307.337,314.077,306.773,312.785,890103730,6319079900.0
2020-04-10,310.854,310.854,302.372,303.526,818066230,5862895000.0
2020-04-13,301.362,301.362,296.327,297.954,633374560,4209665800.0
2020-04-14,299.78,306.941,299.78,306.941,900283230,7444677900.0
2020-04-15,307.035,308.274,303.749,304.033,908467120,6742728400.0
2020-04-16,302.705,307.526,301.525,307.114,752229740,6305948500.0
2020-04-17,308.123,309.328,304.489,305.366,730347660,5923468900.0
2020-04-20,304.771,307.593,303.529,307.486,639596830,4885802600.0
2020-04-21,308.257,308.336,303.092,306.91,596768550,4860695800.0
2020-04-22,304.717,309.351,303.212,309.236,621835770,4959212100.0
2020-04-23,309.756,309.921,303.672,304.524,706298220,6016204900.0
2020-04-24,304.082,304.082,296.219,297.255,629375390,5177327900.0
2020-04-27,296.692,297.899,293.717,294.53,675546990,4721274400.0
2020-04-28,294.697,295.293,280.342,287.861,800063000,5608251200.0
2020-04-29,285.274,291.288,284.974,288.139,602724760,4035086100.0
2020-04-30,289.679,296.117,289.679,294.923,668112910,6369968900.0
2020-05-06,291.234,299.968,291.234,299.667,847658070,6874585200.0
2020-05-07,299.053,302.314,298.514,298.514,718512460,6204155800.0
2020-05-08,300.531,304.943,300.247,303.731,808382760,6010562900.0
2020-05-11,305.155,306.607,302.09,303.929,727216370,5617350600.0
2020-05-12,304.29,304.989,299.365,303.6,704587000,4985792300.0
2020-05-13,301.48,301.736,299.501,301.407,658144660,4927210200.0
2020-05-14,300.021,306.593,299.661,303.015,877083030,7243012600.0
2020-05-15,303.73,304.541,301.599,301.745,745148990,5527997700.0
2020-05-18,301.756,302.165,297.151,297.818,647406630,4777686400.0
2020-05-19,299.921,304.516,299.921,304.516,622336680,5296085500.0
2020-05-20,304.017,304.27,301.504,302.251,836305470,5513899600.0
2020-05-21,302.797,304.901,300.686,301.215,770508240,5242297600.0
2020-05-22,301.041,301.36,295.485,297.286,784436950,5030179900.0
2020-05-25,296.445,298.097,295.625,297.082,572744220,4800712700.0
2020-05-26,299.069,303.937,298.624,303.905,619185130,4990622700.0
2020-05-27,305.461,305.478,302.798,303.456,534527500,4621105300.0
2020-05-28,304.558,306.729,300.131,303.537,562513850,4678831900.0
2020-05-29,302.761,310.091,302.336,308.118,704485090,6055820000.0
2020-06-01,310.497,318.383,310.497,317.478,966159280,7691656300.0
2020-06-02,320.17,321.483,318.872,319.803,1017505050,7456037700.0
2020-06-03,321.16,325.075,321.072,322.221,990350460,6759584900.0
2020-06-04,323.088,325.935,322.9,325.587,900629000,5899717400.0
2020-06-05,325.842,329.644,325.574,328.412,1084421240,7272798600.0
2020-06-08,330.45,330.45,326.492,326.957,809285800,6407231100.0
2020-06-09,327.355,332.95,326.331,332.281,831826470,6572045400.0
2020-06-10,333.258,333.264,328.784,330.113,718939850,6020755800.0
2020-06-11,331.042,338.297,330.486,333.494,1019397780,9586865500.0
2020-06-12,324.955,339.346,324.361,338.927,1061735140,9897431600.0
2020-06-15,339.941,347.051,339.097,341.536,1177868210,12561315700.0
2020-06-16,346.732,347.789,343.392,346.965,899345380,9438594100.0
2020-06-17,348.928,348.952,342.396,346.815,1085539020,10826684300.0
2020-06-18,345.532,348.497,341.37,341.598,1040679060,9970055500.0
2020-06-19,340.259,344.148,339.798,341.938,854721770,8755158800.0
2020-06-22,342.005,342.926,340.464,341.528,900390250,8648271600.0
2020-06-23,342.004,349.462,341.17,347.047,1183962960,13727231000.0
2020-06-24,347.71,351.465,347.71,349.63,1003684540,12704396200.0
2020-06-29,346.187,347.704,341.295,341.838,958637790,10653511300.0
2020-06-30,342.62,348.576,342.62,348.234,827747190,9997861100.0
2020-07-01,349.33,352.32,347.861,351.366,948153760,10644350400.0
2020-07-02,350.711,356.264,349.488,356.004,1358890400,12850269200.0
2020-07-03,354.856,359.305,354.108,358.963,1302521920,12958434800.0
2020-07-06,359.726,372.015,359.726,371.227,1722632300,18123272000.0
2020-07-07,373.813,382.262,369.958,377.218,1595333100,17810103000.0
2020-07-08,377.709,383.448,372.517,383.448,1456004800,16433192000.0
2020-07-09,383.371,396.442,382.623,394.221,1878470600,20022699000.0
2020-07-10,392.572,397.145,389.835,392.092,1813362600,18363342000.0
2020-07-13,394.305,403.713,394.305,403.689,1621802800,16960397000.0
2020-07-14,404.27,408.21,395.582,402.649,1863589500,19959773000.0
