日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-01-10,1006.722,1030.237,999.86,1019.517,990276580,5992228700.0
2022-01-11,1018.762,1052.374,1017.814,1026.686,984635660,5935719500.0
2022-01-12,1025.24,1040.7,1025.24,1032.984,635513840,3965258500.0
2022-01-13,1037.157,1054.137,1024.212,1041.077,712880980,4807856400.0
2022-01-14,1029.092,1038.162,1014.635,1015.63,661212610,4110199000.0
2022-01-17,1010.841,1041.621,1010.841,1041.621,606531640,3740493400.0
2022-01-18,1034.621,1034.691,1011.424,1014.727,664148130,6223314900.0
2022-01-19,1009.582,1014.683,1000.186,1008.166,543584300,4666980000.0
2022-01-20,1008.351,1010.622,967.065,972.581,673647960,5839913700.0
2022-01-21,970.995,977.083,946.44,948.659,772353060,5640859400.0
2022-01-24,936.892,942.67,932.433,935.399,445223010,3220020000.0
2022-01-25,933.522,933.643,878.447,879.628,654330400,4215863400.0
2022-01-26,882.886,894.821,880.904,890.587,369085190,2393620000.0
2022-01-27,894.272,894.272,862.688,863.062,482588740,3154475000.0
2022-01-28,868.537,888.032,862.999,877.713,430521260,2713716000.0
2022-02-07,891.06,894.633,881.001,889.469,423586960,2596463200.0
2022-02-08,889.087,904.636,883.482,904.636,422988740,2599723300.0
2022-02-09,902.843,920.722,899.921,918.897,494322470,3400726300.0
2022-02-10,918.672,919.394,906.122,912.368,375121060,2622302200.0
2022-02-11,908.809,909.135,887.369,889.396,465605240,2850884600.0
2022-02-14,889.469,901.624,883.758,890.159,407327550,2767883100.0
2022-02-15,889.893,895.372,882.305,888.832,301937180,1956282900.0
2022-02-16,893.18,902.678,891.989,898.71,307049630,1994312500.0
2022-02-17,895.57,902.019,891.886,894.234,298279020,1877383600.0
2022-02-18,888.109,896.655,884.183,895.897,301085230,1902479400.0
2022-02-21,895.103,910.887,894.608,910.25,673753090,3807415300.0
2022-02-22,904.161,904.161,889.466,893.291,513388920,3030219600.0
2022-02-23,896.357,909.346,896.226,907.999,442398900,2879829800.0
2022-02-24,905.598,910.516,867.173,879.902,928351780,5236076500.0
2022-02-25,885.217,896.251,885.217,890.522,497199890,3324482800.0
2022-02-28,891.961,891.961,872.232,886.147,610842980,3778943100.0
2022-03-01,885.906,892.804,882.856,887.858,413665720,2567176200.0
2022-03-02,883.75,893.38,880.352,891.691,340117170,2675544100.0
2022-03-03,893.652,895.282,886.289,887.036,351489190,2813141700.0
2022-03-04,885.282,890.256,872.759,876.153,442409390,2964733000.0
2022-03-07,874.287,874.542,856.172,860.026,662324560,3701113900.0
2022-03-08,860.638,863.834,831.339,837.913,734479550,4086703500.0
2022-03-09,837.803,845.506,792.073,826.211,768383800,4522950100.0
2022-03-10,841.571,846.924,836.048,841.227,657065380,4238867900.0
2022-03-11,831.058,846.425,817.567,844.885,527704660,3958387400.0
2022-03-14,839.439,844.302,825.928,826.015,415082870,2922704400.0
2022-03-15,820.792,821.739,782.533,782.616,642352370,3611994000.0
2022-03-16,793.829,802.56,763.187,800.101,603654640,3475964500.0
2022-03-17,806.727,830.744,806.688,819.981,513219160,3484609700.0
2022-03-18,817.708,827.64,816.198,825.205,395003040,2546149200.0
2022-03-21,824.769,833.477,820.85,831.745,474918710,2937036900.0
2022-03-22,829.662,846.341,827.769,840.421,369721290,2855159000.0
2022-03-23,836.31,850.959,834.411,846.465,304178140,2180337400.0
2022-03-24,840.142,840.271,823.649,826.329,304472350,2048546300.0
2022-03-25,825.678,834.139,821.039,821.164,311788520,2214805900.0
2022-03-28,815.962,830.44,804.755,823.257,381123370,2230980800.0
2022-03-29,821.14,823.279,803.675,806.711,345479680,2127801800.0
2022-03-30,809.491,816.449,807.584,816.4,510419010,2658444200.0
2022-03-31,818.158,827.355,816.17,818.92,435975630,2844089700.0
2022-04-01,815.078,815.078,800.033,802.501,418448140,2787592300.0
2022-04-06,800.935,809.951,799.721,806.667,394616890,2276128900.0
2022-04-07,805.453,805.453,783.246,785.311,521327300,2792759000.0
2022-04-08,784.592,787.596,768.768,777.192,448866290,2346600600.0
2022-04-11,773.783,773.783,752.241,756.925,451909830,2326490100.0
2022-04-12,756.404,771.004,750.725,770.902,385294000,1901152900.0
2022-04-13,769.004,769.004,755.11,756.246,277418390,1476447500.0
2022-04-14,760.156,772.334,760.156,770.136,296129980,1599676100.0
2022-04-15,768.824,768.824,757.391,759.545,266202820,1440511100.0
2022-04-18,757.171,767.082,745.702,765.076,226882720,1256545540.0
2022-04-19,764.186,771.785,761.231,765.53,296041920,1558416100.0
2022-04-20,767.711,770.704,756.663,759.042,286350010,1593075500.0
2022-04-21,753.922,762.701,738.687,741.58,489126590,2351747400.0
2022-04-22,739.607,746.88,727.022,738.655,358201130,1822209100.0
2022-04-25,729.657,729.657,680.756,680.756,602636940,2797282200.0
2022-04-26,681.101,685.304,644.892,645.306,487790780,2294188300.0
2022-04-27,634.144,665.069,623.979,663.697,548308250,2473612600.0
2022-04-28,657.531,663.642,644.943,651.306,463215310,2052669800.0
2022-04-29,655.182,687.718,655.182,685.1,544347220,2440376100.0
2022-05-05,680.582,695.682,673.554,688.655,494134640,2273640200.0
2022-05-06,674.913,685.488,669.266,681.172,362055780,1656552500.0
2022-05-09,681.093,699.943,678.392,698.798,246950180,1268485100.0
2022-05-10,688.631,713.624,686.525,711.227,403665510,1984434200.0
2022-05-11,709.798,730.679,709.291,713.441,747027220,3454003400.0
2022-05-12,707.922,717.661,704.967,714.042,381110160,1795922500.0
2022-05-13,719.193,719.495,707.759,713.17,269134270,1331249890.0
2022-05-16,715.998,720.782,708.698,712.214,299684430,1445919800.0
2022-05-17,712.685,722.008,701.139,718.422,281305090,1485979500.0
2022-05-18,719.181,728.185,716.185,722.434,275480240,1355218000.0
2022-05-19,712.014,723.049,709.184,722.592,305437070,1521582600.0
2022-05-20,728.524,732.711,723.186,728.305,524270750,2349920600.0
2022-05-23,727.255,736.836,723.696,735.248,376449160,1985981400.0
2022-05-24,736.981,737.084,700.063,700.063,489341570,2329536600.0
2022-05-25,699.586,713.021,699.586,712.144,239263700,1172659130.0
