日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-03-14,1020.653,1089.51,1019.291,1052.216,494325960,8704803000.0
2022-03-15,1070.256,1133.34,1068.897,1083.916,729906050,9345284500.0
2022-03-16,1105.794,1165.008,1098.379,1162.611,1230293480,14178848000.0
2022-03-17,1171.389,1208.253,1165.155,1200.807,1146612030,16164500000.0
2022-03-18,1179.038,1186.155,1166.807,1169.308,960493710,12505954700.0
2022-03-21,1160.383,1175.57,1150.171,1165.955,903218720,11484189100.0
2022-03-22,1154.133,1179.874,1148.94,1159.73,901550430,12381147200.0
2022-03-23,1148.867,1155.768,1134.337,1137.6,757013800,10291272700.0
2022-03-24,1127.363,1127.363,1095.453,1102.77,638123420,8527333900.0
2022-03-25,1118.181,1132.215,1089.291,1089.291,683798150,8473104600.0
2022-03-28,1069.717,1098.053,1062.159,1080.219,519552880,6484409000.0
2022-03-29,1079.279,1082.919,1057.127,1065.338,532529360,6303850100.0
2022-03-30,1068.761,1087.078,1061.624,1087.078,496989690,6544238800.0
2022-03-31,1083.348,1132.007,1080.449,1129.042,777559940,11999570800.0
2022-04-01,1118.343,1122.421,1101.007,1101.007,659272600,9618844200.0
2022-04-06,1109.097,1127.61,1106.194,1115.893,590570280,8774619600.0
2022-04-07,1105.626,1109.514,1067.661,1067.661,519759680,7091200900.0
2022-04-08,1068.641,1069.521,1037.46,1054.009,438236290,5967790800.0
2022-04-11,1045.834,1046.617,1004.81,1011.866,460595510,5429509800.0
2022-04-12,1009.254,1029.451,998.305,1029.451,379078160,4481493900.0
2022-04-13,1023.166,1023.166,982.011,982.106,394820760,4769047300.0
2022-04-14,989.706,995.403,981.87,987.986,319254140,3697861700.0
2022-04-15,979.124,979.124,955.699,965.338,395368050,4789386600.0
2022-04-18,958.925,983.109,941.901,978.54,337284820,4111672600.0
2022-04-19,977.692,989.135,974.327,983.066,372210810,4000847800.0
2022-04-20,1002.15,1007.723,967.118,969.329,465916790,5248129200.0
2022-04-21,956.507,970.015,923.902,927.878,499243800,4935046500.0
2022-04-22,918.864,925.137,900.485,900.485,367887680,3831572200.0
2022-04-25,884.92,885.128,818.353,818.75,518673120,5094245500.0
2022-04-26,821.204,832.189,785.501,787.967,456350320,4451420900.0
2022-04-27,776.738,822.133,768.609,822.133,484813760,4560982600.0
2022-04-28,811.036,814.799,783.674,792.435,367461960,3594443700.0
2022-04-29,804.274,835.324,804.035,831.342,408297170,4021560000.0
2022-05-05,827.834,850.961,819.716,839.566,433717910,4431651600.0
2022-05-06,818.733,863.051,814.491,846.245,556308870,5771327200.0
2022-05-09,844.677,866.946,844.013,855.026,468841020,5482253100.0
2022-05-10,841.693,878.567,839.814,873.903,492626640,5662896700.0
2022-05-11,875.109,896.469,868.543,868.543,605467630,6878562700.0
2022-05-12,861.927,886.168,861.927,880.731,432006010,5060089300.0
2022-05-13,886.622,888.571,874.869,881.773,372568280,4332846900.0
2022-05-16,885.776,891.315,873.662,881.248,437622270,4504381700.0
2022-05-17,881.901,882.141,860.881,878.051,360716650,3830038400.0
2022-05-18,895.838,913.292,889.487,890.976,538265070,6144479700.0
2022-05-19,873.188,886.142,871.576,885.928,379804420,4047717800.0
2022-05-20,889.299,895.277,883.102,891.46,354502740,3788053200.0
2022-05-23,895.038,911.721,895.038,911.64,399800940,4553487100.0
2022-05-24,912.601,912.645,856.478,856.478,480354050,5455420600.0
2022-05-25,859.277,884.664,859.277,884.664,357736210,4568962500.0
2022-05-26,885.759,892.236,866.667,886.702,360647890,4400963900.0
2022-05-27,892.444,897.685,878.058,886.163,381935020,4644294800.0
2022-05-30,889.862,898.901,883.068,898.556,403840680,4817465900.0
2022-05-31,897.169,904.318,882.323,902.702,410284410,4650158300.0
2022-06-01,900.295,914.635,898.867,908.175,411002370,4659274200.0
2022-06-02,907.69,917.952,895.78,917.801,351517950,4232121600.0
2022-06-06,918.045,950.38,918.045,947.947,528563090,7126534000.0
2022-06-07,951.824,951.824,931.528,942.086,505338280,7073562900.0
2022-06-08,940.897,954.585,924.252,940.325,480105410,7238889800.0
2022-06-09,937.9,937.9,917.31,919.42,426307190,6400281400.0
2022-06-10,912.719,930.122,911.811,928.632,430395460,5924857600.0
2022-06-13,923.231,942.08,921.845,940.834,416630890,6331685600.0
2022-06-14,930.741,934.761,899.376,934.097,459064970,5566670500.0
2022-06-15,934.705,963.073,934.705,946.972,618949980,8256106100.0
2022-06-16,946.326,961.487,946.284,953.915,483565490,6365527000.0
2022-06-17,947.461,954.339,935.799,951.555,437196840,5614811800.0
2022-06-20,955.885,964.469,951.226,960.557,468602200,7614501400.0
2022-06-21,962.429,982.227,954.956,969.587,597874340,8619243300.0
2022-06-22,968.762,969.311,950.14,950.286,510812360,7444952300.0
2022-06-23,953.855,970.02,951.764,969.663,596652730,6774912200.0
2022-06-24,981.209,991.112,979.565,982.187,696202620,8130728800.0
2022-06-27,981.948,982.892,970.663,974.951,571036820,7075808800.0
2022-06-28,974.923,992.319,964.608,992.319,647906930,7851965000.0
2022-06-29,988.753,1000.527,973.945,974.74,650354390,7813794500.0
2022-06-30,977.749,987.537,976.131,979.631,514199040,6011074400.0
2022-07-01,983.466,995.328,981.734,983.95,549399400,6755037600.0
2022-07-04,987.207,990.434,978.938,988.063,498499570,6309125300.0
2022-07-05,986.445,988.253,957.925,969.589,544127730,6905345600.0
2022-07-06,967.244,975.125,960.889,971.543,568029880,5550538900.0
2022-07-07,991.639,999.555,984.698,985.657,983146580,8023263300.0
2022-07-08,980.162,998.472,978.748,982.827,994181420,7585532000.0
2022-07-11,976.066,976.356,956.274,963.118,660310870,6021846700.0
2022-07-12,962.472,962.525,944.722,947.519,512009750,4499253500.0
2022-07-13,947.814,956.278,946.506,954.6,443969910,3859707100.0
2022-07-14,952.986,959.968,945.374,951.173,445293150,4019502500.0
2022-07-15,947.317,947.317,928.743,930.307,513779580,4657620000.0
2022-07-18,930.595,953.634,930.533,953.634,462394610,4078178800.0
2022-07-19,954.346,992.684,952.122,992.656,707956260,8195031800.0
2022-07-20,992.766,1005.559,987.478,1002.064,650920400,7830250700.0
2022-07-21,997.784,1008.213,995.851,999.385,539901770,6120990600.0
2022-07-22,1000.349,1007.644,980.666,986.615,511609440,5116670900.0
2022-07-25,999.769,1005.162,982.835,988.579,533945070,6078994100.0
2022-07-26,992.644,1018.873,988.94,1014.971,687528460,8996939400.0
2022-07-27,1011.776,1021.971,1008.919,1019.743,617948610,7393774300.0
2022-07-28,1024.581,1035.572,1024.272,1026.161,555302420,7224909500.0
2022-07-29,1026.942,1034.614,1021.537,1023.829,539321900,6708939800.0
2022-08-01,1025.758,1032.829,1012.719,1022.723,638330310,6660644100.0
2022-08-02,1011.16,1011.16,958.676,966.603,707223680,7635462600.0
2022-08-03,968.2,1005.258,968.2,981.178,658807490,8427706400.0
2022-08-04,990.34,1004.836,987.943,1004.836,658678900,7422027200.0
2022-08-05,1014.746,1049.616,1014.738,1048.657,906773880,11845022800.0
2022-08-08,1050.948,1057.102,1038.906,1056.084,715462160,10103896900.0
2022-08-09,1052.9,1057.241,1041.474,1052.429,630502440,8218341200.0
2022-08-10,1044.913,1056.598,1040.872,1053.47,612773100,7336336200.0
2022-08-11,1056.734,1066.896,1054.539,1062.267,657781400,7514848800.0
2022-08-12,1060.713,1085.364,1055.389,1071.128,740545850,9278734000.0
2022-08-15,1067.527,1068.741,1055.75,1058.713,648063090,7439528900.0
2022-08-16,1056.971,1060.335,1047.787,1053.783,547078700,6376030800.0
2022-08-17,1052.005,1052.645,1040.472,1050.014,525158850,5781569700.0
2022-08-18,1050.131,1062.633,1042.302,1061.29,478790560,6114300900.0
2022-08-19,1063.03,1074.019,1049.512,1049.59,604435420,8257144300.0
2022-08-22,1045.569,1060.541,1030.905,1055.398,460454140,6348206700.0
2022-08-23,1052.139,1063.19,1045.372,1061.57,447917770,7310846500.0
2022-08-24,1059.374,1059.374,1013.789,1013.789,571821420,7208535800.0
2022-08-25,1016.682,1020.203,989.675,1006.284,432512240,5550156500.0
2022-08-26,1006.605,1011.398,986.884,988.304,357780290,4584146800.0
2022-08-29,975.842,990.57,966.861,987.612,287903630,3356454300.0
2022-08-30,985.511,996.03,980.492,988.575,270300750,3142331200.0
