日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,2876.044,2902.477,2851.597,2884.73,186436420,26950354000.0
2020-01-03,2880.506,2883.756,2843.036,2853.139,144790800,21871443000.0
2020-01-06,2839.867,2853.545,2820.378,2836.966,137737280,15035810000.0
2020-01-07,2838.496,2871.943,2836.123,2870.934,137434280,12497965900.0
2020-01-08,2861.633,2876.255,2848.118,2853.384,120905932,9445236000.0
2020-01-09,2866.359,2927.287,2866.359,2914.664,165160640,13979953000.0
2020-01-10,2920.753,3021.843,2920.753,3005.428,284121950,18529440000.0
2020-01-13,3003.309,3077.349,3003.067,3039.631,272794470,20438171000.0
2020-01-14,3040.159,3040.242,2988.428,3000.089,180023300,13107842400.0
2020-01-15,2993.802,3051.485,2993.802,3012.929,158820470,11444258300.0
2020-01-16,3017.188,3024.074,3000.018,3015.346,116201327,8626878100.0
2020-01-17,3032.055,3045.278,3005.472,3012.317,116676280,8892583500.0
2020-01-20,3017.821,3020.315,2976.549,2993.306,137167920,11505809300.0
2020-01-21,2981.107,2981.107,2903.233,2904.911,162077890,13301916100.0
2020-01-22,2887.992,2914.885,2852.394,2905.094,127436688,11649456100.0
2020-01-23,2896.316,2898.329,2766.173,2788.541,194002010,17321305000.0
2020-02-03,2515.277,2521.783,2514.718,2518.148,79375399,17102358000.0
2020-02-04,2363.541,2468.074,2363.541,2446.95,359053590,25879170000.0
2020-02-05,2449.74,2496.798,2423.381,2472.618,230490110,17710402000.0
2020-02-06,2471.186,2500.126,2447.245,2500.126,193632050,14723349000.0
2020-02-07,2493.989,2522.251,2472.44,2522.251,164885940,12114395700.0
2020-02-10,2504.274,2563.755,2482.582,2558.496,167883450,11627213500.0
2020-02-11,2552.888,2649.609,2552.836,2622.835,202150340,14691713000.0
2020-02-12,2608.349,2622.721,2593.373,2622.267,134848340,9797773600.0
2020-02-13,2615.305,2649.739,2584.842,2593.317,126922840,9819933000.0
2020-02-14,2588.141,2600.421,2567.336,2584.472,101270253,7629286200.0
2020-02-17,2580.724,2618.512,2579.7,2618.18,145553500,10155471100.0
2020-02-18,2621.073,2621.739,2592.371,2617.323,127183932,8465239800.0
2020-02-19,2613.35,2665.867,2600.58,2642.601,172499040,13615716000.0
2020-02-20,2642.967,2738.025,2642.518,2737.973,226576940,17215173000.0
2020-02-21,2718.526,2734.172,2713.275,2729.552,153765370,10820346400.0
2020-02-24,2710.99,2710.99,2661.954,2683.253,167881150,12720225400.0
2020-02-25,2633.393,2666.265,2595.617,2650.96,165354940,12464849000.0
2020-02-26,2621.426,2676.822,2610.442,2635.065,142989710,11765440100.0
2020-02-27,2637.38,2684.634,2637.38,2662.147,134997310,11109957700.0
2020-02-28,2592.267,2607.305,2524.655,2532.315,197496790,15848729000.0
2020-03-02,2530.856,2608.574,2530.856,2599.366,157629490,13692460000.0
2020-03-03,2622.68,2640.994,2603.621,2616.477,149553050,13679434000.0
2020-03-04,2604.456,2639.465,2597.47,2639.465,127686826,12791281400.0
2020-03-05,2652.554,2788.643,2650.443,2766.334,309995830,25023862000.0
2020-03-06,2732.268,2786.584,2708.014,2711.037,198004410,14600977000.0
2020-03-09,2671.144,2671.144,2594.037,2602.758,173225300,14109146000.0
2020-03-10,2571.15,2675.418,2570.812,2668.121,167981350,16582900000.0
2020-03-11,2672.344,2704.778,2657.161,2657.424,141508310,11962720300.0
2020-03-12,2623.816,2623.816,2575.614,2589.446,126349759,11431504200.0
2020-03-13,2466.446,2559.353,2452.651,2531.247,160887410,17474879000.0
2020-03-16,2533.167,2537.819,2434.537,2442.393,156126550,14875531000.0
2020-03-17,2438.323,2473.089,2325.917,2390.779,167662370,17433392000.0
2020-03-18,2408.563,2440.456,2328.787,2328.847,148803630,16225115000.0
