日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,921.768,944.547,918.797,943.756,566243700,6562072700.0
2020-01-03,946.002,952.681,942.096,948.202,566486690,6558437100.0
2020-01-06,941.741,967.98,939.31,960.596,587308550,7402256600.0
2020-01-07,961.989,984.793,961.989,984.476,545426450,7162204400.0
2020-01-08,978.924,990.778,972.103,975.257,628847710,7210293700.0
2020-01-09,984.798,991.216,982.734,991.216,556223880,6393773100.0
2020-01-10,992.46,993.532,980.52,985.484,479770580,5633261700.0
2020-01-13,987.409,1005.272,983.665,1005.272,475711890,6505119900.0
2020-01-14,1009.474,1011.156,1001.52,1002.566,459434230,6872210000.0
2020-01-15,1002.722,1007.29,992.818,1007.042,451930410,7040499300.0
2020-01-16,1004.748,1013.712,1001.269,1009.438,441507570,7695777700.0
2020-01-17,1010.436,1013.775,1000.006,1000.818,447036200,7004172600.0
2020-01-20,999.162,1016.356,994.116,1015.906,432656970,6611769600.0
2020-01-21,1012.803,1023.195,1008.612,1008.612,371515920,5807067100.0
2020-01-22,1001.977,1018.428,987.591,1011.891,463266620,6832220000.0
2020-01-23,1000.292,1011.295,962.227,973.464,535954300,7075752400.0
2020-02-03,880.765,885.882,878.311,879.856,181290490,2519680400.0
2020-02-04,829.341,886.64,829.341,880.341,593294190,6884209800.0
2020-02-05,885.055,920.712,885.055,912.144,515424710,7497482600.0
2020-02-06,910.317,945.623,905.984,942.309,524390380,8108774500.0
2020-02-07,947.568,963.739,937.823,963.668,582782110,8094816900.0
2020-02-10,959.382,971.651,955.044,969.78,521462810,7419932000.0
2020-02-11,970.235,972.94,958.094,964.578,459938950,6330054700.0
2020-02-12,959.449,992.211,958.187,991.129,535921430,7616044000.0
2020-02-13,993.096,1004.453,983.865,993.094,610136560,9316007700.0
2020-02-14,992.554,1006.345,986.875,997.574,557485880,8852787700.0
2020-02-17,1007.333,1030.294,1005.311,1030.294,648052160,9015899200.0
2020-02-18,1029.343,1052.369,1027.505,1052.369,646855880,9480415600.0
2020-02-19,1050.869,1054.481,1032.761,1033.256,686369570,9687308500.0
2020-02-20,1033.832,1051.378,1018.248,1050.779,684807630,9014849600.0
2020-02-21,1048.912,1086.672,1047.485,1077.238,789973100,10494229600.0
2020-02-24,1084.069,1125.677,1084.069,1123.033,834601170,11948447700.0
2020-02-25,1105.716,1156.961,1079.867,1153.993,1126974960,14645583000.0
2020-02-26,1147.644,1164.106,1112.4,1115.826,978979510,12730504600.0
2020-02-27,1121.164,1132.122,1090.113,1109.361,779955440,10520796900.0
2020-02-28,1050.655,1081.57,1027.753,1029.45,786817280,10557443100.0
2020-03-02,1047.444,1083.438,1039.591,1075.205,667072040,9794653800.0
2020-03-03,1097.965,1120.716,1077.097,1088.169,822513160,11783639100.0
2020-03-04,1074.582,1092.985,1054.863,1080.348,620909520,9149805000.0
2020-03-05,1098.885,1103.177,1074.446,1088.947,641616900,9833298600.0
2020-03-06,1072.402,1095.268,1070.758,1087.706,580962090,8210275400.0
2020-03-09,1061.414,1065.352,1022.371,1023.546,669258660,9202071600.0
2020-03-10,1008.187,1062.576,1002.809,1062.541,623700020,8302829400.0
2020-03-11,1069.308,1079.498,1040.144,1041.677,620221250,7851376200.0
2020-03-12,1021.256,1036.457,1011.632,1027.765,479056770,5802934100.0
2020-03-13,970.568,1026.097,969.972,1011.199,558304260,7224259500.0
2020-03-16,1017.371,1019.806,944.966,950.435,502405000,7220877000.0
2020-03-17,960.62,969.3,912.819,949.232,411375670,6129982800.0
2020-03-18,960.532,974.993,928.391,928.521,405459660,6506071700.0
2020-03-19,931.23,947.175,915.374,942.527,375742760,5386815500.0
2020-03-20,960.018,962.421,940.629,959.29,338948910,5102371700.0
2020-03-23,936.201,947.992,917.393,921.593,356168310,5488101200.0
2020-03-24,944.167,948.694,907.834,938.4,547726010,7173656700.0
2020-03-25,955.064,964.03,947.993,959.673,529423520,6800354500.0
2020-03-26,952.368,954.984,935.097,937.967,558692520,6181986800.0
2020-03-27,946.179,948.253,921.169,921.181,471353940,5424075800.0
2020-03-30,901.362,901.362,874.901,883.78,454218930,5557621100.0
2020-03-31,894.768,897.797,884.205,886.451,338532200,4117693100.0
2020-04-01,888.681,904.538,883.064,884.584,445294250,4478368100.0
2020-04-02,878.029,908.488,877.474,908.488,352715120,4533822700.0
2020-04-03,908.274,912.825,897.186,902.102,424131060,4377912600.0
2020-04-07,918.557,934.242,918.557,932.394,466318400,5411402100.0
2020-04-08,929.835,941.645,928.822,936.768,401071980,5141461400.0
2020-04-09,942.226,961.766,940.236,960.78,508386640,5672606300.0
2020-04-10,958.165,958.486,920.322,923.967,496985030,5590212600.0
2020-04-13,912.885,915.201,899.886,907.323,294647730,3488570800.0
2020-04-14,913.757,933.68,912.777,933.68,305593530,4072186900.0
2020-04-15,938.725,939.748,926.572,926.958,357693400,4583938200.0
2020-04-16,921.178,936.795,916.476,934.648,321375570,4381866900.0
2020-04-17,941.165,951.512,935.901,936.708,361200070,4982108200.0
2020-04-20,937.56,953.618,932.447,953.618,342115710,4933344400.0
2020-04-21,952.164,961.082,946.322,961.082,415817810,5861086700.0
2020-04-22,949.387,968.836,947.61,967.267,360474520,4819552100.0
2020-04-23,968.243,969.692,954.59,954.989,411578630,5241084200.0
2020-04-24,951.963,956.395,937.065,940.336,472268380,5590695800.0
2020-04-27,937.828,943.511,929.989,935.103,394025060,4459737600.0
2020-04-28,933.767,933.899,884.623,913.472,396077860,4916429700.0
2020-04-29,910.717,926.328,910.451,918.908,295815640,3812187300.0
2020-04-30,927.503,954.865,926.568,951.635,475916470,6252702300.0
2020-05-06,944.391,979.705,944.253,978.508,545166200,7535264100.0
2020-05-07,978.927,981.348,970.29,971.125,506614620,6480389700.0
2020-05-08,977.446,991.559,977.446,986.54,506028420,6609573500.0
2020-05-11,997.609,1005.197,987.329,993.886,471712680,6626254100.0
2020-05-12,990.244,1000.041,981.068,999.099,520953880,6570824400.0
2020-05-13,991.651,998.799,988.904,996.647,420637300,5329992000.0
2020-05-14,993.65,1005.785,993.32,999.126,653592590,8123537300.0
2020-05-15,1001.034,1013.535,1001.034,1006.003,601286980,8521355000.0
2020-05-18,1006.078,1006.926,987.634,990.945,544548110,7747589000.0
2020-05-19,996.367,1009.075,993.838,1009.075,489882010,6740133500.0
2020-05-20,1005.16,1009.53,994.029,997.798,571342540,7605313100.0
2020-05-21,1000.765,1002.962,986.294,988.027,481451700,6647276900.0
2020-05-22,988.196,992.798,966.192,972.9,456820080,6072832700.0
2020-05-25,968.054,969.935,960.157,966.208,384560280,4880382000.0
2020-05-26,970.148,996.617,969.917,996.468,439897550,5604472900.0
2020-05-27,998.398,998.654,982.336,985.034,459465760,5524087100.0
2020-05-28,983.583,990.943,970.865,987.287,478648040,5433995900.0
2020-05-29,986.167,1003.642,985.949,1003.321,474403050,5748004900.0
2020-06-01,1015.022,1045.887,1015.022,1045.362,611704140,8432200000.0
2020-06-02,1055.035,1055.961,1042.342,1048.316,970877050,10719898300.0
2020-06-03,1050.571,1063.33,1048.019,1059.39,841887810,9457187000.0
2020-06-04,1065.588,1066.536,1057.164,1062.571,849295110,8415430000.0
2020-06-05,1062.218,1070.424,1057.47,1063.567,1349523800,13664220000.0
2020-06-08,1067.82,1074.888,1063.143,1068.747,1279625600,13736632000.0
2020-06-09,1072.111,1080.933,1065.393,1079.009,1432754900,16109474000.0
2020-06-10,1074.63,1074.688,1059.653,1070.491,1226280770,13439128000.0
2020-06-11,1069.63,1088.442,1066.161,1072.004,1391145200,14944742000.0
2020-06-12,1040.848,1077.74,1040.677,1073.452,1368162100,15222692000.0
2020-06-15,1075.13,1092.135,1073.863,1073.863,1604240200,19143062000.0
2020-06-16,1084.303,1096.546,1081.676,1096.546,1362856600,15748135000.0
2020-06-17,1095.518,1102.64,1085.585,1101.874,1627748600,17711185000.0
2020-06-18,1101.252,1108.026,1094.37,1099.147,1562777400,16084608000.0
2020-06-19,1091.867,1106.407,1088.27,1103.831,1329913640,13926564000.0
2020-06-22,1102.551,1114.933,1102.338,1112.767,1307404880,14401729000.0
2020-06-23,1114.989,1119.7,1110.14,1117.238,1248111430,14831352000.0
2020-06-24,1114.813,1121.186,1111.921,1112.637,1103225930,13058034300.0
2020-06-29,1117.176,1124.538,1111.532,1117.54,1173019940,15162632000.0
2020-06-30,1119.02,1149.1,1119.02,1145.194,1131590870,14985946000.0
2020-07-01,1149.895,1156.943,1137.121,1150.034,1550290000,19745136000.0
2020-07-02,1147.14,1161.834,1140.888,1160.679,1413095400,18575833000.0
2020-07-03,1159.664,1174.147,1153.97,1173.608,1475052300,18385151000.0
2020-07-06,1178.439,1225.928,1176.487,1223.752,1928817700,23715982000.0
2020-07-07,1234.618,1272.751,1223.423,1252.395,2115901300,27071965000.0
2020-07-08,1248.256,1273.216,1232.786,1273.002,1966386700,25132523000.0
2020-07-09,1268.576,1309.817,1268.576,1305.083,1972821200,25316360000.0
2020-07-10,1296.958,1317.718,1294.793,1299.826,1695945600,22089922000.0
2020-07-13,1301.701,1340.373,1297.502,1340.373,1607959600,21132727000.0
2020-07-14,1344.674,1349.215,1300.361,1326.155,1699885600,22290116000.0
2020-07-15,1325.926,1329.756,1262.086,1262.885,1563341900,19652940000.0
2020-07-16,1258.501,1271.06,1196.854,1197.185,1268701770,16016552000.0
2020-07-17,1197.268,1216.5,1182.081,1196.094,920306070,12459462000.0
2020-07-20,1210.881,1233.114,1196.854,1233.114,927442630,12366154800.0
2020-07-21,1238.128,1246.939,1219.883,1238.009,947492610,13076835800.0
2020-07-22,1229.336,1258.687,1221.929,1248.416,1099419340,14480746000.0
2020-07-23,1236.812,1238.447,1194.162,1227.249,1191914350,14839870000.0
2020-07-24,1225.369,1236.213,1172.941,1176.425,1333844940,16319024000.0
2020-07-27,1181.067,1184.519,1151.775,1165.919,929893580,10526002300.0
2020-07-28,1172.613,1182.94,1163.852,1176.498,731045970,8291678400.0
2020-07-29,1173.503,1210.524,1166.313,1210.524,826149400,10224989700.0
2020-07-30,1215.565,1217.713,1194.102,1197.683,800866570,10390064000.0
2020-07-31,1195.525,1223.819,1195.12,1223.819,993640920,11682687100.0
2020-08-03,1241.946,1269.281,1239.125,1269.049,1438871800,16722557000.0
2020-08-04,1275.215,1277.17,1255.133,1260.734,1486578800,17921905000.0
2020-08-05,1263.635,1270.658,1245.322,1262.895,1258729250,15368279000.0
2020-08-06,1262.6,1265.364,1236.2,1256.989,1318916830,15006547000.0
2020-08-07,1248.456,1249.049,1214.063,1235.381,1416341700,14354901000.0
2020-08-10,1229.293,1247.193,1226.924,1240.084,1157591180,11217154800.0
2020-08-11,1240.794,1242.505,1211.311,1212.184,1224717010,10684366500.0
2020-08-12,1204.402,1206.82,1162.756,1190.902,1092218810,10346289000.0
2020-08-13,1197.644,1204.81,1195.725,1198.221,674057340,6841868900.0
2020-08-14,1198.913,1212.212,1189.914,1211.398,1558135100,10000643400.0
2020-08-17,1211.735,1239.11,1210.906,1238.053,1410151600,11809186400.0
2020-08-18,1239.488,1250.415,1237.311,1250.231,1478706200,14316861000.0
2020-08-19,1247.869,1247.961,1211.754,1213.696,1622424400,13234225700.0
2020-08-20,1201.08,1214.973,1192.939,1199.561,1061069350,9046886300.0
2020-08-21,1204.93,1218.432,1194.163,1205.735,951056220,8945736900.0
2020-08-24,1208.927,1218.615,1185.596,1213.733,860208860,8996308000.0
2020-08-25,1210.364,1218.798,1206.668,1214.711,1072859660,9904000300.0
2020-08-26,1211.602,1211.603,1180.718,1186.9,990624930,9620369100.0
2020-08-27,1183.647,1201.854,1171.443,1197.714,950991490,9406969100.0
2020-08-28,1191.427,1203.03,1182.978,1201.265,839416910,8613547100.0
2020-08-31,1203.916,1217.537,1198.934,1199.148,859975860,8972483900.0
2020-09-01,1199.071,1199.575,1186.415,1199.575,833765280,7869091800.0
