日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1060.592,1068.127,1052.688,1065.307,410648210,4846429600.0
2020-01-03,1064.647,1068.596,1059.214,1064.714,313190090,3999379100.0
2020-01-06,1062.633,1070.897,1054.711,1063.32,372464000,4446617800.0
2020-01-07,1064.061,1086.16,1064.061,1086.16,326547770,4455138100.0
2020-01-08,1081.33,1081.33,1061.788,1065.017,355415990,4094406900.0
2020-01-09,1075.204,1094.811,1075.052,1094.811,358190100,5214536300.0
2020-01-10,1104.655,1105.125,1094.163,1099.366,479085150,4842122600.0
2020-01-13,1096.201,1101.634,1088.533,1101.634,290094300,3665120500.0
2020-01-14,1101.186,1104.141,1093.435,1097.788,373837560,4296691100.0
2020-01-15,1096.944,1099.976,1088.758,1094.021,304694310,3943354700.0
2020-01-16,1095.004,1105.321,1090.863,1099.899,331055950,5131934400.0
2020-01-17,1099.885,1104.922,1095.663,1099.472,302945960,4546661900.0
2020-01-20,1108.026,1116.586,1099.692,1115.785,505233500,5656928600.0
2020-01-21,1128.086,1145.427,1125.075,1140.465,867029850,8454951900.0
2020-01-22,1143.96,1143.96,1111.852,1113.258,684834820,6883871000.0
2020-01-23,1113.58,1123.516,1075.32,1092.369,611720670,7039063400.0
2020-02-03,1029.904,1050.955,1016.759,1037.861,859429470,9150425800.0
2020-02-04,1026.585,1074.26,1023.046,1069.227,810044960,8366747900.0
2020-02-05,1084.166,1112.328,1077.738,1111.959,858762590,9447266100.0
2020-02-06,1112.003,1166.339,1106.771,1148.681,1246517310,12807714200.0
2020-02-07,1147.822,1168.467,1115.662,1124.592,1256262510,11538512600.0
2020-02-10,1115.983,1115.983,1085.973,1097.057,761141380,7237680600.0
2020-02-11,1093.462,1102.129,1077.686,1102.129,622883030,6211239400.0
2020-02-12,1094.049,1103.729,1085.975,1098.253,434384220,4605483400.0
2020-02-13,1098.378,1098.378,1067.744,1073.931,461284880,4943574900.0
2020-02-14,1075.001,1083.887,1061.893,1066.568,361400020,3942053200.0
2020-02-17,1072.353,1096.081,1071.898,1096.081,452785790,5433117900.0
2020-02-18,1104.747,1108.721,1094.807,1107.977,608315380,6912909500.0
2020-02-19,1104.439,1104.439,1085.999,1087.634,510262670,5270049100.0
2020-02-20,1088.732,1102.133,1085.073,1100.727,440543500,6077617800.0
2020-02-21,1099.494,1112.878,1095.13,1112.455,465731740,5705995600.0
2020-02-24,1110.675,1119.071,1105.407,1114.42,446219950,5576388600.0
2020-02-25,1095.892,1120.408,1083.804,1117.139,633708150,6460119100.0
2020-02-26,1108.803,1112.177,1089.777,1094.022,555316490,6411838800.0
2020-02-27,1098.473,1105.629,1089.737,1097.249,394873180,4928704800.0
2020-02-28,1074.748,1086.844,1051.136,1052.169,526905430,5461563900.0
2020-03-02,1057.977,1084.706,1055.56,1083.388,448524920,5132147800.0
2020-03-03,1097.014,1108.656,1091.459,1096.858,495360770,5813361900.0
2020-03-04,1091.325,1091.627,1076.619,1090.149,357082940,4762001900.0
2020-03-05,1096.626,1118.586,1095.188,1118.586,454193610,6095388200.0
2020-03-06,1117.151,1142.842,1115.702,1136.871,480234390,6036335200.0
2020-03-09,1138.25,1140.211,1119.128,1119.128,627917090,7185595200.0
2020-03-10,1100.512,1118.16,1075.719,1117.868,522429560,6391823500.0
2020-03-11,1122.072,1124.703,1108.862,1109.249,361769140,4435018900.0
2020-03-12,1102.51,1102.51,1077.377,1083.341,343042090,4375856400.0
2020-03-13,1031.139,1064.822,1027.521,1054.555,429670660,6041418300.0
2020-03-16,1062.584,1070.274,1020.75,1021.459,379454710,4990664200.0
2020-03-17,1021.66,1031.909,966.342,1000.364,357151710,4387283400.0
2020-03-18,1010.276,1030.367,994.011,994.011,322584980,4481581300.0
2020-03-19,990.786,996.882,962.404,982.797,365971330,5346755500.0
2020-03-20,996.609,1013.215,992.512,1013.215,318125540,3997574500.0
2020-03-23,990.597,1013.027,988.855,991.976,385818300,4397323700.0
2020-03-24,1005.223,1012.64,988.223,1012.052,287064270,4087270700.0
2020-03-25,1029.639,1040.205,1020.815,1038.746,308186110,4093100900.0
2020-03-26,1033.321,1051.654,1029.268,1050.756,323921940,3910013800.0
2020-03-27,1057.846,1059.398,1041.446,1041.736,254757510,3303162600.0
2020-03-30,1034.763,1038.387,1018.828,1025.88,215345810,2834481900.0
2020-03-31,1032.899,1036.051,1023.107,1025.542,187522110,2437426400.0
2020-04-01,1023.267,1031.079,1015.253,1016.384,179369100,2308252500.0
2020-04-02,1013.549,1029.9,1005.34,1029.9,262493670,2610124900.0
2020-04-03,1038.663,1056.646,1034.952,1048.586,301902480,3344102500.0
2020-04-07,1063.608,1081.129,1062.06,1080.981,361265930,4425163700.0
2020-04-08,1077.659,1094.053,1075.183,1087.17,390911410,5047716300.0
2020-04-09,1093.234,1113.331,1090.229,1108.71,378989290,5416613800.0
2020-04-10,1112.974,1123.192,1094.396,1096.661,350083300,6161509200.0
2020-04-13,1093.014,1116.942,1091.346,1110.432,282694120,4485988200.0
2020-04-14,1109.217,1127.268,1097.742,1127.152,379652860,5160740400.0
2020-04-15,1122.357,1139.99,1120.541,1131.098,477035000,6041655300.0
2020-04-16,1122.597,1132.134,1113.711,1123.483,395328270,5038009800.0
2020-04-17,1129.994,1130.855,1111.377,1115.316,327587520,4463336500.0
2020-04-20,1120.983,1131.678,1118.73,1131.472,244842190,3379178300.0
2020-04-21,1131.508,1131.65,1116.168,1122.951,246089390,3480182900.0
2020-04-22,1119.022,1131.206,1111.325,1130.375,409157210,5725859000.0
2020-04-23,1130.37,1148.621,1123.992,1125.109,486559680,6137185200.0
2020-04-24,1127.574,1128.272,1102.772,1106.534,460495740,6061986300.0
2020-04-27,1105.644,1114.429,1084.944,1103.923,275498540,4297205200.0
2020-04-28,1099.61,1101.621,1059.704,1083.146,430995270,5727969200.0
2020-04-29,1076.863,1090.606,1069.524,1070.42,331860420,4983982400.0
2020-04-30,1072.603,1077.528,1070.441,1074.386,309775690,4622233900.0
2020-05-06,1073.393,1096.893,1069.776,1096.893,304059930,4413022700.0
2020-05-07,1097.977,1109.137,1095.523,1103.949,353603680,4300337400.0
2020-05-08,1105.618,1118.689,1102.567,1116.663,321718630,4406627900.0
2020-05-11,1121.131,1125.358,1117.221,1121.139,325812890,4645200500.0
2020-05-12,1121.298,1124.906,1108.112,1118.357,289760200,4084910500.0
2020-05-13,1114.738,1134.979,1111.966,1133.039,311423560,4991661900.0
2020-05-14,1128.856,1135.178,1122.17,1124.831,280483270,3835112200.0
2020-05-15,1127.309,1132.021,1113.992,1120.72,252734530,4094073800.0
2020-05-18,1119.672,1132.462,1117.496,1124.617,265969180,4569352800.0
2020-05-19,1131.626,1138.545,1122.255,1127.263,242665500,3431999800.0
2020-05-20,1126.06,1128.147,1114.404,1120.359,250595510,4053123200.0
2020-05-21,1121.34,1130.07,1107.388,1109.995,244038130,4348391400.0
2020-05-22,1110.781,1110.942,1080.492,1085.415,287816870,3743634400.0
2020-05-25,1084.927,1093.015,1081.948,1087.085,230974340,3197659900.0
2020-05-26,1089.078,1111.575,1088.039,1111.174,278769910,4009025000.0
2020-05-27,1110.917,1113.015,1097.471,1101.843,240876770,3495825400.0
2020-05-28,1100.862,1102.947,1080.401,1090.931,206136600,3226762900.0
