日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,965.732,987.553,964.068,985.242,788257850,6924153600.0
2020-01-03,986.622,1005.569,985.779,1001.112,791079780,7438502600.0
2020-01-06,990.877,1021.225,988.072,1012.242,979911590,9718835100.0
2020-01-07,1013.634,1044.545,1013.634,1044.545,1148411880,10466518300.0
2020-01-08,1034.586,1038.548,1015.472,1018.297,1166169100,9549590600.0
2020-01-09,1031.28,1043.176,1025.618,1035.712,918140880,8227928700.0
2020-01-10,1043.777,1045.75,1034.491,1039.404,923704940,9122414300.0
2020-01-13,1037.398,1058.04,1033.8,1058.04,908963240,8904828700.0
2020-01-14,1065.908,1074.581,1064.281,1066.952,1122124080,10286643500.0
2020-01-15,1072.135,1081.212,1066.623,1079.433,1248918560,13713052000.0
2020-01-16,1086.852,1087.238,1062.081,1063.022,1084803060,11813197200.0
2020-01-17,1063.857,1069.469,1053.773,1059.866,983917540,10481206800.0
2020-01-20,1056.872,1058.024,1039.875,1056.49,777396310,8269744200.0
2020-01-21,1054.138,1054.295,1038.423,1038.598,814154430,8513701000.0
2020-01-22,1034.314,1050.267,1019.072,1044.437,913328690,8248531500.0
2020-01-23,1033.54,1037.795,983.08,992.07,823128300,8046073200.0
2020-02-03,896.78,907.041,896.012,898.203,496275720,3172405300.0
2020-02-04,839.866,907.965,839.866,899.395,951995900,8053418600.0
2020-02-05,908.235,939.872,908.235,931.71,850185120,7861517800.0
2020-02-06,935.182,973.385,929.602,970.023,1154813520,9921200900.0
2020-02-07,976.006,1001.801,970.578,1001.416,1183698310,10543916800.0
2020-02-10,1001.418,1008.507,988.358,1002.524,1059383310,9335595000.0
2020-02-11,1004.899,1005.351,983.304,988.854,777861990,7253614000.0
2020-02-12,986.695,1010.392,984.229,1009.91,880487310,8161767100.0
2020-02-13,1010.732,1016.111,989.455,990.606,782362110,7690614000.0
2020-02-14,987.761,999.233,977.166,986.023,741759740,6875068000.0
2020-02-17,990.032,1022.645,990.032,1022.645,836437210,8435358600.0
2020-02-18,1025.628,1049.54,1022.678,1049.389,985826220,10839640500.0
2020-02-19,1044.871,1045.998,1029.398,1029.398,941136550,9900395300.0
2020-02-20,1031.468,1051.9,1022.239,1051.9,906271190,9959898900.0
2020-02-21,1055.79,1081.442,1055.081,1073.364,1163827500,13066175600.0
2020-02-24,1072.141,1096.967,1064.714,1093.155,1098995960,12615866000.0
2020-02-25,1065.389,1075.948,1024.122,1073.164,1234177350,13148208400.0
2020-02-26,1059.964,1070.864,1035.444,1039.831,1102168680,11445726500.0
2020-02-27,1043.967,1052.363,1023.54,1042.726,882795150,8867751300.0
