日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,795.971,805.399,793.41,804.434,1615024000,12212506500.0
2020-01-03,804.962,808.948,802.808,807.737,1464727900,11229049500.0
2020-01-06,804.627,826.752,802.37,820.55,1879874900,15401626000.0
2020-01-07,821.919,827.374,817.039,827.374,1861676300,14681556000.0
2020-01-08,825.988,832.988,816.816,820.248,1896570100,14507964000.0
2020-01-09,828.653,832.39,827.33,832.333,1535997700,12027041500.0
2020-01-10,832.719,833.679,819.946,824.064,1223311310,9683772700.0
2020-01-13,825.374,832.98,819.001,832.98,1211599940,10271764700.0
2020-01-14,838.235,845.749,836.017,838.355,1662997700,13517315000.0
2020-01-15,836.862,836.862,820.67,826.516,1749995500,12457799400.0
2020-01-16,824.936,827.954,818.198,819.425,1264326690,9783132800.0
2020-01-17,820.763,821.77,812.618,813.452,1113900270,8683049200.0
2020-01-20,813.015,822.703,809.678,822.699,1135123630,9783503200.0
2020-01-21,819.508,819.607,809.224,809.423,1057376710,8617392500.0
2020-01-22,802.905,817.666,792.563,814.637,1326671500,11304048500.0
2020-01-23,805.096,811.802,777.461,783.487,1593916600,12688761600.0
2020-02-03,706.586,708.962,704.591,704.813,683339960,5057228900.0
2020-02-04,656.816,700.83,656.816,696.814,2085681000,14062484000.0
2020-02-05,702.177,730.601,702.13,721.103,1991099600,14879403000.0
2020-02-06,718.7,737.458,713.327,735.296,1932908800,14225150000.0
2020-02-07,733.606,740.947,727.012,738.964,1683058300,13373029600.0
2020-02-10,737.659,758.089,734.705,758.089,1832342500,14317814000.0
2020-02-11,758.096,758.875,748.662,751.957,1493054000,12028722400.0
2020-02-12,749.182,769.222,748.773,769.222,1638687000,13935894000.0
2020-02-13,770.213,773.495,758.685,761.062,1599653800,13573659000.0
2020-02-14,758.648,767.605,752.95,759.698,1456614400,12262684900.0
2020-02-17,761.144,785.767,761.144,785.767,1768676400,13951256000.0
2020-02-18,787.183,806.057,786.246,806.057,2134017400,16604709000.0
2020-02-19,813.513,818.89,805.511,806.032,3137178800,22725929000.0
2020-02-20,807.354,823.216,803.071,822.807,2495337100,18652153000.0
2020-02-21,825.272,839.785,824.664,830.549,2490553600,20040207000.0
2020-02-24,830.374,849.167,822.482,845.47,2936852800,23016972000.0
2020-02-25,824.705,851.113,804.845,849.722,3450427000,26834211000.0
2020-02-26,839.831,860.336,834.563,837.643,3135207700,23138489000.0
2020-02-27,841.193,845.687,825.868,832.749,2226199300,15709191000.0
2020-02-28,801.088,814.238,785.564,785.911,2507271600,17470351000.0
2020-03-02,790.857,820.677,790.857,817.45,2081543800,14389534000.0
2020-03-03,831.326,840.7,815.638,823.331,2238446500,16223469000.0
2020-03-04,816.454,825.918,810.27,825.918,1564468000,11689083800.0
2020-03-05,838.528,842.945,833.231,842.09,2073040500,15633588000.0
2020-03-06,833.459,848.332,831.116,841.469,1882800500,13679634000.0
2020-03-09,832.727,835.584,807.984,808.204,1974667500,15573819000.0
2020-03-10,793.619,828.807,783.796,828.807,2213803000,16487309000.0
2020-03-11,828.518,834.778,813.63,813.63,2098671100,16716203000.0
2020-03-12,797.298,803.941,787.377,795.921,1629296100,12793507200.0
2020-03-13,753.959,791.665,752.319,784.512,1972929600,14628300000.0
2020-03-16,792.647,793.77,745.108,746.786,1878240600,14091691000.0
2020-03-17,752.499,758.845,722.009,748.049,1739559600,12837765900.0
2020-03-18,753.269,764.713,734.427,734.427,1667095400,13000397700.0
2020-03-19,733.524,747.317,721.492,743.729,1559506500,12139794800.0
2020-03-20,751.447,753.546,739.049,750.178,1417490000,11109999200.0
2020-03-23,729.495,737.294,715.002,716.965,1406336800,10430111700.0
2020-03-24,729.659,732.472,708.229,729.906,1462623600,10816642000.0
2020-03-25,744.711,747.87,739.338,747.077,1380430900,10502467200.0
2020-03-26,741.56,741.668,731.697,731.752,1072035410,7839541700.0
2020-03-27,739.613,740.818,726.316,726.388,914951260,6658820500.0
2020-03-30,716.388,716.388,699.357,707.662,1019158520,7258453200.0
2020-03-31,715.561,716.211,704.071,704.468,856990720,5748145100.0
2020-04-01,704.726,718.726,702.426,706.706,992319160,7083172600.0
2020-04-02,703.035,727.92,702.11,727.92,1124997290,8399282800.0
2020-04-03,725.637,729.628,717.569,722.1,1017798410,7179180800.0
2020-04-07,734.695,743.013,732.885,742.005,1161402350,8195088500.0
2020-04-08,739.09,750.504,737.808,747.371,1216811830,8985243800.0
