日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,734.164,739.67,732.125,736.95,452475380,3344486600.0
2020-01-03,737.689,741.297,734.143,739.686,367424870,2522109500.0
2020-01-06,737.349,750.373,733.988,746.303,472486460,3382897200.0
2020-01-07,744.737,759.85,744.737,759.291,488511370,3821058200.0
2020-01-08,757.604,758.392,744.195,744.763,447686120,3489010300.0
2020-01-09,749.39,751.78,742.657,746.572,329421420,2464846300.0
2020-01-10,747.149,748.525,735.882,737.801,261537580,1964266400.0
2020-01-13,739.125,743.159,732.862,742.934,252356780,1825947900.0
2020-01-14,742.304,751.941,742.304,746.325,383471860,3255341200.0
2020-01-15,744.17,744.17,730.949,732.946,271999440,2112033300.0
2020-01-16,733.816,736.658,729.501,730.643,226856410,1792496400.0
2020-01-17,731.647,732.932,726.653,727.9,232641940,1807672600.0
2020-01-20,727.295,727.513,719.472,726.197,249257510,1873023800.0
2020-01-21,725.434,725.434,709.152,709.836,257030220,1888999700.0
2020-01-22,706.322,713.318,697.328,710.863,216357610,1543290600.0
2020-01-23,703.408,706.371,679.045,683.597,288802450,1986062700.0
2020-02-03,615.361,617.054,615.361,615.361,253617780,1187625320.0
2020-02-04,573.048,603.112,573.048,599.559,545564300,3235925300.0
2020-02-05,600.897,617.735,599.625,609.676,365069540,2261028500.0
2020-02-06,611.506,620.038,605.87,617.56,328899600,2044021400.0
2020-02-07,616.133,617.83,607.568,617.227,281247990,1721166200.0
2020-02-10,615.013,634.19,612.59,633.354,330732250,2115683500.0
2020-02-11,633.925,649.58,631.193,639.878,398171780,2726083400.0
2020-02-12,638.075,650.328,636.195,650.21,300533620,2160395100.0
2020-02-13,649.006,656.815,646.162,649.086,337582040,2476933800.0
2020-02-14,647.011,649.921,642.34,645.022,255177540,1828782600.0
2020-02-17,646.624,664.631,646.252,664.631,351573830,2313976300.0
2020-02-18,663.579,672.675,661.92,671.878,352765990,2438628500.0
2020-02-19,672.212,685.526,671.032,677.872,432511470,3243471700.0
2020-02-20,679.551,692.217,679.455,691.546,552312130,4082678900.0
2020-02-21,689.61,694.478,686.281,692.274,457016770,3445868400.0
2020-02-24,693.634,700.057,686.895,697.921,535323850,4105023300.0
2020-02-25,681.659,685.353,662.934,683.728,532919870,3922221600.0
2020-02-26,678.692,700.555,674.392,688.242,590635290,4304416800.0
2020-02-27,689.934,693.144,682.177,685.611,356652820,2587054200.0
2020-02-28,666.21,670.519,651.198,653.552,476097460,3271011900.0
2020-03-02,655.295,678.814,655.295,677.322,443453970,2883433600.0
2020-03-03,687.262,691.399,678.323,683.284,425690710,2814121600.0
2020-03-04,677.58,690.332,677.17,690.332,341516610,2036081200.0
2020-03-05,695.111,703.254,692.925,703.025,441053640,2894141000.0
2020-03-06,695.094,707.574,694.46,704.727,359626670,2603378200.0
2020-03-09,694.881,699.773,686.378,686.728,469754050,3255555500.0
2020-03-10,672.103,691.604,665.404,691.527,373140690,2507090300.0
2020-03-11,693.521,694.573,683.539,683.96,284494900,1832531000.0
2020-03-12,676.229,676.921,661.896,666.694,269088300,1694848600.0
2020-03-13,631.333,657.358,631.17,654.511,329886160,2011415700.0
2020-03-16,660.51,662.489,634.654,637.284,314468400,1893886600.0
2020-03-17,637.349,644.399,613.48,629.894,303232770,1732681200.0
2020-03-18,636.418,640.631,620.771,621.608,263398850,1573853500.0
2020-03-19,618.652,623.095,604.982,617.697,267235870,1493852500.0
2020-03-20,622.968,625.221,613.912,624.243,173918680,996932360.0
2020-03-23,610.707,612.391,601.043,601.723,210313580,1163086060.0
2020-03-24,610.772,614.149,601.636,614.008,183585010,999431410.0
2020-03-25,624.618,628.99,620.467,627.836,214337910,1217789440.0
2020-03-26,625.024,628.764,620.559,620.902,152209030,858690470.0
2020-03-27,628.148,628.352,618.485,619.317,141379810,787696450.0
2020-03-30,612.532,612.749,602.597,607.089,146033380,795829810.0
2020-03-31,611.322,613.096,606.752,609.103,152995240,822407820.0
2020-04-01,608.937,614.894,606.137,607.705,133451830,784498630.0
2020-04-02,603.759,621.957,601.556,621.957,210932210,1269087590.0
2020-04-03,620.769,620.769,610.106,611.48,139476900,821955820.0
2020-04-07,619.743,626.431,618.123,625.122,190239670,1084699770.0
2020-04-08,621.457,631.301,620.747,628.83,178657050,1046902130.0
2020-04-09,631.344,632.495,627.297,631.761,160998860,919487650.0
2020-04-10,630.596,630.596,614.726,616.108,201023970,1218596930.0
2020-04-13,613.406,613.576,607.448,609.104,127915641,746286720.0
2020-04-14,606.962,614.926,606.15,613.922,173535880,1009238050.0
2020-04-15,612.808,613.093,607.943,608.621,223238030,1276958150.0
2020-04-16,605.497,607.628,603.062,606.485,137183140,866626660.0
2020-04-17,608.0,611.75,606.322,607.157,197787560,1201856160.0
2020-04-20,607.555,607.555,603.048,604.895,174069120,1053821390.0
2020-04-21,601.626,601.719,594.375,597.209,167690500,969197240.0
2020-04-22,594.658,601.652,592.672,600.937,150757080,840570450.0
2020-04-23,602.292,604.146,598.564,600.936,173857660,1006930850.0
2020-04-24,603.401,607.999,594.902,596.496,354202150,2397081900.0
2020-04-27,594.952,595.07,584.573,584.991,238548830,1488798100.0
2020-04-28,582.283,584.336,555.583,564.551,244049600,1308118910.0
2020-04-29,564.287,569.348,561.562,566.415,126496693,710204660.0
2020-04-30,568.611,579.055,568.611,578.439,148068810,872926660.0
2020-05-06,572.047,585.007,571.032,584.695,164120250,954908180.0
2020-05-07,584.527,584.527,579.813,581.749,146107130,849397980.0
2020-05-08,583.108,590.457,582.158,590.457,143389250,880671130.0
2020-05-11,591.556,594.63,587.007,588.463,168413390,1025363710.0
2020-05-12,587.199,587.446,577.277,586.887,144314630,899279560.0
2020-05-13,583.878,595.921,582.249,595.704,191066660,1168739720.0
2020-05-14,593.113,599.698,590.54,594.691,254007100,1447509000.0
2020-05-15,595.535,599.359,589.515,594.559,194027470,1128090170.0
2020-05-18,592.332,600.788,592.332,597.786,211817000,1151409550.0
2020-05-19,596.615,600.631,594.85,597.245,210603890,1187493160.0
2020-05-20,595.017,597.21,590.596,594.247,224439300,1242314430.0
2020-05-21,596.303,601.079,592.486,594.82,440221380,2831851000.0
2020-05-22,587.78,588.894,571.799,577.401,294005350,1750842300.0
2020-05-25,569.713,575.88,565.981,568.258,189608250,1055771620.0
2020-05-26,569.401,578.275,568.607,577.025,183298140,988698150.0
2020-05-27,575.507,589.095,570.731,586.318,300312970,1934440700.0
2020-05-28,585.117,590.767,581.716,590.406,319761970,2338393800.0
2020-05-29,586.167,590.132,585.48,587.894,246486840,1694359600.0
2020-06-01,588.206,599.892,588.206,598.906,302861160,1930946700.0
2020-06-02,603.959,607.745,602.398,607.745,282121060,1744646700.0
2020-06-03,610.315,610.315,604.053,604.419,364561740,1836087500.0
2020-06-04,605.876,606.532,600.373,603.161,255632500,1271364510.0
2020-06-05,603.027,604.688,598.681,604.557,251273080,1339291590.0
2020-06-08,606.216,606.864,602.232,603.17,217274920,1083752160.0
2020-06-09,603.487,608.371,601.572,608.371,215010380,1225112470.0
2020-06-10,608.703,611.33,604.308,608.538,284500320,1478470100.0
2020-06-11,609.134,609.398,600.147,604.123,252236250,1315244380.0
2020-06-12,593.024,601.125,590.742,597.528,247776250,1247124210.0
2020-06-15,590.718,598.013,589.393,589.947,237776200,1161247160.0
2020-06-16,592.848,604.482,591.966,604.482,314520230,1688929900.0
2020-06-17,603.224,609.013,601.674,604.722,266144480,1532917400.0
2020-06-18,604.1,615.689,602.879,611.074,357089990,1929881200.0
2020-06-19,609.472,613.648,607.884,611.421,243342080,1344812600.0
2020-06-22,611.646,612.504,606.236,607.65,216408890,1191019870.0
2020-06-23,607.149,607.149,602.262,603.467,199719580,1122890900.0
2020-06-24,604.603,605.48,600.475,600.676,169200970,943253170.0
2020-06-29,598.256,598.256,592.779,596.326,185093770,1056740530.0
2020-06-30,599.674,602.294,598.726,601.898,147183270,861531300.0
2020-07-01,602.755,605.561,600.704,605.242,178413640,1035581140.0
2020-07-02,608.571,619.13,602.226,618.3,333707500,1920893000.0
2020-07-03,618.998,635.51,618.17,633.438,478954830,2824882200.0
2020-07-06,638.659,668.983,638.659,668.635,706345190,4296661500.0
2020-07-07,675.885,680.269,658.196,667.697,722572900,4499252000.0
2020-07-08,672.654,682.318,663.893,680.007,584553150,3844794300.0
2020-07-09,673.242,693.171,668.29,689.937,715253190,4630635500.0
2020-07-10,683.102,684.757,667.629,669.338,511171410,3332706000.0
2020-07-13,667.753,687.831,666.705,687.568,548055260,3614724700.0
2020-07-14,687.818,695.403,669.08,681.263,561557720,3704156700.0
2020-07-15,681.583,684.901,657.549,658.264,457454790,2945982600.0
2020-07-16,659.119,662.713,627.422,627.637,418656970,2664738000.0
2020-07-17,628.253,632.049,615.312,622.852,305259550,1811933600.0
2020-07-20,625.984,652.741,625.984,652.349,370601470,2239437100.0
2020-07-21,656.397,661.133,650.915,658.184,316778270,2079837700.0
2020-07-22,656.817,665.726,654.404,657.151,354019850,2403289200.0
2020-07-23,651.984,654.51,636.609,648.727,315439010,2043265400.0
2020-07-24,645.654,655.489,625.358,630.74,357479790,2261605200.0
2020-07-27,634.553,636.723,621.745,627.412,214708280,1333053660.0
2020-07-28,629.936,637.466,629.37,634.123,239475150,1525278500.0
2020-07-29,632.968,644.817,625.43,644.468,273270220,1744965200.0
2020-07-30,646.719,652.133,643.038,643.557,273520540,1769084200.0
2020-07-31,640.708,650.427,637.569,649.503,305550110,1936351100.0
2020-08-03,653.002,665.418,651.853,665.418,440678260,2867128400.0
2020-08-04,666.768,667.271,656.38,659.044,373760450,2553520900.0
2020-08-05,665.666,674.022,657.984,672.538,389337590,2505823400.0
2020-08-06,678.686,682.379,670.88,675.433,378267900,2515926700.0
2020-08-07,678.001,679.119,657.472,660.331,452454710,3427485200.0
2020-08-10,656.939,668.391,656.237,664.328,330739040,2284597900.0
2020-08-11,666.253,667.461,653.568,654.948,394371840,2586852500.0
2020-08-12,650.833,666.002,645.948,666.002,380955490,2317577800.0
2020-08-13,665.354,672.9,662.736,666.925,321003760,1931141400.0
2020-08-14,664.18,670.797,656.811,670.177,279361050,1791485000.0
2020-08-17,673.822,686.691,673.822,686.691,521457300,3482774700.0
2020-08-18,688.898,689.799,682.211,687.411,549075830,3703198700.0
2020-08-19,684.724,689.166,677.904,679.333,410282450,2768306000.0
2020-08-20,676.244,684.359,673.715,675.825,448239800,3131758200.0
2020-08-21,675.097,679.783,672.819,677.963,365751670,2342399400.0
2020-08-24,677.189,687.895,669.749,681.991,368949460,2405357800.0
2020-08-25,679.637,693.495,679.111,690.733,481528910,3028022100.0
2020-08-26,685.16,687.011,670.516,672.725,403751540,2502240200.0
2020-08-27,671.066,683.129,664.322,683.076,315646910,1926298700.0
2020-08-28,676.247,682.257,675.13,680.363,290444930,1806403800.0
2020-08-31,681.895,688.763,678.944,679.575,302448550,1986919000.0
2020-09-01,677.747,682.429,673.504,682.243,237006690,1485280100.0
2020-09-02,684.197,698.777,682.717,693.906,399331320,2378772500.0
2020-09-03,692.548,696.907,686.671,691.422,453717360,2754399500.0
2020-09-04,681.302,706.022,679.104,703.733,405356870,2423015200.0
2020-09-07,709.955,727.744,708.153,713.883,453064610,2946928500.0
2020-09-08,719.564,738.474,710.331,737.727,556561740,3377152000.0
2020-09-09,728.934,748.358,716.587,718.477,709216620,4503975800.0
2020-09-10,712.856,715.484,669.843,672.789,513441350,2997094900.0
2020-09-11,663.914,683.42,662.683,679.704,335297230,1801676200.0
2020-09-14,680.852,703.675,680.729,703.675,341718320,2012234500.0
2020-09-15,706.067,706.271,695.638,700.291,270257700,1645157600.0
2020-09-16,697.524,700.885,691.942,695.85,271404190,1622311700.0
2020-09-17,696.167,700.076,688.326,694.03,301415410,1820434500.0
2020-09-18,693.691,699.758,688.977,698.922,431157190,2649866500.0
2020-09-21,701.92,702.259,690.996,692.823,302855850,1861736600.0
2020-09-22,686.89,692.676,680.668,685.368,277934920,1635428200.0
2020-09-23,687.143,702.662,686.112,700.192,334142810,1965855500.0
2020-09-24,698.824,698.824,674.019,675.344,377677510,2245910500.0
2020-09-25,678.033,680.874,665.067,668.243,216832050,1296488140.0
2020-09-28,669.536,674.794,663.254,666.039,207222860,1201193990.0
2020-09-29,667.538,669.397,659.191,666.318,200767810,1145057240.0
2020-09-30,666.558,677.512,665.087,666.095,268153160,1639000700.0
2020-10-09,679.018,689.312,679.018,687.544,287975380,1848700800.0
2020-10-12,693.704,717.629,693.704,716.547,411061490,2809600400.0
2020-10-13,710.076,717.154,708.094,713.289,354642290,2359274100.0
