日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2021-03-02,1020.296,1085.537,1020.296,1080.599,1168682550,9471541700.0
2021-03-03,1081.656,1125.649,1070.58,1118.468,2399693500,16341175000.0
2021-03-04,1116.746,1143.934,1116.152,1129.128,2878753100,18394491000.0
2021-03-05,1129.528,1144.376,1117.943,1119.834,2806672600,18393784000.0
2021-03-08,1131.717,1154.958,1131.717,1132.702,2806429000,19737380000.0
2021-03-09,1124.366,1124.366,1071.391,1082.414,3378896000,22592190000.0
2021-03-10,1076.756,1104.203,1066.942,1094.828,2619297400,17315108000.0
2021-03-11,1094.411,1145.073,1094.411,1144.499,3381984600,23025145000.0
2021-03-12,1150.055,1209.267,1140.82,1187.416,4335871900,30173955000.0
2021-03-15,1184.721,1199.01,1172.109,1182.426,4577465000,31936723000.0
2021-03-16,1180.281,1260.755,1176.679,1260.593,5303882100,36675165000.0
2021-03-17,1249.896,1253.128,1233.21,1238.196,4869947600,32662429000.0
2021-03-18,1234.275,1269.638,1233.923,1249.606,4722425900,32909316000.0
2021-03-19,1221.773,1278.542,1219.811,1246.235,4853135200,34019546000.0
2021-03-22,1261.887,1327.022,1261.887,1322.433,5400753100,38090221000.0
2021-03-23,1323.325,1326.696,1300.298,1304.318,5698100900,44530421000.0
2021-03-24,1289.264,1352.8,1288.784,1334.805,6499193000,48523836000.0
2021-03-25,1326.735,1326.929,1265.261,1278.979,6096886000,44271491000.0
2021-03-26,1272.902,1308.123,1272.902,1295.224,5402194700,39735718000.0
2021-03-29,1296.96,1318.817,1286.768,1304.176,5421975600,42020249000.0
2021-03-30,1286.123,1286.123,1245.928,1262.827,5198478900,39102403000.0
2021-03-31,1248.717,1285.603,1243.199,1274.65,4453663700,34015305000.0
2021-04-01,1262.685,1263.629,1249.196,1256.741,5130611700,35652078000.0
2021-04-02,1255.275,1256.642,1235.421,1236.112,4468668800,31093785000.0
2021-04-06,1234.397,1278.653,1234.397,1274.845,4801136400,34306122000.0
2021-04-07,1275.818,1301.989,1274.23,1299.649,5011584400,37811680000.0
2021-04-08,1295.597,1295.597,1263.235,1263.728,5111320700,39283278000.0
2021-04-09,1253.777,1283.887,1253.777,1270.544,3874684000,29916428000.0
2021-04-12,1268.461,1278.516,1260.996,1265.048,4285840500,33602431000.0
2021-04-13,1255.571,1255.571,1234.223,1237.971,3889452400,30626612000.0
2021-04-14,1227.838,1239.021,1218.467,1239.021,3046543300,23634975000.0
2021-04-15,1231.636,1231.636,1212.659,1213.949,2950986100,21758350000.0
2021-04-16,1213.336,1234.607,1213.336,1233.037,2688224300,19840408000.0
2021-04-19,1234.883,1255.281,1234.883,1250.082,3124249400,23209822000.0
2021-04-20,1247.098,1263.125,1242.519,1251.619,3682305100,28692534000.0
2021-04-21,1243.446,1244.489,1227.001,1228.508,2936906200,22892985000.0
2021-04-22,1230.149,1240.586,1224.331,1227.714,2397152800,18190089000.0
2021-04-23,1234.231,1235.84,1216.992,1222.828,2693902400,19770159000.0
2021-04-26,1214.044,1219.103,1203.14,1204.475,2950879600,20021711000.0
2021-04-27,1199.064,1199.106,1166.27,1176.053,2395690200,17971922000.0
2021-04-28,1172.96,1184.586,1172.241,1177.093,2141955700,15657664000.0
2021-04-29,1173.99,1185.95,1169.088,1174.85,2121452800,15886991000.0
2021-04-30,1171.757,1171.757,1149.458,1156.211,2234016500,16345289000.0
2021-05-06,1157.511,1183.705,1157.511,1180.437,2319546100,17391303000.0
2021-05-07,1179.917,1190.534,1172.189,1182.017,2624961600,20698891000.0
2021-05-10,1180.587,1199.631,1175.432,1199.424,2897642000,22327796000.0
2021-05-11,1196.465,1217.534,1192.541,1213.211,3222512200,26155983000.0
2021-05-12,1207.39,1214.757,1198.065,1214.583,2558915100,20802889000.0
2021-05-13,1204.931,1221.187,1202.443,1202.443,2592710800,19975835000.0
2021-05-14,1205.466,1237.722,1205.466,1231.229,3013606000,23797499000.0
2021-05-17,1226.313,1226.641,1210.136,1212.109,2627102900,21139842000.0
2021-05-18,1209.508,1229.787,1201.494,1229.729,2625222800,20664263000.0
2021-05-19,1229.968,1250.253,1227.932,1250.0,3175959300,26145918000.0
2021-05-20,1247.303,1257.962,1233.122,1248.086,3683166100,31602344000.0
2021-05-21,1248.814,1276.329,1243.773,1272.067,3714967100,30871242000.0
2021-05-24,1277.388,1302.901,1277.388,1281.849,3947765600,32881209000.0
2021-05-25,1280.096,1282.102,1264.543,1277.664,3519618200,28400787000.0
2021-05-26,1276.189,1307.636,1273.991,1298.524,3585014700,30349959000.0
2021-05-27,1294.387,1315.124,1291.651,1310.619,3659168100,32388740000.0
