日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-03-28,996.183,1009.24,983.339,1001.414,1068666720,7677779700.0
2022-03-29,1002.598,1004.166,987.802,992.553,923756060,6259539100.0
2022-03-30,996.147,1007.86,996.133,1007.86,1056778860,7600101100.0
2022-03-31,1005.886,1008.632,995.161,997.18,1071462240,7374975800.0
2022-04-01,989.725,1000.342,982.994,999.077,894856490,6022543800.0
2022-04-06,997.018,1015.212,994.46,1014.854,1224003490,8451164100.0
2022-04-07,1009.768,1013.439,991.125,991.125,1322509110,9081511900.0
2022-04-08,991.104,996.466,973.669,988.487,1327590550,9550614500.0
2022-04-11,985.4,985.4,950.61,955.711,1286542240,9098115000.0
2022-04-12,950.138,967.831,940.105,967.831,1017034780,7215776800.0
2022-04-13,961.945,963.842,947.414,948.172,872695860,6378359000.0
2022-04-14,950.539,960.695,948.541,956.446,935064880,7150211400.0
2022-04-15,953.301,967.986,946.229,953.722,1176814780,8591768900.0
2022-04-18,945.624,954.743,931.737,953.16,951806600,6781456000.0
2022-04-19,953.04,962.943,948.996,954.294,832794380,6133077400.0
2022-04-20,951.93,953.923,928.702,931.565,999905910,7099081100.0
2022-04-21,928.159,928.602,887.75,890.237,1091041780,7007416600.0
2022-04-22,887.289,906.496,880.889,901.296,993779470,6589704700.0
2022-04-25,888.252,888.252,830.187,831.258,1331333220,8756112600.0
2022-04-26,830.78,840.771,802.407,804.562,1209452740,7667581800.0
2022-04-27,798.993,839.479,789.05,839.479,1407787400,9044465900.0
2022-04-28,831.954,841.22,816.664,827.472,1126384760,7642278100.0
2022-04-29,832.743,861.579,832.743,860.094,1237113700,8069481800.0
2022-05-05,860.758,889.284,860.001,882.164,1124201270,7419959100.0
2022-05-06,860.795,872.351,855.348,863.633,857355040,6029702400.0
2022-05-09,861.375,883.074,861.375,879.491,612044830,4314506200.0
2022-05-10,869.284,896.93,867.196,896.171,1104732440,7191054300.0
2022-05-11,896.159,920.424,896.159,900.856,1265228880,8472954600.0
2022-05-12,904.122,919.117,899.012,913.659,1066548310,7248004300.0
2022-05-13,918.115,920.531,906.042,917.111,1051479760,7178102000.0
2022-05-16,918.533,920.429,909.977,918.246,1011046760,7136798200.0
2022-05-17,916.763,918.901,904.016,916.524,946443020,6649488200.0
