日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,716.671,723.798,713.859,723.191,458704500,3380943600.0
2020-01-03,723.243,728.062,721.857,726.629,510746480,3329581400.0
2020-01-06,725.345,737.525,724.147,733.077,544222420,4068125500.0
2020-01-07,733.217,738.14,729.884,737.564,515496770,3837101800.0
2020-01-08,735.529,745.768,733.597,738.726,578277980,4847927900.0
2020-01-09,738.774,744.385,738.605,743.709,428429280,3516707800.0
2020-01-10,744.179,744.866,733.414,738.001,324731600,2648086300.0
2020-01-13,736.981,745.444,733.716,745.444,321906760,2887825300.0
2020-01-14,745.18,750.46,744.329,748.158,473992580,4285790900.0
2020-01-15,747.765,749.512,739.067,743.842,377407510,3180299300.0
2020-01-16,744.242,745.024,739.633,740.243,341184390,2921475100.0
2020-01-17,743.497,745.967,738.217,739.894,300483660,2614545300.0
2020-01-20,745.799,746.703,741.065,745.867,441690960,3872348600.0
2020-01-21,744.835,747.297,740.721,742.221,458782830,3426063400.0
2020-01-22,741.838,745.098,728.773,741.711,411313430,3253647200.0
2020-01-23,731.314,732.404,706.623,712.644,484622500,3841402300.0
2020-02-03,646.135,649.323,642.554,647.227,450104430,3064697900.0
2020-02-04,610.53,639.108,610.53,636.254,722564730,5078451200.0
2020-02-05,636.518,658.71,636.518,648.151,648764770,4753213300.0
2020-02-06,649.585,664.912,643.219,663.56,810659280,5069342400.0
2020-02-07,665.425,671.216,657.599,668.273,865278410,4974892300.0
2020-02-10,671.732,683.924,667.825,683.613,728700510,4916102300.0
2020-02-11,682.549,682.549,670.627,672.016,573374190,3971178700.0
2020-02-12,671.3,683.315,670.5,683.023,545815540,3611045900.0
2020-02-13,686.4,689.053,676.497,677.546,620985430,4010619400.0
2020-02-14,673.865,679.378,667.714,671.453,332300950,2890702400.0
2020-02-17,675.136,700.963,674.925,700.963,431505330,4010227600.0
2020-02-18,702.41,716.407,701.964,716.407,486557560,4205907700.0
2020-02-19,715.58,722.856,713.047,713.534,592879170,5493800400.0
2020-02-20,715.398,724.915,709.405,724.477,443008900,4046915800.0
2020-02-21,724.333,742.654,723.6,738.381,537660230,4846848800.0
2020-02-24,743.006,757.765,738.425,754.241,674112970,6024520700.0
2020-02-25,740.778,760.37,725.374,759.405,851304980,7964604000.0
2020-02-26,754.398,772.431,752.761,755.888,865312490,8208530000.0
2020-02-27,758.611,763.949,742.041,751.961,605987040,5321064000.0
2020-02-28,731.043,742.773,721.519,721.595,827751740,7146954400.0
2020-03-02,735.358,758.069,735.358,757.159,764577600,6667270900.0
2020-03-03,770.837,780.891,769.691,773.364,744614420,7046382000.0
2020-03-04,777.249,786.242,770.343,782.339,480819000,4517684300.0
2020-03-05,801.887,812.191,801.395,812.191,812132390,7585066100.0
2020-03-06,818.638,851.069,816.851,844.199,1320334320,11446681900.0
2020-03-09,848.098,864.451,843.965,844.772,1344835400,11751410900.0
2020-03-10,833.399,863.631,820.154,860.445,1524312100,13838382000.0
2020-03-11,852.949,877.361,852.86,861.497,1361340500,12260723200.0
2020-03-12,848.021,855.285,813.611,817.688,1145274940,10534358900.0
2020-03-13,767.75,811.251,766.594,802.883,1196934920,9726724700.0
2020-03-16,815.375,822.844,773.419,776.79,1295342910,11058927400.0
2020-03-17,771.847,778.733,740.072,765.134,1079531130,8483684100.0
2020-03-18,765.733,772.682,741.35,741.35,953721940,7915126700.0
2020-03-19,732.251,744.176,717.746,738.208,756874130,6167382200.0
2020-03-20,745.051,748.213,730.627,739.962,597305140,5058447000.0
2020-03-23,722.781,727.226,697.486,700.276,597926240,4834933700.0
2020-03-24,713.715,716.697,684.297,707.631,563941030,4551592500.0
2020-03-25,722.634,729.833,714.817,728.666,550133070,4619787700.0
2020-03-26,723.677,729.185,718.832,720.992,500666990,4546383900.0
2020-03-27,729.124,731.434,721.432,723.215,486100800,4468059300.0
2020-03-30,716.995,722.132,705.733,715.706,517456530,5242974300.0
2020-03-31,721.012,722.912,707.029,707.038,416552620,4595918200.0
2020-04-01,704.131,709.793,694.809,696.943,380917510,4063285100.0
2020-04-02,692.524,717.074,691.159,717.074,480295860,4592935900.0
2020-04-03,717.632,723.987,711.624,714.284,438033500,4545652700.0
2020-04-07,725.989,746.762,725.028,744.518,556606360,5513379200.0
2020-04-08,741.525,751.863,738.65,747.243,549824270,5441717500.0
2020-04-09,750.953,758.022,750.475,752.16,515938640,4715524600.0
2020-04-10,748.09,748.09,732.377,734.64,588507890,5296617100.0
2020-04-13,736.41,743.924,733.357,738.542,484782850,5272001300.0
2020-04-14,746.464,751.046,741.243,749.873,604343240,5164908900.0
2020-04-15,748.517,752.799,741.375,744.354,539387840,4746635500.0
2020-04-16,738.68,747.139,737.083,740.939,585840330,5247657100.0
2020-04-17,745.065,746.59,738.59,740.287,490840710,4567423200.0
2020-04-20,741.183,753.14,739.179,753.14,474265270,4579557000.0
2020-04-21,753.815,759.488,749.787,757.492,644218670,5933305700.0
2020-04-22,749.313,762.775,746.863,759.891,597973030,5023346700.0
2020-04-23,762.872,766.762,757.689,760.571,575296420,5165235700.0
2020-04-24,758.316,758.661,743.025,746.257,535452930,4857291300.0
2020-04-27,744.209,745.967,733.083,733.883,492244590,4721981900.0
2020-04-28,722.718,723.109,687.184,702.41,577593460,5084447900.0
2020-04-29,693.634,704.913,692.699,695.435,366021710,3462277200.0
2020-04-30,691.522,701.895,690.918,698.706,346921300,3282383200.0
2020-05-06,688.697,707.669,686.263,707.562,426084200,4082243500.0
2020-05-07,704.191,708.926,702.27,704.573,442321620,4529642100.0
2020-05-08,705.606,710.722,702.885,707.213,445838220,4544221400.0
2020-05-11,709.055,710.546,703.158,707.344,421051830,3902622900.0
2020-05-12,707.048,707.048,698.099,705.261,365384880,3608061300.0
2020-05-13,703.105,716.606,699.615,715.394,502703620,4956350600.0
2020-05-14,715.912,715.912,709.125,709.125,385222720,3938482800.0
2020-05-15,712.095,714.724,704.429,707.573,344053840,3595472600.0
2020-05-18,712.474,716.358,708.07,710.751,373259720,3645189000.0
2020-05-19,715.738,720.574,710.386,713.936,510321830,5438394200.0
2020-05-20,713.199,721.731,705.178,707.32,499725930,5280749200.0
2020-05-21,703.348,705.859,695.423,695.423,575881520,5567207500.0
2020-05-22,693.632,694.095,677.695,685.025,439569780,4196685800.0
2020-05-25,685.883,688.601,676.275,678.012,357290850,3418144800.0
2020-05-26,678.459,693.162,676.503,692.684,345968640,3469422800.0
2020-05-27,693.233,704.063,693.179,697.051,580616870,5846223300.0
2020-05-28,693.78,698.652,689.852,697.417,571208590,5479432000.0
2020-05-29,695.821,702.67,695.821,699.398,466455650,4686127900.0
2020-06-01,698.577,714.071,697.908,713.366,468534030,4689988000.0
2020-06-02,714.775,718.686,712.496,715.81,416009020,4156067400.0
2020-06-03,717.577,718.702,711.662,711.892,416216310,4035211600.0
2020-06-04,712.491,712.949,705.088,707.379,353047180,3464677800.0
2020-06-05,708.235,710.789,703.928,709.964,364981850,3657114900.0
2020-06-08,712.265,713.507,705.055,706.455,272875340,2727382900.0
2020-06-09,706.354,706.643,702.783,704.743,230890840,2183815200.0
2020-06-10,706.41,706.633,699.617,703.654,271344320,2455439700.0
2020-06-11,702.133,709.104,698.114,701.539,299288900,2914066000.0
2020-06-12,688.278,707.095,686.961,703.588,319109040,3527739400.0
2020-06-15,705.665,709.03,702.961,704.408,380755800,4642289400.0
2020-06-16,708.187,711.712,706.214,711.237,313047020,3521137800.0
2020-06-17,712.171,712.64,705.079,709.622,305756570,3427547200.0
2020-06-18,707.464,710.44,703.81,708.586,282146020,2748142400.0
2020-06-19,707.295,713.298,706.975,711.513,239183360,2630949700.0
2020-06-22,713.784,715.934,710.962,712.53,261262440,2843878800.0
2020-06-23,711.855,712.133,706.726,708.21,257614110,2678301000.0
2020-06-24,708.028,709.429,703.698,705.255,210492690,2319927000.0
2020-06-29,704.545,708.275,701.974,703.509,277992040,2960716700.0
2020-06-30,707.721,713.117,706.347,711.205,219397200,2309248200.0
2020-07-01,712.799,714.377,707.186,712.526,277408620,2841870400.0
2020-07-02,713.001,724.749,711.29,724.318,416738890,4389390500.0
2020-07-03,725.102,732.117,723.739,732.117,465396370,4498550800.0
2020-07-06,738.967,760.013,738.239,759.118,699580740,6556358400.0
2020-07-07,766.835,777.185,755.337,764.447,729199040,7177457800.0
2020-07-08,764.363,787.883,759.369,787.391,644717160,6913142300.0
2020-07-09,788.329,812.65,787.538,811.212,784586150,8315724000.0
2020-07-10,809.831,816.647,802.472,807.044,626793520,7142129300.0
2020-07-13,814.344,838.986,814.344,838.986,784567090,9067649000.0
2020-07-14,838.728,845.25,812.626,830.231,852704370,9538429400.0
2020-07-15,831.561,833.823,806.269,815.166,735098240,7797015400.0
2020-07-16,816.036,822.274,780.96,782.643,621606250,6581971400.0
2020-07-17,780.296,796.242,773.458,793.298,437270710,4860823200.0
2020-07-20,805.531,828.569,803.322,828.569,591022500,6623650900.0
2020-07-21,830.535,834.665,819.089,826.584,705282710,7131078400.0
2020-07-22,823.275,835.627,821.738,825.804,636984110,6242635500.0
2020-07-23,820.431,831.493,807.381,831.493,637964220,6773896400.0
2020-07-24,831.241,834.813,792.417,793.828,633724370,6746995100.0
2020-07-27,794.105,799.903,785.867,790.152,444210070,4753993400.0
2020-07-28,794.041,806.284,794.041,803.332,455038550,5359162900.0
