日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1787.374,1823.616,1772.707,1813.489,1332186640,13407086600.0
2020-01-03,1803.824,1805.684,1788.162,1793.369,948727670,9733514600.0
2020-01-06,1782.699,1807.345,1778.245,1794.509,960243630,10691732900.0
2020-01-07,1790.394,1813.703,1788.889,1813.703,867173630,9764498800.0
2020-01-08,1803.744,1809.418,1785.3,1787.186,746213480,8061202900.0
2020-01-09,1812.814,1824.265,1807.569,1820.838,647909120,7585845800.0
2020-01-10,1833.435,1834.903,1812.528,1817.129,606780340,7215518800.0
2020-01-13,1816.068,1830.973,1806.785,1830.973,628153520,7547621100.0
2020-01-14,1833.718,1847.155,1833.41,1840.089,664396080,7483690900.0
2020-01-15,1839.698,1841.558,1822.996,1833.797,607990850,6819908400.0
2020-01-16,1833.43,1833.492,1818.532,1824.991,486244260,5767986500.0
2020-01-17,1830.432,1851.77,1829.479,1841.699,623495780,7390430300.0
2020-01-20,1929.016,1947.723,1910.687,1947.097,966293210,13494358000.0
2020-01-21,2019.991,2044.525,2019.991,2043.726,1239606990,17818929000.0
2020-01-22,2097.835,2097.835,1991.523,1991.833,1847624400,21073189000.0
2020-01-23,2001.329,2039.208,1971.733,2005.905,1728444700,20284166000.0
2020-02-03,2022.111,2058.259,1998.386,2019.596,1108477060,18428112000.0
2020-02-04,2024.87,2090.025,1981.051,2076.028,2005771000,26038772000.0
2020-02-05,2093.173,2195.394,2074.238,2192.405,2087800200,29641957000.0
2020-02-06,2212.444,2320.791,2208.392,2274.684,1951399300,31577601000.0
2020-02-07,2302.666,2329.0,2203.749,2212.358,2348360200,33982045000.0
2020-02-10,2209.283,2209.283,2134.907,2166.628,1664721100,24263931000.0
2020-02-11,2132.747,2133.325,2092.638,2131.741,1157207860,16227400000.0
2020-02-12,2111.029,2158.612,2097.357,2131.332,1590727000,20088099000.0
2020-02-13,2133.835,2136.195,2079.755,2101.809,1639991700,21034644000.0
2020-02-14,2112.448,2123.021,2065.265,2086.255,1397712400,18885538000.0
2020-02-17,2103.843,2135.79,2101.888,2135.79,1281068430,15532430000.0
2020-02-18,2172.752,2172.752,2136.613,2155.715,1647808600,23044229000.0
2020-02-19,2156.617,2156.617,2098.036,2099.283,1425320900,19219446000.0
2020-02-20,2091.064,2097.081,2046.221,2077.887,1264164380,15785204000.0
2020-02-21,2077.98,2108.622,2063.494,2101.025,1279368030,16039075000.0
2020-02-24,2116.771,2146.725,2113.371,2132.684,1324934930,16730989000.0
2020-02-25,2110.797,2224.155,2103.794,2222.274,1910703700,24451047000.0
2020-02-26,2229.882,2229.882,2143.381,2149.328,1885836400,23196677000.0
2020-02-27,2141.64,2154.58,2100.628,2107.954,1184590820,14169449000.0
2020-02-28,2066.247,2121.426,2051.569,2054.953,1359757700,16081103000.0
2020-03-02,2084.048,2118.254,2072.567,2117.985,1313362070,15703349000.0
2020-03-03,2126.473,2186.847,2122.009,2170.809,1578729500,20118278000.0
2020-03-04,2152.934,2168.556,2137.638,2164.472,1258883070,15944536000.0
2020-03-05,2173.335,2198.783,2163.549,2190.552,1262500970,16576937000.0
2020-03-06,2184.474,2232.512,2181.57,2217.017,1277202510,16281390000.0
2020-03-09,2220.073,2255.314,2209.084,2224.13,1801998800,22684938000.0
2020-03-10,2181.816,2193.47,2115.355,2177.938,1559703500,19936613000.0
2020-03-11,2169.752,2187.023,2153.89,2154.809,1194218100,14576422000.0
2020-03-12,2145.339,2162.352,2076.873,2087.079,1107251070,14522347000.0
2020-03-13,1970.826,2050.603,1964.021,2027.537,1156640880,14789665000.0
2020-03-16,2069.674,2103.929,2007.944,2013.105,1179079710,15069010000.0
2020-03-17,2012.971,2029.029,1909.169,1980.013,1083180810,14046302000.0
2020-03-18,2006.76,2033.481,1984.084,1985.29,983435110,13329664500.0
2020-03-19,1981.692,1995.345,1927.596,1967.692,1133398020,15240079000.0
2020-03-20,1986.307,2026.432,1981.722,2025.66,1081152450,15618988000.0
2020-03-23,1998.202,2052.52,1982.376,1995.035,1114673560,15618073000.0
2020-03-24,2009.705,2013.906,1948.208,1997.844,1056694630,14346682000.0
2020-03-25,2024.013,2062.247,2007.28,2062.168,1042984710,14464560000.0
2020-03-26,2045.176,2127.034,2040.217,2118.166,1399308400,19818888000.0
2020-03-27,2130.837,2130.837,2072.977,2075.521,1062220520,15326532000.0
2020-03-30,2060.224,2102.055,2049.159,2058.945,933915100,13493393000.0
2020-03-31,2060.257,2081.051,2045.759,2064.817,848412540,12143584500.0
2020-04-01,2057.026,2067.024,2025.85,2029.469,926624460,13629294000.0
2020-04-02,2020.403,2034.062,1983.466,2034.062,816789650,11132121800.0
2020-04-03,2031.987,2075.248,2030.165,2054.202,913428560,12731525000.0
2020-04-07,2084.125,2159.0,2072.013,2150.704,1236092330,16906865000.0
2020-04-08,2141.681,2189.427,2126.039,2163.481,1222596120,18155582000.0
2020-04-09,2175.201,2214.424,2159.004,2198.746,1296710080,19630282000.0
2020-04-10,2199.593,2227.604,2154.615,2163.097,1042561810,15578750000.0
2020-04-13,2162.685,2222.348,2158.112,2209.906,992601960,14757728000.0
2020-04-14,2209.735,2252.357,2177.79,2245.738,1142238400,17686568000.0
2020-04-15,2249.195,2319.716,2245.651,2312.902,1425306900,20480648000.0
2020-04-16,2306.98,2350.72,2288.94,2317.564,1347998200,18477478000.0
2020-04-17,2329.642,2334.485,2276.863,2283.772,1595742800,27315030000.0
2020-04-20,2288.689,2328.807,2287.908,2327.771,1123754970,17936948000.0
2020-04-21,2323.729,2325.597,2289.855,2303.617,1417524100,22073478000.0
2020-04-22,2279.407,2314.468,2259.5,2311.962,1159523530,17670327000.0
2020-04-23,2318.732,2367.549,2318.732,2325.927,1368244700,22526653000.0
2020-04-24,2330.555,2330.555,2243.638,2249.533,1182318380,18921862000.0
2020-04-27,2249.482,2254.537,2209.069,2228.282,907938040,14938228000.0
2020-04-28,2224.619,2230.112,2119.719,2167.324,1024917670,14640889000.0
2020-04-29,2163.26,2185.073,2137.106,2138.245,816951380,12177135200.0
2020-04-30,2142.274,2160.589,2130.023,2155.855,706852380,12235086800.0
2020-05-06,2138.701,2199.345,2137.636,2199.339,680150000,12383998700.0
2020-05-07,2200.677,2226.675,2186.202,2201.092,706391130,13085833500.0
2020-05-08,2206.899,2223.632,2196.825,2220.398,650374010,12004670400.0
2020-05-11,2225.593,2232.151,2203.167,2226.448,748602640,13976737000.0
2020-05-12,2221.39,2246.02,2216.425,2237.518,667948790,13366763700.0
2020-05-13,2230.565,2251.443,2215.384,2245.487,579353610,10454943600.0
2020-05-14,2234.712,2234.712,2192.785,2192.934,591467110,10066265100.0
2020-05-15,2199.629,2214.08,2185.789,2190.437,473557150,8537033700.0
2020-05-18,2193.905,2202.075,2178.069,2184.457,539217800,9675111600.0
2020-05-19,2197.656,2212.494,2183.345,2192.599,477565760,9334736200.0
2020-05-20,2190.45,2191.555,2152.144,2164.011,535333540,8864850200.0
2020-05-21,2168.938,2180.996,2144.442,2148.228,519863110,9571403900.0
2020-05-22,2148.4,2148.4,2090.582,2100.461,516237830,9041507100.0
2020-05-25,2100.902,2124.141,2094.347,2113.875,458827840,7676208000.0
2020-05-26,2120.698,2156.798,2110.625,2156.622,428094720,7518161900.0
2020-05-27,2160.008,2160.415,2120.96,2126.085,458637970,7892505200.0
2020-05-28,2124.13,2126.265,2071.396,2092.984,410894020,7424333300.0
2020-05-29,2094.233,2132.129,2090.665,2127.036,413012280,7183599400.0
2020-06-01,2135.432,2186.566,2131.858,2185.257,559730950,10214219000.0
2020-06-02,2191.34,2191.369,2173.29,2177.528,579359010,9446613200.0
2020-06-03,2193.044,2232.087,2193.037,2198.625,705436490,11693565700.0
2020-06-04,2202.844,2210.882,2184.846,2204.515,536439830,9287251400.0
2020-06-05,2204.518,2208.361,2191.015,2203.746,441191890,7510765800.0
2020-06-08,2217.976,2231.327,2212.118,2222.934,509697180,9336803200.0
2020-06-09,2222.543,2255.866,2210.57,2255.55,506683380,9269760500.0
2020-06-10,2255.767,2281.445,2254.356,2273.98,558453930,10321930400.0
2020-06-11,2276.186,2276.186,2230.107,2237.924,550832940,9765883100.0
2020-06-12,2194.984,2262.498,2191.885,2248.897,655065720,11465799000.0
2020-06-15,2292.326,2353.56,2292.326,2353.56,1137991830,17674036000.0
2020-06-16,2355.922,2358.223,2317.147,2357.849,940117100,16403031000.0
2020-06-17,2367.968,2467.266,2367.918,2452.166,1333865930,22318915000.0
2020-06-18,2457.137,2457.137,2388.832,2412.867,1147071880,21496425000.0
2020-06-19,2400.842,2402.064,2377.986,2392.411,803296400,14364170000.0
2020-06-22,2395.817,2410.387,2383.461,2401.632,763720020,14620601000.0
2020-06-23,2397.523,2404.01,2385.952,2390.763,592188590,11250018800.0
2020-06-24,2390.132,2403.892,2346.392,2358.4,576793420,11184269000.0
2020-06-29,2364.937,2394.434,2364.466,2388.898,640985080,12141301000.0
2020-06-30,2398.968,2444.637,2390.757,2441.226,692887090,12699596600.0
2020-07-01,2447.74,2459.196,2417.799,2447.703,795078850,15577076000.0
2020-07-02,2448.365,2465.079,2430.365,2454.389,737283060,14232398000.0
2020-07-03,2450.26,2475.151,2426.517,2468.669,880215930,16361060000.0
2020-07-06,2473.499,2529.348,2463.57,2521.844,1111044220,20601484000.0
2020-07-07,2524.887,2581.915,2509.612,2559.081,1278394660,23794509000.0
2020-07-08,2555.366,2566.97,2517.76,2566.97,1084887490,18901529000.0
2020-07-09,2554.417,2658.743,2550.9,2647.616,1306598520,24226431000.0
2020-07-10,2649.911,2686.127,2619.94,2641.408,1261760320,24367332000.0
2020-07-13,2649.999,2763.193,2649.999,2763.132,1314155120,26939994000.0
2020-07-14,2775.627,2788.386,2663.779,2718.563,1363303400,28220861000.0
2020-07-15,2719.393,2750.945,2661.874,2677.156,1143328360,23313757000.0
2020-07-16,2675.25,2676.818,2494.104,2502.143,1108613830,21769121000.0
2020-07-17,2498.0,2546.492,2479.501,2512.055,727167980,15052149000.0
2020-07-20,2538.032,2553.67,2486.696,2553.67,693127070,14416539000.0
2020-07-21,2554.621,2606.209,2546.169,2605.66,710606260,15319574000.0
2020-07-22,2602.565,2637.104,2580.612,2623.127,726490990,15324208000.0
2020-07-23,2603.894,2698.033,2581.068,2698.033,1507229100,24882396000.0
2020-07-24,2674.052,2680.977,2537.116,2548.676,1357506400,23860724000.0
2020-07-27,2555.485,2602.67,2555.485,2590.077,831695480,18063545000.0
2020-07-28,2606.025,2618.893,2574.429,2618.522,806226380,18176503000.0
2020-07-29,2614.199,2721.716,2602.701,2714.086,1423413500,24366269000.0
2020-07-30,2711.791,2810.868,2710.048,2735.231,1596195700,31108855000.0
2020-07-31,2717.413,2795.764,2690.619,2789.48,1463105200,28208419000.0
2020-08-03,2810.266,2847.575,2783.513,2847.575,1473811900,29584359000.0
2020-08-04,2834.191,2863.001,2780.367,2794.433,1553197600,35362933000.0
2020-08-05,2763.901,2824.652,2737.672,2816.891,1106145290,25305108000.0
2020-08-06,2808.867,2833.222,2731.454,2763.855,1036212720,24081391000.0
2020-08-07,2768.478,2791.518,2671.489,2732.248,971987800,24339307000.0
2020-08-10,2721.04,2753.264,2681.734,2734.873,813601690,20426113000.0
2020-08-11,2731.012,2757.911,2683.854,2686.644,843991500,19417559000.0
2020-08-12,2699.005,2707.955,2602.695,2649.577,826097550,18798599000.0
2020-08-13,2657.091,2695.463,2642.956,2666.436,943386320,17848916000.0
2020-08-14,2657.498,2686.096,2635.753,2685.896,643194720,12942643400.0
2020-08-17,2687.774,2725.376,2681.153,2725.376,756772450,16650060000.0
2020-08-18,2728.65,2760.924,2726.672,2750.196,925563630,16621813000.0
2020-08-19,2747.751,2747.751,2690.238,2693.036,908534690,17855317000.0
2020-08-20,2672.018,2698.203,2653.073,2666.574,590816560,11511429600.0
2020-08-21,2680.568,2700.795,2667.331,2682.342,675058560,11710328800.0
2020-08-24,2678.468,2687.573,2642.038,2679.798,632005950,11489733400.0
2020-08-25,2687.967,2692.581,2656.293,2661.143,636996400,10457270400.0
2020-08-26,2657.366,2681.482,2617.56,2625.834,699767150,11806420800.0
2020-08-27,2631.143,2648.059,2609.039,2645.664,428423670,8804498300.0
2020-08-28,2649.126,2701.762,2645.303,2700.837,578232060,12313483600.0
2020-08-31,2719.732,2744.782,2708.335,2709.372,583228780,13011437300.0
2020-09-01,2716.631,2717.807,2687.412,2709.103,552072750,9458932200.0
2020-09-02,2716.624,2724.813,2680.78,2709.967,606992220,9873985100.0
2020-09-03,2710.036,2764.149,2705.188,2729.114,709145600,11788154200.0
2020-09-04,2684.066,2706.627,2660.641,2703.929,574737900,9750250000.0
