日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-08-24,1001.405,1003.354,972.469,995.162,282902120,17906543000.0
2020-08-25,995.685,1004.126,987.69,991.122,441357010,23855253000.0
2020-08-26,988.679,992.793,949.559,952.831,549552520,29767083000.0
2020-08-27,953.774,974.056,939.749,964.904,508971260,26957640000.0
2020-08-28,959.82,966.164,949.169,963.996,466771620,28601014000.0
2020-08-31,966.283,981.073,965.683,968.889,431884860,25384183000.0
2020-09-01,967.835,972.608,964.143,968.598,355668480,19770032000.0
2020-09-02,969.846,971.486,955.405,960.319,408928050,23957715000.0
2020-09-03,958.598,968.848,955.692,962.434,452655690,26883648000.0
2020-09-04,948.51,961.911,946.998,961.129,413719520,24884963000.0
2020-09-07,958.776,964.124,925.948,927.211,520440730,30668710000.0
2020-09-08,927.34,930.678,912.912,919.765,364555400,22974199000.0
2020-09-09,910.924,910.924,879.864,879.864,457735760,24629532000.0
2020-09-10,886.333,892.353,852.642,854.824,372311380,19432179000.0
2020-09-11,851.204,884.475,847.714,882.659,335012240,17117686000.0
2020-09-14,893.254,910.395,892.84,897.932,330478680,19428076000.0
2020-09-15,899.092,912.454,890.802,907.09,322256750,17888097000.0
2020-09-16,905.779,906.35,893.725,901.742,347269560,17109321000.0
2020-09-17,899.152,953.054,897.317,942.226,668871380,30422621000.0
2020-09-18,940.182,948.419,934.592,944.581,506161020,24831807000.0
2020-09-21,944.199,946.281,931.761,934.923,411608570,22529508000.0
2020-09-22,927.813,935.767,919.129,922.451,465165690,22923784000.0
2020-09-23,925.328,949.718,925.328,944.679,462945860,24664929000.0
2020-09-24,936.925,937.937,918.23,920.007,390413580,20360834000.0
2020-09-25,922.599,926.036,901.54,902.856,295963140,16175065000.0
2020-09-28,903.965,905.463,877.622,878.625,382642130,18958658000.0
2020-09-29,883.831,899.646,883.831,891.089,347038120,16620371000.0
2020-09-30,892.33,900.729,888.088,889.753,311930050,15489439000.0
2020-10-09,906.981,921.638,906.981,919.952,364865750,18316315000.0
2020-10-12,926.702,951.023,926.164,951.023,500773880,27018613000.0
2020-10-13,951.187,957.0,946.788,955.122,396535320,21628585000.0
2020-10-14,953.474,953.763,944.647,946.964,351576290,19250539000.0
2020-10-15,947.415,951.136,931.628,932.681,368133820,22045680000.0
2020-10-16,934.215,934.44,922.297,930.227,292697290,17644023000.0
2020-10-19,933.825,935.324,919.973,920.964,318811830,20836136000.0
2020-10-20,919.53,926.461,910.756,926.461,317002290,17895047000.0
2020-10-21,927.582,930.205,912.756,913.796,299596530,18266158000.0
2020-10-22,911.313,911.313,903.097,904.477,265789200,17985591000.0
2020-10-23,905.879,908.212,878.025,878.732,299196710,19295916000.0
2020-10-26,875.384,887.826,867.573,882.564,239088500,14614134000.0
2020-10-27,880.892,896.238,879.929,896.238,248997420,15093093000.0
2020-10-28,896.296,897.315,884.862,892.907,333118660,18804926000.0
2020-10-29,882.482,889.902,879.923,885.99,741555480,21388141000.0
2020-10-30,889.712,893.808,869.14,869.14,784363310,27686971000.0
2020-11-02,871.176,874.19,849.585,861.67,656970420,22603244000.0
2020-11-03,863.685,891.692,863.41,891.239,624938000,22239842000.0
2020-11-04,893.896,897.409,886.108,891.253,519923080,18784468000.0
2020-11-05,910.157,910.239,897.877,906.2,621372290,20186570000.0
2020-11-06,907.52,908.412,891.492,899.54,526401180,18181817000.0
2020-11-09,907.928,941.565,907.928,939.238,793542250,33657939000.0
2020-11-10,938.95,939.284,925.428,928.226,607278570,26618521000.0
2020-11-11,924.885,925.924,901.263,902.32,666029950,26020432000.0
2020-11-12,905.479,908.039,893.686,895.931,504778450,17845656000.0
2020-11-13,894.538,908.566,889.484,904.22,451745320,17845914000.0
2020-11-16,909.82,913.392,904.096,911.413,472800600,17251710000.0
2020-11-17,913.047,913.17,891.222,901.261,500955730,19752072000.0
