日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,793.816,799.68,793.816,797.571,677046640,6243603700.0
2020-01-03,799.293,800.319,793.19,797.967,612142440,5467941500.0
2020-01-06,793.742,802.48,789.758,797.452,694643200,6279239700.0
2020-01-07,797.322,805.34,797.322,805.34,563309800,4894063300.0
2020-01-08,802.777,802.777,788.344,789.556,642858420,5582559700.0
2020-01-09,796.847,802.115,794.694,800.089,644888480,6473143000.0
2020-01-10,801.662,801.735,791.726,793.483,545638820,4781396000.0
2020-01-13,794.097,798.282,787.026,798.058,531190260,4743318700.0
2020-01-14,799.943,803.911,798.199,798.824,501175170,4754193500.0
2020-01-15,798.536,799.346,792.511,795.332,491594860,4472339200.0
2020-01-16,797.846,798.009,789.754,790.413,580304070,4751605000.0
2020-01-17,791.717,793.545,782.965,783.627,480867160,3824081600.0
2020-01-20,783.465,785.442,776.568,785.122,411254190,3715365700.0
2020-01-21,782.738,782.738,768.892,768.949,524024090,4899828500.0
2020-01-22,763.911,770.472,755.967,767.546,394277340,4184549300.0
2020-01-23,757.82,758.364,734.14,738.123,470184960,4639747600.0
2020-02-03,665.26,667.643,664.279,665.491,416865650,5215367700.0
2020-02-04,622.882,654.396,622.882,652.019,994861990,6903967100.0
2020-02-05,653.155,670.951,650.843,662.688,727518310,5431800000.0
2020-02-06,665.547,674.644,657.43,671.773,755493510,5314969500.0
2020-02-07,669.074,674.67,664.046,674.378,659040470,4463156000.0
2020-02-10,670.498,685.328,667.761,684.456,605959300,4933004900.0
2020-02-11,684.96,689.744,681.967,685.228,581118870,4406168000.0
2020-02-12,685.536,689.39,682.075,689.17,446691890,3332233300.0
2020-02-13,689.425,699.397,685.084,686.241,605431370,5051198200.0
2020-02-14,686.339,697.395,685.588,695.436,610658480,4953487500.0
2020-02-17,698.364,711.357,697.091,711.357,622447460,5187012700.0
2020-02-18,710.065,713.426,703.479,713.1,625041670,4834479600.0
2020-02-19,712.327,718.19,710.276,710.984,518202090,4160230400.0
2020-02-20,711.542,723.144,704.242,723.144,613901050,5012608900.0
2020-02-21,721.634,735.172,720.754,730.806,728661240,5923720100.0
2020-02-24,728.09,728.451,717.945,725.01,744251250,5808983200.0
2020-02-25,711.964,721.507,699.382,721.507,775228010,6213339800.0
