日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1525.705,1559.653,1521.646,1557.444,1519951900,20345846000.0
2020-01-03,1566.72,1588.566,1561.801,1586.946,1499154300,20770789000.0
2020-01-06,1577.084,1613.199,1570.75,1597.675,1604677800,21772163000.0
2020-01-07,1601.544,1639.905,1599.115,1639.012,1560028100,21393872000.0
2020-01-08,1630.579,1641.894,1610.565,1612.636,2008151700,26269307000.0
2020-01-09,1627.976,1648.269,1627.957,1647.688,2314854400,27937493000.0
2020-01-10,1659.195,1662.761,1637.563,1645.51,2025772200,26206664000.0
2020-01-13,1638.292,1664.032,1628.718,1664.032,1719271500,25326708000.0
2020-01-14,1666.635,1666.855,1649.864,1651.037,2183666500,26931429000.0
2020-01-15,1646.763,1662.935,1643.115,1660.663,1698251600,23373312000.0
2020-01-16,1657.313,1663.542,1645.38,1647.596,1519155400,20690269000.0
2020-01-17,1654.192,1669.376,1645.092,1648.358,1395727400,19470970000.0
2020-01-20,1646.381,1667.245,1632.426,1667.245,1582518900,22710678000.0
2020-01-21,1657.511,1657.511,1629.574,1629.574,1545127900,23310572000.0
2020-01-22,1608.135,1639.282,1589.106,1631.042,1528504400,23857224000.0
2020-01-23,1614.033,1632.155,1552.233,1571.838,1902121200,28572047000.0
2020-02-03,1421.17,1425.911,1419.705,1423.151,653288300,8487820600.0
2020-02-04,1326.211,1418.871,1326.211,1408.963,2065688100,26536560000.0
2020-02-05,1413.769,1471.988,1413.473,1444.286,1930146700,26687670000.0
2020-02-06,1449.698,1497.029,1440.708,1494.407,1918934100,25492066000.0
2020-02-07,1501.047,1543.684,1497.867,1543.667,2100830700,31678847000.0
2020-02-10,1542.619,1567.767,1539.018,1564.449,1854389200,28046557000.0
2020-02-11,1569.803,1571.277,1538.709,1544.355,1912865200,25407876000.0
2020-02-12,1536.334,1591.631,1534.515,1590.954,2106009000,29870962000.0
2020-02-13,1592.057,1607.943,1573.689,1580.563,2344883000,35422049000.0
2020-02-14,1574.455,1615.385,1572.926,1590.658,2077010700,33549411000.0
2020-02-17,1600.375,1651.079,1600.375,1651.079,2291930000,33925051000.0
2020-02-18,1649.329,1691.881,1641.477,1691.881,2322390400,37419642000.0
