日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2023-06-09,1010.207,1019.429,997.819,1002.892,413545650,7465352700.0
2023-06-12,992.155,997.912,987.646,994.423,560565260,8397678600.0
2023-06-13,988.801,1000.957,982.403,996.98,538523640,7665118500.0
2023-06-14,994.265,1004.466,989.111,993.803,520217180,7859681200.0
2023-06-15,993.503,996.125,979.497,981.407,501329040,7817519800.0
2023-06-16,977.452,996.28,968.672,990.452,494361090,7150635900.0
2023-06-19,989.646,1003.447,987.926,1003.112,489845570,7498994200.0
2023-06-20,997.027,1004.34,988.508,996.249,450466490,7139509000.0
2023-06-21,994.651,994.651,956.903,957.307,406784390,6378049500.0
2023-06-26,946.765,955.617,911.901,914.084,344901080,4900082800.0
2023-06-27,917.333,929.012,915.833,926.409,261577720,3878313900.0
2023-06-28,926.413,926.413,887.794,914.295,367155330,5440569200.0
2023-06-29,912.768,932.958,911.107,927.418,322746160,4688492300.0
2023-06-30,924.579,939.813,921.723,936.601,316410820,4698900400.0
2023-07-03,938.742,940.0,918.959,928.235,310127960,4396023800.0
2023-07-04,927.637,934.233,925.638,932.889,249703380,3683816300.0
2023-07-05,931.567,941.415,920.535,921.219,270627110,3817492100.0
2023-07-06,920.242,935.53,917.144,922.017,230685740,3292586800.0
2023-07-07,921.019,921.019,899.136,907.489,240442430,3473511200.0
2023-07-10,909.461,911.643,900.823,902.004,187818450,2527487400.0
2023-07-11,902.833,910.215,899.314,909.23,182862450,2501644400.0
2023-07-12,909.134,912.43,883.251,883.885,278209260,3574867500.0
2023-07-13,887.835,906.168,886.283,905.097,238544610,3307561500.0
2023-07-14,906.493,935.43,906.466,929.111,334713090,4640507200.0
2023-07-17,925.918,932.54,919.262,925.911,279831450,4261891600.0
2023-07-18,925.741,925.741,912.874,915.684,243018850,3526147400.0
2023-07-19,916.946,938.013,916.946,936.484,286242950,4657435000.0
2023-07-20,934.161,934.906,916.654,918.713,300462670,5026248600.0
2023-07-21,912.483,915.854,906.474,908.407,221252540,3686368200.0
