日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-09-07,1060.176,1090.556,1044.76,1053.905,1211193000,23670622000.0
2020-09-08,1055.489,1101.115,1055.376,1088.639,1431898700,26810033000.0
2020-09-09,1071.339,1084.676,1031.061,1034.907,1912280300,32656529000.0
2020-09-10,1027.217,1035.941,979.186,985.587,1386596500,21987901000.0
2020-09-11,956.308,1005.509,956.308,999.934,1226700540,18733830000.0
2020-09-14,1017.129,1080.933,1015.504,1080.933,1453062900,24825085000.0
2020-09-15,1080.748,1080.748,1043.396,1049.152,1201450410,21646966000.0
2020-09-16,1045.917,1085.015,1045.917,1057.078,1086004850,19319892000.0
2020-09-17,1044.256,1106.227,1035.17,1088.918,1498842000,25104097000.0
2020-09-18,1080.794,1098.066,1071.23,1087.267,1370421100,22017041000.0
2020-09-21,1081.922,1101.398,1079.732,1082.412,1117854230,19315143000.0
2020-09-22,1056.549,1070.05,1046.145,1058.263,1178365700,18000711000.0
2020-09-23,1059.644,1084.648,1059.644,1073.857,1176791690,20374865000.0
2020-09-24,1050.678,1052.896,1021.213,1021.466,1083572770,17606507000.0
2020-09-25,1027.564,1029.623,998.764,1004.147,865061130,13832927000.0
2020-09-28,1007.773,1010.726,995.574,996.019,772458520,13789054000.0
2020-09-29,1004.82,1021.662,999.918,1011.505,781536770,14017815000.0
2020-09-30,1015.202,1016.136,1002.086,1009.998,835847230,13139729900.0
2020-10-09,1036.521,1059.231,1031.929,1059.231,1034234390,17488423000.0
2020-10-12,1061.099,1124.61,1055.51,1123.92,1535019100,26576336000.0
2020-10-13,1109.225,1143.221,1103.165,1123.986,1444933300,26165676000.0
2020-10-14,1115.341,1118.539,1095.554,1108.753,1281284380,22537476000.0
2020-10-15,1099.754,1111.295,1082.079,1082.079,1066835260,19267656000.0
2020-10-16,1076.089,1090.161,1061.265,1067.974,881513840,18165281000.0
2020-10-19,1068.039,1080.511,1062.102,1068.422,957587880,16957964000.0
2020-10-20,1058.171,1073.12,1044.304,1073.12,1046144350,17884042000.0
2020-10-21,1071.785,1071.909,1029.758,1031.761,976203510,17298418000.0
2020-10-22,1026.283,1067.406,1017.49,1047.164,909017950,15146560000.0
2020-10-23,1050.543,1058.168,1017.26,1020.276,865619650,13618732000.0
2020-10-26,1015.527,1036.063,1006.63,1028.053,618801610,9902392200.0
2020-10-27,1027.518,1038.86,1018.651,1024.119,725192770,12152581000.0
2020-10-28,1021.019,1027.099,1003.123,1021.677,958897190,16871185000.0
2020-10-29,996.733,1018.642,996.467,1005.901,863739170,14503190000.0
2020-10-30,1011.292,1027.178,993.029,993.936,1170354790,21737846000.0
2020-11-02,991.813,1004.705,984.38,999.834,890013680,18341106000.0
2020-11-03,1008.661,1058.312,1005.538,1056.397,1178421080,24087988000.0
2020-11-04,1048.093,1056.872,1036.377,1040.62,1080012610,20315922000.0
2020-11-05,1051.596,1060.164,1045.829,1056.983,1032832110,19095197000.0
2020-11-06,1057.613,1061.846,1043.433,1052.858,1038527600,20357133000.0
2020-11-09,1069.087,1141.416,1069.087,1131.336,1537186400,33760491000.0
2020-11-10,1128.761,1148.517,1110.647,1121.104,1368857500,32895615000.0
2020-11-11,1111.586,1120.055,1084.359,1085.533,912525470,23938533000.0
2020-11-12,1094.879,1098.373,1069.797,1079.776,714176810,17411487000.0
2020-11-13,1072.953,1091.968,1060.082,1078.938,734047380,18145665000.0
2020-11-16,1076.872,1080.226,1063.389,1074.441,665762110,15658550000.0
2020-11-17,1073.264,1073.576,1034.152,1061.633,897369350,21186496000.0
2020-11-18,1056.311,1069.627,1052.059,1063.307,879628170,19501701000.0
2020-11-19,1052.282,1077.735,1046.86,1067.937,843539080,18376236000.0
2020-11-20,1063.564,1067.939,1052.552,1059.01,677265690,14142378000.0
2020-11-23,1057.461,1070.772,1046.868,1063.651,786358410,16134976000.0
2020-11-24,1061.844,1088.112,1060.514,1074.885,831585960,18561875000.0
2020-11-25,1073.537,1084.877,1062.746,1062.746,838177000,18228360000.0
2020-11-26,1060.679,1072.066,1053.13,1057.133,736835690,17227619000.0
2020-11-27,1053.855,1070.707,1046.798,1065.743,673443110,16522651000.0
2020-11-30,1070.556,1085.126,1056.425,1064.315,794331640,19659502000.0
2020-12-01,1062.888,1084.819,1062.521,1083.674,919223800,20244699000.0
2020-12-02,1084.164,1118.299,1084.164,1112.553,1253707890,27409343000.0
2020-12-03,1112.945,1126.267,1101.531,1101.814,1104589980,24278046000.0
2020-12-04,1092.989,1114.231,1092.989,1108.13,1014918640,21639336000.0
2020-12-07,1135.717,1140.688,1107.967,1108.602,1392955400,28785055000.0
2020-12-08,1105.354,1111.876,1097.69,1105.885,1107590630,21267966000.0
2020-12-09,1102.933,1103.497,1065.918,1065.918,1131546210,21768581000.0
2020-12-10,1062.18,1076.727,1058.349,1067.009,827559950,17132029000.0
2020-12-11,1066.38,1066.38,1028.55,1042.638,944324240,20547143000.0
2020-12-14,1043.737,1062.455,1039.15,1062.211,874810870,17971814000.0
2020-12-15,1056.827,1061.634,1035.402,1045.746,816134140,18019260000.0
2020-12-16,1043.91,1044.398,1023.516,1023.912,657705200,14982646000.0
2020-12-17,1024.094,1038.573,1005.349,1036.558,762222890,14770976000.0
2020-12-18,1047.61,1051.226,1020.778,1021.247,761272510,17654979000.0
2020-12-21,1016.864,1060.385,1016.275,1056.255,878143490,19879236000.0
2020-12-22,1049.243,1054.877,1017.649,1017.936,1041980900,19666924000.0
2020-12-23,1021.512,1048.951,1020.006,1046.004,1005875540,19855997000.0
2020-12-24,1044.677,1054.427,1028.705,1031.318,861529220,17233108000.0
2020-12-25,1026.932,1031.888,1012.345,1029.143,741932210,15253796000.0
2020-12-28,1024.448,1024.448,999.808,1003.443,803049760,15130136000.0
2020-12-29,1004.016,1037.443,1004.016,1015.802,878568120,17736121000.0
2020-12-30,1011.135,1023.349,999.67,1014.696,890264260,17674931000.0
2020-12-31,1015.986,1036.504,1015.986,1036.047,963007300,19930074000.0
2021-01-04,1036.295,1064.737,1035.137,1061.637,1082374940,21797848000.0
2021-01-05,1058.188,1102.558,1055.844,1101.541,1453837600,31017510000.0
2021-01-06,1100.408,1100.408,1062.114,1064.437,1192870380,26160875000.0
2021-01-07,1059.481,1059.481,1031.694,1041.52,1146644580,24936994000.0
2021-01-08,1040.735,1057.24,1025.998,1049.497,1088429110,23445015000.0
2021-01-11,1053.318,1082.969,1043.554,1049.804,1329392370,31775750000.0
2021-01-12,1043.115,1060.661,1037.584,1060.661,1123173620,26410954000.0
2021-01-13,1058.318,1060.848,1038.955,1052.705,1256557330,31337233000.0
2021-01-14,1051.371,1077.916,1031.963,1057.658,1337793800,33576213000.0
2021-01-15,1053.896,1061.548,1033.676,1043.605,996579730,27748014000.0
2021-01-18,1044.393,1090.804,1042.077,1086.826,1161628070,28301866000.0
2021-01-19,1084.74,1091.065,1066.829,1068.545,1171078800,29145593000.0
2021-01-20,1068.993,1082.773,1061.745,1076.776,838636530,20412281000.0
2021-01-21,1076.786,1094.227,1075.547,1088.862,1062982040,23930267000.0
2021-01-22,1086.603,1087.117,1049.084,1062.851,1038980210,25972405000.0
2021-01-25,1053.803,1059.548,1038.963,1045.452,1158412580,26972774000.0
