日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2023-06-12,1016.458,1028.997,1011.107,1022.392,2115785100,32760809000.0
2023-06-13,1013.12,1056.573,1008.226,1049.526,3207912500,57891130000.0
2023-06-14,1050.98,1059.558,1035.321,1051.685,3325119200,59486925000.0
2023-06-15,1041.643,1053.31,1036.219,1038.406,3048788000,47851867000.0
2023-06-16,1030.798,1062.067,1024.132,1061.877,2808643100,50405922000.0
2023-06-19,1071.15,1085.545,1068.936,1082.015,3205703200,60251714000.0
2023-06-20,1068.392,1078.215,1058.356,1068.052,3297906300,60980376000.0
2023-06-21,1062.886,1062.886,1028.142,1028.142,2761242500,53320262000.0
2023-06-26,1015.252,1026.364,972.267,975.548,2663082200,47676842000.0
2023-06-27,976.603,991.248,973.318,990.022,2015105900,34831518000.0
2023-06-28,983.293,983.293,939.245,966.48,2424719100,38565289000.0
2023-06-29,959.605,972.248,955.652,966.147,2124641500,41261574000.0
2023-06-30,962.971,982.495,956.301,977.793,2238098300,37627142000.0
2023-07-03,977.315,978.592,951.724,969.677,2108139600,34170071000.0
2023-07-04,966.215,980.346,963.962,979.901,1898546800,30504199000.0
2023-07-05,981.386,987.276,964.316,964.684,1711385700,28500249000.0
2023-07-06,962.399,987.919,961.302,974.173,1756429400,31547290000.0
2023-07-07,970.979,971.549,939.364,951.575,2002822000,34035775000.0
2023-07-10,953.838,955.674,937.474,941.989,1475916000,23447015000.0
2023-07-11,941.789,956.076,936.949,946.573,1507666100,27275282000.0
2023-07-12,941.015,943.113,908.46,909.296,2130187800,37638094000.0
2023-07-13,913.6,928.406,909.008,924.568,1646415100,28952768000.0
2023-07-14,927.415,958.126,927.415,948.628,2036807500,38168405000.0
2023-07-17,946.765,954.136,938.893,943.517,1777308200,33068799000.0
2023-07-18,943.523,944.374,927.868,928.874,1440236100,28187886000.0
2023-07-19,932.182,938.076,922.671,925.669,1150007030,21684810000.0
2023-07-20,925.388,925.397,899.748,901.561,1600794400,25656184000.0
2023-07-21,899.212,908.607,892.003,896.456,1164447160,18321246000.0
2023-07-24,896.098,923.257,894.595,913.56,1465699500,27841914000.0
2023-07-25,921.499,934.943,917.939,932.609,1829030500,29784421000.0
2023-07-26,928.97,928.97,908.289,910.564,1673715800,26295898000.0
2023-07-27,908.975,913.453,897.677,898.656,1310302450,20955849000.0
2023-07-28,896.952,905.673,888.978,902.811,1326841260,22260159000.0
2023-07-31,901.029,919.773,896.677,912.723,1574565100,25496671000.0
2023-08-01,912.139,916.426,898.094,914.107,1485494000,25863496000.0
2023-08-02,910.692,916.863,908.252,914.445,1151131550,20175133000.0
2023-08-03,908.289,917.212,907.164,913.203,1222115690,23720072000.0
2023-08-04,913.304,945.172,913.304,942.817,2029374100,34070842000.0
2023-08-07,946.03,958.271,945.702,949.129,1829166800,33442034000.0
2023-08-08,948.506,954.867,943.465,943.656,1370562100,23231868000.0
2023-08-09,935.828,948.293,922.303,923.292,1489591300,26091722000.0
2023-08-10,918.875,926.72,913.84,921.922,1453168300,22549384000.0
2023-08-11,922.542,923.627,898.124,898.388,1230799670,19289215000.0
2023-08-14,890.442,929.515,889.451,928.706,1266255820,20678154000.0
2023-08-15,932.597,934.648,907.696,916.143,1228635680,22833245000.0
2023-08-16,912.459,914.013,892.951,901.22,1388518700,25355689000.0
2023-08-17,894.682,915.028,886.688,914.59,1346687800,23446673000.0
2023-08-18,912.454,919.799,886.324,886.324,1273657300,20994806000.0
2023-08-21,884.794,924.866,884.599,909.106,1288614400,20929289000.0
2023-08-22,924.943,946.862,918.564,946.544,1993514600,33626422000.0
