日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1517.921,1530.214,1516.556,1529.803,1022235340,8644254000.0
2020-01-03,1530.718,1539.895,1527.298,1537.358,967442180,7449816700.0
2020-01-06,1528.096,1545.415,1521.544,1537.691,1007511950,7886185000.0
2020-01-07,1539.571,1551.853,1539.375,1551.853,911330680,6713380100.0
2020-01-08,1546.441,1547.035,1521.824,1523.898,990311380,7301471100.0
2020-01-09,1533.755,1544.259,1533.755,1542.478,742993450,5859905700.0
2020-01-10,1546.136,1546.738,1535.866,1541.497,712852350,6237182700.0
2020-01-13,1541.29,1552.315,1532.04,1552.315,677658070,6212596200.0
2020-01-14,1556.929,1558.021,1551.164,1552.415,773042880,6681199900.0
2020-01-15,1550.573,1550.625,1534.082,1541.121,676152050,5871529300.0
2020-01-16,1543.615,1543.761,1530.134,1531.85,711496080,5409952800.0
2020-01-17,1534.346,1538.006,1523.325,1524.432,643689870,4946650600.0
2020-01-20,1523.029,1529.518,1513.947,1529.376,681650090,5715295100.0
2020-01-21,1528.773,1528.773,1503.94,1504.237,731701930,6194713900.0
2020-01-22,1499.207,1510.436,1483.736,1505.838,739265900,5846183900.0
2020-01-23,1490.519,1494.171,1446.439,1457.151,973807630,7341223900.0
2020-02-03,1317.626,1327.706,1317.626,1325.75,579105640,5145187400.0
2020-02-04,1241.918,1310.085,1241.918,1306.53,1349100400,9008489000.0
2020-02-05,1309.032,1343.966,1307.323,1330.316,1115923430,7777063700.0
2020-02-06,1334.084,1358.515,1321.956,1352.151,1123982210,8049904400.0
2020-02-07,1350.316,1358.815,1337.567,1358.815,1050318580,7517073400.0
2020-02-10,1357.029,1380.231,1352.715,1380.047,990856950,7186325100.0
2020-02-11,1382.158,1390.632,1375.154,1385.257,831212360,5874337100.0
2020-02-12,1385.526,1395.451,1380.185,1395.343,812057770,5974409100.0
2020-02-13,1396.193,1404.447,1381.774,1384.249,909978390,6788815100.0
2020-02-14,1380.459,1391.464,1378.753,1387.111,835727270,6155248300.0
2020-02-17,1390.63,1420.992,1390.63,1420.992,1007185830,7191648500.0
2020-02-18,1423.4,1430.2,1410.748,1430.165,1018489360,7573217900.0
2020-02-19,1428.414,1437.731,1423.723,1424.346,929755070,7062726600.0
2020-02-20,1424.766,1445.303,1418.973,1445.281,1052705910,8154575300.0
