日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,735.819,744.784,732.356,743.121,324652220,3164020700.0
2020-01-03,743.265,746.973,740.054,744.784,290690810,2814421100.0
2020-01-06,741.775,752.914,736.373,748.405,347195090,3212849500.0
2020-01-07,748.914,762.087,748.834,761.94,302139240,3062271000.0
2020-01-08,759.89,768.429,754.649,756.937,307150130,3092203200.0
2020-01-09,767.25,777.687,766.744,777.578,352766460,3526281700.0
2020-01-10,783.539,785.085,778.02,780.523,419094670,3800179400.0
2020-01-13,778.504,782.102,772.448,782.102,303633100,3478164200.0
2020-01-14,786.475,788.489,783.264,785.011,315221790,3256351800.0
2020-01-15,785.114,787.252,774.028,779.452,273124360,3512257600.0
2020-01-16,779.12,780.968,770.046,770.858,238956300,3125898500.0
2020-01-17,772.197,776.579,766.861,767.101,245483110,3308516400.0
2020-01-20,772.471,781.036,769.844,781.036,420880490,4748205200.0
2020-01-21,790.789,807.664,790.269,802.495,564089770,6683873800.0
2020-01-22,808.199,808.199,777.554,780.689,498252740,6175936300.0
2020-01-23,775.205,783.309,748.905,756.991,491330400,5704530400.0
2020-02-03,712.066,733.195,703.918,718.384,678627610,7182481700.0
2020-02-04,716.508,755.319,716.508,752.737,710536920,7749073200.0
2020-02-05,758.19,793.459,756.966,792.526,825333250,9854050400.0
2020-02-06,794.333,841.996,792.471,829.226,949140890,12051990400.0
2020-02-07,842.121,847.846,810.418,819.715,1121778110,11928086300.0
2020-02-10,818.469,818.469,788.709,799.61,778050030,8532950600.0
2020-02-11,795.52,795.52,778.739,791.817,530780340,5356115800.0
2020-02-12,789.675,800.125,787.816,799.351,539415970,6186155800.0
2020-02-13,799.237,799.237,772.19,781.552,577010470,6330841400.0
2020-02-14,783.193,788.392,774.445,781.068,474636220,5735743900.0
2020-02-17,789.291,805.88,788.422,805.763,463808180,5613245300.0
2020-02-18,806.754,810.09,793.442,802.893,633161880,7482755300.0
2020-02-19,799.703,799.846,784.225,785.004,581727960,6554726300.0
2020-02-20,785.087,790.669,776.169,790.669,432516360,4774419900.0
2020-02-21,788.829,797.764,785.822,794.815,449035500,5276449100.0
2020-02-24,794.16,810.588,794.16,809.825,549999740,6644495000.0
2020-02-25,800.655,829.055,796.856,828.84,913314180,10795344900.0
2020-02-26,818.824,819.592,804.894,808.397,678047720,7853808200.0
2020-02-27,810.203,823.119,802.464,818.735,507165800,5905171000.0
2020-02-28,805.191,824.769,796.173,796.512,605551240,6596987900.0
2020-03-02,796.624,813.834,796.253,813.834,614916820,6196621700.0
2020-03-03,818.607,830.399,816.756,821.93,612763180,6718350700.0
2020-03-04,814.617,819.534,804.796,813.399,454542610,5162479100.0
2020-03-05,818.297,824.675,815.824,823.866,466805280,5216588100.0
2020-03-06,818.561,840.31,817.041,834.475,501993930,5711755100.0
2020-03-09,833.147,847.135,821.099,838.157,712978130,8222881400.0
2020-03-10,828.264,833.756,800.606,825.826,676015990,7011562700.0
2020-03-11,825.809,842.086,822.26,834.797,625000950,6494128700.0
2020-03-12,828.112,833.519,818.4,823.231,592027420,5523582600.0
2020-03-13,780.46,803.524,778.533,798.857,728192800,6990924400.0
2020-03-16,808.092,817.258,770.443,774.645,734934080,7945121500.0
2020-03-17,769.442,777.828,733.658,760.545,620011280,7417857000.0
2020-03-18,770.065,776.506,747.277,747.277,539851410,7874077700.0
2020-03-19,744.676,749.86,723.805,740.127,483001790,6373125500.0
2020-03-20,746.017,750.496,737.334,750.241,350157470,4520883900.0
2020-03-23,736.241,744.973,724.183,725.951,407461940,4337425500.0
2020-03-24,733.382,738.039,717.176,736.014,375085920,5056069400.0
2020-03-25,747.699,760.449,743.638,759.092,441981820,6190919200.0
2020-03-26,759.047,776.654,755.205,774.4,492755910,7414641200.0
2020-03-27,782.119,786.292,772.578,773.95,526445330,8170026700.0
2020-03-30,769.054,774.186,755.843,758.471,546560620,7359803900.0
2020-03-31,762.023,763.178,755.31,757.047,445202220,6090079000.0
2020-04-01,752.777,762.062,748.282,749.035,451969910,6102875400.0
2020-04-02,744.385,759.804,739.837,759.804,439799720,5421962400.0
2020-04-03,758.159,771.348,758.02,764.535,363692640,5352261500.0
2020-04-07,776.946,789.032,773.816,787.886,439748310,5968760300.0
2020-04-08,787.613,792.717,779.226,785.842,592527060,7858442800.0
2020-04-09,787.993,812.263,786.661,810.257,646192650,7895989500.0
2020-04-10,805.148,819.176,794.508,796.982,686205420,8461279400.0
2020-04-13,790.603,805.63,784.844,791.664,530519920,6416185900.0
2020-04-14,791.983,805.891,786.478,804.522,538947580,6318187900.0
2020-04-15,805.453,819.198,803.429,809.923,668096420,8519443800.0
2020-04-16,802.56,820.712,799.454,813.201,639694770,9140952300.0
2020-04-17,815.368,815.601,799.123,800.128,494191730,6960318100.0
2020-04-20,802.606,819.519,800.794,818.168,468522180,7352909500.0
2020-04-21,813.438,814.114,805.697,810.881,413989030,6339574300.0
2020-04-22,803.333,807.555,797.91,807.416,332600750,4459620900.0
2020-04-23,811.51,821.887,808.175,808.941,478906420,7419359100.0
