日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-04-12,1009.889,1046.8,993.43,1199.074,1587603500,11135238200.0
2022-04-13,1067.958,1140.118,1067.254,1106.387,2393761300,16937265000.0
2022-04-14,1103.73,1125.99,1087.466,1099.022,3587577300,24602915000.0
2022-04-15,1062.783,1071.471,1041.444,1048.288,3309071000,21546699000.0
2022-04-18,1027.064,1071.693,1017.01,1053.626,3614401500,23298810000.0
2022-04-19,1040.749,1053.934,1036.646,1046.483,3115749900,19747657000.0
2022-04-20,1040.594,1067.136,1032.438,1057.956,3346946300,21697654000.0
2022-04-21,1038.387,1049.336,1012.87,1016.178,3121641300,21610242000.0
2022-04-22,1001.468,1012.552,988.045,988.414,2518148500,17590105000.0
2022-04-25,965.319,965.319,916.177,916.177,2436027900,13543425000.0
2022-04-26,913.663,943.626,903.764,908.062,2660335000,16610255000.0
2022-04-27,889.934,919.799,873.378,919.775,2458030300,14525460000.0
2022-04-28,933.392,953.326,901.529,912.922,2611595600,16653986000.0
2022-04-29,906.574,956.567,906.194,951.298,2748560200,17723518000.0
2022-05-05,948.67,977.979,947.831,972.524,2762301700,18061364000.0
2022-05-06,947.47,968.42,942.345,958.676,2375153000,15997260000.0
2022-05-09,955.648,976.612,955.456,972.91,2020976500,14309127000.0
2022-05-10,958.245,992.677,956.248,992.677,2398543800,16669608000.0
2022-05-11,997.287,1014.754,991.682,999.67,3135827800,22466195000.0
2022-05-12,989.516,1016.397,989.307,1005.666,2798838100,20158836000.0
2022-05-13,1004.751,1010.708,994.202,1005.327,2430463800,16440555000.0
2022-05-16,1006.339,1008.975,996.705,1004.337,2611931200,17929412000.0
2022-05-17,1002.666,1002.803,976.15,995.809,2152286100,14821216000.0
2022-05-18,993.249,1009.038,989.885,998.527,2135747400,15107315000.0
2022-05-19,983.898,999.821,982.068,999.821,2054282500,13883076000.0
2022-05-20,1000.031,1024.172,1000.031,1018.03,2406957400,17495993000.0
2022-05-23,1019.588,1037.177,1018.911,1032.825,2340044700,17845934000.0
2022-05-24,1032.424,1032.424,979.227,979.227,2172892500,15115733000.0
2022-05-25,979.015,1010.285,979.015,1010.285,2272034000,14336469000.0
2022-05-26,1011.588,1018.14,996.017,1012.715,2081465800,13366038500.0
2022-05-27,1016.13,1026.128,1011.199,1021.873,2108738300,14325618000.0
2022-05-30,1024.947,1029.568,1016.268,1027.67,1968131200,13595348000.0
2022-05-31,1023.94,1031.564,1014.046,1030.887,2086155600,14094706000.0
2022-06-01,1029.589,1047.18,1025.516,1038.529,2188369100,15554201000.0
2022-06-02,1032.88,1034.326,1019.815,1031.781,2172534400,16276417000.0
2022-06-06,1031.216,1035.492,1023.718,1035.492,2098607400,15290538000.0
2022-06-07,1034.645,1038.348,1023.053,1036.54,2116734700,14341390000.0
2022-06-08,1037.093,1042.399,1013.846,1032.274,1887719100,13120150300.0
2022-06-09,1029.178,1029.687,1007.082,1010.969,1668231200,11659091500.0
2022-06-10,1004.432,1025.153,1002.588,1023.109,1605085200,10773110300.0
2022-06-13,1016.179,1020.634,1004.086,1015.409,1556819800,10461612900.0
2022-06-14,1007.084,1017.701,988.802,1017.701,1711748500,11057664600.0
2022-06-15,1020.176,1028.896,1014.326,1014.326,1989266100,13079696000.0
2022-06-16,1014.025,1023.699,1011.966,1017.824,1412753400,9334742200.0
2022-06-17,1011.302,1014.6,1000.807,1012.331,1297178580,8628823300.0
2022-06-20,1014.071,1020.165,1013.692,1016.167,1233644540,8318638200.0
2022-06-21,1016.751,1020.239,1000.92,1010.833,1268269350,8439885200.0
2022-06-22,1011.264,1012.752,999.774,999.774,1231736120,8502497300.0
2022-06-23,1000.543,1013.193,992.922,1013.193,1268867200,8861847300.0
2022-06-24,1014.878,1018.158,1010.119,1014.788,1126418240,8135044700.0
2022-06-27,1018.655,1027.473,1018.581,1025.098,1664681900,11053357800.0
2022-06-28,1025.366,1041.88,1021.979,1041.457,1623728800,10985616100.0
2022-06-29,1041.248,1043.896,1020.891,1020.891,1643967900,10409084500.0
2022-06-30,1021.632,1031.84,1021.632,1026.217,1515506500,9699120400.0
2022-07-01,1028.953,1032.146,1020.482,1025.232,1252317890,8436683600.0
2022-07-04,1026.41,1029.394,1017.945,1029.394,1202845760,8469080600.0
2022-07-05,1030.239,1033.381,1013.658,1022.93,1290845840,8848873100.0
2022-07-06,1019.135,1019.187,995.256,1001.92,1261860660,8213513200.0
2022-07-07,1002.449,1007.528,999.0,1006.176,967888140,6438166800.0
2022-07-08,1008.569,1018.641,1008.569,1011.075,901860910,6604203600.0
2022-07-11,1011.332,1011.332,999.389,1005.768,981831950,6665517500.0
2022-07-12,1005.918,1006.669,995.356,995.391,995632280,6480827900.0
2022-07-13,997.646,1012.105,996.096,1012.105,1218593820,7356785500.0
2022-07-14,1011.72,1011.72,1003.958,1007.957,1145195990,6887751100.0
2022-07-15,1004.988,1004.988,982.315,982.315,1480515100,8640765200.0
2022-07-18,981.252,1005.283,981.252,1004.364,1230103950,7538642000.0
2022-07-19,1006.822,1020.202,1004.151,1019.768,1116074350,7555904900.0
2022-07-20,1022.394,1025.501,1019.468,1025.497,991817290,6765478000.0
2022-07-21,1025.53,1029.583,1019.959,1021.653,1077355600,7384582700.0
2022-07-22,1021.183,1030.261,1015.062,1023.868,1130981400,7171233500.0
2022-07-25,1024.928,1034.95,1023.866,1028.506,1205049780,7588742800.0
2022-07-26,1028.856,1034.28,1017.9,1034.28,1153428010,6716774000.0
2022-07-27,1034.191,1038.5,1030.867,1037.05,909155430,5934245400.0
2022-07-28,1041.334,1043.287,1037.393,1041.158,1009856710,6521317400.0
2022-07-29,1043.835,1044.167,1032.206,1033.474,1122948370,8038712400.0
2022-08-01,1034.743,1039.074,1030.027,1037.146,1050414460,7563924600.0
2022-08-02,1029.866,1029.866,984.862,994.2,1653817400,9994075100.0
2022-08-03,992.816,1009.179,981.324,982.45,1157848590,7384379400.0
2022-08-04,989.398,994.624,977.973,994.624,906645120,5877569600.0
2022-08-05,997.129,1003.413,990.339,1002.923,1036082280,6191273100.0
2022-08-08,1001.082,1010.758,996.113,1010.605,893752380,5889584000.0
2022-08-09,1010.914,1010.914,1004.821,1009.376,893580350,5949797600.0
2022-08-10,1007.708,1010.573,1004.398,1009.111,823891730,5174113300.0
2022-08-11,1011.627,1027.182,1011.568,1026.919,1055161540,7042928700.0
2022-08-12,1026.86,1041.489,1024.58,1035.671,1100248330,7383733300.0
2022-08-15,1037.661,1040.978,1029.288,1040.82,1100230530,7643072500.0
2022-08-16,1040.913,1048.027,1040.765,1047.291,1054102700,7375181400.0
2022-08-17,1048.355,1048.619,1040.494,1046.134,940232730,6473612600.0
2022-08-18,1045.702,1045.702,1038.807,1043.962,1017311890,6868631300.0
2022-08-19,1044.887,1051.96,1040.701,1040.701,1102766560,7671512200.0
2022-08-22,1039.918,1050.316,1037.241,1049.247,1016111700,7178756200.0
2022-08-23,1048.091,1052.444,1044.384,1051.458,959822010,7032582500.0
2022-08-24,1051.909,1055.494,1026.422,1028.129,1245224850,8167607400.0
2022-08-25,1031.418,1041.985,1019.074,1041.528,1386611500,9491902100.0
2022-08-26,1042.853,1046.872,1034.603,1036.218,1222440970,8662272200.0
2022-08-29,1022.472,1039.963,1016.184,1039.892,1031947640,7226436300.0
2022-08-30,1041.324,1051.135,1035.27,1042.174,1136682340,7767199200.0
2022-08-31,1041.013,1041.021,1014.31,1015.576,1169052280,7639098800.0
2022-09-01,1017.232,1030.75,1016.753,1021.012,1157569600,7064260400.0
2022-09-02,1024.082,1032.516,1023.433,1031.109,992655460,6664742900.0
2022-09-05,1031.351,1046.918,1031.016,1046.918,1149385740,7286264000.0
2022-09-06,1052.014,1062.316,1048.833,1062.316,1338334280,8682634100.0
2022-09-07,1062.407,1068.342,1060.681,1067.287,1168597460,8428896800.0
2022-09-08,1069.903,1076.41,1067.415,1073.903,1360305600,10235879800.0
2022-09-09,1077.196,1084.708,1073.044,1079.262,1559115700,11045585200.0
2022-09-13,1082.736,1096.658,1076.909,1079.217,1794596300,13110270600.0
2022-09-14,1065.308,1083.286,1064.246,1077.166,1794705800,12184866000.0
2022-09-15,1078.683,1078.683,1043.121,1055.05,1756308000,11538470200.0
2022-09-16,1052.569,1052.743,1019.67,1019.67,1598423900,10238096100.0
2022-09-19,1017.66,1020.742,1006.187,1014.62,1182975760,7842567800.0
2022-09-20,1018.249,1028.612,1018.249,1023.556,1147197930,8037461700.0
