日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2021-09-23,1046.846,1070.369,1030.061,1034.006,5954009300,51214973000.0
2021-09-24,1039.551,1066.525,1024.339,1051.187,7437881500,60056958000.0
2021-09-27,1081.263,1089.267,1002.432,1024.438,7358008700,64717338000.0
2021-09-28,1003.205,1082.967,1003.09,1077.254,8926849700,78438963000.0
2021-09-29,1054.554,1079.835,1030.354,1033.302,8252381500,74609311000.0
2021-09-30,1029.858,1078.792,1018.985,1073.946,8634843000,73190706000.0
2021-10-08,1085.765,1086.559,1014.34,1027.393,7437712700,62227689000.0
2021-10-11,1033.771,1039.149,975.288,989.019,7376194600,57610181000.0
2021-10-12,970.252,993.314,934.268,967.504,7226763800,54886236000.0
2021-10-13,956.058,956.306,914.656,921.987,5515954900,40437921000.0
2021-10-14,908.988,939.916,898.317,924.064,5101027600,39615708000.0
2021-10-15,917.583,932.897,898.132,919.56,5135869700,39950007000.0
2021-10-18,919.667,957.376,919.667,954.49,5576716100,45094984000.0
2021-10-19,953.644,972.108,946.276,963.325,5356622100,44869711000.0
2021-10-20,958.323,998.382,956.337,994.417,6826851900,55551594000.0
2021-10-21,990.129,990.129,968.044,976.637,5518605900,45470803000.0
2021-10-22,973.505,975.374,939.956,940.225,4915870500,39099134000.0
2021-10-25,945.099,976.721,939.894,967.791,4694137700,40880133000.0
2021-10-26,967.541,993.966,966.771,974.04,5867244800,50617440000.0
2021-10-27,972.84,1017.046,969.505,1012.177,7325416200,64309415000.0
2021-10-28,1009.661,1024.914,987.108,996.25,7096318100,65270790000.0
2021-10-29,993.086,996.662,954.196,993.396,6244533200,55626151000.0
2021-11-01,987.084,1013.056,973.659,1000.337,6470314500,59684512000.0
2021-11-02,997.05,997.05,955.215,962.968,6237274500,56861212000.0
2021-11-03,960.311,967.498,943.588,959.583,4700356900,43631891000.0
2021-11-04,962.703,993.043,959.695,989.085,5289449600,49085572000.0
2021-11-05,985.145,985.145,941.837,941.837,6182259800,56895992000.0
2021-11-08,935.398,939.901,922.393,937.86,4114921100,37451693000.0
2021-11-09,957.999,973.739,943.458,949.646,4633031300,43091546000.0
2021-11-10,938.817,939.391,919.306,939.096,4286534200,38124670000.0
2021-11-11,934.572,937.314,924.732,927.926,3394500300,30556827000.0
2021-11-12,927.753,942.121,924.073,938.65,3383930800,31896629000.0
2021-11-15,937.358,941.958,927.134,941.695,3607781300,33550348000.0
2021-11-16,939.806,940.249,928.25,929.443,3171068400,29107568000.0
2021-11-17,929.284,944.891,926.679,943.484,3221939600,30713213000.0
2021-11-18,941.803,962.95,938.668,955.333,4163968600,39848201000.0
2021-11-19,952.578,961.376,939.788,960.634,3580612100,33967168000.0
2021-11-22,959.892,968.146,955.629,967.934,3638545000,35002600000.0
2021-11-23,965.938,969.454,960.637,962.224,3786763000,35685830000.0
2021-11-24,963.009,973.034,944.392,969.81,4527213600,39145366000.0
2021-11-25,973.207,991.134,969.945,970.502,4154826500,35566118000.0
2021-11-26,963.924,965.161,954.861,962.724,3484423500,32150771000.0
2021-11-29,942.897,977.785,937.619,974.902,3956916100,34349047000.0
2021-11-30,977.745,989.419,964.59,971.402,3888465500,35100340000.0
2021-12-01,970.115,988.599,964.455,988.599,4280024400,38169028000.0
2021-12-02,985.197,988.109,966.0,966.0,3560180900,31245550000.0
2021-12-03,965.881,1007.634,963.691,1004.068,5831650400,49335056000.0
2021-12-06,1011.914,1028.035,1002.051,1003.959,5463436300,46852940000.0
2021-12-07,1005.6,1024.454,982.412,1023.972,5563082100,47971898000.0
2021-12-08,1027.737,1036.02,1023.191,1031.613,4849696300,43294366000.0
2021-12-09,1030.064,1039.07,1020.493,1028.057,5585772500,45628753000.0
2021-12-10,1018.609,1042.011,1017.48,1018.657,5958402100,48087135000.0
2021-12-13,1025.386,1047.764,1025.386,1036.604,6815500200,60622828000.0
2021-12-14,1034.605,1041.809,1026.972,1036.608,4970623200,45001280000.0
2021-12-15,1033.283,1074.366,1027.997,1063.851,6649437600,56737169000.0
2021-12-16,1063.949,1072.663,1061.734,1071.134,5692181800,48576033000.0
2021-12-17,1069.252,1099.653,1066.316,1081.498,6954536800,60223149000.0
2021-12-20,1081.799,1081.799,1033.814,1034.209,6928195400,57592098000.0
2021-12-21,1030.556,1045.374,1022.89,1043.614,4903494200,39205026000.0
2021-12-22,1043.496,1047.02,1029.823,1031.268,4251759800,33027045000.0
2021-12-23,1028.381,1074.771,1022.708,1073.923,7496602600,58189082000.0
2021-12-24,1073.852,1100.315,1061.752,1063.579,7789819600,64789384000.0
2021-12-27,1060.34,1085.057,1051.976,1062.389,6114512700,50361336000.0
2021-12-28,1061.936,1062.294,1028.765,1038.737,5340751700,43159195000.0
2021-12-29,1035.13,1035.13,1019.566,1024.999,4775867800,38900195000.0
2021-12-30,1021.812,1038.386,1021.812,1033.134,4370026400,35657263000.0
2021-12-31,1038.43,1065.742,1038.43,1045.51,5882228300,46697198000.0
2022-01-04,1048.935,1050.87,1035.268,1037.3,5601290400,44859625000.0
2022-01-05,1033.94,1033.94,993.457,999.913,5187460800,41225043000.0
2022-01-06,992.811,1012.387,990.577,1005.61,4161338400,32938650000.0
2022-01-07,1005.427,1007.463,981.98,982.394,4416982400,35015881000.0
2022-01-10,977.007,978.645,966.264,973.956,3493132200,27200201000.0
2022-01-11,973.466,988.496,970.242,972.247,3565679400,28113820000.0
2022-01-12,975.056,981.821,970.887,981.177,3109679100,25296616000.0
2022-01-13,977.715,977.892,964.406,965.286,3359339000,25927167000.0
2022-01-14,960.717,968.45,953.016,954.397,3170417000,24853918000.0
2022-01-17,953.131,960.989,948.024,957.048,2620199400,21180344000.0
2022-01-18,956.365,980.247,951.232,972.352,4717264300,36804757000.0
2022-01-19,966.782,968.956,956.469,963.425,3207816700,26740008000.0
2022-01-20,962.422,967.077,941.731,954.027,3775759300,30637756000.0
2022-01-21,950.839,967.326,946.615,946.917,3835549900,32096351000.0
2022-01-24,938.343,950.985,932.058,945.654,3063993600,24899791000.0
2022-01-25,939.93,943.682,899.836,899.836,3435080700,26287825000.0
2022-01-26,904.489,923.001,902.634,914.311,3171784600,25919294000.0
2022-01-27,913.21,915.492,889.964,889.964,2964962800,24685047000.0
2022-01-28,894.957,908.368,876.377,897.283,2965668400,25311532000.0
2022-02-07,912.029,922.305,910.008,920.946,2928716700,23366261000.0
2022-02-08,921.078,939.349,914.288,939.349,3171443900,25844816000.0
2022-02-09,937.504,959.9,930.777,958.222,3607971300,28277973000.0
2022-02-10,957.073,967.441,953.101,961.919,3793811400,29486378000.0
2022-02-11,957.232,957.71,939.409,940.57,3245748000,26017173000.0
2022-02-14,933.799,941.021,922.766,927.083,2857212500,22225298000.0
2022-02-15,927.444,933.654,921.04,931.143,2589313800,21891331000.0
2022-02-16,934.761,941.616,932.909,936.346,2306891400,19645432000.0
2022-02-17,935.31,948.836,932.512,942.301,3144216100,26444473000.0
2022-02-18,934.799,946.736,929.897,944.74,2424496500,19345760000.0
2022-02-21,944.199,952.924,940.659,952.924,2700042500,22083898000.0
2022-02-22,946.046,947.77,934.289,939.772,3172921700,24568348000.0
2022-02-23,940.72,950.845,938.774,950.805,2966255000,24639122000.0
2022-02-24,946.985,972.263,926.554,938.984,4915131800,38188090000.0
2022-02-25,945.135,972.527,942.908,969.768,4933180900,37974862000.0
2022-02-28,969.485,978.821,957.535,974.725,4718591300,37225905000.0
2022-03-01,978.24,985.118,971.662,977.069,3779612900,33736526000.0
2022-03-02,973.261,981.297,968.406,979.489,3242982500,28664625000.0
2022-03-03,985.957,991.825,980.226,986.199,3775093400,31278990000.0
2022-03-04,981.222,987.719,969.473,977.583,3804809800,31574270000.0
2022-03-07,973.211,984.524,957.397,962.381,3932367700,32840500000.0
2022-03-08,959.914,960.978,926.408,927.266,4029595000,33504515000.0
2022-03-09,935.115,956.582,903.512,941.753,5182781400,41632088000.0
2022-03-10,960.156,982.569,949.172,968.828,5515661000,47348345000.0
2022-03-11,953.529,955.655,929.066,952.303,4691437400,39163714000.0
2022-03-14,941.77,943.698,912.851,912.851,3492396600,28128813000.0
2022-03-15,905.123,905.496,850.916,850.916,4806894900,35834552000.0
2022-03-16,866.013,886.899,837.325,885.008,4517038700,34769923000.0
2022-03-17,892.912,905.241,888.484,890.118,4008958500,32343445000.0
2022-03-18,888.212,919.883,884.323,918.081,3670028500,29584367000.0
2022-03-21,917.962,921.966,905.348,917.877,3521214600,27285319000.0
2022-03-22,916.103,921.52,907.427,914.401,2945469800,23999295000.0
2022-03-23,923.652,936.867,918.744,922.15,3503784000,29307672000.0
2022-03-24,914.449,915.074,902.441,903.828,2925636000,23612285000.0
2022-03-25,900.552,900.972,885.827,886.499,2846226500,22374204000.0
2022-03-28,883.38,895.829,872.951,889.573,2721361600,20935016000.0
2022-03-29,892.697,895.294,877.053,880.929,2379018200,18301571000.0
2022-03-30,885.981,892.705,883.151,892.705,2643761000,20598614000.0
2022-03-31,890.575,890.809,878.232,881.57,2707805300,20891716000.0
2022-04-01,875.801,884.489,869.299,881.356,2210780500,16174183000.0
2022-04-06,879.31,887.742,875.16,887.579,2634011300,19359263000.0
2022-04-07,883.137,883.137,861.899,861.899,2577212300,18865140000.0
2022-04-08,862.766,869.272,847.064,858.281,2574584800,20189354000.0
2022-04-11,854.819,854.819,822.831,827.426,2896687300,22064803000.0
2022-04-12,824.782,836.852,813.494,836.852,2538985800,17929514000.0
2022-04-13,833.724,833.724,820.228,820.228,2124199700,15497116000.0
2022-04-14,823.41,826.095,817.097,819.305,2321985800,16755945000.0
2022-04-15,814.847,830.505,806.234,820.249,2842299900,19167991000.0
2022-04-18,813.84,828.54,802.321,825.827,2541370200,17468649000.0
2022-04-19,824.349,841.058,824.349,831.836,2414749800,16967234000.0
2022-04-20,830.972,837.78,821.751,824.242,2598181100,18018177000.0
2022-04-21,820.706,820.893,786.928,788.884,2871244600,19628237000.0
2022-04-22,784.257,817.681,777.103,813.252,3501067200,23027400000.0
2022-04-25,802.438,810.703,766.416,766.416,4420627700,29728146000.0
2022-04-26,768.015,775.638,740.825,742.415,4112856000,25737902000.0
2022-04-27,730.277,773.128,722.16,773.128,4590930500,29650252000.0
2022-04-28,766.046,778.144,754.676,765.297,4217000300,28021572000.0
2022-04-29,771.882,792.257,768.27,788.663,4517245700,29996998000.0
2022-05-05,787.73,809.908,786.367,802.583,3803152200,26128300000.0
2022-05-06,784.873,798.096,780.27,787.844,3400636600,24479314000.0
2022-05-09,785.62,802.688,785.486,799.803,2817046800,20525516000.0
2022-05-10,789.747,829.18,787.699,827.11,4079927700,29967862000.0
2022-05-11,829.914,851.598,829.779,833.719,4823900000,37881191000.0
2022-05-12,841.55,860.41,833.219,842.461,4697261600,34931600000.0
2022-05-13,843.573,848.557,833.91,840.383,3833837200,29688215000.0
2022-05-16,840.893,842.077,829.102,834.077,3290902200,23971945000.0
2022-05-17,832.489,832.489,818.809,829.087,2840953000,21334264000.0
2022-05-18,827.573,844.121,824.003,836.147,3451683000,24270462000.0
2022-05-19,822.821,854.987,820.872,854.987,4592390900,35911271000.0
2022-05-20,858.174,868.361,857.09,864.266,4294962300,32959331000.0
2022-05-23,865.371,865.371,856.359,863.776,3154641900,25138658000.0
2022-05-24,864.041,867.625,832.343,832.343,3683282800,28223527000.0
2022-05-25,831.819,866.546,830.35,866.546,4037540400,29396338000.0
2022-05-26,869.585,873.885,858.758,866.824,4002376000,31537907000.0
2022-05-27,867.556,870.024,856.739,865.855,3423315500,27247814000.0
2022-05-30,869.615,882.004,863.309,882.004,3906670500,30784751000.0
2022-05-31,889.859,895.812,877.839,894.479,4791109300,37789878000.0
2022-06-01,887.66,898.035,877.728,894.957,4148026400,31096325000.0
2022-06-02,889.262,897.354,884.681,896.299,3904814600,31319892000.0
2022-06-06,892.731,906.232,892.254,906.232,4648815700,35747860000.0
2022-06-07,909.055,913.69,897.161,901.498,4739505200,35178007000.0
2022-06-08,904.728,914.905,893.44,910.605,5088603400,35712468000.0
2022-06-09,908.191,916.422,894.611,894.611,5008134700,35069587000.0
2022-06-10,887.838,916.878,887.724,915.154,5834447700,40381991000.0
2022-06-13,905.12,910.637,891.234,902.538,5360000200,37708239000.0
2022-06-14,894.309,909.969,882.783,909.969,4771272600,35042689000.0
2022-06-15,909.185,915.782,900.378,900.378,5045089700,36419329000.0
2022-06-16,898.369,907.134,895.287,898.811,3633672900,27334921000.0
2022-06-17,892.689,908.865,892.179,908.694,4454095600,33828181000.0
2022-06-20,910.711,936.679,910.711,931.102,5672846200,44541361000.0
2022-06-21,935.253,936.933,916.704,924.455,5087537600,37663958000.0
2022-06-22,921.764,923.325,906.72,907.121,3833183400,28232359000.0
2022-06-23,906.769,915.589,895.938,915.589,3681816300,27443209000.0
2022-06-24,915.772,922.477,912.834,918.149,3697195700,29845183000.0
2022-06-27,920.65,924.523,916.871,922.65,4048432900,32416655000.0
2022-06-28,923.159,935.752,922.47,935.752,4466064700,34652907000.0
2022-06-29,932.818,933.349,916.175,916.175,4482798800,36092042000.0
2022-06-30,916.315,931.1,915.347,924.487,4122959700,34670689000.0
2022-07-01,927.159,947.189,927.159,936.138,4714933500,39610631000.0
2022-07-04,933.665,955.163,928.602,953.498,5790548000,42851702000.0
2022-07-05,953.231,965.889,950.205,960.822,6238097000,46726856000.0
2022-07-06,958.638,971.251,942.713,950.847,5488182700,42899936000.0
2022-07-07,953.116,975.108,952.479,973.185,6434511200,48454508000.0
2022-07-08,977.563,980.078,968.324,970.28,5609245200,44244472000.0
2022-07-11,969.303,986.174,967.774,979.754,6158543100,47549202000.0
2022-07-12,980.738,1003.816,975.399,983.664,6293492200,48721711000.0
2022-07-13,984.31,1017.562,983.983,1017.562,6610090100,53971019000.0
2022-07-14,1017.504,1019.645,1002.19,1009.09,7564647400,62174811000.0
2022-07-15,1005.54,1010.476,995.759,995.759,7109127000,58477010000.0
2022-07-18,999.215,1033.594,999.215,1033.217,6835035100,57933396000.0
2022-07-19,1037.526,1037.526,1015.927,1021.196,6378185600,54621977000.0
2022-07-20,1021.36,1024.441,1009.612,1024.441,5435697700,47575978000.0
2022-07-21,1021.147,1021.147,1009.426,1009.987,5721964100,49175766000.0
2022-07-22,1008.993,1025.898,1008.993,1016.919,5372678600,45061951000.0
2022-07-25,1016.647,1017.089,987.117,989.725,4579623800,38879074000.0
2022-07-26,985.874,993.256,974.707,993.256,3717136100,30748377000.0
2022-07-27,990.349,995.994,987.295,995.994,3891058900,34046438000.0
2022-07-28,1001.499,1005.259,994.5,995.195,4459800300,37178152000.0
2022-07-29,995.33,1015.948,995.33,1004.351,5227531900,42565042000.0
2022-08-01,1002.306,1002.306,987.545,998.575,4359735000,35179960000.0
2022-08-02,987.051,987.051,937.364,945.343,6059801600,43686027000.0
2022-08-03,944.067,965.533,930.584,932.802,4478532700,34147696000.0
2022-08-04,939.044,950.762,934.317,950.101,3718865500,28622982000.0
2022-08-05,950.892,951.024,936.535,949.278,3470793300,25792284000.0
2022-08-08,945.987,962.228,940.479,962.222,3434883300,25936166000.0
2022-08-09,961.837,971.275,959.187,965.427,3279640200,27306668000.0
2022-08-10,965.269,968.062,958.512,965.665,3462626400,26661717000.0
2022-08-11,971.008,980.022,968.644,980.022,3756395800,27612080000.0
2022-08-12,980.683,992.541,979.657,985.428,4609933000,34278700000.0
2022-08-15,986.689,1003.549,984.187,1003.268,5171418800,38227110000.0
2022-08-16,1009.662,1024.54,1009.662,1023.004,5933476600,46533261000.0
2022-08-17,1026.958,1042.532,1026.958,1037.854,7046502900,53973977000.0
2022-08-18,1035.59,1039.856,1025.444,1027.756,6336072600,46231784000.0
2022-08-19,1026.64,1056.012,1018.688,1047.614,8630817100,63767767000.0
2022-08-22,1047.871,1055.805,1037.201,1039.82,7350461700,57952115000.0
2022-08-23,1032.584,1054.502,1030.472,1050.782,6306418000,48898422000.0
2022-08-24,1051.726,1051.974,1017.331,1018.89,6141362800,47956563000.0
2022-08-25,1025.506,1029.131,1001.546,1018.088,5221498800,41445376000.0
2022-08-26,1015.593,1028.942,1008.312,1010.296,5393291500,43331762000.0
2022-08-29,994.652,1017.925,992.088,1017.78,4803600400,37304272000.0
2022-08-30,1018.306,1022.32,991.338,996.518,4494059600,35036375000.0
2022-08-31,993.682,993.775,957.182,958.589,5000616000,38312874000.0
2022-09-01,959.493,965.457,947.918,949.718,3798235500,29332742000.0
2022-09-02,951.654,963.761,951.654,959.468,3849608700,27166927000.0
2022-09-05,959.293,976.337,957.104,973.522,4111521900,29908894000.0
2022-09-06,975.639,999.058,967.11,999.058,4861634100,36410771000.0
2022-09-07,997.641,1017.642,993.522,1016.726,5694040500,43629513000.0
2022-09-08,1016.306,1028.975,1010.786,1011.913,5902904000,42881798000.0
2022-09-09,1011.543,1013.88,998.44,1005.785,4542757600,34435113000.0
2022-09-13,1007.597,1008.561,990.626,992.608,4381007400,32419026000.0
2022-09-14,977.964,985.335,968.701,975.741,4097144100,29206998000.0
2022-09-15,980.261,981.331,934.843,945.451,4890937900,35578579000.0
2022-09-16,942.942,942.942,914.464,914.464,4097440100,27803331000.0
2022-09-19,911.906,913.287,898.302,903.183,3520737800,23506709000.0
2022-09-20,909.413,923.264,909.413,919.498,3177074100,21860909000.0
2022-09-21,917.542,932.003,906.377,929.454,3436448600,23064071000.0
