日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1061.211,1119.352,1061.211,1115.79,1182846380,7353518800.0
2020-01-03,1139.182,1146.066,1121.079,1135.617,1457567000,10320357700.0
2020-01-06,1106.223,1160.979,1104.141,1146.42,1718887400,13933640000.0
2020-01-07,1155.536,1197.089,1151.351,1171.703,1871314600,15855416000.0
2020-01-08,1145.177,1157.264,1132.742,1134.972,1486285800,12268957700.0
2020-01-09,1149.787,1174.661,1149.435,1169.862,1495671200,13884946000.0
2020-01-10,1183.289,1186.078,1149.895,1150.875,1511795200,13342747600.0
2020-01-13,1144.785,1173.93,1140.691,1173.93,1417553800,13355355900.0
2020-01-14,1175.345,1186.506,1168.362,1169.784,1428889900,14859066000.0
2020-01-15,1160.816,1165.694,1152.512,1164.916,1255974840,12491250100.0
2020-01-16,1174.059,1179.564,1164.24,1168.211,1320738580,13575328000.0
2020-01-17,1170.019,1188.043,1167.42,1170.539,1519168000,15649541000.0
2020-01-20,1165.221,1178.433,1158.588,1175.279,1439133000,14578302000.0
2020-01-21,1176.039,1176.039,1148.028,1148.028,1355232400,13997197000.0
2020-01-22,1132.198,1150.129,1120.083,1143.309,1422159500,13627304000.0
2020-01-23,1128.957,1137.169,1085.487,1097.095,1455018300,12754041100.0
2020-02-03,1000.571,1007.915,999.147,1004.363,728237650,7724059700.0
2020-02-04,939.518,1004.681,939.518,1001.671,1876587400,16195473000.0
2020-02-05,1004.742,1047.797,1004.742,1035.577,1478681700,15018336000.0
2020-02-06,1038.542,1078.005,1032.662,1064.321,1639092100,17591913000.0
2020-02-07,1063.399,1077.089,1048.493,1075.416,1827068600,18601332000.0
2020-02-10,1072.162,1103.379,1070.319,1103.06,2008247300,20495743000.0
2020-02-11,1106.213,1106.219,1076.365,1078.008,1649059900,15982180000.0
2020-02-12,1076.125,1098.048,1073.689,1098.048,1531124100,14326322000.0
2020-02-13,1100.213,1100.213,1070.072,1070.894,1607387200,14616519000.0
2020-02-14,1067.942,1075.281,1055.771,1064.674,1293064280,11825538200.0
2020-02-17,1069.189,1106.121,1069.189,1106.121,1497065900,13858818000.0
2020-02-18,1112.318,1149.453,1110.962,1149.453,1904349000,18656254000.0
2020-02-19,1147.604,1154.523,1134.337,1134.337,1655510100,17540369000.0
2020-02-20,1131.723,1154.333,1128.337,1154.072,1451233600,13705496000.0
2020-02-21,1150.833,1179.13,1150.313,1169.676,1818763400,16685390000.0
2020-02-24,1166.094,1182.198,1155.733,1179.779,1922384900,17488597000.0
2020-02-25,1149.324,1168.29,1120.172,1166.135,2253143900,19610343000.0
2020-02-26,1152.139,1168.739,1140.285,1144.488,1806547100,15912033000.0
2020-02-27,1151.601,1168.365,1133.824,1157.114,1941488900,15366402000.0
2020-02-28,1118.554,1132.627,1085.629,1087.101,2150766600,17863257000.0
2020-03-02,1091.705,1132.772,1091.705,1129.155,1808927400,15362002000.0
2020-03-03,1141.462,1171.378,1141.271,1153.033,2045011800,17954084000.0
2020-03-04,1148.286,1206.073,1147.927,1206.073,1838937700,17334479000.0
2020-03-05,1233.751,1235.493,1215.938,1232.379,2052860700,19282815000.0
2020-03-06,1216.067,1250.654,1212.23,1225.119,2279769000,20312831000.0
2020-03-09,1198.047,1210.239,1165.102,1166.923,2788672000,22095139000.0
2020-03-10,1139.11,1173.32,1118.034,1173.32,2138167900,17171912000.0
2020-03-11,1172.929,1184.726,1158.711,1159.061,2152036400,15852560000.0
2020-03-12,1142.858,1146.906,1116.55,1127.808,1787569700,13029956500.0
2020-03-13,1067.969,1114.643,1065.409,1105.615,1842229900,13137440900.0
2020-03-16,1118.812,1121.222,1055.172,1059.426,1922951400,13564575000.0
2020-03-17,1065.041,1073.17,1010.736,1063.98,1697934500,11660800900.0
2020-03-18,1070.768,1081.279,1036.823,1036.823,1778413800,13106287800.0
2020-03-19,1034.145,1051.397,1018.601,1047.558,1523286200,10913141200.0
2020-03-20,1056.88,1061.626,1042.393,1060.039,1293134290,9300869000.0
2020-03-23,1032.147,1042.878,1008.186,1011.279,1252178270,8905411100.0
2020-03-24,1029.736,1044.807,1013.632,1042.767,1452375400,10551010300.0
2020-03-25,1064.765,1069.916,1055.99,1069.337,1575980200,11681579000.0
2020-03-26,1060.404,1070.006,1056.504,1061.531,1586125800,10647334000.0
2020-03-27,1076.906,1087.497,1065.179,1067.077,1456255600,10528065600.0
2020-03-30,1052.556,1052.63,1033.152,1042.787,1553337800,11533075200.0
2020-03-31,1048.139,1050.852,1035.383,1040.66,1395268200,10306653900.0
2020-04-01,1034.885,1043.438,1029.347,1038.188,1431140000,10751479300.0
2020-04-02,1030.788,1054.73,1027.1,1054.73,1386834000,10050892800.0
2020-04-03,1051.326,1063.478,1046.212,1047.765,1407791000,10284535700.0
2020-04-07,1064.563,1088.812,1063.178,1088.812,1725937400,13000649800.0
2020-04-08,1087.879,1103.59,1086.272,1097.917,2262955100,16539885000.0
2020-04-09,1098.191,1111.416,1095.588,1108.49,1908543500,13810082000.0
2020-04-10,1104.667,1104.667,1060.772,1061.912,1742939200,13239710300.0
2020-04-13,1049.721,1053.116,1037.692,1043.616,1216748920,8313261200.0
2020-04-14,1049.778,1069.028,1049.778,1069.028,1234305440,9241330800.0
2020-04-15,1065.735,1066.816,1050.229,1051.391,1332969090,10001139600.0
2020-04-16,1045.654,1064.394,1043.72,1063.372,1294284360,9956805600.0
2020-04-17,1067.006,1068.552,1050.893,1051.533,1343087300,10685452700.0
2020-04-20,1052.418,1065.121,1049.123,1065.024,1071809100,8259686200.0
2020-04-21,1063.465,1076.147,1059.519,1076.147,1447534500,11378773800.0
2020-04-22,1068.331,1098.526,1066.767,1098.24,1470350000,12099774100.0
2020-04-23,1100.745,1102.752,1086.872,1089.318,1773337400,14990027000.0
2020-04-24,1085.203,1085.203,1048.758,1053.222,1585137200,12562721900.0
2020-04-27,1045.083,1048.431,1036.802,1038.604,1224626230,9678450600.0
2020-04-28,1034.248,1035.265,981.29,1016.441,1407476400,10681414500.0
2020-04-29,1010.154,1021.297,1005.332,1005.913,1013016370,8566630200.0
2020-04-30,1008.388,1027.97,1008.388,1025.551,1020208240,8693471100.0
2020-05-06,1014.86,1045.475,1013.204,1045.439,999336590,8811924400.0
2020-05-07,1045.526,1053.482,1041.944,1044.659,1144649190,9614218400.0
2020-05-08,1047.307,1062.85,1046.656,1058.777,1176853350,9772301800.0
2020-05-11,1062.143,1065.35,1055.256,1062.997,1138024430,10229968000.0
2020-05-12,1061.238,1066.812,1049.093,1066.812,1107753310,10184209200.0
2020-05-13,1064.139,1089.377,1061.144,1086.742,1413991800,11759505100.0
2020-05-14,1085.026,1094.941,1084.089,1087.707,1453715400,13492406000.0
2020-05-15,1095.224,1108.342,1095.224,1102.442,1490427000,13403669500.0
2020-05-18,1098.498,1103.532,1086.035,1092.04,1525302000,13571055000.0
2020-05-19,1099.35,1111.371,1097.412,1111.157,1357096800,12313738700.0
2020-05-20,1109.835,1113.241,1091.984,1096.702,1529980100,14501129000.0
2020-05-21,1094.656,1096.668,1070.518,1072.458,1382153400,12541380400.0
2020-05-22,1071.001,1071.783,1043.731,1048.146,1236834600,10442642100.0
2020-05-25,1043.357,1053.249,1038.556,1052.644,947420780,7883302800.0
2020-05-26,1051.15,1083.186,1050.758,1083.146,1266252760,11058316200.0
2020-05-27,1081.424,1090.336,1078.944,1085.099,1388449700,12236027000.0
2020-05-28,1084.834,1089.49,1059.614,1080.138,1301719580,11033567400.0
2020-05-29,1077.073,1117.001,1073.595,1111.762,1694137500,15329804000.0
2020-06-01,1126.433,1163.22,1125.863,1162.488,2441552100,19533796000.0
2020-06-02,1171.128,1174.805,1159.341,1160.957,2606707100,20380346000.0
2020-06-03,1165.232,1186.62,1162.174,1175.381,2674128300,19271788000.0
2020-06-04,1178.418,1192.267,1175.857,1189.305,2461746000,17945058000.0
2020-06-05,1189.047,1189.766,1171.581,1174.875,2263535300,15898006000.0
2020-06-08,1173.157,1175.374,1161.675,1163.828,2430091000,17553724000.0
2020-06-09,1166.478,1190.903,1162.874,1190.826,2387344300,17355829000.0
2020-06-10,1187.728,1188.892,1171.949,1178.618,2428905900,18299039000.0
2020-06-11,1177.62,1187.885,1167.344,1172.024,2147337800,16922060000.0
2020-06-12,1140.27,1181.515,1139.771,1179.046,2448150100,17475268000.0
2020-06-15,1179.038,1206.499,1178.773,1193.256,2959796300,21770708000.0
2020-06-16,1205.013,1212.364,1192.735,1212.364,3170821800,22352056000.0
2020-06-17,1213.989,1228.4,1209.562,1228.218,3289392400,24497730000.0
2020-06-18,1230.226,1237.815,1213.571,1213.571,3213374600,25508436000.0
2020-06-19,1205.978,1219.116,1203.323,1213.071,2279262300,18181523000.0
2020-06-22,1211.01,1211.619,1196.956,1201.179,2317232900,18439828000.0
2020-06-23,1202.999,1210.852,1198.93,1204.827,1986610200,16870031000.0
2020-06-24,1198.827,1203.891,1189.8,1191.022,1802954700,15656417000.0
2020-06-29,1188.151,1188.684,1179.912,1184.231,1783638500,13833056000.0
2020-06-30,1190.984,1202.124,1190.758,1200.019,1528877000,12469342600.0
