日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,893.988,916.71,893.988,914.25,554622010,5414105100.0
2020-01-03,915.225,923.848,912.79,921.374,536757110,5274472500.0
2020-01-06,915.603,934.219,910.422,925.806,612901770,7026516200.0
2020-01-07,926.958,939.14,926.649,937.634,488523730,4843044800.0
2020-01-08,931.53,938.06,920.007,920.649,568525180,6554330100.0
2020-01-09,930.459,943.431,930.235,942.923,453691850,5385065600.0
2020-01-10,947.357,948.414,931.19,934.042,392820150,4195137700.0
2020-01-13,938.854,957.623,938.854,957.623,450720490,5824894600.0
2020-01-14,963.7,966.66,957.981,959.696,452701580,4773274500.0
2020-01-15,961.641,964.559,950.862,961.813,600366320,5036195600.0
2020-01-16,960.668,964.388,953.535,955.359,485058990,5184318800.0
2020-01-17,955.738,968.86,955.738,960.723,450547750,5455456100.0
2020-01-20,959.313,962.756,951.564,961.979,479161230,5734157000.0
2020-01-21,952.706,952.774,938.6,938.993,456063090,4797955400.0
2020-01-22,930.059,942.287,916.714,937.624,349047170,4247059600.0
2020-01-23,920.681,924.095,882.915,894.389,428191460,5234672300.0
2020-02-03,805.171,806.501,805.171,805.171,115314428,1842118800.0
2020-02-04,741.667,791.398,741.667,787.599,683655880,5889891300.0
2020-02-05,795.194,825.575,794.686,809.069,578881830,5895532900.0
2020-02-06,807.701,828.431,800.285,826.129,510547390,5216860400.0
2020-02-07,826.216,841.455,819.837,841.204,501150100,5201897100.0
2020-02-10,838.256,855.834,836.29,855.628,458457200,4854580100.0
2020-02-11,855.391,857.033,844.685,847.103,380101920,3701952400.0
2020-02-12,847.018,866.427,845.662,865.152,408512290,4457764000.0
2020-02-13,862.524,870.037,852.097,855.604,433343120,4764681700.0
2020-02-14,853.469,864.94,848.382,856.475,370776690,4148535200.0
2020-02-17,860.549,891.165,860.549,891.138,516088030,5525307800.0
2020-02-18,893.711,911.466,891.819,911.466,547427460,6195584400.0
2020-02-19,912.68,912.68,900.362,900.95,569132170,5637072300.0
2020-02-20,901.756,923.767,897.269,923.338,643399500,6909657900.0
2020-02-21,924.508,953.452,924.337,952.106,720318110,8355039300.0
2020-02-24,951.64,971.644,945.382,966.824,844859790,10779472800.0
2020-02-25,942.24,974.492,918.902,972.982,966030220,12016977300.0
2020-02-26,954.967,970.353,944.577,951.924,937054330,10345780300.0
2020-02-27,953.58,974.046,943.814,961.341,769131230,7978302800.0
2020-02-28,924.245,935.124,889.471,892.226,762011650,7784381000.0
2020-03-02,898.48,934.265,898.48,928.871,673151310,6620705600.0
2020-03-03,947.086,961.037,930.49,938.164,721118470,7860340400.0
2020-03-04,931.347,949.375,925.837,946.721,671396580,7521125000.0
2020-03-05,960.279,965.244,952.049,961.315,770256860,9257307200.0
2020-03-06,947.472,966.835,946.438,961.159,675601870,8264293600.0
2020-03-09,941.258,947.272,920.861,922.13,663431970,7703244600.0
2020-03-10,907.691,952.912,900.193,952.912,669729830,7522494200.0
2020-03-11,953.449,962.169,937.411,938.836,598577000,7000245200.0
2020-03-12,921.21,932.768,913.123,927.517,461502320,4949035700.0
2020-03-13,878.269,935.399,877.278,927.256,610341430,6997633400.0
2020-03-16,936.693,939.046,876.613,882.599,557719830,6194299600.0
2020-03-17,886.811,896.005,852.028,882.472,433151970,4712153200.0
2020-03-18,890.234,904.536,869.41,869.471,487149590,6409665300.0
2020-03-19,863.725,881.151,851.325,875.996,435116510,5345017300.0
2020-03-20,886.222,887.769,864.896,881.003,421095690,5690816500.0
2020-03-23,854.844,860.266,836.271,838.86,354616860,4151539700.0
2020-03-24,854.741,857.36,828.831,855.897,351876070,4000320400.0
2020-03-25,873.474,880.835,868.642,876.116,401504120,3988084900.0
2020-03-26,871.271,875.26,858.299,860.515,363423550,3203494400.0
2020-03-27,871.235,873.736,852.477,854.037,300265570,2974942700.0
2020-03-30,840.621,840.621,819.294,827.971,324862970,3241623400.0
2020-03-31,836.864,839.45,824.24,825.501,309245700,2243083200.0
2020-04-01,828.795,839.677,822.739,824.974,320809650,2626383500.0
2020-04-02,819.092,842.838,818.856,842.262,284168310,2654040000.0
2020-04-03,839.217,841.526,825.068,830.112,243035300,2296654500.0
2020-04-07,844.438,856.997,843.022,855.368,348530610,3497961000.0
2020-04-08,852.405,866.006,851.379,864.145,317590110,2937455000.0
2020-04-09,868.303,877.069,867.181,875.114,352348760,3201184600.0
2020-04-10,880.509,880.509,855.2,859.608,356053460,3438914700.0
2020-04-13,850.502,852.026,842.646,844.505,248635690,2516566800.0
2020-04-14,848.352,862.916,847.434,862.789,263323270,2568410800.0
2020-04-15,858.785,861.213,849.633,851.572,372622290,2708431600.0
2020-04-16,844.861,865.435,842.31,862.65,386701530,2937150100.0
2020-04-17,865.023,870.177,856.635,857.568,376459330,3419596600.0
2020-04-20,857.822,860.608,849.977,860.023,318260370,2775868200.0
2020-04-21,857.346,859.208,845.082,858.189,394778220,3656689100.0
2020-04-22,852.427,867.839,850.324,867.43,419131800,3425942900.0
2020-04-23,866.651,866.691,852.39,853.869,370512490,2903164300.0
2020-04-24,852.229,855.03,830.65,833.4,366180610,2542522200.0
2020-04-27,831.101,839.126,829.242,831.181,326374970,2124101000.0
2020-04-28,827.78,829.263,787.353,810.98,390023900,2826750600.0
2020-04-29,805.159,819.318,805.159,809.674,272936090,1877579700.0
2020-04-30,813.325,831.447,813.325,828.241,290491110,3344853700.0
2020-05-06,820.673,841.778,820.673,841.778,411648010,3308231700.0
2020-05-07,840.162,841.657,828.267,829.583,327596130,2610072200.0
2020-05-08,834.02,841.159,833.023,836.518,312215560,2844719000.0
2020-05-11,840.339,842.381,827.109,832.073,283931560,2638245000.0
2020-05-12,829.63,830.734,813.705,823.653,232924350,2079256000.0
2020-05-13,817.481,824.712,816.073,824.151,220761510,2451631400.0
2020-05-14,822.864,830.333,820.895,821.844,213339840,2254831100.0
2020-05-15,826.181,834.053,824.494,828.597,240761210,2491988900.0
2020-05-18,830.418,831.606,818.384,821.014,233353510,2572021400.0
2020-05-19,828.584,832.028,825.965,830.171,243733090,2631800500.0
2020-05-20,833.404,841.591,829.793,836.019,346316810,4157688300.0
2020-05-21,843.916,845.185,828.708,830.898,394128770,4139584000.0
2020-05-22,830.931,833.586,813.703,816.957,276513530,3039989300.0
2020-05-25,817.994,820.499,810.659,813.58,443743050,4089866600.0
2020-05-26,812.243,836.846,812.243,836.333,420408180,3559191900.0
2020-05-27,833.925,834.026,825.076,828.519,532063910,4716401800.0
2020-05-28,828.666,835.877,819.505,835.877,462180630,4030734200.0
2020-05-29,834.346,845.336,834.346,840.897,349449410,3118464200.0
2020-06-01,848.458,870.877,848.458,869.238,508450010,5079621900.0
2020-06-02,872.777,882.486,872.777,878.91,593099630,5635727700.0
2020-06-03,879.907,898.508,876.926,897.639,659144610,6109519100.0
2020-06-04,895.172,902.764,888.965,901.41,567422220,5521038800.0
2020-06-05,904.226,904.313,883.427,889.191,512037650,4951458300.0
2020-06-08,889.086,889.464,878.316,882.651,497300660,4659444400.0
2020-06-09,880.759,892.65,876.855,889.363,564025110,5555524100.0
2020-06-10,882.707,882.707,872.257,876.813,450464380,4348255500.0
2020-06-11,878.68,893.526,875.776,879.126,515007200,5617653700.0
2020-06-12,859.829,877.962,858.241,872.218,436907940,4510542700.0
2020-06-15,867.056,881.581,865.364,870.418,423674920,4161750800.0
2020-06-16,876.978,885.882,876.978,885.882,393376270,4347084700.0
2020-06-17,884.657,890.12,878.691,889.764,427229260,4193410500.0
2020-06-18,894.383,904.544,893.54,901.872,560359040,5427489000.0
2020-06-19,893.335,902.483,890.43,899.882,506905820,4840482300.0
2020-06-22,895.947,901.454,888.054,889.567,395720610,4082722400.0
2020-06-23,891.92,893.97,882.622,884.378,341941300,3970302200.0
2020-06-24,879.86,883.026,875.572,877.574,325408780,3714562700.0
2020-06-29,873.909,882.34,871.531,877.144,366002410,4541757000.0
2020-06-30,883.775,895.529,882.258,893.233,370331580,4498505400.0
2020-07-01,896.429,898.325,882.055,891.312,430956380,5706676700.0
2020-07-02,891.426,908.706,889.737,907.622,507356060,6536216900.0
2020-07-03,906.536,920.106,904.255,917.149,691868890,7723866800.0
2020-07-06,922.595,956.419,922.595,952.993,798003780,9107052700.0
2020-07-07,959.254,983.334,946.572,968.919,878968930,11662789800.0
2020-07-08,963.299,988.615,958.896,986.683,672652190,8559219500.0
2020-07-09,989.335,1020.792,989.335,1014.717,852372220,10998041700.0
2020-07-10,1013.841,1031.504,1006.894,1018.364,826355830,10557574000.0
2020-07-13,1019.273,1044.804,1019.273,1044.731,814413640,10762416500.0
2020-07-14,1040.53,1046.824,1004.424,1023.501,809053700,10784590000.0
2020-07-15,1028.944,1030.697,985.231,988.521,632095660,8021717200.0
2020-07-16,987.717,995.605,943.334,948.108,557058460,7133498700.0
2020-07-17,950.25,959.935,930.597,943.893,420853530,4965306600.0
2020-07-20,952.28,975.984,949.609,975.984,579783670,7648369600.0
2020-07-21,986.981,994.86,982.167,989.04,676697950,9980422400.0
2020-07-22,991.372,1004.846,984.165,994.007,581309590,8082773300.0
2020-07-23,986.135,986.135,955.948,983.701,579429100,8099898900.0
2020-07-24,976.446,982.393,935.95,942.273,592350400,7754604200.0
2020-07-27,942.917,949.399,926.386,939.45,416880280,5347681300.0
2020-07-28,946.766,951.632,937.94,949.392,347486710,3744289700.0
2020-07-29,946.038,972.69,939.947,972.609,434281010,5314058100.0
2020-07-30,972.751,977.41,959.446,960.99,386570050,4971723900.0
2020-07-31,959.953,973.17,953.352,973.17,389732430,4709544300.0
2020-08-03,980.218,1001.479,980.218,1000.511,599175320,8027170200.0
2020-08-04,1001.246,1001.65,990.303,996.683,489796530,6184411300.0
2020-08-05,999.944,1008.226,990.054,1001.031,426403670,5425194900.0
2020-08-06,1002.079,1005.638,983.205,1003.591,465391260,6013947600.0
2020-08-07,1000.334,1000.334,977.347,994.128,585957100,8260339900.0
2020-08-10,990.821,1000.832,986.989,995.588,573085140,7749631400.0
2020-08-11,994.504,995.239,971.736,971.736,529284900,6385229500.0
2020-08-12,967.198,968.838,936.912,961.92,443189210,4868239800.0
2020-08-13,961.823,970.399,960.031,964.827,287121400,2983760100.0
2020-08-14,963.088,973.994,954.423,973.93,282008590,3269091300.0
2020-08-17,972.009,989.479,968.098,988.456,384929100,4556826100.0
2020-08-18,987.073,991.814,984.03,988.048,368212370,4226933900.0
2020-08-19,985.374,985.415,966.034,968.117,315770720,3709593500.0
2020-08-20,962.677,968.373,955.53,958.303,251822430,2821336800.0
2020-08-21,962.296,969.969,955.988,964.668,239392080,2696376700.0
2020-08-24,965.093,973.656,953.12,971.442,242030380,2851054200.0
2020-08-25,971.653,975.879,964.661,967.279,252931590,2901471300.0
2020-08-26,966.555,967.735,938.54,941.893,306695480,3581204000.0
2020-08-27,942.257,957.211,934.744,953.158,251122270,2980886900.0
2020-08-28,948.97,952.496,939.307,951.575,304712650,3818557800.0
2020-08-31,955.006,970.008,954.081,954.081,289543440,3398143500.0
2020-09-01,954.988,963.748,951.023,963.57,250435600,2874612900.0
2020-09-02,968.805,984.2,968.805,983.915,353818270,4500160600.0
2020-09-03,984.278,984.278,970.277,975.544,341171120,3734277300.0
2020-09-04,960.834,978.691,958.544,977.219,306253760,3382539600.0
2020-09-07,978.106,987.449,967.179,971.276,334018920,4256340400.0
2020-09-08,972.613,977.721,962.389,977.149,395714490,3588330600.0
2020-09-09,965.388,969.99,951.23,952.746,385884830,3814203600.0
2020-09-10,957.644,961.398,909.731,911.984,379689170,3705418600.0
2020-09-11,907.142,921.059,902.63,919.483,221986070,2187721100.0
2020-09-14,921.748,936.195,921.748,932.584,241225190,2312504400.0
2020-09-15,931.861,940.595,928.956,938.233,279676750,2713000100.0
2020-09-16,934.239,934.432,924.481,930.701,227134020,2118106500.0
2020-09-17,932.01,950.974,929.284,944.438,254507860,2691396600.0
2020-09-18,946.05,956.018,937.667,955.515,322551910,3098281600.0
2020-09-21,956.501,957.969,945.84,948.305,243296130,2481571800.0
2020-09-22,940.05,944.785,928.469,932.861,221011510,1980677900.0
2020-09-23,934.457,937.9,927.085,933.962,180659970,1788860800.0
2020-09-24,929.04,929.04,914.059,914.376,232145940,1958688300.0
2020-09-25,918.753,919.192,904.392,911.692,169369870,1259964880.0
2020-09-28,911.391,913.684,896.215,896.215,137643800,1206209050.0
2020-09-29,901.348,905.452,894.76,896.742,172584490,1663253000.0
2020-09-30,895.734,899.639,886.713,892.366,154231770,1535644700.0
2020-10-09,910.308,917.917,904.858,914.905,195307810,1923725500.0
2020-10-12,921.009,938.589,920.956,937.185,245973400,2641352600.0
2020-10-13,937.95,942.226,933.551,940.613,266333100,2335254700.0
2020-10-14,937.106,937.106,924.465,927.399,248200400,2434245700.0
2020-10-15,927.197,933.198,924.07,925.67,274602740,2979735600.0
2020-10-16,923.498,925.969,915.772,920.226,203612320,2179069400.0
2020-10-19,921.534,929.056,912.199,915.544,179922800,1870317300.0
2020-10-20,913.847,932.39,910.09,931.722,223475000,2237579100.0
2020-10-21,932.663,932.663,918.34,922.75,187530470,1833684300.0
2020-10-22,921.895,924.23,913.277,920.59,178339660,1758654000.0
2020-10-23,921.099,929.428,911.188,913.983,186962450,1928941900.0
2020-10-26,912.146,918.685,904.984,917.651,198191410,2213972100.0
2020-10-27,911.549,913.846,901.768,908.007,214777580,2583946400.0
2020-10-28,906.859,911.647,892.709,910.581,240711360,2488744600.0
2020-10-29,897.016,907.849,893.166,900.453,248838140,2441043400.0
2020-10-30,900.526,907.17,887.172,889.859,385088890,3877063200.0
2020-11-02,888.146,889.218,873.156,881.082,357747510,3823042900.0
2020-11-03,884.47,898.458,882.485,897.104,297222420,3240502100.0
2020-11-04,896.241,898.868,885.736,891.953,244297480,2679265100.0
2020-11-05,897.125,912.267,894.792,912.128,356440940,3971509900.0
2020-11-06,915.571,916.575,898.96,908.136,362924690,3960552200.0
2020-11-09,911.812,923.147,909.099,921.2,341307130,3908340500.0
2020-11-10,923.133,923.133,903.935,907.79,339096050,3743416200.0
2020-11-11,903.111,904.793,893.51,895.791,245637930,2580550800.0
2020-11-12,896.45,897.841,888.809,891.283,237645370,2283568400.0
2020-11-13,892.106,893.337,883.648,890.25,184193450,1891833800.0
2020-11-16,891.625,897.697,884.156,895.235,302183270,3477883800.0
2020-11-17,894.508,897.437,891.412,897.041,296649350,3186713700.0
2020-11-18,895.173,904.284,892.922,903.614,300390650,3628400000.0
2020-11-19,904.975,908.95,900.71,902.665,286290500,3031503600.0
2020-11-20,903.88,920.779,903.314,920.697,346418250,3923120100.0
2020-11-23,926.996,935.377,922.201,930.901,564810660,7983691600.0
2020-11-24,933.563,937.572,925.512,926.252,547962150,7413065800.0
2020-11-25,924.651,935.399,923.322,923.616,437759370,5554118100.0
2020-11-26,921.591,921.661,911.924,915.17,370010680,4321989500.0
2020-11-27,914.955,919.145,906.18,916.566,293175890,3752660100.0
2020-11-30,915.417,927.455,910.818,918.892,287423840,3278233700.0
2020-12-01,916.212,929.247,915.744,928.909,290880550,3603926500.0
2020-12-02,926.894,928.643,923.256,926.004,267427400,3218430600.0
2020-12-03,924.531,933.116,918.795,926.483,256904610,3077402700.0
2020-12-04,923.029,928.428,921.83,925.487,217725650,2412694200.0
2020-12-07,924.809,927.618,917.395,918.052,228811820,2710667100.0
2020-12-08,918.999,921.742,911.456,917.398,232580070,2909259900.0
2020-12-09,918.901,920.28,902.127,902.702,240029730,2771378100.0
2020-12-10,896.753,899.28,887.754,895.375,178197690,2028489400.0
2020-12-11,894.701,898.121,873.065,880.812,217447470,2476665700.0
2020-12-14,880.726,894.037,871.98,893.688,193264690,1950422300.0
2020-12-15,896.229,901.416,893.957,896.517,192594350,1984853100.0
2020-12-16,900.103,901.255,883.204,884.929,376105050,3369497000.0
2020-12-17,882.281,897.207,877.477,896.602,411789400,3685544800.0
2020-12-18,893.311,905.79,891.878,897.558,324306040,3141699600.0
2020-12-21,901.098,911.917,895.863,910.896,390002280,4514052200.0
2020-12-22,912.34,912.969,886.308,887.321,522448330,6066912700.0
2020-12-23,885.818,901.934,883.862,898.674,539700160,6706426700.0
2020-12-24,895.869,895.872,866.667,873.818,398080450,4596816800.0
2020-12-25,864.86,880.16,861.054,875.299,355130410,3877408200.0
2020-12-28,872.662,873.361,860.598,864.416,360545720,4316573400.0
2020-12-29,861.531,875.021,861.531,862.813,321171280,3764349800.0
2020-12-30,863.289,871.426,860.992,865.866,285156640,3417739200.0
2020-12-31,866.348,881.665,866.348,881.175,363566320,4128190700.0
2021-01-04,877.546,896.659,877.546,894.159,376825270,4750999400.0
2021-01-05,894.815,895.719,879.205,890.527,419213230,5218405900.0
2021-01-06,889.831,889.831,868.145,870.496,331971260,4073359200.0
2021-01-07,869.674,869.674,845.431,853.445,464307620,6064228900.0
2021-01-08,851.962,865.568,836.491,859.519,341350950,4458138900.0
2021-01-11,860.902,864.252,849.643,855.303,413162420,6047776400.0
2021-01-12,857.412,868.612,853.915,865.656,347881530,5147204600.0
