日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,3718.404,3789.376,3703.536,3780.663,1709714400,25680100000.0
2020-01-03,3795.265,3828.094,3779.071,3822.848,1730885200,28089558000.0
2020-01-06,3788.986,3878.323,3775.533,3834.849,1960254900,29103672000.0
2020-01-07,3842.469,3935.393,3842.469,3935.393,2028078000,31293644000.0
2020-01-08,3904.113,3931.733,3850.36,3861.355,1928750100,29405579000.0
2020-01-09,3902.644,4001.98,3902.459,3997.995,2323775200,37103982000.0
2020-01-10,4021.148,4024.441,3959.309,3974.59,1775685300,29315129000.0
2020-01-13,3968.463,4025.188,3944.903,4025.188,1735516700,29659907000.0
2020-01-14,4033.848,4036.259,3989.102,3990.653,1730356400,30692775000.0
2020-01-15,3985.196,4038.736,3966.91,4035.662,1811889100,28463791000.0
2020-01-16,4037.982,4051.247,4016.471,4030.648,1840424400,31558420000.0
2020-01-17,4043.034,4085.873,4030.907,4038.054,1765556100,30920165000.0
2020-01-20,4043.522,4108.85,3999.305,4103.853,1739972700,29968785000.0
2020-01-21,4084.45,4086.701,4025.987,4027.327,1724773400,28062532000.0
2020-01-22,3980.664,4066.033,3935.952,4041.087,2024123400,32003265000.0
2020-01-23,3974.716,4024.021,3825.289,3862.261,2245006800,35005110000.0
2020-02-03,3471.334,3508.2,3471.334,3484.82,759551780,16034949000.0
2020-02-04,3288.967,3522.405,3288.967,3506.536,2346501500,33224786000.0
2020-02-05,3521.168,3665.867,3521.168,3601.393,2142598000,31988429000.0
2020-02-06,3615.508,3763.938,3602.416,3760.437,2286384000,34693628000.0
2020-02-07,3788.276,3915.142,3780.471,3915.142,2706321500,41815392000.0
2020-02-10,3943.392,3993.292,3889.192,3959.284,2394727500,37986007000.0
2020-02-11,3974.031,3975.81,3905.717,3925.593,1999968300,30926437000.0
2020-02-12,3911.271,4075.301,3905.474,4075.103,2375867000,37757287000.0
2020-02-13,4074.145,4122.588,4036.277,4058.472,2505249700,40135369000.0
2020-02-14,4039.282,4125.146,4001.511,4039.757,2200322400,35790600000.0
2020-02-17,4073.897,4236.684,4073.897,4236.684,2734856700,45634170000.0
2020-02-18,4255.154,4363.215,4251.093,4363.215,3023156300,50827902000.0
2020-02-19,4349.649,4393.994,4294.005,4294.005,2843096900,48280397000.0
2020-02-20,4304.345,4352.218,4224.593,4349.765,2592717200,42736995000.0
2020-02-21,4369.709,4565.678,4369.709,4508.029,3212782500,57141010000.0
2020-02-24,4532.398,4687.653,4524.333,4665.707,3819745800,66264958000.0
2020-02-25,4569.749,4693.296,4418.781,4682.155,4183685000,79425522000.0
2020-02-26,4608.095,4657.689,4467.812,4485.191,4107432600,71309513000.0
2020-02-27,4495.734,4602.962,4385.332,4505.507,3481136700,62049346000.0
2020-02-28,4297.166,4396.832,4196.454,4201.569,3108682900,55407406000.0
2020-03-02,4276.577,4445.642,4249.917,4420.271,2795843500,55140925000.0
2020-03-03,4528.747,4646.661,4433.846,4482.036,3385215600,67465674000.0
2020-03-04,4459.377,4554.977,4396.531,4493.936,2654789000,50125066000.0
2020-03-05,4603.971,4623.064,4447.295,4505.021,2843047100,52064233000.0
2020-03-06,4431.107,4496.258,4416.173,4462.624,2110393200,36440888000.0
2020-03-09,4376.653,4402.698,4227.465,4230.05,2659783500,46831553000.0
2020-03-10,4192.942,4453.257,4175.753,4453.257,2904949000,53772677000.0
2020-03-11,4486.791,4557.06,4381.385,4385.604,2936905300,56109160000.0
2020-03-12,4309.301,4387.511,4281.167,4358.09,2298273900,42812778000.0
2020-03-13,4134.923,4431.542,4134.923,4386.376,2862926900,52758762000.0
2020-03-16,4414.044,4426.32,4107.494,4122.255,2979601800,58772802000.0
2020-03-17,4181.444,4213.416,3978.216,4157.858,2447440900,49489215000.0
2020-03-18,4194.839,4303.969,4078.083,4078.083,2541095900,51016702000.0
2020-03-19,4077.198,4204.402,4025.355,4187.14,2345060800,46458260000.0
2020-03-20,4230.11,4240.012,4111.864,4184.364,2021973100,38592273000.0
2020-03-23,4047.768,4121.593,3958.439,3974.489,1926114100,34231918000.0
2020-03-24,4069.902,4100.562,3915.752,4075.121,2242953300,39028650000.0
2020-03-25,4166.702,4170.752,4098.584,4140.034,2066564800,37167589000.0
2020-03-26,4106.6,4138.481,4060.96,4067.413,1621883000,28775754000.0
2020-03-27,4107.253,4114.199,3978.166,3978.195,1514663000,28748724000.0
2020-03-30,3900.153,3900.153,3737.59,3784.103,1656278100,28583927000.0
2020-03-31,3836.516,3844.412,3748.367,3749.368,1368637600,23502195000.0
2020-04-01,3739.588,3822.381,3721.522,3734.763,1408271300,23650435000.0
2020-04-02,3730.571,3885.835,3728.921,3885.835,1625981400,27472810000.0
2020-04-03,3867.942,3879.532,3799.275,3817.818,1379520800,24619487000.0
2020-04-07,3904.319,3983.142,3904.319,3981.191,1704972700,29108318000.0
