日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1020.186,1057.846,1018.432,1055.935,2104673700,18717269000.0
2020-01-03,1061.41,1072.887,1058.098,1069.066,2244221300,19765269000.0
2020-01-06,1061.319,1090.653,1057.07,1081.298,2240554200,21865494000.0
2020-01-07,1084.076,1123.865,1084.076,1123.639,2754861200,25510071000.0
2020-01-08,1114.174,1116.998,1091.692,1092.958,2472608000,22941466000.0
2020-01-09,1106.594,1115.335,1097.77,1111.034,1918825900,18603656000.0
2020-01-10,1111.711,1112.004,1090.738,1097.497,1542360800,14668467000.0
2020-01-13,1093.545,1102.687,1080.624,1102.687,1450830500,15605814000.0
2020-01-14,1105.191,1112.245,1100.212,1100.683,1601352800,16885792000.0
2020-01-15,1097.222,1103.307,1087.634,1096.096,1464667900,15805477000.0
2020-01-16,1096.83,1097.372,1078.828,1082.077,1455992500,15839448000.0
2020-01-17,1083.266,1087.259,1070.418,1073.231,1495973100,15318758000.0
2020-01-20,1069.466,1074.925,1062.431,1074.768,1677140700,17391310000.0
2020-01-21,1066.51,1068.902,1056.535,1056.666,1575360300,15188896000.0
2020-01-22,1044.615,1054.978,1029.504,1049.826,1459726500,14489298000.0
2020-01-23,1033.338,1057.797,1011.458,1022.814,1763159700,18820364000.0
2020-02-03,931.827,950.954,931.827,935.582,1092016550,14458250000.0
2020-02-04,882.53,945.05,882.53,940.368,2185995900,19800536000.0
2020-02-05,941.759,980.581,941.759,967.241,2004629600,20896045000.0
2020-02-06,968.945,1013.673,963.04,1010.097,2286250900,24205061000.0
2020-02-07,1012.129,1042.405,1007.948,1042.405,2420867300,25718786000.0
2020-02-10,1042.599,1051.281,1029.753,1043.82,2235170100,24339402000.0
2020-02-11,1043.667,1043.966,1023.02,1024.431,1763359700,19459482000.0
2020-02-12,1024.099,1049.914,1023.356,1049.846,1685411400,18531882000.0
2020-02-13,1052.28,1052.28,1025.766,1027.366,1852947500,20265478000.0
2020-02-14,1022.232,1036.828,1015.711,1023.353,1553959800,16728671000.0
2020-02-17,1028.417,1061.211,1028.358,1061.211,2032496900,19669354000.0
2020-02-18,1062.791,1088.819,1060.344,1088.819,2263272300,22703724000.0
2020-02-19,1083.05,1083.473,1061.516,1061.797,1971962900,22353390000.0
2020-02-20,1064.167,1081.446,1053.748,1081.4,1944880900,20483483000.0
2020-02-21,1078.998,1113.884,1077.851,1104.768,2399412600,25795499000.0
2020-02-24,1098.662,1124.534,1094.832,1122.028,2565666800,26287653000.0
2020-02-25,1094.512,1105.721,1058.189,1104.493,2692295200,28417909000.0
2020-02-26,1089.254,1105.119,1079.74,1083.961,2657433000,24576854000.0
2020-02-27,1086.845,1106.375,1073.255,1097.946,2243784400,23132458000.0
2020-02-28,1062.046,1083.466,1033.462,1034.72,2640897400,25883739000.0
2020-03-02,1043.537,1070.032,1034.905,1066.255,2155580000,22851974000.0
