日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-04-25,994.277,1007.8,948.121,948.121,882709830,17111714000.0
2022-04-26,941.422,976.796,926.518,953.1,1043630140,18437277000.0
2022-04-27,934.091,972.283,919.981,972.283,1234619230,21963312000.0
2022-04-28,962.339,969.22,949.026,957.209,1227574250,24047603000.0
2022-04-29,964.378,1013.57,962.596,1010.243,1586177800,28374368000.0
2022-05-05,1004.434,1044.833,997.902,1037.854,1698060400,28976063000.0
2022-05-06,1010.806,1058.913,1006.961,1049.311,1757887300,30251387000.0
2022-05-09,1056.73,1078.108,1048.528,1070.168,1983684900,33883166000.0
2022-05-10,1051.166,1075.578,1050.972,1074.187,2123176300,32773995000.0
2022-05-11,1076.163,1105.145,1068.851,1068.851,2436504800,41667825000.0
2022-05-12,1059.798,1093.675,1059.652,1090.99,2037550300,33148661000.0
2022-05-13,1095.59,1108.005,1080.737,1093.221,2044831900,31446927000.0
2022-05-16,1098.825,1106.651,1072.666,1076.835,1879875100,29446236000.0
2022-05-17,1077.56,1077.661,1037.045,1047.956,1949683300,29794828000.0
2022-05-18,1041.439,1053.419,1035.672,1040.826,1456020600,22330999000.0
2022-05-19,1024.7,1045.313,1021.076,1045.313,1487829600,23624374000.0
2022-05-20,1050.439,1060.464,1038.842,1052.862,1558453100,28122839000.0
2022-05-23,1067.204,1079.415,1062.073,1079.05,1682472100,29606315000.0
2022-05-24,1079.344,1079.402,1022.976,1022.976,2273841100,37468212000.0
2022-05-25,1019.163,1036.783,1017.544,1034.721,1552548100,26548066000.0
2022-05-26,1036.616,1036.616,1009.464,1023.455,1358966800,22070490000.0
2022-05-27,1025.434,1031.296,1008.618,1017.837,1302655940,20763006000.0
2022-05-30,1018.326,1019.046,1000.276,1013.089,1175433910,19872304000.0
2022-05-31,1011.3,1016.512,991.867,1016.156,1241881720,21787947000.0
2022-06-01,1015.299,1027.047,1008.732,1015.748,1178863170,18376781000.0
2022-06-02,1016.147,1016.147,1001.15,1014.093,1098000540,17029422000.0
2022-06-06,1013.893,1035.299,1013.53,1033.076,1285407810,21384499000.0
2022-06-07,1033.292,1058.204,1028.387,1058.182,2086721800,31893529000.0
2022-06-08,1054.575,1055.907,1034.619,1044.655,1818381300,29719549000.0
2022-06-09,1042.591,1046.383,1017.14,1019.094,1362482500,21851313000.0
2022-06-10,1015.8,1032.773,1014.717,1031.704,1153342680,20127876000.0
2022-06-13,1024.548,1035.234,1022.382,1033.801,1189637500,19309408000.0
2022-06-14,1026.184,1028.779,999.584,1025.545,1190057460,19117322000.0
2022-06-15,1025.94,1037.441,1025.746,1025.746,1296584050,21396894000.0
2022-06-16,1025.162,1050.025,1025.162,1042.435,1467964800,23204159000.0
2022-06-17,1035.943,1046.709,1023.227,1046.002,1346295500,22542374000.0
2022-06-20,1048.48,1068.459,1047.549,1067.964,1666183700,27102165000.0
2022-06-21,1069.199,1076.057,1048.941,1057.617,1483793600,23458417000.0
2022-06-22,1057.876,1074.066,1055.678,1057.331,1613461700,25242844000.0
2022-06-23,1055.17,1057.635,1039.549,1057.635,1285280850,19858813000.0
2022-06-24,1058.544,1073.025,1058.527,1064.473,1289180360,20340992000.0
2022-06-27,1068.663,1083.189,1064.513,1068.353,1429001300,22538118000.0
2022-06-28,1067.465,1070.064,1053.248,1070.064,1287873800,20581576000.0
2022-06-29,1068.261,1077.48,1055.329,1055.389,1360548400,22361735000.0
2022-06-30,1055.702,1075.864,1055.623,1066.663,1289125620,21566605000.0
2022-07-01,1068.163,1072.429,1059.502,1063.374,1098131550,17951048000.0
2022-07-04,1066.566,1096.101,1066.566,1096.101,1783998000,29362747000.0
2022-07-05,1095.833,1095.843,1069.564,1082.529,1510798500,24985921000.0
2022-07-06,1081.618,1086.057,1062.384,1070.57,1233064240,21398924000.0
2022-07-07,1072.977,1073.327,1053.872,1060.409,1053638890,18577181000.0
2022-07-08,1061.5,1079.14,1061.5,1072.305,1224374990,19569554000.0
2022-07-11,1075.124,1095.808,1075.124,1092.643,2063665500,29618737000.0
2022-07-12,1090.888,1091.004,1062.278,1062.278,1896430100,27208497000.0
2022-07-13,1060.368,1066.053,1051.988,1058.421,1367394100,19902035000.0
2022-07-14,1059.607,1078.183,1058.662,1070.481,1350099800,20814425000.0
2022-07-15,1065.779,1067.46,1044.327,1044.327,1615015000,25009400000.0
2022-07-18,1045.719,1060.035,1038.058,1060.035,1254030620,20476412000.0
2022-07-19,1060.085,1067.659,1051.976,1061.189,1160610680,18978732000.0
2022-07-20,1063.77,1076.656,1063.22,1075.032,1301269930,20914890000.0
2022-07-21,1073.702,1077.939,1067.407,1067.552,1137824990,17680266000.0
2022-07-22,1068.042,1074.223,1044.379,1051.3,1098150770,18136386000.0
2022-07-25,1060.62,1075.655,1060.62,1073.548,1556496500,23366878000.0
2022-07-26,1076.118,1076.118,1055.481,1066.995,1593214000,21648521000.0
2022-07-27,1062.894,1082.838,1060.652,1074.618,1571570100,21460216000.0
2022-07-28,1072.064,1076.538,1068.251,1068.739,1368968600,18223044000.0
2022-07-29,1069.302,1069.382,1049.405,1051.321,1346947700,19258828000.0
2022-08-01,1049.226,1052.203,1039.533,1050.58,1164151990,17158537000.0
2022-08-02,1043.759,1043.759,989.554,996.589,1676397900,22831815000.0
2022-08-03,994.821,1016.096,994.446,996.611,1257962640,17379955000.0
2022-08-04,1002.801,1015.149,999.606,1015.149,983645130,14216897000.0
2022-08-05,1019.773,1036.851,1018.191,1036.851,1149411860,16734173000.0
2022-08-08,1042.413,1059.54,1042.189,1054.999,1425365000,19659898000.0
2022-08-09,1050.608,1050.608,1039.733,1044.495,1112504610,14386542000.0
2022-08-10,1044.995,1045.039,1032.42,1037.024,903113150,12769513200.0
2022-08-11,1041.319,1055.148,1040.753,1053.198,973189300,14256043000.0
2022-08-12,1054.417,1061.071,1049.611,1058.22,1042797090,14216332000.0
2022-08-15,1056.889,1056.889,1045.342,1049.251,865408080,12309902800.0
2022-08-16,1050.345,1052.393,1043.197,1047.195,756351370,10685059900.0
2022-08-17,1050.166,1055.358,1040.562,1046.356,853172860,11969521900.0
2022-08-18,1043.738,1043.738,1030.114,1036.643,876526590,12848684700.0
2022-08-19,1036.866,1042.364,1027.356,1027.43,816197530,12737565800.0
2022-08-22,1025.399,1033.611,1014.767,1032.921,736926460,11244645600.0
2022-08-23,1030.223,1030.244,1025.085,1030.149,767454980,11282800300.0
2022-08-24,1030.25,1033.912,1008.862,1009.876,924619930,12673198000.0
2022-08-25,1012.066,1013.79,997.145,1011.107,804362740,11516565200.0
2022-08-26,1009.784,1022.851,1005.416,1006.459,760283180,12243584700.0
2022-08-29,997.536,1010.197,991.098,1010.042,761123580,11885865800.0
2022-08-30,1009.428,1017.48,1005.587,1012.153,725209920,11161868900.0
2022-08-31,1010.079,1014.062,995.255,999.811,793442360,13263039700.0
2022-09-01,999.492,1015.867,998.435,1008.695,886886520,14118815000.0
2022-09-02,1010.015,1020.188,1006.522,1011.687,724801250,11287852500.0
2022-09-05,1013.239,1020.482,1004.684,1009.778,728235350,11358079700.0
2022-09-06,1011.145,1016.614,1004.282,1016.528,870615310,11229544200.0
2022-09-07,1015.769,1018.414,1009.212,1014.56,882489130,11818455100.0
2022-09-08,1014.13,1014.13,1002.015,1002.203,741562370,10496083200.0
2022-09-09,1003.637,1010.674,1003.637,1009.854,710339390,10863216000.0
2022-09-13,1010.903,1017.58,1006.897,1011.357,809165070,11823042600.0
2022-09-14,1000.86,1008.039,990.45,1007.863,717086030,10315679400.0
2022-09-15,1010.79,1015.151,982.881,991.645,881749900,12236962800.0
