日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,581.425,591.037,581.266,590.921,5943198000,48928317000.0
2020-01-03,592.718,597.153,591.931,596.163,5913580800,48292700000.0
2020-01-06,594.147,604.997,592.414,602.436,6629721200,52949525000.0
2020-01-07,603.885,610.868,603.632,610.868,6455058700,53341476000.0
2020-01-08,609.137,611.069,600.681,601.954,6595131800,53397600000.0
2020-01-09,605.263,610.132,605.263,609.665,5705361000,47360492000.0
2020-01-10,611.357,611.817,603.034,605.325,4912053300,39157204000.0
2020-01-13,604.972,608.99,599.984,608.99,4540764700,38766162000.0
2020-01-14,609.346,611.238,607.084,607.396,4731526300,41831033000.0
2020-01-15,606.671,606.671,600.776,603.156,4606856800,38102217000.0
2020-01-16,604.48,605.446,599.579,600.491,4631399300,42050548000.0
2020-01-17,601.912,602.692,596.459,596.749,4032363800,37378988000.0
2020-01-20,596.297,598.832,593.456,598.779,4121109400,36388008000.0
2020-01-21,598.154,598.221,592.72,592.888,4903164700,42072971000.0
2020-01-22,590.742,593.574,582.206,591.197,4696627000,40561300000.0
2020-01-23,584.874,588.541,567.501,572.191,5313077500,45082494000.0
2020-02-03,522.838,525.163,521.499,523.947,2729280300,26331279000.0
2020-02-04,487.91,514.837,487.91,513.2,7714657500,54200822000.0
2020-02-05,515.042,532.675,514.943,528.46,6544925600,50553230000.0
2020-02-06,530.935,545.387,528.085,543.374,6783183100,54734069000.0
2020-02-07,544.871,549.587,539.292,549.587,7184321600,60435029000.0
2020-02-10,549.344,557.919,547.363,557.839,6804661700,57169951000.0
2020-02-11,557.564,557.564,550.931,553.823,5556395100,47147965000.0
2020-02-12,551.834,563.005,551.638,563.005,5640470400,48825767000.0
2020-02-13,563.167,564.574,555.222,556.627,6113698000,51754464000.0
2020-02-14,555.074,560.022,551.723,555.469,5259065800,45238614000.0
2020-02-17,558.387,574.775,558.387,574.775,6109434700,52427189000.0
2020-02-18,576.361,586.707,575.789,586.707,6901540600,60126411000.0
2020-02-19,585.947,589.924,583.43,583.884,6768424700,59565578000.0
2020-02-20,584.392,594.171,581.999,594.171,7002504900,61562788000.0
2020-02-21,592.703,602.619,592.546,599.756,7666779700,69630421000.0
2020-02-24,598.661,606.751,595.013,605.215,7802532700,71949600000.0
2020-02-25,592.202,603.013,579.268,602.717,9364207900,84160866000.0
2020-02-26,595.668,606.081,594.091,595.84,8658260700,74799675000.0
2020-02-27,597.615,602.603,590.36,597.714,7131085000,60623504000.0
2020-02-28,579.521,585.228,564.113,564.384,7698496800,62374726000.0
2020-03-02,567.039,587.827,567.039,586.399,6498032200,55720069000.0
2020-03-03,594.657,601.615,587.582,592.665,7838159400,65853767000.0
2020-03-04,588.977,598.154,587.888,598.154,6613616100,54362923000.0
2020-03-05,604.032,609.521,602.714,609.338,7663299000,65092380000.0
2020-03-06,602.711,614.648,601.2,610.773,7002284000,56363305000.0
2020-03-09,602.414,606.566,591.09,591.09,7460862800,62176765000.0
2020-03-10,580.157,602.665,573.874,602.665,7258106800,58799611000.0
2020-03-11,604.622,609.842,598.961,598.961,6593720200,52890383000.0
2020-03-12,590.992,594.003,583.457,588.3,5873924900,47129391000.0
2020-03-13,559.094,585.242,558.695,581.624,7115269700,53215369000.0
2020-03-16,587.903,589.031,559.751,560.944,6973900700,52668433000.0
2020-03-17,562.08,567.143,538.699,556.544,6035211800,45134137000.0
2020-03-18,560.448,566.908,545.431,545.431,5767271300,45923294000.0
2020-03-19,543.367,551.025,534.62,548.94,5460828600,44649187000.0
2020-03-20,553.816,557.1,547.685,557.051,4832101200,39692142000.0
2020-03-23,543.432,549.771,534.322,535.489,4898421300,36280464000.0
2020-03-24,544.353,546.225,530.341,544.968,5213318000,38938744000.0
2020-03-25,554.41,558.016,551.925,557.711,5281103800,41065589000.0
2020-03-26,554.085,557.003,550.062,550.812,4655627000,34970935000.0
2020-03-27,555.695,556.635,547.601,548.129,4102174000,32285059000.0
2020-03-30,540.778,540.778,529.677,533.527,4337569100,31646510000.0
2020-03-31,536.894,537.795,531.23,532.047,3871142100,27580142000.0
2020-04-01,529.81,535.725,527.313,528.549,4011544000,29264153000.0
2020-04-02,525.772,540.047,525.264,540.047,3917347900,29053047000.0
2020-04-03,539.315,541.926,535.411,537.964,4245734900,30876642000.0
2020-04-07,546.325,555.283,545.745,555.218,5411121500,40126503000.0
2020-04-08,553.673,560.63,552.651,558.828,6600492200,46591255000.0
2020-04-09,561.384,564.979,560.201,563.44,6496210000,45467052000.0
2020-04-10,561.652,561.895,549.035,552.049,6209693100,45373726000.0
2020-04-13,548.285,548.976,542.924,545.839,4664001900,35194325000.0
2020-04-14,547.268,555.978,547.212,555.978,4829419900,36747505000.0
2020-04-15,555.409,557.471,551.735,552.072,5646662500,44074145000.0
2020-04-16,549.073,555.231,548.238,554.288,5418751500,39682173000.0
2020-04-17,557.11,557.856,552.7,553.109,6009045800,45902705000.0
2020-04-20,553.306,557.767,551.614,557.767,5313679100,40020935000.0
2020-04-21,556.04,556.194,550.422,556.11,5778290400,44130974000.0
2020-04-22,552.019,561.114,550.737,561.114,5569163600,42911788000.0
2020-04-23,561.894,563.536,558.926,559.178,6141052300,47875568000.0
2020-04-24,557.805,557.805,546.135,547.914,6118542200,44100385000.0
2020-04-27,547.329,547.764,541.491,541.755,4943009900,35258949000.0
2020-04-28,539.958,540.634,515.685,528.289,5750380500,41049822000.0
2020-04-29,524.793,530.642,523.692,525.529,4546315600,30202142000.0
2020-04-30,526.208,536.846,526.208,535.746,4546381700,36766579000.0
2020-05-06,530.264,543.414,529.746,543.414,4660412700,37568908000.0
2020-05-07,543.004,545.08,540.75,541.381,4940218700,39515484000.0
2020-05-08,542.79,548.338,542.7,547.126,5218683200,45083691000.0
2020-05-11,547.45,548.584,542.294,545.018,5138170100,41726807000.0
2020-05-12,543.656,543.656,536.364,542.788,4445051700,36328013000.0
2020-05-13,541.06,544.616,539.15,544.298,4184453500,33964078000.0
2020-05-14,541.499,544.188,540.153,540.361,4783859700,36449538000.0
2020-05-15,541.145,542.176,538.795,539.57,4283083800,34961194000.0
