日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2023-05-29,1064.3,1087.407,1055.458,1081.594,649958430,8829713400.0
2023-05-30,1134.046,1202.43,1121.17,1189.963,909728600,14114458000.0
2023-05-31,1218.963,1255.157,1195.261,1199.532,858899720,15311908000.0
2023-06-01,1188.345,1279.973,1188.345,1254.328,1231751900,17977503000.0
2023-06-02,1247.614,1248.921,1188.101,1188.446,1278437020,16779124000.0
2023-06-05,1167.216,1217.796,1167.216,1200.707,880946030,10476696900.0
2023-06-06,1198.894,1206.9,1160.098,1168.614,945864950,11717958400.0
2023-06-07,1162.982,1215.301,1162.982,1193.04,738888360,11235471800.0
2023-06-08,1184.634,1186.58,1151.021,1167.298,940424190,11460595800.0
2023-06-09,1162.677,1185.352,1158.703,1180.596,1037003350,11168555700.0
2023-06-12,1180.087,1181.399,1168.193,1170.489,1014110490,10442644900.0
2023-06-13,1170.374,1188.447,1166.932,1183.15,1159375190,11778565800.0
2023-06-14,1176.068,1191.758,1172.662,1181.583,1066284760,11594483600.0
2023-06-15,1176.926,1209.359,1167.593,1204.685,995343040,11971324800.0
2023-06-16,1198.373,1233.152,1185.153,1221.618,930464170,12861751900.0
2023-06-19,1220.798,1249.69,1220.798,1241.831,1259612420,15228105000.0
2023-06-20,1232.275,1269.657,1229.395,1251.289,1174705690,13951271000.0
2023-06-21,1243.79,1243.79,1190.267,1190.83,917776500,11277020100.0
2023-06-26,1175.611,1189.946,1149.129,1151.113,758391640,8633518500.0
2023-06-27,1152.521,1169.462,1150.647,1166.701,538420500,6413857700.0
2023-06-28,1159.493,1159.493,1103.996,1136.424,821188620,8466365300.0
2023-06-29,1137.001,1174.055,1137.001,1166.128,642842330,7165004800.0
2023-06-30,1164.254,1179.874,1160.909,1174.427,597814840,6635105800.0
2023-07-03,1185.415,1185.415,1142.19,1150.781,731896070,7853923100.0
2023-07-04,1143.498,1151.563,1142.121,1149.28,525746440,5630961100.0
2023-07-05,1145.577,1154.813,1128.163,1128.749,518569370,5597675900.0
2023-07-06,1128.187,1151.231,1124.309,1130.562,527950250,5403260300.0
2023-07-07,1131.641,1133.55,1098.647,1114.282,554241110,5524649400.0
2023-07-10,1113.625,1115.569,1101.357,1107.63,382017050,3904786900.0
2023-07-11,1107.387,1116.542,1103.008,1112.858,412199190,4316310300.0
2023-07-12,1105.546,1106.695,1071.224,1072.493,728464980,6439492100.0
2023-07-13,1075.356,1094.744,1074.611,1092.565,486563330,4734413400.0
2023-07-14,1090.675,1109.478,1090.675,1100.535,538049040,5768010700.0
2023-07-17,1099.618,1099.696,1079.488,1086.416,437402090,4722920900.0
2023-07-18,1087.041,1087.041,1070.099,1070.477,331436340,3615961600.0
2023-07-19,1070.75,1077.322,1061.332,1067.34,238411230,2479513800.0
2023-07-20,1067.175,1067.175,1036.755,1037.774,598734390,5311581500.0
2023-07-21,1036.528,1047.934,1030.878,1033.962,345649740,3086627200.0
2023-07-24,1031.108,1047.966,1025.833,1038.273,289339960,2713782700.0
2023-07-25,1046.773,1055.62,1040.108,1052.886,536515880,4498823800.0
2023-07-26,1052.74,1052.74,1030.877,1035.064,540911700,4237591000.0
2023-07-27,1031.685,1038.476,1019.011,1020.464,324160650,2722405600.0
2023-07-28,1019.135,1024.591,1010.498,1022.224,320360310,2801545300.0
2023-07-31,1022.864,1037.781,1020.435,1028.165,622709930,4618370200.0
2023-08-01,1027.965,1028.074,1014.861,1019.984,402060070,3358311300.0
2023-08-02,1015.124,1019.077,1010.464,1017.627,283380020,2642897700.0
2023-08-03,1010.965,1021.269,1007.622,1013.59,300581670,2705915800.0
2023-08-04,1012.66,1028.187,1012.66,1024.908,401353060,3478831200.0
2023-08-07,1024.657,1033.173,1021.1,1024.857,491020210,4117975300.0
2023-08-08,1022.004,1030.512,1015.696,1016.699,380447820,3665366900.0
2023-08-09,1009.627,1036.95,1006.192,1022.823,456085400,4867912700.0
2023-08-10,1011.053,1013.543,1003.118,1004.852,397909950,3703558200.0
2023-08-11,1002.002,1024.443,1002.002,1005.767,371985140,3715274200.0
2023-08-14,997.017,1013.096,992.234,1013.096,419750950,3856012700.0
2023-08-15,1016.357,1016.774,1001.825,1008.848,359423590,3586248600.0
2023-08-16,1005.543,1017.946,1000.116,1002.104,360141310,3682240000.0
2023-08-17,1000.481,1012.758,993.898,1012.278,293339660,3027397400.0
2023-08-18,1008.102,1011.664,978.355,978.637,324504180,2931164200.0
2023-08-21,973.558,990.955,972.629,973.319,234817970,2237791500.0
2023-08-22,977.577,984.501,953.952,981.386,397757990,3961696500.0
2023-08-23,974.56,974.56,943.301,944.498,327681550,3135441700.0
2023-08-24,947.34,959.614,939.99,943.578,365370880,3019022900.0
2023-08-25,940.743,941.675,909.252,916.806,355147560,3115751900.0
2023-08-28,966.982,966.982,930.397,933.623,466808240,3896745500.0
2023-08-29,930.477,970.17,930.404,968.582,410921370,3797936000.0
2023-08-30,966.129,1000.682,966.129,995.114,465922330,5398671200.0
2023-08-31,989.259,991.073,980.32,987.355,326900430,3901788200.0
2023-09-01,987.516,987.618,973.942,977.235,238135200,2563927300.0
2023-09-04,981.843,991.306,976.944,991.306,236535690,2423770200.0
2023-09-05,989.894,994.979,980.432,984.249,243866310,2453522800.0
2023-09-06,981.435,984.102,971.105,981.643,274883040,2583533200.0
2023-09-07,980.239,981.221,961.594,962.508,294039540,2460362500.0
2023-09-08,959.543,968.562,952.978,963.979,244760750,2198998600.0
2023-09-11,970.24,989.415,964.556,985.152,364673740,3390675500.0
2023-09-12,983.053,988.577,978.821,981.108,231193540,2302482000.0
2023-09-13,979.127,979.127,949.702,959.199,254184870,2328473600.0
2023-09-14,962.203,963.45,948.884,956.271,195885360,1785040700.0
2023-09-15,954.808,964.83,948.815,954.692,217711720,1927081700.0
2023-09-18,950.799,959.657,944.908,956.572,218925840,1940792900.0
2023-09-19,955.047,956.595,936.656,939.381,222673410,1892548300.0
2023-09-20,948.354,967.968,948.354,952.453,216872480,2492687000.0
2023-09-21,945.814,956.879,937.68,940.982,270398650,2662593200.0
2023-09-22,937.262,966.297,931.612,966.216,424907110,3786832600.0
