日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,811.152,830.967,808.827,830.005,2469679100,25143829000.0
2020-01-03,832.862,840.293,831.319,839.187,2351230900,23660178000.0
2020-01-06,833.136,850.466,829.011,843.467,2414132900,25982767000.0
2020-01-07,846.482,864.389,846.482,864.389,2634051500,28875437000.0
2020-01-08,858.858,861.621,843.953,845.397,3127655300,31487804000.0
2020-01-09,855.038,866.187,855.038,866.187,2538770200,28005937000.0
2020-01-10,873.924,876.723,863.663,868.59,2213749000,23425136000.0
2020-01-13,868.436,877.248,861.03,877.248,2363163400,27309200000.0
2020-01-14,881.156,882.635,876.403,877.074,2516419600,27977055000.0
2020-01-15,874.673,878.771,869.587,875.723,2226065800,25426528000.0
2020-01-16,875.792,876.468,867.98,870.039,2239981100,28255401000.0
2020-01-17,871.64,877.282,865.94,867.532,1998500400,25652275000.0
2020-01-20,866.71,869.339,857.563,869.294,2461360400,28958089000.0
2020-01-21,864.512,864.512,850.708,850.867,2128653700,24406853000.0
2020-01-22,840.671,852.381,830.494,848.731,2187885500,24848016000.0
2020-01-23,836.887,847.953,810.966,818.831,2679691000,28780752000.0
2020-02-03,746.211,753.985,744.82,748.23,1691668700,15347716000.0
2020-02-04,710.805,755.304,710.805,752.44,3284671700,31417989000.0
2020-02-05,754.56,780.728,754.486,769.65,2904050000,29167542000.0
2020-02-06,773.191,804.185,766.751,801.437,3452016500,35456194000.0
2020-02-07,805.702,824.667,803.709,824.549,3451018200,38335873000.0
2020-02-10,828.677,834.64,819.978,831.756,3401540500,37153824000.0
2020-02-11,833.162,833.442,820.539,826.321,2925086300,29989401000.0
2020-02-12,822.928,846.258,821.963,846.234,2764937400,32216652000.0
2020-02-13,846.866,848.839,830.773,833.442,3184570100,34965026000.0
2020-02-14,831.729,842.815,825.582,831.731,2622399900,30026485000.0
2020-02-17,836.722,863.994,836.722,863.994,3180603700,33852679000.0
2020-02-18,865.241,882.948,863.528,882.948,3639046000,40623960000.0
2020-02-19,877.293,881.943,870.817,871.182,3291177100,38912659000.0
2020-02-20,872.71,889.514,864.386,889.492,3541387000,40180499000.0
2020-02-21,891.292,916.9,890.67,908.433,4367957500,54430532000.0
2020-02-24,907.748,925.172,903.554,921.684,4371135500,55440096000.0
2020-02-25,898.205,915.943,874.361,914.45,4755039900,59471143000.0
2020-02-26,902.469,914.357,890.736,894.09,4379367000,54116870000.0
2020-02-27,896.507,911.697,880.443,898.457,3561098700,46049295000.0
2020-02-28,865.453,879.255,843.017,843.099,4164975400,47752853000.0
2020-03-02,852.668,881.454,852.568,877.182,3641156100,41620351000.0
2020-03-03,892.834,910.119,881.169,889.98,3998022700,48215189000.0
2020-03-04,885.178,898.102,876.64,894.65,3456099100,39267487000.0
2020-03-05,908.769,911.844,895.813,907.14,3654219500,41053325000.0
2020-03-06,894.524,912.811,892.695,907.189,3323618400,36243325000.0
2020-03-09,891.375,895.638,870.732,870.885,3392969300,37006369000.0
2020-03-10,859.573,900.032,853.164,899.965,3652152200,39327681000.0
2020-03-11,901.154,909.084,889.262,889.262,3387894900,35555061000.0
2020-03-12,874.631,880.772,863.455,871.337,2985694400,29409575000.0
2020-03-13,826.688,867.243,826.397,860.341,3160136000,34663684000.0
2020-03-16,867.248,869.057,820.025,822.702,3366946600,35744186000.0
2020-03-17,829.193,836.154,792.946,820.191,2932990700,30101692000.0
2020-03-18,827.299,840.597,806.818,807.085,2875789200,32130375000.0
2020-03-19,807.678,825.048,799.318,822.939,3029027200,31406398000.0
2020-03-20,830.887,832.373,814.615,830.12,2711505000,28721081000.0
2020-03-23,806.296,815.897,790.697,794.109,2652397400,25213316000.0
2020-03-24,808.753,811.528,783.164,806.986,2664726100,24662570000.0
2020-03-25,823.414,828.184,816.733,825.775,2724962000,25030316000.0
2020-03-26,821.222,831.434,817.75,821.509,2258487900,21505431000.0
2020-03-27,830.007,831.251,814.565,815.589,2314918500,23324881000.0
2020-03-30,802.35,802.35,779.664,787.268,2340472900,21680076000.0
2020-03-31,794.834,795.527,779.577,781.123,2018169100,17256293000.0
2020-04-01,776.393,786.741,772.396,773.93,2404763900,18705941000.0
2020-04-02,769.893,792.093,768.962,792.093,2287527500,19486444000.0
