日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,664.583,673.499,663.947,673.251,458300780,3658363800.0
2020-01-03,672.47,676.063,669.616,674.784,389579190,3015145900.0
2020-01-06,668.831,678.945,666.4,675.076,373132310,2916502900.0
2020-01-07,676.155,681.783,674.871,681.783,340370830,2660040800.0
2020-01-08,678.296,678.445,667.259,667.779,351190720,2660124500.0
2020-01-09,673.482,676.885,670.617,674.55,288987820,2187726000.0
2020-01-10,676.82,681.008,674.213,680.297,369239100,2781288100.0
2020-01-13,676.755,680.901,673.181,680.901,298093680,2220042400.0
2020-01-14,682.312,683.097,677.614,680.314,346907470,2768513000.0
2020-01-15,679.132,679.132,671.271,675.654,315917010,2412856500.0
2020-01-16,677.69,678.442,672.28,675.641,291150790,2143401800.0
2020-01-17,676.482,681.329,670.215,670.741,370152580,2406020400.0
2020-01-20,669.311,676.17,669.311,675.375,362880950,2580591400.0
2020-01-21,674.803,675.538,669.362,669.52,365025390,2843206100.0
2020-01-22,668.371,672.227,661.981,668.781,391112490,3079763200.0
2020-01-23,668.433,668.938,648.648,652.46,423923780,3109951600.0
2020-02-03,595.635,596.739,594.386,595.635,199388570,1381993600.0
2020-02-04,550.946,578.878,550.946,576.02,534435230,3677958000.0
2020-02-05,578.606,597.979,578.606,590.535,337802660,2507477800.0
2020-02-06,593.162,607.065,590.137,605.269,308008410,2212505900.0
2020-02-07,606.973,611.687,601.378,611.442,340480710,2879217000.0
2020-02-10,611.069,618.747,609.312,618.123,434662950,4125157200.0
2020-02-11,617.542,619.957,613.172,614.404,233876610,1763408200.0
2020-02-12,611.056,617.598,609.821,617.464,310904310,2560327500.0
2020-02-13,618.825,619.718,608.368,608.693,332690450,2751215400.0
2020-02-14,607.902,609.088,601.166,604.383,266033570,2093845200.0
2020-02-17,610.918,628.434,610.918,628.434,340189260,2599061500.0
2020-02-18,628.861,632.986,626.243,632.986,314797350,2539412000.0
2020-02-19,631.518,635.202,628.971,629.669,276316630,2223747300.0
2020-02-20,629.997,640.54,629.691,640.54,374271520,2927714400.0
2020-02-21,639.641,647.66,638.18,644.39,362127150,2956516500.0
2020-02-24,644.803,644.81,637.825,643.593,351217370,2779168100.0
2020-02-25,634.975,639.506,620.03,639.369,432143130,3404512000.0
2020-02-26,633.355,654.117,631.815,644.712,560832000,4891280700.0
2020-02-27,644.866,651.045,642.115,646.58,377696790,3277983500.0
2020-02-28,635.774,638.664,620.858,620.858,474312120,3987496200.0
2020-03-02,623.444,647.294,623.444,647.294,468127670,4316068000.0
2020-03-03,650.762,660.877,647.695,653.698,601569820,4849968800.0
2020-03-04,648.341,662.484,647.64,662.484,458405510,3695010600.0
2020-03-05,666.273,671.782,663.294,671.565,548870990,4474888900.0
2020-03-06,671.228,682.528,670.179,678.29,471299600,4261318400.0
2020-03-09,675.192,686.023,667.894,667.972,569121150,5240878700.0
2020-03-10,657.259,676.794,651.531,676.794,626835350,6239776800.0
2020-03-11,675.588,694.647,674.891,686.15,689652920,6570365100.0
2020-03-12,677.293,679.1,665.091,670.954,545279850,5186592100.0
2020-03-13,636.267,663.069,636.267,656.798,491162630,4285863300.0
2020-03-16,663.914,669.231,639.882,639.882,464257610,4171868100.0
2020-03-17,642.539,647.412,618.348,637.559,401635440,3366003000.0
2020-03-18,641.535,645.314,626.903,627.474,388047820,3159258100.0
2020-03-19,626.307,630.311,613.878,626.099,362918850,2955978300.0
2020-03-20,631.191,638.11,628.177,638.11,341807330,2974879200.0
2020-03-23,624.24,630.533,615.912,616.897,336117120,2922464300.0
2020-03-24,626.715,629.092,609.603,624.488,323745180,2613065900.0
2020-03-25,634.623,640.209,628.78,638.597,384041310,2805053100.0
2020-03-26,637.506,642.497,634.082,636.693,396861990,3042996300.0
2020-03-27,642.892,647.259,638.156,638.671,424076640,3156461000.0
2020-03-30,632.33,632.33,620.651,627.539,433559010,3052660200.0
2020-03-31,628.514,636.217,624.476,632.447,430482420,3189448200.0
2020-04-01,627.395,632.173,621.162,621.683,348849640,2730428400.0
2020-04-02,620.529,632.147,618.254,632.147,292346270,2595194800.0
2020-04-03,633.761,636.819,631.753,636.456,355789570,3539751000.0
2020-04-07,643.011,653.12,641.043,652.772,366571610,3514382700.0
2020-04-08,652.316,653.269,647.259,651.445,299867620,2629997200.0
2020-04-09,649.889,655.294,649.114,653.085,291218970,2556855200.0
2020-04-10,652.572,652.979,639.382,643.386,308532990,2491533900.0
2020-04-13,638.474,639.207,633.792,635.464,283397880,2415145700.0
2020-04-14,636.682,642.683,635.229,642.683,327200450,2978920000.0
2020-04-15,643.834,644.238,637.843,638.892,266213540,2304111900.0
2020-04-16,637.536,640.816,635.877,637.867,284939600,2834775900.0
2020-04-17,638.252,643.362,636.965,638.947,343695970,3188064600.0
2020-04-20,641.043,646.025,638.629,642.695,278238410,2639532200.0
2020-04-21,642.562,643.96,633.883,637.886,256016380,2266620000.0
2020-04-22,636.255,642.267,632.823,642.267,219245310,1987530500.0
2020-04-23,643.035,650.028,641.84,646.217,307395300,2623740300.0
2020-04-24,645.072,645.571,633.665,636.14,262656100,2344806300.0
2020-04-27,637.618,638.077,629.746,630.08,220834070,1886363500.0
2020-04-28,630.232,630.692,605.709,616.853,261447840,2005616100.0
2020-04-29,613.896,620.96,611.388,619.125,188256820,1531838800.0
2020-04-30,621.197,630.918,621.197,629.377,244704280,2108006200.0
2020-05-06,624.01,635.935,623.07,635.935,240136530,1993019800.0
2020-05-07,634.896,638.798,633.762,637.209,229466050,2003349900.0
2020-05-08,637.125,640.535,636.207,639.715,240787550,1884861300.0
2020-05-11,640.562,642.969,638.442,640.123,222295770,1836792400.0
2020-05-12,641.509,641.638,633.451,639.418,182515900,1533229900.0
2020-05-13,638.948,647.237,636.765,646.575,241883860,2012537800.0
2020-05-14,643.489,646.353,641.955,642.356,206850140,1776234900.0
2020-05-15,646.509,652.457,645.434,648.927,275146860,2158271200.0
2020-05-18,649.449,653.24,645.944,649.023,258066770,1942005200.0
2020-05-19,650.588,652.137,648.93,652.057,191641660,1510919000.0
2020-05-20,650.362,654.018,648.225,650.283,241434320,2045164700.0
2020-05-21,650.968,657.776,648.382,650.0,247851580,2197743700.0
2020-05-22,648.675,650.829,641.515,646.726,288848430,2402686100.0
2020-05-25,645.601,651.552,644.245,646.604,229464200,2033891500.0
2020-05-26,645.726,656.692,645.527,656.692,228569460,2112354500.0
2020-05-27,656.111,661.357,652.166,658.315,271035900,2630451600.0
2020-05-28,659.125,660.352,650.288,659.608,241647670,2211966000.0
2020-05-29,657.819,671.046,656.808,669.976,337440040,2948807000.0
2020-06-01,671.452,686.815,671.452,686.815,408294680,3553811200.0
2020-06-02,694.831,697.534,690.046,693.737,808161190,7676958400.0
2020-06-03,691.277,696.992,689.538,689.538,528432050,4563363500.0
2020-06-04,690.313,691.397,685.578,688.291,300454830,2495702900.0
2020-06-05,688.278,689.453,683.418,687.658,290879420,2412745700.0
2020-06-08,689.086,691.645,684.526,684.814,326176370,2871768700.0
2020-06-09,685.904,686.514,682.191,686.47,287065190,2534069700.0
2020-06-10,685.642,685.849,680.465,681.891,195808350,1664806900.0
2020-06-11,682.361,686.544,676.128,678.549,225828010,2038178500.0
2020-06-12,666.543,682.344,664.09,680.548,289653550,2354428500.0
2020-06-15,684.917,689.56,683.447,683.492,312788700,2897480800.0
2020-06-16,686.085,695.636,684.897,695.207,282995890,2523344300.0
2020-06-17,694.459,700.668,693.299,700.354,271915000,2432981800.0
2020-06-18,703.41,703.41,697.064,701.538,284188420,2576114700.0
2020-06-19,702.113,711.557,702.113,710.624,329810520,2448546200.0
2020-06-22,711.637,714.616,705.267,706.295,280263380,2260896600.0
2020-06-23,705.355,709.348,703.385,708.375,238345680,2074604700.0
2020-06-24,707.9,710.652,705.964,707.922,216979220,1857330000.0
2020-06-29,705.343,706.88,698.588,699.97,201641930,1765077500.0
2020-06-30,704.951,713.104,704.951,712.577,216297370,1954773100.0
2020-07-01,714.324,717.858,711.382,717.858,227460980,2045964900.0
2020-07-02,718.802,735.108,717.243,734.411,454847060,3690288700.0
2020-07-03,740.304,747.292,740.229,746.867,458458060,3582542700.0
2020-07-06,753.321,775.917,753.135,774.657,757251150,5973852500.0
2020-07-07,780.043,795.501,768.37,783.39,805899120,6905462300.0
2020-07-08,781.921,798.821,780.356,798.407,687869390,6441314200.0
2020-07-09,799.495,816.805,798.377,815.083,712696360,6400210700.0
2020-07-10,812.816,834.272,808.009,825.92,767847920,6800371600.0
2020-07-13,836.361,840.468,825.192,840.468,769568030,7062672400.0
2020-07-14,842.509,849.61,828.852,838.731,789568280,7236820200.0
2020-07-15,842.043,844.634,812.158,816.497,609721620,5521490600.0
2020-07-16,819.903,822.977,782.779,786.109,510085400,4352340600.0
2020-07-17,786.716,791.346,774.981,783.239,379117120,3222305900.0
2020-07-20,785.494,805.139,785.494,805.139,419712400,3516210100.0
2020-07-21,802.341,808.496,795.583,799.88,313810970,2785906900.0
2020-07-22,799.317,809.682,795.651,804.222,330804540,2760151000.0
2020-07-23,802.855,802.855,780.503,802.098,391145740,3302333300.0
2020-07-24,798.709,805.124,768.534,772.806,381415190,3272260800.0
2020-07-27,775.115,778.957,763.605,769.879,252428080,2263329200.0
2020-07-28,775.842,778.499,769.17,773.93,210935740,1897927500.0
2020-07-29,772.576,788.472,766.013,788.472,244868760,2139997400.0
2020-07-30,789.769,795.159,786.81,791.025,306969360,2497643600.0
2020-07-31,790.084,799.397,783.442,799.251,325289120,2698724800.0
2020-08-03,803.747,817.166,803.747,816.727,356483920,2970625100.0
2020-08-04,817.142,819.89,807.891,815.913,452322900,3456669000.0
2020-08-05,811.344,814.285,801.768,812.666,321343200,2588091600.0
2020-08-06,813.446,817.992,805.569,813.923,292995630,2558641700.0
2020-08-07,810.161,810.381,795.097,803.623,344838470,3202766700.0
2020-08-10,801.241,816.417,800.333,812.822,318088450,2893346600.0
2020-08-11,814.361,816.681,797.736,798.545,346224470,3001220400.0
2020-08-12,798.725,801.627,781.522,797.83,344253470,2889028700.0
2020-08-13,799.893,806.995,796.728,803.03,302176580,2551373200.0
2020-08-14,802.55,806.429,796.784,805.806,224487940,2000014800.0
2020-08-17,809.275,819.439,808.574,819.174,346113030,2875840600.0
2020-08-18,819.334,826.369,817.575,823.353,324388880,2852200300.0
