日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1150.425,1170.56,1143.386,1165.401,62634161,979238110.0
2020-01-03,1164.917,1185.603,1164.494,1177.758,63037658,1032208140.0
2020-01-06,1173.714,1199.114,1167.044,1189.452,64807632,1080746520.0
2020-01-07,1190.784,1202.313,1188.026,1201.103,46123278,771329480.0
2020-01-08,1194.519,1206.401,1184.826,1188.89,43895427,726148850.0
2020-01-09,1194.873,1220.618,1194.873,1219.988,44144012,738965980.0
2020-01-10,1222.596,1227.427,1218.01,1225.02,39467288,609386790.0
2020-01-13,1221.763,1228.632,1209.946,1228.632,45920618,789114890.0
2020-01-14,1224.217,1224.354,1209.506,1215.86,39473009,766205830.0
2020-01-15,1215.904,1236.502,1211.883,1214.528,39880999,652454020.0
2020-01-16,1213.233,1229.586,1209.154,1216.061,37577911,627868360.0
2020-01-17,1219.65,1231.323,1212.861,1219.34,41819232,632517780.0
2020-01-20,1235.947,1257.039,1222.929,1243.905,63773560,1358820700.0
2020-01-21,1272.391,1291.667,1249.559,1287.447,113719941,2243834200.0
2020-01-22,1290.543,1292.37,1245.472,1259.575,83717542,1464343400.0
2020-01-23,1259.48,1278.488,1215.94,1231.266,74431798,1241473020.0
2020-02-03,1171.345,1257.35,1171.345,1207.15,145530560,2459481200.0
2020-02-04,1212.332,1242.78,1183.16,1232.449,108738226,1712054500.0
2020-02-05,1255.185,1305.498,1244.486,1305.071,171238970,2815816600.0
2020-02-06,1311.728,1370.753,1300.768,1337.938,213877510,3772120600.0
2020-02-07,1341.088,1373.35,1292.356,1305.584,211717980,3746061600.0
2020-02-10,1308.767,1308.767,1261.805,1273.362,127000119,2203502700.0
2020-02-11,1266.092,1266.206,1229.687,1266.206,105728532,1732885200.0
2020-02-12,1257.954,1276.583,1243.177,1251.407,78266443,1365778000.0
2020-02-13,1250.621,1252.104,1221.724,1229.445,77432511,1306893480.0
2020-02-14,1246.233,1254.768,1218.225,1224.451,67435262,1195921740.0
2020-02-17,1224.563,1247.793,1219.404,1246.538,74900862,1342829500.0
2020-02-18,1247.745,1247.745,1227.959,1239.38,80102220,1355444700.0
2020-02-19,1237.165,1237.165,1212.149,1213.608,77278159,1319493580.0
2020-02-20,1218.252,1225.374,1206.195,1221.951,63440215,1006570050.0
