日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2023-05-30,1004.557,1034.224,995.069,1033.9,801123030,22443407000.0
2023-05-31,1046.307,1084.82,1045.908,1072.026,828835470,24432660000.0
2023-06-01,1060.946,1082.786,1059.914,1070.227,880027040,27763471000.0
2023-06-02,1075.717,1088.465,1061.445,1075.229,842293390,25591207000.0
2023-06-05,1070.031,1086.729,1070.031,1072.407,692026050,20218781000.0
2023-06-06,1074.289,1074.289,1030.156,1033.223,714430330,22739840000.0
2023-06-07,1041.633,1065.58,1036.855,1061.642,626080410,18563910000.0
2023-06-08,1074.339,1074.339,1048.213,1055.978,731259190,24329629000.0
2023-06-09,1056.775,1075.933,1050.956,1073.702,980257350,28082367000.0
2023-06-12,1075.521,1095.103,1073.897,1087.192,933724980,27212654000.0
2023-06-13,1082.093,1096.294,1076.369,1091.448,882888050,28251021000.0
2023-06-14,1089.393,1094.62,1067.001,1088.896,868697650,28618724000.0
2023-06-15,1088.026,1109.721,1088.026,1092.898,765379930,24528485000.0
2023-06-16,1084.677,1104.889,1074.913,1103.829,693853120,24785450000.0
2023-06-19,1105.136,1131.166,1105.136,1128.34,763173930,27586136000.0
2023-06-20,1125.736,1139.964,1122.134,1132.389,806875030,28246473000.0
2023-06-21,1128.204,1130.01,1087.101,1087.101,780892920,27797673000.0
2023-06-26,1069.757,1079.998,1023.095,1027.125,664749720,24078228000.0
2023-06-27,1028.824,1036.173,1021.477,1034.941,452876870,16054801000.0
2023-06-28,1029.117,1029.117,986.201,1008.995,500663240,15695276000.0
2023-06-29,1004.047,1029.565,1003.647,1023.237,604465790,21652991000.0
2023-06-30,1019.698,1039.661,1015.044,1035.161,568312830,19247212000.0
2023-07-03,1035.793,1043.451,1021.557,1034.854,536904730,17734828000.0
2023-07-04,1034.545,1068.341,1032.973,1061.66,622083470,20811180000.0
2023-07-05,1059.027,1062.981,1036.256,1037.006,558839100,16822302000.0
2023-07-06,1032.872,1065.834,1032.739,1054.964,699416860,21290625000.0
