日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,2217.254,2273.704,2205.435,2270.481,3357667000,43626184000.0
2020-01-03,2273.619,2284.861,2257.114,2278.959,3204840100,38751043000.0
2020-01-06,2262.459,2335.252,2254.373,2321.03,3850525500,47999686000.0
2020-01-07,2325.588,2341.884,2316.058,2341.884,3128213200,40591063000.0
2020-01-08,2328.243,2359.869,2307.641,2312.927,4992944300,50592298000.0
2020-01-09,2336.924,2365.493,2336.924,2365.493,3586312800,45183284000.0
2020-01-10,2370.648,2377.991,2348.331,2367.507,3044752200,39401381000.0
2020-01-13,2361.741,2412.394,2348.263,2412.394,3140482200,43222470000.0
2020-01-14,2424.316,2427.179,2400.268,2402.066,3058002000,42286558000.0
2020-01-15,2392.41,2405.544,2370.105,2402.5,2860454400,38450983000.0
2020-01-16,2405.506,2420.914,2399.406,2412.769,2954881300,43327311000.0
2020-01-17,2409.902,2412.285,2375.938,2379.287,2545661400,36932445000.0
2020-01-20,2376.879,2445.787,2367.072,2445.787,3395666500,49162075000.0
2020-01-21,2437.74,2442.279,2411.739,2412.655,3010717800,42540793000.0
2020-01-22,2397.659,2487.421,2365.854,2480.121,3719247200,54818361000.0
2020-01-23,2434.031,2480.523,2343.931,2377.374,4172324600,59661990000.0
2020-02-03,2144.99,2153.969,2142.294,2146.766,933171240,16746414000.0
2020-02-04,1997.157,2148.354,1997.157,2126.623,4829596100,57027595000.0
2020-02-05,2137.566,2231.792,2137.566,2175.363,4013730700,52302390000.0
2020-02-06,2164.609,2229.882,2150.142,2221.176,4283005800,54192309000.0
2020-02-07,2214.798,2247.779,2196.042,2246.223,4069474500,56989501000.0
2020-02-10,2230.273,2267.166,2221.606,2266.37,3758101300,49941724000.0
2020-02-11,2272.496,2316.108,2249.104,2293.799,3847906300,56517880000.0
2020-02-12,2282.908,2347.891,2278.423,2347.078,3646994600,52302590000.0
2020-02-13,2342.966,2372.234,2319.999,2334.001,3945246400,54340096000.0
2020-02-14,2326.898,2392.479,2326.898,2359.282,3913325700,55757432000.0
2020-02-17,2379.815,2460.36,2379.815,2460.36,4711071200,63021918000.0
2020-02-18,2470.927,2529.887,2461.465,2529.887,5155338700,69415898000.0
2020-02-19,2522.595,2560.17,2502.855,2502.855,4848675100,70274939000.0
2020-02-20,2515.962,2562.855,2482.493,2559.223,5840536800,74731256000.0
2020-02-21,2562.606,2649.706,2561.246,2634.459,6287686200,85950256000.0
2020-02-24,2636.323,2739.843,2626.149,2736.72,6407255300,90211927000.0
2020-02-25,2665.814,2767.51,2593.451,2751.317,7114438500,105995025000.0
2020-02-26,2690.867,2722.12,2593.261,2604.555,6482429400,93300016000.0
2020-02-27,2622.634,2638.085,2525.878,2574.568,4255721200,63614410000.0
2020-02-28,2452.425,2490.428,2370.942,2370.942,5481700800,73526919000.0
2020-03-02,2402.956,2488.236,2384.853,2467.225,4769834700,64309970000.0
2020-03-03,2521.679,2573.084,2466.747,2494.145,4913432000,66377111000.0
2020-03-04,2462.339,2498.191,2418.973,2475.681,4048658100,55027217000.0
2020-03-05,2521.656,2531.44,2471.454,2507.549,3806697400,52687955000.0
2020-03-06,2464.432,2518.844,2461.203,2495.903,3471895300,41580243000.0
2020-03-09,2446.017,2460.954,2360.765,2362.522,4302723200,54585805000.0
2020-03-10,2326.178,2453.338,2309.625,2453.338,4320405400,56888406000.0
2020-03-11,2464.947,2491.868,2401.59,2401.59,3592096100,48553667000.0
2020-03-12,2359.146,2390.244,2336.694,2365.878,3718821500,44624815000.0
2020-03-13,2233.138,2372.166,2233.138,2345.117,4291780400,53395649000.0
2020-03-16,2361.778,2364.401,2184.535,2194.516,4564620300,59185386000.0
2020-03-17,2213.701,2234.192,2096.733,2180.109,3818986300,46921741000.0
2020-03-18,2203.17,2245.151,2136.028,2136.028,3720203300,44413508000.0
2020-03-19,2138.938,2188.932,2104.16,2176.511,3834975600,43663211000.0
2020-03-20,2206.297,2211.212,2149.785,2187.826,2974699900,36368532000.0
2020-03-23,2116.486,2131.505,2042.119,2052.664,3975629600,41051353000.0
2020-03-24,2095.146,2101.289,2005.607,2082.564,3328251600,36105906000.0
2020-03-25,2135.368,2161.138,2124.785,2156.714,3829054200,45123342000.0
2020-03-26,2140.42,2152.733,2108.949,2112.901,2816660200,30902712000.0
2020-03-27,2145.135,2149.247,2085.105,2085.948,2412014500,28466321000.0
2020-03-30,2041.046,2041.046,1976.41,2010.277,3166532800,33862203000.0
2020-03-31,2040.049,2043.311,1996.744,2000.002,2380394800,24900942000.0
2020-04-01,1997.922,2054.69,1989.883,2014.948,3228967300,35226266000.0
2020-04-02,2004.718,2095.908,2004.127,2095.908,3282312400,40458712000.0
2020-04-03,2085.943,2094.711,2057.223,2067.799,2511324100,30901538000.0
2020-04-07,2116.962,2142.106,2114.176,2140.15,3025830900,36467120000.0
2020-04-08,2133.814,2171.163,2128.565,2159.104,2766651600,35530758000.0
2020-04-09,2175.355,2178.211,2153.761,2164.571,2236014600,27534340000.0
2020-04-10,2160.597,2160.597,2083.213,2093.329,2466401700,29544609000.0
2020-04-13,2076.265,2076.265,2043.631,2055.149,1684161000,19992236000.0
2020-04-14,2077.397,2119.286,2075.185,2119.286,2143891900,26495062000.0
2020-04-15,2130.288,2155.328,2121.443,2123.564,3067330200,36131631000.0
2020-04-16,2106.05,2130.767,2088.472,2123.293,2488045400,25043502000.0
2020-04-17,2142.135,2174.623,2139.727,2145.982,3474399200,41012226000.0
2020-04-20,2145.603,2160.639,2137.109,2160.639,2368191400,26405771000.0
2020-04-21,2146.547,2146.61,2104.127,2131.8,2145941400,26339121000.0
2020-04-22,2113.129,2159.39,2109.282,2159.39,1849457800,21544527000.0
2020-04-23,2161.761,2162.059,2121.182,2122.028,2131082500,22287941000.0
2020-04-24,2122.987,2134.276,2070.204,2077.875,2135917500,22474709000.0
2020-04-27,2080.433,2084.658,2049.879,2061.831,1697297300,18691574000.0
2020-04-28,2063.946,2064.683,1955.497,2043.905,3161904300,36060140000.0
2020-04-29,2039.718,2071.621,2034.689,2060.639,2029653200,25401282000.0
2020-04-30,2080.632,2157.64,2080.632,2147.461,3285004600,43303817000.0
