日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,758.473,764.309,755.54,763.917,262066540,1619414500.0
2020-01-03,765.268,790.021,764.971,789.659,426730740,2764138100.0
2020-01-06,799.145,805.776,790.833,797.098,394508430,3437082100.0
2020-01-07,792.79,797.373,788.098,792.848,373145030,2855787100.0
2020-01-08,786.769,789.127,772.144,773.045,282448200,2016665800.0
2020-01-09,778.313,782.647,773.446,777.355,204610480,1422998800.0
2020-01-10,778.798,779.425,770.583,774.269,148827370,1163340680.0
2020-01-13,774.41,780.651,768.755,780.602,164913320,1301789910.0
2020-01-14,781.101,787.277,779.533,784.415,223738320,1801727000.0
2020-01-15,780.824,782.846,773.985,776.381,154911300,1070042490.0
2020-01-16,776.652,778.403,772.599,772.968,136015680,1059067970.0
2020-01-17,773.67,775.835,767.711,769.118,118509093,854760520.0
2020-01-20,768.966,768.966,762.087,768.925,135248410,948593770.0
2020-01-21,766.677,767.834,757.698,757.906,240185760,1283366190.0
2020-01-22,756.576,757.691,743.301,755.514,186326060,1082317150.0
2020-01-23,741.219,743.614,716.991,722.447,214042700,1308043420.0
2020-02-03,651.481,659.546,651.048,651.804,186701240,776120150.0
2020-02-04,625.213,654.676,625.213,653.723,291480440,1444829000.0
2020-02-05,661.069,680.407,658.589,677.556,299186560,1615260300.0
2020-02-06,687.098,714.866,682.866,714.854,482834540,2290122100.0
2020-02-07,723.235,730.89,705.14,714.234,569104440,2394420400.0
2020-02-10,726.613,748.005,719.348,747.614,437260740,2437253900.0
2020-02-11,759.934,759.934,730.453,732.938,400272590,2395682300.0
2020-02-12,729.865,760.552,729.865,758.213,375340510,2447602100.0
2020-02-13,774.448,797.763,774.448,777.89,512396510,3631036800.0
2020-02-14,771.308,805.268,759.76,794.334,487280870,3589599300.0
2020-02-17,820.123,852.246,820.123,848.765,708658460,5050798600.0
2020-02-18,824.946,826.943,810.016,818.183,643289820,5269230900.0
2020-02-19,809.881,810.07,785.889,785.889,479477860,3870181600.0
2020-02-20,787.816,791.834,783.568,791.049,320433880,2333577200.0
2020-02-21,787.043,788.971,780.496,787.327,300166400,2283251800.0
2020-02-24,790.2,806.628,781.62,803.552,450775730,3234110700.0
2020-02-25,783.471,795.634,767.953,795.292,610924380,3118927900.0
2020-02-26,791.62,815.719,791.62,800.867,620011340,3717450800.0
2020-02-27,806.169,808.234,789.153,796.946,393255470,2431196700.0
2020-02-28,776.016,782.37,757.151,757.881,430019250,2398885500.0
2020-03-02,765.009,800.087,765.009,794.39,369618770,2445956800.0
2020-03-03,803.482,821.812,798.725,818.132,461018720,3416195600.0
2020-03-04,819.59,826.488,814.335,824.552,314987950,2592310900.0
2020-03-05,828.087,833.236,820.889,826.432,512145410,3289975400.0
2020-03-06,841.353,853.946,834.675,836.214,508842370,3960975400.0
2020-03-09,814.62,835.587,796.834,814.651,566844670,3457257900.0
2020-03-10,797.333,814.439,782.554,813.202,375832180,2490380400.0
2020-03-11,814.039,828.503,808.159,809.997,339588680,2482285100.0
2020-03-12,796.395,802.948,784.01,791.398,296280620,2221782100.0
2020-03-13,745.922,779.73,744.287,772.902,313441700,2100815100.0
2020-03-16,781.364,781.861,736.38,737.346,286387340,1876623400.0
2020-03-17,735.895,747.161,705.687,729.234,241689750,1524609600.0
2020-03-18,737.751,743.797,719.23,719.23,212363440,1305832300.0
2020-03-19,712.791,720.366,699.789,715.808,218661560,1369179400.0
2020-03-20,721.662,724.724,712.506,723.719,168237480,1055995540.0
2020-03-23,708.062,725.437,704.855,709.213,194878320,1252737440.0
2020-03-24,719.088,726.119,709.523,726.09,190463590,1316634080.0
2020-03-25,736.595,743.204,732.541,742.069,222970020,1529424400.0
2020-03-26,738.04,763.023,733.382,754.481,281802640,1951034200.0
2020-03-27,757.483,757.563,744.515,744.515,189685880,1386229300.0
