日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2021-12-22,1007.29,1045.562,1002.633,1041.504,1371369100,15948617000.0
2021-12-23,1031.478,1060.238,1023.025,1031.019,1579909800,16188479000.0
2021-12-24,1040.03,1052.085,1015.834,1015.96,1375143600,15874325000.0
2021-12-27,1012.308,1012.885,966.272,972.922,1234493510,13438524000.0
2021-12-28,970.596,994.628,970.596,979.993,1110629280,11987064200.0
2021-12-29,980.193,986.624,966.451,980.4,972734320,10802703100.0
2021-12-30,983.045,1039.542,981.653,1038.415,1360691800,15507769000.0
2021-12-31,1051.032,1058.288,1035.171,1040.293,1354599400,15942039000.0
2022-01-04,1059.55,1122.616,1052.08,1110.193,2697011200,28993926000.0
2022-01-05,1107.043,1142.504,1098.77,1131.569,2819344300,30288655000.0
2022-01-06,1109.685,1110.833,1080.81,1099.161,2198048800,22443158000.0
2022-01-07,1098.512,1117.962,1047.551,1048.411,2053538600,22094193000.0
2022-01-10,1039.09,1063.618,1017.761,1060.548,1465235100,15762042000.0
2022-01-11,1055.959,1063.648,1024.563,1027.753,1688944700,17127242000.0
2022-01-12,1030.823,1060.017,1027.694,1050.654,1526457900,15503113000.0
2022-01-13,1056.811,1067.349,1037.052,1037.052,1901653700,19929326000.0
2022-01-14,1026.849,1072.635,1025.328,1055.018,2244292000,22645072000.0
2022-01-17,1072.102,1116.148,1072.102,1113.208,2513258400,25658968000.0
2022-01-18,1119.912,1119.912,1071.26,1079.862,2802666500,29844049000.0
2022-01-19,1069.019,1096.895,1069.019,1087.311,2205872800,23286671000.0
2022-01-20,1080.3,1080.499,1032.658,1037.823,2087500400,21323756000.0
2022-01-21,1033.892,1047.399,1004.234,1004.403,1806774700,18263192000.0
2022-01-24,992.217,1012.104,990.143,1003.289,1356011100,12590757900.0
2022-01-25,990.722,991.836,939.946,940.022,1648935800,14354784000.0
2022-01-26,942.779,955.864,923.53,934.291,1256615590,11633794400.0
2022-01-27,931.34,931.602,888.941,889.596,1224244130,11172669700.0
2022-01-28,900.779,916.603,889.565,902.672,1306881580,11354961600.0
2022-02-07,915.366,915.403,888.221,898.995,1320918070,10999975700.0
2022-02-08,900.959,918.446,890.333,918.446,1261064030,10108657400.0
2022-02-09,922.105,947.471,918.469,946.906,1580221300,13164220800.0
2022-02-10,949.765,957.348,943.996,954.875,1622466600,13691001000.0
2022-02-11,956.054,957.671,927.917,929.295,1893994200,16811366000.0
2022-02-14,919.998,939.719,917.001,929.286,1515535000,14657751000.0
2022-02-15,927.747,937.448,915.306,924.432,1329555140,11713749500.0
2022-02-16,928.653,944.182,924.871,937.157,1402193500,12846761000.0
2022-02-17,928.553,933.495,911.139,912.775,1653051000,13292979300.0
2022-02-18,903.97,919.483,903.97,918.732,1272073200,11082561400.0
2022-02-21,921.482,943.449,920.314,941.766,1520720900,12465463100.0
2022-02-22,931.28,931.28,902.601,907.549,1518211400,13136731600.0
2022-02-23,910.023,931.132,909.168,929.456,1242043220,10602288400.0
2022-02-24,923.935,928.404,873.545,889.382,1907192400,15144397000.0
2022-02-25,897.061,908.251,891.128,893.198,1143998830,9336504300.0
2022-02-28,891.206,893.091,870.958,891.805,998798020,8297621500.0
2022-03-01,891.534,901.739,889.353,901.667,1050045040,8898802300.0
2022-03-02,893.547,904.733,891.678,903.934,841978520,7199953400.0
2022-03-03,905.923,906.822,889.057,891.884,938213570,7813631900.0
2022-03-04,886.403,918.351,885.134,908.222,1542187100,12973301000.0
2022-03-07,896.619,901.632,886.325,895.263,1239222540,11457237600.0
2022-03-08,891.484,897.03,859.045,859.045,1326088210,10841781500.0
2022-03-09,856.558,860.516,806.355,849.332,1437662200,11384117500.0
2022-03-10,866.384,879.886,858.126,858.293,1212531550,10345158500.0
2022-03-11,841.291,870.433,836.62,866.656,1136940370,9237889100.0
