日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,501.826,517.696,501.826,516.556,3598495900,42637198000.0
2020-01-03,519.995,525.353,518.946,523.505,3798228000,47286643000.0
2020-01-06,519.097,535.239,517.738,531.013,4299184000,51209731000.0
2020-01-07,531.871,545.686,531.871,544.966,4434350400,49975798000.0
2020-01-08,540.62,542.674,531.276,531.653,4519277500,49871180000.0
2020-01-09,537.66,542.365,535.662,540.503,3682789800,44267681000.0
2020-01-10,542.796,543.712,536.399,538.978,3663542100,44465514000.0
2020-01-13,538.195,548.078,535.202,548.078,3511344600,45165280000.0
2020-01-14,548.941,551.736,547.278,548.426,3716603900,48330025000.0
2020-01-15,548.006,550.721,543.51,549.611,3537695900,45675939000.0
2020-01-16,549.466,550.732,545.329,546.804,3543245000,46261192000.0
2020-01-17,547.239,549.601,542.773,543.246,3476589100,44671095000.0
2020-01-20,542.301,550.49,538.836,550.49,3701549600,52461177000.0
2020-01-21,548.405,549.897,542.955,543.009,3388259400,47197742000.0
2020-01-22,537.491,549.954,532.454,547.391,3777263200,52302801000.0
2020-01-23,538.601,546.546,520.667,525.644,3833926300,55475188000.0
2020-02-03,476.482,481.423,476.482,478.302,1883170400,31076359000.0
2020-02-04,448.782,480.065,448.782,476.814,4776593700,57232967000.0
2020-02-05,479.315,498.523,479.315,491.903,4023844300,54332991000.0
2020-02-06,494.155,511.676,490.943,509.657,4643861200,61062668000.0
2020-02-07,511.227,520.14,507.542,519.531,5021338300,63309095000.0
2020-02-10,518.527,524.905,516.083,524.342,4731476300,60779295000.0
2020-02-11,525.274,525.677,516.445,519.762,4129585000,55087700000.0
2020-02-12,518.423,531.777,517.678,531.525,4147767100,54134111000.0
2020-02-13,531.126,532.188,521.36,523.018,3923760800,54777165000.0
2020-02-14,521.687,529.495,518.273,523.219,3612281300,52073842000.0
2020-02-17,527.369,545.487,527.369,545.487,4295244000,62256428000.0
2020-02-18,547.415,561.418,546.859,561.418,5059070400,70812663000.0
2020-02-19,557.973,560.52,550.087,550.132,4599624800,69151533000.0
2020-02-20,550.417,562.696,546.765,562.331,4480090300,64321078000.0
2020-02-21,562.656,577.43,562.349,572.505,5334326200,75999267000.0
2020-02-24,569.7,587.646,569.238,585.865,5437767700,81791467000.0
2020-02-25,571.452,585.154,554.377,584.481,6504429800,100948049000.0
2020-02-26,578.046,586.547,566.061,568.477,6191849200,90401740000.0
2020-02-27,571.178,577.126,558.356,569.888,4596007300,68994882000.0
2020-02-28,545.976,555.225,531.432,531.828,5304966900,74995568000.0
2020-03-02,536.975,554.769,534.476,551.638,4500089400,69185727000.0
2020-03-03,562.243,573.078,551.617,556.993,5044120100,77349724000.0
2020-03-04,552.278,562.762,547.722,559.311,3693043100,57918416000.0
2020-03-05,568.512,570.452,558.419,565.913,4041076800,59803661000.0
2020-03-06,557.515,566.181,556.155,560.083,3279651300,44273399000.0
2020-03-09,549.435,553.236,532.986,533.153,3962144200,57258408000.0
2020-03-10,526.449,552.786,523.702,552.786,4124977800,61645745000.0
2020-03-11,555.054,559.852,542.926,542.991,3710785600,55279982000.0
2020-03-12,533.206,541.293,529.056,535.367,3103963000,42815135000.0
2020-03-13,507.071,533.744,507.071,528.401,3686887600,46730525000.0
2020-03-16,531.938,532.122,498.586,500.158,3850220700,57072468000.0
2020-03-17,504.568,508.923,480.738,499.334,3216884100,45431549000.0
2020-03-18,504.11,510.644,487.467,487.467,3122456100,43348228000.0
2020-03-19,486.753,497.626,479.808,495.47,2903951700,42033728000.0
2020-03-20,500.538,502.188,490.508,499.719,2330505900,33797035000.0
2020-03-23,484.691,489.332,473.215,475.047,2397308100,31461917000.0
2020-03-24,484.001,486.227,469.554,485.876,2600236800,34767609000.0
2020-03-25,495.953,501.344,492.168,500.315,2965258300,41302168000.0
2020-03-26,495.128,498.95,490.958,491.408,2400967600,34421892000.0
2020-03-27,497.922,498.555,486.78,486.976,2185011200,30033514000.0
2020-03-30,476.814,476.814,464.746,471.203,2389054600,32645945000.0
2020-03-31,476.406,476.83,465.514,465.826,1842759600,25886121000.0
2020-04-01,464.003,472.955,462.415,464.514,2076821900,29847122000.0
2020-04-02,461.779,478.722,461.496,478.722,2319875400,35805502000.0
2020-04-03,476.773,477.559,469.697,471.415,2045909700,30811274000.0
2020-04-07,480.654,488.723,480.31,487.807,2568285300,34955129000.0
2020-04-08,486.469,496.156,485.784,493.702,2593691300,33888678000.0
2020-04-09,496.273,500.858,495.581,499.321,2530375500,29998154000.0
2020-04-10,497.814,497.814,480.274,481.916,2773044100,33530187000.0
2020-04-13,477.327,477.327,469.618,471.23,1964355900,24119129000.0
2020-04-14,474.214,483.378,474.214,483.378,1970058000,26115446000.0
2020-04-15,483.313,486.103,479.727,479.925,2306166800,32031759000.0
2020-04-16,476.862,485.521,475.813,484.374,2120878500,26221922000.0
2020-04-17,487.459,491.003,483.609,484.069,2534608600,35771190000.0
2020-04-20,484.426,488.709,482.698,488.694,1951213100,26131180000.0
2020-04-21,486.767,486.767,480.207,486.274,2127513100,26398297000.0
2020-04-22,482.716,490.239,481.148,490.239,2027383100,23330120000.0
2020-04-23,490.66,490.836,484.237,484.925,2224695900,26650080000.0
2020-04-24,484.4,485.212,470.86,472.537,2217633500,26431277000.0
2020-04-27,473.459,474.558,468.888,469.243,1880767600,21553033000.0
2020-04-28,469.209,469.483,445.071,459.141,2593814900,30723301000.0
2020-04-29,456.402,463.419,455.935,459.233,1978375800,24840045000.0
2020-04-30,462.85,476.363,462.85,475.184,2588548300,40014124000.0
2020-05-06,470.603,484.824,470.088,484.824,2651393500,42655789000.0
2020-05-07,485.212,486.91,481.286,481.955,2588157600,38753128000.0
2020-05-08,485.01,491.869,485.01,490.725,2489411000,35805993000.0
2020-05-11,493.008,495.128,486.845,489.905,2576686000,34158377000.0
2020-05-12,489.394,489.394,479.441,487.33,2313382100,29697835000.0
2020-05-13,485.197,489.157,483.692,488.4,2240535100,27099975000.0
2020-05-14,486.028,491.761,485.095,486.81,2456319600,31520290000.0
2020-05-15,488.767,492.369,487.026,488.153,2413380800,35072975000.0
2020-05-18,487.344,487.503,476.28,477.139,2691398500,40297496000.0
2020-05-19,480.683,485.197,480.536,485.197,2214215100,31567903000.0
2020-05-20,484.862,485.783,479.267,481.23,2617276000,32866110000.0
2020-05-21,482.295,484.497,473.917,474.697,2692977900,33669294000.0
2020-05-22,473.889,475.823,463.692,466.993,2421715400,27683473000.0
