日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-07-11,1029.712,1059.158,1028.656,1047.239,950958770,8738839000.0
2022-07-12,1037.611,1077.513,1032.731,1045.607,963211910,10012756900.0
2022-07-13,1034.958,1073.45,1034.958,1073.45,1159976650,11975084600.0
2022-07-14,1066.181,1109.251,1059.807,1088.826,1638982700,17687045000.0
2022-07-15,1080.658,1099.635,1076.853,1082.888,1470522200,16584512000.0
2022-07-18,1090.763,1117.743,1090.123,1117.027,1371076600,15399553000.0
2022-07-19,1120.63,1120.687,1102.954,1110.435,1615153800,18677134000.0
2022-07-20,1112.118,1113.639,1100.835,1108.696,1092285470,11456680300.0
2022-07-21,1101.751,1120.154,1098.358,1107.584,1303678390,14414135000.0
2022-07-22,1106.182,1114.741,1093.798,1105.859,1361902700,14528531000.0
2022-07-25,1108.885,1108.885,1076.94,1080.666,1129275430,12433787400.0
2022-07-26,1077.569,1083.916,1058.916,1083.916,996036460,10382110500.0
2022-07-27,1081.274,1098.869,1079.314,1098.869,960011410,10594279500.0
2022-07-28,1106.321,1118.13,1104.636,1110.828,1114979060,12231334200.0
2022-07-29,1115.351,1151.711,1115.351,1135.563,1497212300,18067253000.0
2022-08-01,1137.622,1137.622,1117.92,1132.279,1180669480,13624536000.0
2022-08-02,1113.935,1113.935,1059.112,1069.008,1373604000,14589666000.0
2022-08-03,1071.324,1097.19,1051.947,1057.056,1191703760,12879008500.0
2022-08-04,1064.459,1094.082,1064.459,1084.962,958248660,11064316900.0
2022-08-05,1089.292,1089.329,1058.908,1075.684,998623340,10940393700.0
2022-08-08,1071.773,1089.876,1055.791,1089.876,808491740,8671898800.0
2022-08-09,1090.903,1100.515,1084.638,1094.711,882441810,9602875400.0
2022-08-10,1091.55,1103.502,1087.491,1103.422,909165340,10012957200.0
2022-08-11,1109.079,1118.745,1106.7,1112.993,910299620,10035681800.0
2022-08-12,1111.575,1120.649,1098.63,1099.491,840614380,9437479500.0
2022-08-15,1099.423,1129.093,1096.572,1129.093,1064279490,11533451600.0
2022-08-16,1129.25,1151.289,1129.25,1147.983,1285143500,14296850000.0
2022-08-17,1154.467,1180.854,1154.467,1180.854,1534096800,17934471000.0
2022-08-18,1182.654,1196.188,1182.654,1189.968,1895024800,23065974000.0
2022-08-19,1188.416,1190.39,1161.804,1161.804,1750284900,20858508000.0
2022-08-22,1164.455,1173.556,1153.772,1158.995,1506943400,17684140000.0
2022-08-23,1151.87,1199.332,1148.949,1199.332,1561668800,20029659000.0
2022-08-24,1201.365,1201.365,1149.429,1151.124,1703753700,21690968000.0
2022-08-25,1154.861,1156.723,1107.934,1120.974,1448806100,18208969000.0
2022-08-26,1124.593,1143.918,1112.953,1116.176,1484111900,19091876000.0
2022-08-29,1097.299,1147.081,1088.536,1146.902,1417197800,17706356000.0
2022-08-30,1147.287,1147.55,1105.978,1106.591,1307712140,16441161000.0
2022-08-31,1101.956,1104.453,1039.045,1039.706,1443654000,17183848000.0
2022-09-01,1035.321,1045.888,1016.846,1018.351,1012473280,11332925800.0
2022-09-02,1020.017,1037.805,1007.952,1035.454,838518690,9928146600.0
2022-09-05,1035.01,1048.86,1028.622,1034.926,719474570,8488657800.0
2022-09-06,1041.016,1060.07,1025.049,1060.07,907355460,10954135200.0
2022-09-07,1055.711,1078.393,1054.927,1073.936,905014040,11108655300.0
2022-09-08,1072.84,1078.368,1056.87,1058.334,809359650,9972182700.0
2022-09-09,1058.047,1059.162,1036.659,1045.627,654059180,8328866700.0
2022-09-13,1047.463,1051.903,1031.162,1038.541,600192190,7334984500.0
2022-09-14,1019.699,1033.305,1013.532,1025.45,670564820,7925685500.0
2022-09-15,1028.968,1030.236,966.787,980.14,942777520,10681406200.0
2022-09-16,978.43,986.102,961.693,961.693,622763220,7259865600.0
2022-09-19,958.377,965.351,940.143,946.719,572027900,6598045300.0
2022-09-20,955.471,974.112,955.471,968.036,546082350,6653457800.0
2022-09-21,967.151,974.357,949.01,971.059,499735990,5881489000.0
