日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,987.317,1002.579,984.813,1001.082,886270340,10897317800.0
2020-01-03,1005.092,1012.307,1001.452,1010.953,839088160,10354969200.0
2020-01-06,1003.866,1027.975,1002.31,1020.649,1011625360,12143308700.0
2020-01-07,1023.92,1043.951,1022.618,1042.745,1039175920,12997794800.0
2020-01-08,1038.31,1044.122,1022.816,1024.237,923606200,11664911700.0
2020-01-09,1038.793,1045.254,1033.694,1042.503,840116530,11057275800.0
2020-01-10,1048.813,1049.814,1037.855,1042.59,799534490,10042358100.0
2020-01-13,1040.97,1057.604,1036.332,1057.424,721467270,9583876000.0
2020-01-14,1059.914,1061.256,1052.69,1053.939,696900720,8784060600.0
2020-01-15,1055.863,1066.822,1055.863,1062.673,856641110,11596470400.0
2020-01-16,1060.869,1063.67,1055.337,1056.676,705742910,9740485800.0
2020-01-17,1059.317,1063.835,1052.849,1057.112,696687400,10590046500.0
2020-01-20,1056.316,1062.366,1042.98,1062.366,851401590,12348531400.0
2020-01-21,1055.87,1055.981,1038.606,1038.619,706273090,9890943700.0
2020-01-22,1035.051,1048.955,1023.358,1042.848,673684250,10249084400.0
2020-01-23,1032.457,1039.828,995.762,1002.352,788833010,11214810000.0
2020-02-03,904.276,911.278,904.096,904.623,350958540,5068421400.0
2020-02-04,852.133,911.193,852.133,906.163,1109670290,13197919900.0
2020-02-05,913.19,946.341,912.969,933.059,990301640,13127435500.0
2020-02-06,941.686,974.228,935.371,970.955,1120040130,15384831000.0
2020-02-07,975.783,997.244,968.482,996.587,1092034030,14864330000.0
2020-02-10,1004.12,1021.703,1001.417,1014.507,1164840470,16608948000.0
2020-02-11,1018.278,1022.605,1004.005,1006.12,913987940,12223015800.0
2020-02-12,1000.945,1030.243,999.864,1029.714,973953840,14066502000.0
2020-02-13,1031.453,1037.803,1014.368,1018.656,1008597790,15057921000.0
2020-02-14,1015.362,1028.9,1011.776,1019.998,895358650,13244938600.0
2020-02-17,1027.434,1059.535,1027.434,1059.535,1092329470,15463537000.0
2020-02-18,1061.902,1080.021,1059.328,1080.021,1118458960,14887538000.0
2020-02-19,1075.307,1079.757,1062.183,1062.389,1088718630,15280449000.0
2020-02-20,1063.115,1087.394,1054.881,1086.725,1197668880,18690124000.0
2020-02-21,1085.754,1114.113,1085.169,1102.685,1339601250,19852172000.0
2020-02-24,1101.3,1125.523,1099.47,1119.048,1392918200,20755805000.0
2020-02-25,1090.122,1105.946,1058.524,1104.095,1496250800,21955620000.0
2020-02-26,1091.321,1109.445,1078.644,1081.043,1397233800,21344946000.0
2020-02-27,1089.727,1112.795,1077.724,1102.388,1233560750,19973035000.0
2020-02-28,1063.787,1077.969,1033.205,1034.12,1281533190,18988259000.0
2020-03-02,1047.841,1087.176,1046.841,1083.244,1076979680,16294044000.0
2020-03-03,1105.116,1131.819,1096.929,1110.006,1463872000,24406909000.0
2020-03-04,1103.222,1123.47,1102.552,1123.47,1402153600,20939945000.0
2020-03-05,1138.694,1140.03,1119.781,1127.404,1434480100,22139207000.0
2020-03-06,1114.896,1124.358,1111.557,1114.455,1130686950,15123713000.0
2020-03-09,1094.847,1099.574,1060.529,1060.529,1220901300,18005007000.0
2020-03-10,1047.223,1089.069,1036.686,1088.875,1122349010,16452939000.0
2020-03-11,1089.387,1095.411,1070.977,1071.02,917298240,13111821700.0
2020-03-12,1054.639,1063.86,1040.913,1051.128,843837650,11694412200.0
2020-03-13,997.323,1050.353,996.13,1040.108,957318750,12781505500.0
2020-03-16,1051.142,1053.542,994.937,998.039,969546770,13098169400.0
2020-03-17,1009.158,1017.871,971.217,1003.062,834493780,11636077000.0
2020-03-18,1012.651,1024.686,985.58,986.478,897215680,13601636000.0
2020-03-19,985.26,1004.048,970.684,1000.217,861398040,12043136900.0
2020-03-20,1009.544,1011.354,989.955,1008.419,697055240,9789135900.0
2020-03-23,979.659,991.343,961.323,963.896,648381030,9207705200.0
2020-03-24,982.706,991.826,965.561,991.826,704727950,9577645000.0
2020-03-25,1011.082,1019.147,1003.468,1017.074,733793530,9774917000.0
2020-03-26,1009.212,1022.358,1006.589,1010.955,642879950,9049870600.0
2020-03-27,1022.739,1023.781,1004.035,1004.595,682056440,9024102300.0
2020-03-30,989.292,989.292,964.206,972.951,640460250,8287945900.0
2020-03-31,983.49,984.308,971.106,976.322,573961430,8399108500.0
2020-04-01,973.352,986.648,967.309,969.554,534412960,8053452200.0
2020-04-02,965.872,995.583,964.926,995.583,517222690,7623963900.0
2020-04-03,993.347,999.504,985.994,990.968,498068760,7921794600.0
2020-04-07,1010.942,1030.078,1010.851,1028.624,759042270,11022547000.0
2020-04-08,1028.481,1035.187,1025.472,1030.591,778397490,10737437700.0
2020-04-09,1036.474,1049.411,1035.763,1046.696,980120220,13048475500.0
2020-04-10,1042.491,1042.491,1008.914,1011.339,812509560,10702701800.0
2020-04-13,1003.772,1003.773,991.665,995.959,538068990,7086286800.0
2020-04-14,1002.864,1017.334,1002.249,1017.334,566330290,7680903300.0
2020-04-15,1021.438,1026.537,1014.119,1014.119,619942530,8909532300.0
2020-04-16,1012.882,1037.95,1011.42,1036.365,739793010,11224364300.0
2020-04-17,1039.226,1046.805,1030.853,1032.897,748297520,11899744400.0
2020-04-20,1032.142,1046.09,1028.769,1046.09,621829710,9500652900.0
2020-04-21,1039.505,1042.92,1027.171,1040.162,607686640,8578329300.0
2020-04-22,1031.373,1050.882,1030.028,1050.882,657440140,9360221400.0
2020-04-23,1055.15,1056.322,1041.629,1045.863,865578200,9989785300.0
2020-04-24,1042.614,1043.415,1012.982,1016.891,657025680,7888859400.0
2020-04-27,1019.46,1024.111,1012.399,1012.804,532567820,8606262200.0
2020-04-28,1015.418,1016.549,969.337,994.134,677134300,9663823800.0
2020-04-29,988.518,997.916,986.756,990.012,456856820,5804724000.0
2020-04-30,995.306,1020.712,995.306,1017.106,587348580,8097482900.0
2020-05-06,1008.464,1031.251,1007.586,1030.665,631173520,8888809400.0
2020-05-07,1029.986,1031.845,1021.863,1023.589,529887400,7302562100.0
2020-05-08,1028.086,1042.181,1028.086,1038.022,575324560,8247023600.0
2020-05-11,1042.601,1044.303,1028.342,1036.328,552829570,8829334500.0
2020-05-12,1034.833,1035.34,1018.877,1033.161,476010430,6924746600.0
