日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,979.719,991.195,977.28,990.272,49051468000,568529450000.0
2020-01-03,991.949,996.998,989.354,994.963,43762636000,503449950000.0
2020-01-06,991.01,1009.159,988.789,1002.028,52549705000,594805730000.0
2020-01-07,1002.605,1015.037,1002.605,1015.037,47282991000,525834130000.0
2020-01-08,1011.204,1014.77,998.227,1000.949,52115577000,558478030000.0
2020-01-09,1007.825,1015.29,1007.825,1015.29,42888778000,505277690000.0
2020-01-10,1018.142,1019.025,1008.161,1012.279,37395942000,451166670000.0
2020-01-13,1011.718,1023.466,1005.948,1023.466,37824176000,482648240000.0
2020-01-14,1025.67,1027.851,1022.449,1022.875,41744656000,499117920000.0
2020-01-15,1021.301,1022.512,1012.6,1018.212,35883657000,430796200000.0
2020-01-16,1019.236,1021.788,1014.69,1016.128,34341379000,430072530000.0
2020-01-17,1018.498,1022.988,1013.215,1015.564,33016027000,434420720000.0
2020-01-20,1016.974,1027.374,1012.351,1027.374,37229069000,501561110000.0
2020-01-21,1026.263,1026.263,1014.796,1014.877,39769036000,511028880000.0
2020-01-22,1009.981,1021.853,995.828,1018.15,40309072000,530403700000.0
2020-01-23,1008.016,1014.103,974.419,982.791,47948908000,614865420000.0
2020-02-03,891.058,900.918,891.058,895.285,32386375000,438621680000.0
2020-02-04,853.603,904.13,853.603,900.693,62288813000,694246230000.0
2020-02-05,905.134,933.859,905.134,924.583,53609300000,662030320000.0
2020-02-06,926.201,954.469,921.015,950.615,55908460000,691199480000.0
2020-02-07,951.929,960.753,942.296,960.753,55250329000,693266290000.0
2020-02-10,959.669,974.264,957.636,974.141,52786074000,652204080000.0
2020-02-11,974.271,975.736,963.675,969.059,47678067000,582215690000.0
2020-02-12,965.941,986.45,965.487,986.404,46409408000,586593560000.0
2020-02-13,986.88,990.932,976.624,979.304,50822797000,650506430000.0
2020-02-14,977.506,989.444,973.998,981.905,47313831000,614371690000.0
2020-02-17,987.184,1014.547,987.184,1014.547,56607500000,702635180000.0
2020-02-18,1016.101,1027.16,1011.225,1027.16,58159332000,728293040000.0
2020-02-19,1025.554,1031.835,1019.222,1019.223,59510258000,761926870000.0
2020-02-20,1021.178,1037.194,1013.718,1036.812,63293529000,793868830000.0
2020-02-21,1035.994,1054.169,1035.033,1047.239,67571184000,868592660000.0
2020-02-24,1047.036,1062.597,1041.004,1059.321,69802778000,907830860000.0
2020-02-25,1037.0,1061.061,1018.653,1059.436,82517153000,1050099640000.0
2020-02-26,1046.576,1062.761,1038.449,1041.744,83670259000,989951920000.0
2020-02-27,1045.815,1052.428,1031.497,1041.461,63495875000,785271930000.0
2020-02-28,1008.6,1021.205,986.821,987.608,72112023000,852478840000.0
2020-03-02,996.955,1032.018,996.955,1028.044,65110073000,783205990000.0
2020-03-03,1044.716,1057.932,1030.085,1039.252,72038344000,879216930000.0
2020-03-04,1031.874,1046.798,1027.049,1046.798,60121431000,725142910000.0
2020-03-05,1059.133,1066.058,1052.94,1065.206,72118870000,864725450000.0
2020-03-06,1052.692,1065.972,1050.917,1058.937,59921872000,677668880000.0
2020-03-09,1042.944,1048.03,1020.965,1020.965,69124984000,792496540000.0
2020-03-10,1007.03,1044.532,997.519,1044.532,66337826000,782947430000.0
2020-03-11,1046.878,1053.15,1032.777,1032.777,59232446000,690643250000.0
2020-03-12,1017.502,1023.485,1004.351,1013.423,51623730000,595473740000.0
2020-03-13,962.87,1011.139,962.519,1003.094,61419327000,706992990000.0
2020-03-16,1011.186,1011.395,958.754,961.238,60186076000,708311770000.0
2020-03-17,967.068,976.553,928.514,958.6,51535962000,601116120000.0
2020-03-18,966.823,979.293,941.264,941.264,50746085000,612758490000.0
2020-03-19,939.775,950.579,920.71,945.84,50385530000,609284440000.0
2020-03-20,955.407,958.133,942.067,957.542,41937148000,515461990000.0
2020-03-23,932.686,941.825,916.01,918.645,43000025000,495817260000.0
2020-03-24,935.656,939.146,912.412,937.737,43997765000,510601330000.0
2020-03-25,956.951,961.682,950.463,960.249,46840658000,543659080000.0
2020-03-26,953.529,961.666,949.516,950.857,40357071000,454374500000.0
2020-03-27,961.054,962.727,946.383,946.87,38860319000,451946020000.0
2020-03-30,934.385,934.718,918.554,927.09,40072497000,454053720000.0
2020-03-31,935.178,936.683,926.046,928.195,35934424000,399196130000.0
2020-04-01,925.68,938.571,922.177,923.973,37301238000,421751190000.0
2020-04-02,918.979,944.449,918.854,944.449,36902594000,432050060000.0
2020-04-03,942.649,946.364,934.42,938.184,34417490000,403118760000.0
2020-04-07,954.028,967.91,953.551,966.85,45553136000,524895890000.0
2020-04-08,962.606,973.3,960.954,969.756,41333108000,460862020000.0
2020-04-09,974.855,980.057,973.126,977.761,39373706000,447400530000.0
2020-04-10,977.533,977.533,954.234,957.146,39900059000,458095090000.0
2020-04-13,950.643,953.619,943.876,948.59,30455106000,343509600000.0
2020-04-14,952.595,966.785,952.075,966.785,35314952000,427691180000.0
2020-04-15,966.529,970.885,961.475,961.948,38367539000,456635980000.0
2020-04-16,957.154,968.496,955.721,967.056,36005477000,417993440000.0
2020-04-17,972.151,975.765,966.811,967.891,44048562000,543038230000.0
2020-04-20,969.341,977.718,967.473,977.718,37366740000,444674750000.0
2020-04-21,973.701,973.701,961.783,970.74,39438581000,460188100000.0
2020-04-22,963.787,980.294,961.967,980.294,36179235000,419390540000.0
2020-04-23,982.606,985.172,977.762,978.208,41454847000,466908320000.0
2020-04-24,977.599,977.753,960.121,963.037,39697235000,434777410000.0
2020-04-27,962.898,967.388,956.275,958.85,34726592000,395052220000.0
2020-04-28,958.415,958.887,917.898,942.268,43426400000,491891500000.0
2020-04-29,937.728,948.784,937.443,941.22,32834828000,384513350000.0
2020-04-30,945.478,966.307,945.478,963.774,41070665000,510009880000.0
2020-05-06,955.955,983.224,955.476,983.224,43093390000,551482190000.0
2020-05-07,983.869,986.519,978.209,979.999,38841479000,485446130000.0
2020-05-08,984.837,994.121,984.161,990.555,39133002000,503489240000.0
2020-05-11,994.078,997.476,984.452,990.0,39084349000,500937210000.0
2020-05-12,989.337,990.324,976.856,988.948,33849885000,430231360000.0
2020-05-13,985.378,994.452,983.158,993.67,31720187000,409615160000.0
2020-05-14,989.261,992.533,984.524,984.851,34710651000,430670610000.0
2020-05-15,988.773,993.531,984.434,987.978,33561965000,449822430000.0
2020-05-18,990.661,993.019,981.891,985.18,39763440000,533777170000.0
2020-05-19,991.56,996.132,989.297,996.132,33982863000,460710290000.0
2020-05-20,995.197,996.377,985.509,988.45,37171136000,485906230000.0
2020-05-21,990.941,991.755,977.256,978.889,34977440000,444228990000.0
2020-05-22,977.78,977.78,956.806,961.719,34038855000,421011510000.0
2020-05-25,960.626,963.865,955.362,959.184,27169445000,341058550000.0
2020-05-26,962.192,978.734,962.192,978.734,28280786000,361913220000.0
2020-05-27,979.401,980.0,972.617,974.723,31842597000,389949650000.0
2020-05-28,974.832,979.298,961.621,973.863,32957547000,398149220000.0
2020-05-29,971.264,983.359,969.526,980.77,33292557000,396585710000.0
2020-06-01,986.582,1009.978,986.582,1009.433,44241962000,545362280000.0
2020-06-02,1012.155,1016.509,1009.378,1014.135,45882528000,544793690000.0
2020-06-03,1016.499,1021.425,1013.165,1013.668,44942905000,547081940000.0
2020-06-04,1016.029,1017.295,1010.278,1015.873,38134190000,449639300000.0
2020-06-05,1016.885,1018.04,1009.466,1016.547,35744114000,432616580000.0
2020-06-08,1020.935,1022.501,1014.338,1015.614,39595742000,490833220000.0
2020-06-09,1015.946,1020.188,1012.395,1020.188,35609307000,438510090000.0
2020-06-10,1019.46,1019.46,1013.063,1018.441,34776485000,430946730000.0
2020-06-11,1018.3,1026.64,1009.297,1013.206,39577802000,514541770000.0
2020-06-12,994.113,1017.017,992.439,1012.756,39900146000,501039960000.0
2020-06-15,1012.202,1022.429,1009.998,1009.998,42951459000,540826530000.0
2020-06-16,1017.119,1027.975,1016.162,1027.975,39042998000,497571570000.0
2020-06-17,1029.23,1033.457,1025.049,1033.457,41297068000,512402940000.0
2020-06-18,1032.034,1036.759,1029.777,1034.799,44712646000,542742640000.0
2020-06-19,1034.551,1043.184,1033.876,1041.542,43506564000,574820120000.0
2020-06-22,1043.299,1049.002,1042.107,1044.773,45094492000,613838130000.0
2020-06-23,1044.491,1046.115,1039.277,1045.493,39113846000,556224230000.0
2020-06-24,1046.49,1047.894,1041.58,1043.561,36259171000,533354050000.0
2020-06-29,1041.086,1042.433,1033.676,1036.822,37501929000,526596240000.0
