日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-12-27,995.91,999.147,941.844,962.047,264462430,5557576100.0
2022-12-28,965.827,1063.296,965.353,1061.596,396033840,7628439600.0
2022-12-29,1056.176,1068.166,1034.055,1035.488,627582520,8930514000.0
2022-12-30,1025.571,1025.571,1007.122,1011.027,402763120,6092976800.0
2023-01-03,1007.777,1023.35,1001.018,1022.537,359096200,5159545200.0
2023-01-04,1029.703,1033.821,1022.424,1028.127,359844470,5547499900.0
2023-01-05,1023.21,1023.304,1010.819,1021.047,273409180,4097861800.0
2023-01-06,1020.095,1021.353,1006.602,1009.389,251425950,3992190300.0
2023-01-09,1012.031,1016.387,1009.255,1014.236,232457360,3501545900.0
2023-01-10,1013.076,1013.622,1005.76,1009.344,276688630,3388426000.0
2023-01-11,1007.615,1009.979,996.653,998.265,276871070,3444015100.0
2023-01-12,1000.875,1001.168,989.697,990.876,207345300,2664945900.0
2023-01-13,995.033,1001.496,988.66,999.533,209579420,2661763500.0
2023-01-16,999.137,1015.134,999.137,1009.516,309691760,3889252300.0
2023-01-17,1011.305,1011.987,995.041,998.948,210834700,2807137700.0
2023-01-18,999.797,1003.847,997.104,1000.51,239905180,2110489900.0
2023-01-19,998.644,1008.373,996.051,1004.595,245926790,2739358800.0
2023-01-20,1006.684,1014.777,1006.684,1012.251,217376650,2905242300.0
2023-01-30,1018.406,1020.991,1013.724,1016.838,360160700,5048501200.0
2023-01-31,1013.424,1020.474,1008.374,1019.91,318499310,3681210200.0
2023-02-01,1023.102,1045.375,1021.866,1045.375,385406870,5662567100.0
2023-02-02,1047.454,1059.318,1042.22,1056.627,342155180,4549427800.0
2023-02-03,1053.979,1055.165,1039.996,1051.634,301877220,3826286400.0
2023-02-06,1049.281,1063.481,1048.594,1049.626,280993060,3698873100.0
2023-02-07,1050.117,1055.992,1048.147,1055.992,269862240,3504999100.0
2023-02-08,1055.27,1058.721,1050.16,1050.682,235304280,2801809600.0
2023-02-09,1049.894,1059.959,1046.711,1059.959,232486890,2654249700.0
