日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1276.569,1286.607,1272.057,1282.395,969941330,41715455000.0
2020-01-03,1284.947,1284.947,1268.467,1272.281,823744160,34187690000.0
2020-01-06,1263.078,1272.285,1251.39,1260.325,886750160,29494714000.0
2020-01-07,1261.785,1271.822,1261.126,1271.811,738669630,23991335000.0
2020-01-08,1268.633,1280.556,1265.477,1272.451,1226321300,23600970000.0
2020-01-09,1281.698,1298.088,1281.568,1297.183,1030163830,27179624000.0
2020-01-10,1298.2,1302.6,1290.972,1300.675,762637780,24710922000.0
2020-01-13,1308.817,1319.836,1306.875,1319.836,795647620,29712897000.0
2020-01-14,1325.617,1325.974,1311.365,1312.396,845160020,22881523000.0
2020-01-15,1312.171,1319.288,1304.41,1312.035,643651330,21017489000.0
2020-01-16,1315.156,1315.748,1305.82,1314.654,677911330,19467474000.0
2020-01-17,1318.187,1322.616,1310.949,1315.445,594569780,19328395000.0
2020-01-20,1311.41,1319.146,1307.297,1319.146,975663680,24219728000.0
2020-01-21,1313.057,1314.645,1294.805,1296.078,811755270,26712346000.0
2020-01-22,1289.962,1298.27,1271.926,1293.74,819737060,25787626000.0
2020-01-23,1282.877,1282.877,1240.59,1250.275,1091544750,34789764000.0
2020-02-03,1132.812,1173.807,1132.812,1159.604,1301512120,44695478000.0
2020-02-04,1160.438,1199.243,1160.438,1198.496,1425737400,41969988000.0
2020-02-05,1204.158,1218.756,1197.422,1216.788,1244223110,34303633000.0
2020-02-06,1217.073,1246.584,1205.59,1245.378,1454469900,33235783000.0
2020-02-07,1240.853,1250.484,1231.341,1250.348,1333830140,29055318000.0
2020-02-10,1243.905,1255.886,1235.81,1249.29,1080399960,26711525000.0
2020-02-11,1250.457,1264.189,1243.251,1258.872,941817670,28040473000.0
2020-02-12,1256.021,1263.117,1253.803,1262.964,845815950,20613978000.0
2020-02-13,1261.385,1266.78,1244.474,1248.267,1129652650,24623408000.0
2020-02-14,1246.628,1253.451,1239.6,1247.486,854201440,20551474000.0
2020-02-17,1245.822,1267.895,1245.784,1267.895,1106331590,26872270000.0
2020-02-18,1266.111,1266.244,1254.191,1265.409,1174357750,24591423000.0
2020-02-19,1267.638,1278.108,1262.26,1268.534,981152710,27814773000.0
2020-02-20,1272.003,1310.678,1271.918,1309.076,1344588900,36873030000.0
2020-02-21,1306.871,1309.961,1299.156,1304.61,1527434300,31927795000.0
2020-02-24,1301.337,1308.189,1289.022,1304.708,1521333900,35152891000.0
2020-02-25,1283.306,1299.58,1270.201,1299.043,1712736500,36570475000.0
2020-02-26,1281.655,1300.398,1276.535,1279.245,1728366600,37514279000.0
2020-02-27,1282.973,1298.906,1282.4,1291.447,1287662390,28078931000.0
2020-02-28,1260.409,1276.507,1242.807,1248.18,1810227400,37870970000.0
2020-03-02,1249.542,1288.396,1249.542,1284.332,1652838900,34885944000.0
2020-03-03,1296.852,1301.451,1282.496,1290.346,1510660600,33278700000.0
2020-03-04,1288.367,1305.078,1283.227,1305.078,1298260750,30850575000.0
2020-03-05,1312.305,1340.702,1308.899,1334.612,1421202300,46164368000.0
2020-03-06,1317.796,1331.075,1314.36,1318.152,1207648180,28497263000.0
2020-03-09,1294.838,1294.838,1267.431,1267.967,1323459780,32126309000.0
2020-03-10,1258.17,1295.106,1252.837,1292.707,1442637700,34672313000.0
2020-03-11,1294.572,1295.299,1278.924,1278.924,1178470990,25423585000.0
2020-03-12,1263.579,1263.579,1241.741,1249.808,1331080040,27580314000.0
2020-03-13,1194.112,1243.476,1186.642,1228.685,1309971120,34918816000.0
2020-03-16,1231.436,1231.562,1181.015,1185.144,1437352900,32477119000.0
2020-03-17,1183.382,1199.435,1140.102,1172.711,1411982600,34943974000.0
2020-03-18,1176.407,1198.597,1156.87,1157.0,1374165100,36555065000.0
2020-03-19,1151.053,1161.262,1109.177,1133.053,1478266500,42669861000.0
2020-03-20,1144.375,1161.988,1137.33,1158.076,1106229760,29497100000.0
2020-03-23,1122.903,1135.534,1114.567,1120.544,1238404060,26690932000.0
2020-03-24,1139.626,1164.291,1135.913,1163.265,1277300660,29169877000.0
2020-03-25,1191.291,1197.536,1182.435,1195.74,1440733900,31524827000.0
2020-03-26,1187.958,1205.675,1182.641,1193.249,932138620,22249368000.0
2020-03-27,1211.732,1222.74,1205.89,1206.356,954508240,27670414000.0
2020-03-30,1190.291,1199.287,1187.073,1193.239,1033670690,24567637000.0
2020-03-31,1204.041,1219.637,1197.26,1219.209,966023130,25182669000.0
2020-04-01,1219.063,1226.005,1205.461,1208.216,1449578100,26218628000.0
2020-04-02,1200.049,1218.3,1194.451,1218.3,1172601280,23606970000.0
2020-04-03,1216.919,1228.365,1210.72,1215.433,830263090,18755134000.0
2020-04-07,1234.477,1249.515,1234.477,1246.11,1246927940,29271155000.0
2020-04-08,1242.801,1243.661,1234.295,1238.96,899864480,19337655000.0
2020-04-09,1245.066,1256.242,1241.532,1253.618,691452670,17044636000.0
2020-04-10,1254.322,1276.036,1246.326,1249.28,855592600,24375781000.0
2020-04-13,1245.417,1262.193,1242.022,1255.487,642867800,18955467000.0
2020-04-14,1261.453,1269.414,1250.28,1269.414,806302730,24123148000.0
2020-04-15,1269.139,1271.116,1254.401,1256.24,964331050,25999054000.0
2020-04-16,1249.434,1252.801,1244.056,1250.7,619678660,18341312000.0
2020-04-17,1257.693,1260.45,1250.731,1252.781,1137719310,25045299000.0
2020-04-20,1255.245,1256.057,1246.225,1256.057,685502130,18380800000.0
2020-04-21,1251.919,1251.919,1227.286,1237.016,797641040,21315917000.0
2020-04-22,1230.212,1262.799,1227.593,1262.778,637055150,22806202000.0
2020-04-23,1266.215,1278.253,1266.015,1271.855,682711250,21902186000.0
2020-04-24,1272.347,1275.206,1262.929,1266.125,601213700,17638474000.0
2020-04-27,1267.651,1276.37,1254.889,1270.102,505539390,17931076000.0
2020-04-28,1272.383,1286.047,1249.893,1281.709,766967800,27490023000.0
2020-04-29,1279.828,1288.495,1273.632,1278.772,917606490,29558421000.0
2020-04-30,1280.415,1288.479,1280.043,1287.288,1414681600,30295938000.0
2020-05-06,1274.199,1303.85,1273.174,1303.458,1383787600,32603525000.0
2020-05-07,1304.103,1311.397,1298.65,1306.527,858505620,24971686000.0
2020-05-08,1310.315,1327.62,1305.539,1324.089,1069501960,32979781000.0
2020-05-11,1327.957,1338.908,1314.951,1320.969,1072887520,30145538000.0
2020-05-12,1321.331,1340.022,1320.598,1337.886,802842360,24351313000.0
2020-05-13,1334.671,1352.558,1329.718,1350.087,835924890,24351544000.0
2020-05-14,1347.095,1348.398,1338.604,1339.291,888979840,21619905000.0
2020-05-15,1343.795,1345.392,1327.542,1335.534,1029075590,23148868000.0
2020-05-18,1334.436,1359.121,1331.349,1351.372,1120210820,30289074000.0
2020-05-19,1363.336,1363.795,1353.711,1361.562,832372400,23879956000.0
2020-05-20,1361.268,1366.082,1352.558,1356.228,950991320,23014082000.0
2020-05-21,1360.859,1366.405,1353.57,1356.402,787728150,20558924000.0
2020-05-22,1353.98,1354.151,1319.087,1326.559,889623070,26832148000.0
2020-05-25,1327.336,1346.697,1314.799,1346.457,604096510,22080224000.0
2020-05-26,1351.746,1371.197,1347.204,1370.49,686507350,20798768000.0
2020-05-27,1372.467,1372.467,1359.403,1361.311,676641290,20821583000.0
2020-05-28,1361.821,1370.5,1345.841,1360.286,648722660,20233746000.0
2020-05-29,1356.637,1377.997,1354.588,1377.688,1037424220,22393651000.0
2020-06-01,1386.817,1407.604,1386.817,1402.955,1105806820,33242158000.0
2020-06-02,1405.019,1405.062,1385.83,1394.765,1352599900,31401677000.0
2020-06-03,1397.204,1402.138,1388.584,1392.433,1285864700,29047419000.0
2020-06-04,1398.583,1403.264,1391.51,1400.194,989333340,24492562000.0
2020-06-05,1401.036,1405.017,1386.416,1404.795,889584110,26146672000.0
2020-06-08,1411.063,1424.855,1407.551,1410.247,1449054300,36619690000.0
2020-06-09,1411.499,1421.443,1407.474,1414.777,1073752800,27278593000.0
2020-06-10,1416.475,1419.517,1408.847,1418.989,937990170,23616973000.0
2020-06-11,1418.213,1418.391,1390.984,1398.52,890175990,26953944000.0
2020-06-12,1372.728,1403.894,1370.304,1402.129,806424530,24035357000.0
2020-06-15,1391.778,1401.26,1383.864,1383.864,885856270,29169830000.0
2020-06-16,1396.079,1408.438,1394.255,1408.438,774809360,26180904000.0
2020-06-17,1409.191,1412.924,1398.583,1412.924,670024400,22261097000.0
2020-06-18,1413.294,1425.796,1410.583,1425.294,1084707160,25468670000.0
2020-06-19,1428.488,1456.036,1428.488,1451.77,1025860700,36019841000.0
2020-06-22,1452.05,1452.05,1432.537,1437.627,914291550,28624570000.0
2020-06-23,1438.361,1461.087,1435.495,1460.26,853897360,31515239000.0
2020-06-24,1465.088,1472.982,1459.011,1471.487,856537350,28814645000.0
2020-06-29,1464.285,1467.152,1455.45,1462.348,782354720,26917298000.0
2020-06-30,1470.147,1482.182,1466.894,1475.405,756782900,24967508000.0
2020-07-01,1480.243,1516.353,1478.2,1512.301,1105913130,43081689000.0
2020-07-02,1517.614,1540.588,1514.697,1539.142,1390250200,51688749000.0
2020-07-03,1545.284,1556.039,1524.194,1556.031,1328465330,48878198000.0
2020-07-06,1561.621,1605.691,1559.82,1604.19,1745951800,63771567000.0
2020-07-07,1612.424,1651.806,1612.028,1621.715,1813578500,66966700000.0
2020-07-08,1616.441,1629.784,1602.531,1622.85,1425916600,52725559000.0
2020-07-09,1621.895,1648.123,1619.187,1648.123,1468743000,47695970000.0
2020-07-10,1639.376,1663.803,1635.004,1652.697,1603434400,53829951000.0
2020-07-13,1654.17,1700.55,1654.05,1698.207,1644179500,66384968000.0
2020-07-14,1700.887,1704.942,1656.095,1691.293,1650381000,58551315000.0
2020-07-15,1689.64,1716.64,1678.246,1697.487,1559501500,56329858000.0
2020-07-16,1696.593,1696.675,1591.784,1594.415,1814915900,77213836000.0
2020-07-17,1583.368,1640.654,1583.368,1621.974,1323804590,54753989000.0
2020-07-20,1632.34,1646.973,1593.732,1646.973,1330542530,52674501000.0
2020-07-21,1651.838,1675.358,1643.285,1663.639,1425526900,43839439000.0
2020-07-22,1654.506,1700.269,1649.091,1680.885,1213839380,43444356000.0
2020-07-23,1667.443,1692.949,1643.143,1682.218,1367992200,44845447000.0
2020-07-24,1671.428,1675.091,1590.744,1598.42,1590265200,56825103000.0
2020-07-27,1606.187,1619.843,1586.922,1608.062,910435900,33275441000.0
2020-07-28,1618.987,1649.494,1618.987,1634.963,874399260,40084529000.0
2020-07-29,1634.471,1672.996,1624.685,1672.759,1210119380,48007047000.0
2020-07-30,1674.793,1686.307,1667.871,1671.342,1016074660,39569755000.0
2020-07-31,1666.73,1689.644,1644.726,1670.676,1034391290,40374761000.0
2020-08-03,1680.716,1699.901,1680.716,1699.697,1299118340,41817646000.0
2020-08-04,1703.656,1711.905,1687.229,1696.02,1228607670,41374855000.0
2020-08-05,1688.704,1716.09,1680.625,1716.09,1239464420,36674274000.0
2020-08-06,1712.613,1714.465,1685.877,1699.228,1490232900,42262674000.0
2020-08-07,1694.562,1706.165,1659.614,1689.563,1170049910,40339475000.0
2020-08-10,1686.159,1716.612,1672.706,1708.211,921568450,33579121000.0
2020-08-11,1710.405,1732.585,1700.657,1701.985,945181460,35922788000.0
2020-08-12,1698.672,1698.672,1645.907,1678.93,952205910,34076587000.0
2020-08-13,1686.993,1691.465,1673.335,1678.375,726293460,23242795000.0
2020-08-14,1677.123,1702.872,1671.012,1701.764,693669390,29802954000.0
2020-08-17,1709.614,1736.31,1709.614,1735.457,1290791400,44413826000.0
2020-08-18,1731.613,1762.41,1729.078,1756.17,984725210,34675331000.0
2020-08-19,1753.035,1772.947,1746.82,1753.899,882179400,34817908000.0
2020-08-20,1742.682,1745.857,1722.02,1730.168,715561250,28459594000.0
2020-08-21,1747.001,1776.969,1747.001,1770.21,780242110,27489687000.0
2020-08-24,1780.773,1789.863,1767.091,1784.381,964741270,33202427000.0
2020-08-25,1782.103,1800.038,1778.009,1783.265,821857950,35888364000.0
2020-08-26,1780.79,1795.677,1765.215,1774.399,809435450,36025137000.0
2020-08-27,1782.065,1808.176,1781.795,1807.918,863655310,36022480000.0
2020-08-28,1808.224,1867.838,1805.232,1864.202,1162232120,52016393000.0
2020-08-31,1878.879,1892.367,1854.562,1855.378,1603849000,56789809000.0
2020-09-01,1852.495,1864.135,1837.28,1864.135,1045341550,42026005000.0
2020-09-02,1871.465,1881.502,1852.425,1876.017,1260313810,41204703000.0
2020-09-03,1874.827,1917.983,1861.292,1872.323,1167358900,50223827000.0
2020-09-04,1827.511,1831.761,1805.766,1827.155,1081404290,44805172000.0
2020-09-07,1824.207,1840.86,1776.365,1786.133,1328243780,48128441000.0
2020-09-08,1791.988,1798.165,1753.439,1774.092,1023111960,43161736000.0
2020-09-09,1748.626,1749.069,1705.955,1718.367,881311330,32745746000.0
2020-09-10,1739.728,1755.479,1720.939,1724.201,889425600,31476804000.0
2020-09-11,1722.745,1751.238,1720.107,1750.872,850231580,30511798000.0
2020-09-14,1762.794,1766.022,1744.67,1755.285,742637440,30880390000.0
2020-09-15,1756.996,1777.162,1747.19,1776.526,761592050,31081108000.0
2020-09-16,1775.065,1781.873,1755.871,1763.533,692652750,30053897000.0
2020-09-17,1757.242,1758.657,1725.059,1745.087,515656880,40296000000.0
2020-09-18,1743.596,1775.892,1738.439,1775.892,893160360,38789042000.0
