日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-02-24,1046.543,1063.434,1043.461,1061.438,1152800960,11785462200.0
2020-02-25,1046.377,1112.481,1039.038,1104.206,1815309400,17928038000.0
2020-02-26,1093.55,1127.753,1086.272,1089.469,1906624000,17134043000.0
2020-02-27,1082.861,1092.301,1050.991,1061.32,1536097800,12665044600.0
2020-02-28,998.889,1017.314,978.533,978.749,1281076420,10775274100.0
2020-03-02,987.489,1024.195,983.271,1015.842,1108747390,9730859700.0
2020-03-03,1037.24,1054.034,1013.963,1023.062,1108688840,10229220400.0
2020-03-04,1008.597,1026.291,999.353,1021.965,812384580,7216144300.0
2020-03-05,1036.787,1041.22,1025.152,1031.785,941599660,8606315300.0
2020-03-06,1015.172,1029.961,1011.973,1020.85,708249230,6173341100.0
2020-03-09,996.749,1002.393,968.924,969.044,831435110,7379796400.0
2020-03-10,951.825,1003.558,949.293,1003.43,979659270,8780340600.0
2020-03-11,1007.271,1014.983,987.278,987.281,1012234850,9757169300.0
2020-03-12,968.333,981.518,962.886,974.842,775663330,6851794400.0
2020-03-13,923.129,980.412,923.12,969.971,949149540,9101265800.0
2020-03-16,979.948,979.948,918.398,922.259,837166410,7943777600.0
2020-03-17,928.732,937.579,888.416,927.658,829850510,7977552800.0
2020-03-18,936.515,956.049,913.767,913.767,970168030,10569494900.0
2020-03-19,912.645,933.471,897.946,927.711,861134280,9415546400.0
2020-03-20,940.557,941.974,922.94,940.2,758526280,8765532500.0
2020-03-23,910.96,919.018,885.679,887.499,722403150,7751740100.0
2020-03-24,907.273,915.967,885.911,913.128,785643030,7991132500.0
2020-03-25,933.68,940.022,924.475,933.498,732078510,7208194700.0
2020-03-26,929.481,932.095,918.809,919.488,643871460,5785166600.0
2020-03-27,933.142,937.973,920.54,921.612,718349040,6235416600.0
2020-03-30,904.157,904.157,883.418,893.287,741253820,6204084100.0
2020-03-31,904.408,906.341,884.733,885.813,659243490,5065628100.0
2020-04-01,880.11,901.005,879.908,882.823,646512640,5487463900.0
2020-04-02,878.18,908.735,876.971,908.735,659788390,6420804700.0
2020-04-03,907.872,910.77,895.7,900.477,566481590,6477011500.0
2020-04-07,916.82,926.454,914.078,925.836,716401260,7908386300.0
2020-04-08,914.895,925.046,913.484,922.414,782024700,8484589300.0
2020-04-09,927.3,931.526,921.535,928.782,643332350,6690861200.0
2020-04-10,928.623,928.834,904.163,907.493,648691740,6432749300.0
2020-04-13,897.401,897.401,884.856,889.311,431531400,4299116700.0
2020-04-14,893.525,912.997,893.525,912.997,450436210,4878580200.0
2020-04-15,912.85,921.747,907.849,910.848,726459720,6656059200.0
2020-04-16,903.96,918.768,898.228,916.662,664978660,6232003800.0
2020-04-17,921.044,928.98,918.027,919.868,680337230,7456420300.0
2020-04-20,924.788,928.051,918.136,928.051,594938700,6001647500.0
2020-04-21,924.789,924.944,905.545,917.053,629945730,6257143600.0
2020-04-22,911.954,924.493,909.486,924.161,514445110,4924682000.0
2020-04-23,929.203,930.914,914.018,914.406,559866730,5246668900.0
2020-04-24,921.448,931.203,901.692,908.485,962923390,7750654100.0
2020-04-27,904.817,907.839,896.221,901.087,713485700,5447883700.0
2020-04-28,896.133,896.39,855.497,875.021,786820270,6164058500.0
2020-04-29,872.859,888.325,870.809,884.298,656487190,4750809500.0
2020-04-30,888.564,912.006,888.564,907.664,745097770,7365293300.0
2020-05-06,898.794,923.172,898.775,922.801,806790270,7366305600.0
2020-05-07,921.764,921.797,909.089,910.14,720585200,6634166700.0
2020-05-08,912.186,923.508,910.652,921.32,735069500,6721472600.0
2020-05-11,922.894,925.364,913.863,919.324,881841690,9677652300.0
2020-05-12,915.268,918.035,900.53,917.699,665796340,8138862100.0
2020-05-13,911.45,917.925,908.937,917.071,572956580,7355046800.0
2020-05-14,908.959,919.047,905.786,912.725,622719520,7712344300.0
2020-05-15,913.007,923.389,910.951,916.362,602388880,8309004100.0
2020-05-18,913.745,913.745,886.025,887.157,631951700,8512047300.0
2020-05-19,891.256,896.601,888.298,896.601,541083060,6950003700.0
2020-05-20,895.884,899.275,884.195,887.84,572376430,7663074700.0
2020-05-21,888.459,889.132,870.259,873.389,465499110,5629088400.0
2020-05-22,870.339,874.052,855.138,858.978,453790280,5493169800.0
2020-05-25,853.789,858.841,846.642,851.787,350780320,4136872800.0
2020-05-26,852.367,868.007,852.367,867.4,379595160,4630172800.0
2020-05-27,864.546,869.714,861.904,866.388,444719240,4661506400.0
2020-05-28,866.164,870.363,848.159,858.836,357814110,4013819600.0
2020-05-29,857.422,869.091,857.422,861.688,318203430,3572438200.0
2020-06-01,866.946,890.731,866.946,889.603,465258650,5792063500.0
2020-06-02,893.722,895.766,887.839,892.383,461792490,5711256500.0
2020-06-03,893.86,903.558,890.843,893.728,492019420,6065322600.0
2020-06-04,897.954,902.378,895.075,899.807,448557720,5139299400.0
2020-06-05,901.231,902.886,893.725,899.228,391089010,4435469600.0
2020-06-08,904.355,907.044,899.138,900.505,401739050,4855243000.0
2020-06-09,904.881,909.588,900.989,909.173,439647730,4615428300.0
2020-06-10,912.812,913.072,904.398,912.565,452986060,5108690100.0
2020-06-11,915.161,924.459,904.917,911.058,549911800,6391458000.0
2020-06-12,892.245,911.581,889.031,907.555,501618860,5544168200.0
2020-06-15,899.811,910.272,895.837,896.937,501796960,5646310600.0
2020-06-16,901.497,911.728,901.471,911.219,424057530,4568478700.0
2020-06-17,913.583,913.637,904.093,910.393,404412090,4171729600.0
2020-06-18,908.464,920.144,908.114,918.89,483794190,5729069500.0
2020-06-19,921.372,927.962,921.182,925.151,424311450,5075496300.0
2020-06-22,932.802,937.524,929.747,932.408,627669790,7624011100.0
2020-06-23,928.662,928.662,920.536,922.792,474107200,5313430100.0
2020-06-24,922.874,925.318,916.596,918.207,397606200,4942959200.0
2020-06-29,914.756,916.161,907.722,910.236,421052640,5138301700.0
2020-06-30,913.01,919.896,912.911,916.754,458252950,6277016500.0
2020-07-01,919.879,920.419,907.519,919.67,442425190,5472976100.0
2020-07-02,919.672,935.293,915.271,935.23,574991930,6959389500.0
2020-07-03,940.298,958.913,936.93,958.913,863746110,8258022000.0
2020-07-06,965.482,998.452,965.161,998.307,1065822130,10635306200.0
2020-07-07,1008.187,1028.376,995.651,1011.631,1139058280,13004488700.0
2020-07-08,1010.406,1035.393,1005.33,1035.012,902985740,10165917100.0
2020-07-09,1035.607,1057.226,1033.151,1054.429,994819720,11496862500.0
2020-07-10,1051.718,1059.572,1043.777,1047.197,881571510,11387038800.0
2020-07-13,1048.549,1080.928,1048.549,1080.811,877585200,11345844100.0
2020-07-14,1082.755,1087.963,1056.302,1073.921,914302830,11358099700.0
2020-07-15,1080.679,1083.032,1040.838,1047.2,925018230,10080448700.0
2020-07-16,1047.354,1052.422,993.947,994.862,821691820,9027697600.0
2020-07-17,995.122,1009.41,981.948,994.211,639467450,7524164400.0
2020-07-20,1002.091,1028.365,1000.374,1028.051,658838230,8283545000.0
2020-07-21,1030.099,1035.814,1019.102,1026.358,523446700,7078336200.0
2020-07-22,1026.151,1039.566,1022.133,1029.581,581362740,7980025000.0
2020-07-23,1022.902,1034.037,999.417,1024.645,608142210,6919908200.0
2020-07-24,1018.532,1022.219,973.502,979.889,636104410,7476770700.0
2020-07-27,983.412,987.113,970.961,983.631,400071090,5247851400.0
2020-07-28,995.65,1004.288,988.071,996.485,446167430,6209423700.0
2020-07-29,995.016,1029.81,993.077,1029.507,548720620,6880746500.0
2020-07-30,1034.718,1038.915,1023.828,1026.562,586432560,8490954200.0
2020-07-31,1022.464,1044.086,1020.292,1043.967,603303440,8603312800.0
2020-08-03,1051.906,1078.284,1051.906,1078.284,739258500,9985815700.0
2020-08-04,1078.879,1078.879,1062.128,1070.846,590178320,8130966600.0
2020-08-05,1070.426,1083.639,1061.281,1083.036,583766470,7822179800.0
2020-08-06,1080.884,1097.196,1071.372,1093.683,626529850,9229669700.0
2020-08-07,1089.152,1095.762,1069.277,1085.564,598367380,8082733600.0
2020-08-10,1084.876,1103.014,1082.88,1092.331,583679270,8792131000.0
2020-08-11,1093.225,1098.043,1070.659,1072.083,638709430,9256500400.0
2020-08-12,1068.812,1073.763,1047.946,1069.388,585384960,7191584800.0
2020-08-13,1073.913,1088.646,1073.868,1080.495,712320550,7339914700.0
2020-08-14,1078.572,1091.711,1068.038,1090.873,498681720,5449139000.0
2020-08-17,1093.198,1110.055,1087.007,1110.055,687186730,7749023700.0
2020-08-18,1111.919,1121.116,1107.932,1114.667,824070700,8911092700.0
2020-08-19,1110.016,1115.788,1097.156,1097.156,789651590,6848084900.0
2020-08-20,1089.962,1100.911,1084.137,1091.106,893842340,7821891600.0
2020-08-21,1096.178,1110.638,1093.808,1100.375,728321880,7216232400.0
2020-08-24,1103.903,1123.697,1093.58,1117.055,906081420,6895306400.0
2020-08-25,1121.897,1129.919,1115.26,1118.694,802012120,7173538700.0
