日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,620.149,632.066,619.504,631.152,1297767590,10430782600.0
2020-01-03,632.628,638.198,632.628,636.984,1288641660,11167209100.0
2020-01-06,631.362,642.037,628.422,639.449,1443575800,11934397400.0
2020-01-07,639.619,649.793,639.108,648.281,1171828940,10212702300.0
2020-01-08,642.497,645.865,635.256,635.815,1108401350,9178103500.0
2020-01-09,641.108,649.124,640.973,648.593,1121704790,9689859700.0
2020-01-10,652.922,654.417,646.463,648.747,1188417330,10278319600.0
2020-01-13,646.936,653.655,643.845,653.655,1048654200,9189158500.0
2020-01-14,654.967,656.621,652.434,653.507,1103232830,9918910800.0
2020-01-15,653.121,653.121,646.763,651.316,889858170,7828360500.0
2020-01-16,650.567,651.359,645.153,646.121,1080617770,8400046400.0
2020-01-17,646.446,648.284,640.011,640.657,860908920,6959077500.0
2020-01-20,640.851,645.124,637.566,645.124,846670160,7106977800.0
2020-01-21,643.243,643.243,631.756,631.756,889091850,7211636800.0
2020-01-22,628.077,631.881,617.363,628.744,690738760,6073360300.0
2020-01-23,620.603,622.52,598.245,603.389,877567310,7411076900.0
2020-02-03,547.736,551.924,547.736,549.458,510124850,4327074600.0
2020-02-04,512.836,541.169,512.836,538.686,1627484100,10957197700.0
2020-02-05,538.416,557.206,538.416,549.102,1303693640,9262745800.0
2020-02-06,550.108,569.209,545.484,566.765,1447593700,10978245800.0
2020-02-07,565.547,575.408,561.351,575.408,1260663370,9851676700.0
2020-02-10,575.192,586.263,573.295,586.059,1196663750,9627770100.0
2020-02-11,587.463,588.369,579.251,581.951,1117700070,8673483600.0
2020-02-12,581.721,590.171,579.04,590.171,958893550,7576290300.0
2020-02-13,589.214,592.079,581.359,582.672,1085595110,8380767400.0
2020-02-14,581.688,586.578,578.771,583.043,1057928810,7977600600.0
2020-02-17,588.827,606.267,588.794,606.267,1159278930,9823746800.0
2020-02-18,609.751,616.331,605.525,616.303,1675985300,11918276000.0
2020-02-19,614.247,619.505,611.771,612.516,1542963400,10927244000.0
2020-02-20,613.505,625.139,607.797,624.954,1619600400,11898431100.0
2020-02-21,624.113,633.002,622.707,626.673,1586512500,12132628600.0
2020-02-24,624.825,630.477,618.878,628.554,1542078000,11970236500.0
2020-02-25,613.369,624.563,601.417,624.235,1664766000,12752948500.0
2020-02-26,615.275,629.908,613.635,621.588,1719258100,13011809800.0
2020-02-27,623.338,627.844,615.671,623.507,1270650420,9704235600.0
2020-02-28,605.174,612.259,587.512,587.702,1385868400,10352089600.0
2020-03-02,591.835,613.312,591.835,610.975,1115730240,8621641900.0
2020-03-03,618.442,624.239,610.017,614.66,1276670660,9700267800.0
2020-03-04,612.137,626.128,611.776,626.128,1424387400,10875091500.0
2020-03-05,631.984,636.74,629.289,635.649,1511581000,11723378200.0
2020-03-06,626.844,641.349,625.869,637.067,1527582400,11208518600.0
2020-03-09,630.863,634.052,615.303,615.303,1659222200,12485788700.0
2020-03-10,603.93,624.995,596.373,624.995,1349184700,10368437300.0
2020-03-11,625.727,629.731,618.504,618.504,1198361260,8910486500.0
2020-03-12,611.311,612.413,599.492,604.498,989357160,7606629800.0
2020-03-13,574.356,599.352,574.356,595.848,1233352650,9001072500.0
2020-03-16,602.767,603.056,569.597,570.83,1148338910,8329590700.0
2020-03-17,572.796,578.219,546.733,567.488,1008040010,7081938700.0
2020-03-18,572.67,577.905,557.167,557.529,882380240,6418193700.0
