日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-06,1069.631,1088.282,1067.927,1081.617,271275120,3271538800.0
2020-01-07,1084.502,1127.506,1073.651,1105.976,635305200,8115736400.0
2020-01-08,1115.975,1132.801,1080.938,1082.027,735653030,8465827800.0
2020-01-09,1092.458,1107.243,1073.727,1092.494,1213912470,11659259400.0
2020-01-10,1090.489,1098.27,1055.768,1062.359,848854020,7778540000.0
2020-01-13,1062.916,1078.424,1046.942,1076.124,628130570,6148842300.0
2020-01-14,1076.127,1137.256,1072.229,1106.428,1019793770,10448172200.0
2020-01-15,1077.175,1080.665,1047.106,1048.255,591440570,5766771100.0
2020-01-16,1046.81,1076.057,1044.495,1058.147,584345900,6250578700.0
2020-01-17,1051.241,1061.885,1043.775,1054.682,447317900,4526355600.0
2020-01-20,1047.092,1048.527,1016.422,1035.95,454306630,4371173500.0
2020-01-21,1029.85,1038.207,1004.867,1006.951,388769920,3594694500.0
2020-01-22,1010.162,1026.439,1003.37,1008.44,406675020,3901764200.0
2020-01-23,991.197,1007.063,954.187,965.586,467729090,3830825900.0
2020-02-03,868.926,870.204,868.926,868.926,52444238,450740260.0
2020-02-04,798.334,858.396,798.334,857.281,523131220,3542206800.0
2020-02-05,855.619,911.124,853.713,886.003,561388130,4344647400.0
2020-02-06,901.795,929.253,895.806,929.253,646273950,4997174600.0
2020-02-07,927.058,929.462,894.898,916.36,510071540,3934824400.0
2020-02-10,907.996,991.331,906.142,990.372,488451360,4212700700.0
2020-02-11,1030.968,1030.968,950.608,952.438,912926620,7803587100.0
2020-02-12,930.128,1008.13,929.663,990.177,891728890,7705670900.0
2020-02-13,981.789,1030.424,977.899,999.438,957601430,8027402100.0
2020-02-14,990.558,1028.434,979.978,1013.145,795378630,6638540900.0
2020-02-17,1038.178,1089.558,1034.601,1070.721,931311980,8469316800.0
2020-02-18,1044.804,1065.223,1041.474,1065.085,714774710,6475909600.0
2020-02-19,1056.323,1056.323,1023.288,1023.288,590299840,5219425700.0
2020-02-20,1022.856,1034.38,1008.776,1032.123,448346020,3930267500.0
2020-02-21,1027.559,1048.355,1020.18,1036.477,469517540,4078747800.0
2020-02-24,1037.611,1080.163,1028.973,1064.607,671436740,6197267000.0
2020-02-25,1032.888,1039.405,996.829,1032.836,524987950,4565074400.0
2020-02-26,1052.403,1066.058,1028.995,1032.163,679358770,5872319800.0
2020-02-27,1029.801,1043.872,1013.629,1023.512,490836380,3947950700.0
2020-02-28,987.383,1000.591,949.68,954.986,522262210,4045779600.0
2020-03-02,959.672,997.689,959.672,992.294,396229990,3029339300.0
2020-03-03,1005.61,1040.344,1001.352,1030.83,562490610,4801965400.0
