日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1071.596,1086.457,1066.317,1084.429,714815310,7623543300.0
2020-01-03,1086.337,1095.171,1084.408,1090.26,685423740,7424027400.0
2020-01-06,1086.26,1111.598,1085.2,1102.675,861520560,9715454100.0
2020-01-07,1105.854,1116.309,1098.794,1116.138,787348150,8900408000.0
2020-01-08,1112.337,1123.637,1103.704,1107.158,980483020,10441282000.0
2020-01-09,1113.551,1156.165,1111.576,1155.028,1189583380,14516121000.0
2020-01-10,1156.787,1156.913,1138.637,1141.231,1000130130,10909026100.0
2020-01-13,1137.322,1151.537,1127.936,1151.486,899962830,12510521700.0
2020-01-14,1153.624,1155.862,1145.452,1147.392,1157248530,13763125000.0
2020-01-15,1145.231,1159.06,1138.332,1156.786,870313090,10552694100.0
2020-01-16,1158.719,1164.918,1148.375,1151.179,801545250,9940406100.0
2020-01-17,1152.389,1155.508,1143.159,1144.166,756115680,10308678500.0
2020-01-20,1141.801,1161.775,1137.83,1161.472,871309090,10970406400.0
2020-01-21,1155.593,1157.209,1142.58,1144.821,782380830,9320486600.0
2020-01-22,1137.218,1166.948,1124.674,1161.704,875430880,11987605700.0
2020-01-23,1146.378,1160.157,1107.205,1118.266,1132659200,14313557000.0
2020-02-03,1015.615,1023.476,1011.723,1018.249,598030990,5510030900.0
2020-02-04,964.777,1024.566,964.777,1017.4,1075245620,12033882200.0
2020-02-05,1028.912,1066.106,1028.912,1048.717,953439050,10709662200.0
2020-02-06,1054.033,1092.769,1050.711,1086.957,1196220400,13802259000.0
2020-02-07,1093.309,1120.637,1088.594,1120.637,1300126220,16462941000.0
2020-02-10,1127.057,1136.798,1117.885,1136.28,1323159930,17056738000.0
2020-02-11,1136.305,1136.535,1116.361,1122.1,1013287190,12665157700.0
2020-02-12,1123.132,1153.575,1120.923,1151.828,946299320,12496148800.0
2020-02-13,1154.228,1158.873,1132.515,1138.918,1142003060,14749021000.0
2020-02-14,1135.829,1162.608,1134.469,1148.048,1011499750,14150231000.0
2020-02-17,1158.678,1196.249,1158.678,1196.249,1321633830,16327689000.0
2020-02-18,1195.497,1221.361,1194.092,1221.361,1352601500,17115119000.0
2020-02-19,1213.468,1238.899,1209.177,1212.921,1284062470,16555755000.0
2020-02-20,1214.037,1233.327,1200.884,1232.799,1184380260,14955682000.0
2020-02-21,1264.696,1301.34,1264.696,1283.761,1644531600,21759133000.0
2020-02-24,1281.119,1338.89,1278.597,1331.442,2242148800,27298849000.0
2020-02-25,1293.956,1352.143,1270.26,1346.722,2284419200,28445363000.0
2020-02-26,1322.969,1348.49,1284.238,1291.986,2335503500,27474700000.0
2020-02-27,1296.852,1310.462,1264.895,1290.828,1595123200,18292299000.0
2020-02-28,1232.178,1251.293,1198.45,1199.315,1516276400,17749756000.0
2020-03-02,1215.369,1265.859,1207.301,1256.977,1303787500,16052301000.0
2020-03-03,1283.89,1308.154,1250.125,1263.457,1732614000,22600756000.0
2020-03-04,1254.765,1278.491,1239.242,1265.589,1097599070,14705066000.0
2020-03-05,1300.766,1305.08,1279.472,1293.657,1652868100,20460678000.0
2020-03-06,1270.685,1286.512,1268.194,1276.271,1124927600,13411740200.0
2020-03-09,1252.906,1266.763,1217.726,1217.726,1528581400,17474644000.0
2020-03-10,1198.112,1279.269,1193.463,1279.269,1873628700,22971766000.0
2020-03-11,1294.532,1326.144,1274.719,1276.087,2140844400,29195263000.0
2020-03-12,1254.494,1278.744,1250.22,1273.174,1609970500,21184288000.0
2020-03-13,1210.331,1288.42,1209.95,1275.781,1791941500,25566391000.0
2020-03-16,1289.093,1289.093,1192.054,1196.951,1630485000,22896343000.0
2020-03-17,1214.865,1228.755,1157.125,1215.596,1528803900,19821006000.0
2020-03-18,1220.333,1247.527,1186.274,1186.302,1515775000,20973689000.0
2020-03-19,1185.19,1222.611,1172.589,1215.782,1450792700,18601676000.0
2020-03-20,1234.009,1236.329,1201.981,1226.358,1343263100,16768149000.0
2020-03-23,1189.027,1221.012,1169.751,1175.355,1283854570,16829589000.0
2020-03-24,1200.139,1208.357,1155.656,1200.456,1503628100,18637496000.0
2020-03-25,1221.023,1221.616,1202.875,1213.244,1298874460,16075410000.0
