日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-03-09,996.36,999.336,940.667,979.019,494913470,5317421200.0
2022-03-10,995.856,1007.14,985.172,1000.092,363269550,4180929300.0
2022-03-11,988.429,993.531,962.773,989.161,316929190,3437166600.0
2022-03-14,978.798,979.244,949.357,949.357,249971640,2683200000.0
2022-03-15,946.181,946.181,896.33,896.33,383910740,3706558300.0
2022-03-16,911.025,928.786,878.7,926.136,387749190,3548283100.0
2022-03-17,931.664,958.373,929.007,945.483,371823740,3763641100.0
2022-03-18,942.155,960.36,939.534,958.134,288116630,2634974400.0
2022-03-21,963.264,971.605,953.891,966.628,380515790,3694964600.0
2022-03-22,968.534,972.941,958.203,966.596,314539620,3352956000.0
2022-03-23,967.293,974.688,962.154,966.196,242917920,2671034600.0
2022-03-24,963.603,967.119,954.414,960.721,235025910,2529034200.0
2022-03-25,961.023,970.657,953.448,953.967,211670610,2442437600.0
2022-03-28,944.629,956.309,930.932,943.613,184976980,2010028700.0
2022-03-29,947.419,951.208,929.175,936.363,218177830,2101082100.0
2022-03-30,938.411,950.518,933.409,950.074,260522330,2640515900.0
2022-03-31,949.49,951.74,938.935,940.892,228534540,2328579900.0
2022-04-01,940.48,945.316,936.833,941.713,179735680,1805725300.0
2022-04-06,938.635,941.827,931.048,941.827,229922720,2267642100.0
2022-04-07,939.419,941.573,926.179,926.179,227596980,2443884000.0
2022-04-08,925.284,931.033,909.582,926.594,221670360,2420420600.0
2022-04-11,921.522,921.522,881.392,885.18,256741470,2666099500.0
2022-04-12,882.245,900.558,874.377,899.907,179778900,1823130500.0
2022-04-13,895.509,905.873,884.378,893.477,224269180,2482077000.0
2022-04-14,897.137,900.961,890.262,895.569,171531800,1892440900.0
2022-04-15,891.842,892.154,875.874,882.88,191120800,1988965600.0
2022-04-18,879.557,891.425,865.09,890.917,149822300,1571705100.0
2022-04-19,889.338,898.77,886.396,889.963,170432350,1680883000.0
2022-04-20,889.44,890.413,868.71,873.307,191920090,1861672000.0
2022-04-21,870.441,875.309,841.263,843.623,227459000,2014989100.0
2022-04-22,838.942,848.896,829.66,840.736,172715980,1546873500.0
2022-04-25,822.673,822.673,762.764,762.764,281169910,2341106200.0
2022-04-26,763.208,769.192,737.951,739.017,238959860,2024031200.0
2022-04-27,726.544,769.898,720.361,769.198,291281610,2274125400.0
2022-04-28,763.896,774.1,752.632,758.657,233129990,1920916000.0
2022-04-29,766.111,803.3,766.111,801.005,237644750,2044282500.0
2022-05-05,800.503,824.94,796.091,818.247,204376730,1893673600.0
2022-05-06,804.285,812.506,797.829,804.569,173770540,1628841300.0
2022-05-09,802.261,818.553,799.995,813.164,167265640,1475095300.0
2022-05-10,804.205,827.913,799.314,825.582,194981990,1758896600.0
2022-05-11,825.779,850.01,824.611,829.333,275630510,2404189900.0
2022-05-12,825.864,840.255,824.07,834.104,187269110,1528041900.0
2022-05-13,837.277,838.412,826.966,834.363,140444460,1276446250.0
2022-05-16,842.764,850.544,839.464,841.581,170180580,1734337500.0
2022-05-17,844.345,856.757,837.144,856.305,202438180,2058065600.0
2022-05-18,854.918,864.404,853.064,854.846,180412840,1829424200.0
2022-05-19,845.91,860.119,842.684,860.067,207083550,1985167000.0
2022-05-20,866.413,885.334,866.252,884.834,330166840,2926002600.0
2022-05-23,888.202,898.104,885.033,896.639,286380500,2504663900.0
2022-05-24,891.826,894.801,856.259,856.259,293283240,2609886400.0
2022-05-25,859.647,871.568,856.742,870.775,200229200,1725804100.0
2022-05-26,873.007,879.94,857.934,874.176,224090980,2165332600.0
2022-05-27,877.765,882.057,863.877,870.473,204802770,2082315600.0
2022-05-30,873.769,879.385,864.824,879.205,154029960,1516021900.0
2022-05-31,878.648,882.973,866.83,882.42,193098600,1883294300.0
2022-06-01,882.456,898.243,877.498,893.617,279152670,2575555700.0
2022-06-02,892.728,916.52,890.413,914.312,346811590,3518689000.0
2022-06-06,916.377,939.819,916.051,938.871,378459750,4053239300.0
2022-06-07,937.141,937.141,922.675,929.111,250106980,2504397400.0
2022-06-08,929.862,939.032,912.582,931.028,247828340,2532252700.0
2022-06-09,926.996,927.246,906.003,912.615,227140710,2111681500.0
2022-06-10,908.489,950.104,906.346,948.751,316500760,3401406700.0
2022-06-13,954.823,972.211,952.086,968.365,420178500,5473768100.0
2022-06-14,965.231,965.647,940.48,965.04,481232080,5138740100.0
2022-06-15,977.19,980.343,950.223,950.223,613091050,5672983500.0
2022-06-16,946.425,953.789,943.893,952.191,545145070,4595026600.0
2022-06-17,944.278,975.09,943.649,970.927,655853890,6004297700.0
2022-06-20,975.878,982.507,971.038,975.227,716717240,6316717900.0
2022-06-21,971.607,973.003,956.696,962.805,620886570,5820194900.0
2022-06-22,962.159,972.075,954.051,954.303,458953780,4293063900.0
2022-06-23,953.187,987.71,953.187,983.35,722349460,7042430600.0
2022-06-24,990.25,996.973,985.356,992.928,810420140,7570209800.0
2022-06-27,1004.274,1014.781,998.687,1013.555,647539410,6733248100.0
2022-06-28,1014.338,1025.164,1007.467,1024.026,641086530,6273495000.0
2022-06-29,1015.877,1016.328,984.816,985.563,537685160,5590460600.0
2022-06-30,980.762,995.996,980.762,984.633,400006620,4072984600.0
2022-07-01,986.367,1005.661,979.667,1000.399,547097340,6291614000.0
2022-07-04,1000.395,1012.016,989.361,1011.72,512293060,6234738100.0
2022-07-05,1009.607,1014.385,993.706,1007.501,556905800,6201688700.0
2022-07-06,1001.658,1009.177,986.069,995.785,420152050,5048599200.0
2022-07-07,996.442,1017.922,990.671,1016.16,473328490,5724685500.0
2022-07-08,1017.813,1023.752,1002.435,1003.885,408381390,5042637100.0
2022-07-11,999.083,1000.994,979.981,988.232,434704810,5036677600.0
2022-07-12,988.999,1003.732,977.302,977.429,392900040,4215654100.0
2022-07-13,986.425,995.63,978.211,993.388,434442530,4346493200.0
2022-07-14,992.853,1007.124,983.423,999.833,473051770,4689378900.0
2022-07-15,992.219,1000.62,984.32,992.553,471941430,5313268500.0
2022-07-18,991.945,1024.851,991.945,1024.747,553300120,6254692500.0
2022-07-19,1027.934,1043.894,1027.034,1035.46,505041570,6118262000.0
2022-07-20,1037.957,1040.496,1029.358,1040.256,428037820,5222779800.0
2022-07-21,1037.182,1051.745,1029.778,1034.175,557105750,6259901000.0
2022-07-22,1038.294,1063.361,1038.294,1057.103,847324730,7950502400.0
2022-07-25,1072.119,1082.116,1043.919,1046.706,969479570,10639613100.0
2022-07-26,1036.813,1063.714,1029.16,1063.714,780049250,8644573000.0
2022-07-27,1058.315,1094.131,1057.643,1093.224,1048228010,11232580500.0
2022-07-28,1100.828,1103.921,1090.921,1095.414,1071730930,11447196600.0
2022-07-29,1094.762,1103.416,1092.851,1096.42,901223850,9232277200.0
2022-08-01,1098.572,1103.749,1080.152,1103.749,910618880,9557469700.0
2022-08-02,1088.794,1090.962,1063.695,1072.428,1006216130,11142564300.0
2022-08-03,1084.003,1099.963,1042.64,1048.122,891272730,9791348900.0
2022-08-04,1051.759,1057.977,1020.838,1038.075,732733450,7367015600.0
2022-08-05,1039.675,1048.508,1027.175,1041.128,732616810,7498833500.0
2022-08-08,1037.613,1071.68,1030.173,1071.505,736211810,8185432000.0
2022-08-09,1072.032,1078.328,1067.852,1074.113,698273630,8390687100.0
2022-08-10,1070.093,1084.41,1070.093,1082.162,601364080,7549114300.0
