日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1059.511,1069.241,1053.935,1066.163,1675154500,11762771100.0
2020-01-03,1065.046,1084.936,1059.051,1076.87,1529789500,11563825800.0
2020-01-06,1079.471,1115.568,1079.471,1107.743,2161898000,16375945000.0
2020-01-07,1109.482,1110.159,1094.35,1100.973,1677472200,12361093900.0
2020-01-08,1101.225,1106.363,1088.536,1097.516,1839952900,13420324200.0
2020-01-09,1100.103,1104.226,1094.27,1100.103,1462006100,10693027500.0
2020-01-10,1098.391,1098.535,1078.893,1089.129,1187521780,8658907900.0
2020-01-13,1094.16,1103.674,1086.305,1103.674,1011957750,8246359800.0
2020-01-14,1114.629,1150.762,1114.629,1140.586,2093094400,15450680000.0
2020-01-15,1136.956,1136.956,1112.931,1117.923,1817665400,13690527000.0
2020-01-16,1115.185,1126.613,1111.663,1113.47,1215285810,8859900700.0
2020-01-17,1119.675,1120.882,1107.275,1109.904,1107988880,8653438800.0
2020-01-20,1110.197,1122.38,1104.091,1121.175,1183102190,8829992400.0
2020-01-21,1118.583,1118.583,1099.83,1100.439,1166999200,7955867300.0
2020-01-22,1087.901,1108.835,1071.681,1100.924,1194567700,9880126400.0
2020-01-23,1086.996,1101.393,1051.442,1061.657,1406892600,11568779100.0
2020-02-03,956.423,962.935,952.87,953.274,1157336950,6825917400.0
2020-02-04,909.69,969.324,909.69,962.372,1826035200,12143376000.0
2020-02-05,976.043,1017.787,974.097,995.012,1936205200,14584017000.0
2020-02-06,983.369,1016.148,978.759,1012.913,1804986600,13928711000.0
2020-02-07,1005.05,1015.05,996.697,1014.673,1432140000,10689177100.0
2020-02-10,1007.357,1056.274,1003.884,1055.87,1732626400,13908211000.0
2020-02-11,1059.885,1069.02,1047.24,1054.739,1753107700,15315638000.0
2020-02-12,1047.035,1102.981,1046.462,1101.051,1948182500,16162286000.0
2020-02-13,1100.932,1117.4,1089.647,1095.702,2218297600,19122584000.0
2020-02-14,1094.659,1126.191,1087.309,1096.725,2407197400,18804082000.0
2020-02-17,1095.727,1121.253,1095.127,1121.253,1865753800,14594940000.0
2020-02-18,1119.9,1133.375,1114.906,1133.375,2032113700,16129194000.0
2020-02-19,1128.035,1129.962,1107.553,1108.543,2946009600,21596831000.0
2020-02-20,1114.381,1121.278,1101.936,1119.464,2173646900,18944986000.0
2020-02-21,1119.427,1132.865,1119.023,1123.501,2163614900,16085687000.0
2020-02-24,1116.908,1118.565,1093.374,1111.613,2287483100,19026162000.0
2020-02-25,1081.962,1116.318,1064.041,1114.743,2511447400,19991019000.0
2020-02-26,1094.792,1110.701,1088.254,1092.622,2405740500,16185495000.0
2020-02-27,1097.152,1102.09,1082.021,1087.538,1726427500,10329324300.0
2020-02-28,1047.504,1065.635,1019.105,1020.907,2117038100,13203041000.0
2020-03-02,1025.402,1060.494,1025.402,1056.619,1902940100,11007536100.0
2020-03-03,1073.369,1086.333,1056.736,1066.486,1896401400,12260273100.0
2020-03-04,1062.904,1074.887,1053.138,1073.565,1448394700,9114084100.0
2020-03-05,1080.513,1090.004,1074.296,1090.004,1565878100,9633709400.0
2020-03-06,1078.142,1096.987,1076.447,1089.958,1558061200,10191425900.0
2020-03-09,1083.582,1089.138,1052.991,1052.991,1796376700,12313583700.0
2020-03-10,1035.067,1069.101,1019.616,1068.683,1678788400,10801767900.0
2020-03-11,1069.91,1072.504,1051.8,1051.8,1249418880,8479923700.0
2020-03-12,1032.757,1037.03,1014.876,1020.459,1110029090,6985781500.0
2020-03-13,965.497,1007.875,962.053,1000.033,1339147540,8090415800.0
2020-03-16,1010.914,1012.055,952.162,955.757,1213466440,8206822900.0
2020-03-17,958.365,970.75,922.72,950.3,1139380790,7113447600.0
2020-03-18,958.167,966.176,926.496,926.496,1051081260,6352011500.0
2020-03-19,924.363,931.876,903.401,924.903,1077767670,6015472800.0
2020-03-20,936.546,941.136,922.157,939.659,854019990,5163231800.0
2020-03-23,915.197,920.3,896.587,898.481,1011376310,5786723000.0
2020-03-24,921.814,927.799,906.45,927.327,1390285200,7630429700.0
2020-03-25,948.069,951.233,938.813,946.742,1195163900,7047199900.0
2020-03-26,940.334,946.191,932.643,933.66,899675250,4917679200.0
2020-03-27,944.849,946.225,928.152,928.948,859482840,4652037400.0
2020-03-30,916.82,916.82,898.307,907.025,788366390,4528144600.0
2020-03-31,915.801,916.708,904.492,909.341,754171030,4102230400.0
2020-04-01,909.422,931.984,906.633,917.383,991529060,6914265900.0
2020-04-02,910.97,936.086,910.97,936.086,792818830,5369745800.0
2020-04-03,936.615,938.764,918.911,923.609,824363460,5362647200.0
2020-04-07,938.885,951.85,934.823,951.639,1221448280,7199641800.0
2020-04-08,946.624,978.09,943.472,968.651,1118669480,7602279400.0
2020-04-09,977.721,977.721,962.038,964.804,931398130,6485011300.0
2020-04-10,965.095,965.546,940.204,945.569,959218870,5968122800.0
2020-04-13,937.76,941.07,930.031,937.605,612338700,3680572400.0
2020-04-14,942.077,961.705,942.007,961.671,1192794650,7551785800.0
2020-04-15,959.204,959.541,943.968,945.57,974833900,5957449900.0
2020-04-16,939.951,944.298,934.876,940.197,909202980,5787597600.0
2020-04-17,944.09,949.455,940.437,941.44,1061196120,6692539000.0
2020-04-20,942.715,943.164,937.192,942.319,816987740,4628035000.0
2020-04-21,937.119,937.119,916.664,924.957,776654970,4678517300.0
2020-04-22,916.927,931.213,915.13,930.981,633574720,3702408000.0
2020-04-23,933.613,934.533,926.95,927.941,760587990,4722821500.0
2020-04-24,930.426,934.462,915.492,918.246,888219780,4947596700.0
2020-04-27,916.71,917.536,906.363,907.523,1176486640,5819576300.0
2020-04-28,909.511,911.098,868.936,887.9,1085222030,5511416800.0
2020-04-29,883.48,893.656,882.256,884.298,576162890,3243807500.0
2020-04-30,889.797,912.807,889.797,910.29,783611680,5603201900.0
2020-05-06,903.008,938.061,903.008,938.061,1196531930,8399280300.0
2020-05-07,935.633,937.752,927.52,929.332,955507590,7563792100.0
2020-05-08,935.486,945.015,933.61,941.967,990008180,7122163900.0
2020-05-11,941.608,943.759,926.709,932.116,842109290,6395920100.0
2020-05-12,926.624,927.938,907.979,918.561,679810560,4913939600.0
2020-05-13,911.804,919.021,910.121,918.924,626104350,4515639300.0
2020-05-14,913.196,916.8,907.63,908.663,602552590,4114120700.0
2020-05-15,911.22,915.377,904.253,911.411,670582810,4971891500.0
2020-05-18,913.945,919.263,907.559,913.45,1090853910,6673662500.0
2020-05-19,913.883,916.043,908.536,910.664,716181680,4408121200.0
2020-05-20,915.731,928.931,915.653,918.75,842971670,6485254500.0
2020-05-21,916.384,919.269,901.35,903.498,795187510,6126961800.0
2020-05-22,899.51,899.51,875.336,881.065,776394900,5178169100.0
2020-05-25,876.996,881.905,867.756,871.661,571776230,3526298600.0
2020-05-26,872.553,887.736,872.553,887.634,548304790,4009906500.0
2020-05-27,884.92,892.251,883.456,888.313,668502930,5055755800.0
2020-05-28,888.846,895.938,885.891,895.938,745730650,4899573400.0
2020-05-29,897.989,907.828,894.894,902.387,868286030,5865403100.0
2020-06-01,905.21,924.499,905.21,923.209,994518810,6932623200.0
2020-06-02,924.925,927.193,920.923,926.221,824868240,5624203800.0
2020-06-03,924.942,927.552,917.276,917.681,754942730,4998207400.0
2020-06-04,923.88,935.309,923.862,934.284,1180104510,9218408100.0
2020-06-05,931.452,931.46,920.375,926.488,757684360,5565794500.0
2020-06-08,932.41,937.261,929.031,932.122,1087344670,6508326200.0
2020-06-09,935.361,940.568,929.177,933.051,779023500,5344456700.0
2020-06-10,933.213,933.645,923.143,926.277,703010370,4887234300.0
2020-06-11,929.034,936.484,923.017,927.521,944652200,6660011900.0
2020-06-12,908.743,924.134,905.985,918.43,765317830,5443811000.0
2020-06-15,915.804,925.177,911.456,914.837,735104650,5321099700.0
2020-06-16,920.879,948.415,918.187,946.47,1321644180,9742958300.0
2020-06-17,947.076,956.235,942.698,951.391,1224034650,10717494100.0
2020-06-18,950.644,958.356,946.052,952.227,1138873830,8198437500.0
2020-06-19,953.028,964.376,953.028,961.865,1125378160,8954921000.0
2020-06-22,964.972,974.806,963.951,965.905,1141100010,9071417800.0
2020-06-23,964.99,964.99,955.032,957.995,850816430,6493115200.0
2020-06-24,959.287,960.4,947.435,950.157,822057320,6014904300.0
2020-06-29,948.733,952.46,940.918,943.279,837137440,6148073800.0
2020-06-30,949.248,960.953,949.114,956.667,979109730,7276140200.0
2020-07-01,959.748,973.811,959.709,967.836,1381210000,11620355500.0
2020-07-02,965.606,983.955,961.393,983.33,1591710700,11778271300.0
2020-07-03,987.171,1009.903,987.079,1006.01,2010371500,14679116000.0
2020-07-06,1015.396,1065.623,1015.396,1064.919,2850347900,21152149000.0
2020-07-07,1085.586,1097.637,1067.595,1076.998,3078294300,23947164000.0
2020-07-08,1073.343,1109.031,1065.494,1108.648,2813746100,21514861000.0
2020-07-09,1110.596,1140.852,1106.857,1140.473,2992339700,22848462000.0
2020-07-10,1131.926,1139.789,1110.848,1113.634,2755871900,21433728000.0
2020-07-13,1124.275,1170.902,1124.275,1168.297,3071301000,26002330000.0
2020-07-14,1160.646,1169.026,1123.623,1144.464,2793244100,24282766000.0
2020-07-15,1151.233,1154.975,1095.941,1105.131,2158797100,18546542000.0
2020-07-16,1110.034,1118.701,1054.77,1055.218,1934753000,15945486000.0
2020-07-17,1058.447,1069.017,1040.205,1050.995,1578096800,12522234000.0
2020-07-20,1061.631,1096.417,1060.682,1096.417,1933763500,14312458000.0
2020-07-21,1102.723,1111.916,1085.093,1099.599,1617807300,12503406000.0
2020-07-22,1118.307,1122.666,1103.586,1109.08,1848013300,14047327000.0
2020-07-23,1102.743,1115.256,1085.987,1109.557,1932622700,15828003000.0
2020-07-24,1104.369,1105.961,1053.931,1059.526,2097091300,17209783000.0
2020-07-27,1064.419,1084.434,1049.83,1076.647,2055586100,16108404000.0
2020-07-28,1098.492,1124.527,1088.244,1095.581,2766262300,22491793000.0
2020-07-29,1093.345,1112.966,1080.862,1112.754,1896047500,15921738000.0
2020-07-30,1117.78,1120.481,1098.051,1100.315,1740968800,15011151000.0
2020-07-31,1093.044,1112.562,1085.037,1112.562,1889109300,15677475000.0
2020-08-03,1118.385,1143.601,1114.277,1143.601,2029477200,15876359000.0
